Row ID;Row Name;Value;Caption ID;Icon ID
503;Eyebrows - Type 4;3;0;13
504;Eyebrows - Type 5;4;0;14
505;Eyebrows - Type 6;5;0;15
506;Eyebrows - Type 7;6;0;16
507;Eyebrows - Type 8;7;0;17
508;Eyebrows - Type 9;8;0;18
509;Eyebrows - Type 10;9;0;19
510;Eyebrows - Type 11;10;0;20
511;Eyebrows - Type 12;11;0;21
512;Eyebrows - Type 13;12;0;22
513;Eyebrows - Type 14;13;0;23
514;Eyebrows - Type 15;14;0;24
515;Eyebrows - Type 16;15;0;25
516;Eyebrows - Type 17;16;0;26
600;Beard - Type 1;0;0;30
601;Beard - Type 2;1;0;31
602;Beard - Type 3;2;0;32
603;Beard - Type 4;3;0;33
604;Beard - Type 5;4;0;34
605;Beard - Type 6;5;0;35
606;Beard - Type 7;6;0;36
607;Beard - Type 8;7;0;37
608;Beard - Type 9;8;0;38
609;Beard - Type 10;9;0;39
610;Beard - Type 11;10;0;40
611;Beard - Type 12;11;0;41
620;Beard (Female) - Type 1;0;0;30
621;Beard (Female) - Type 2;1;0;31
622;Beard (Female) - Type 3;2;0;32
623;Beard (Female) - Type 4;3;0;33
624;Beard (Female) - Type 5;4;0;34
625;Beard (Female) - Type 6;5;0;35
626;Beard (Female) - Type 7;6;0;36
627;Beard (Female) - Type 8;7;0;37
628;Beard (Female) - Type 9;8;0;38
629;Beard (Female) - Type 10;9;0;39
630;Beard (Female) - Type 11;10;0;40
631;Beard (Female) - Type 12;11;0;41
700;Hairstyle - Type 1;0;0;70
701;Hairstyle - Type 2;113;0;71
702;Hairstyle - Type 3;112;0;72
703;Hairstyle - Type 4;1;0;73
704;Hairstyle - Type 5;3;0;75
705;Hairstyle - Type 6;100;0;76
706;Hairstyle - Type 7;5;0;77
707;Hairstyle - Type 8;10;0;78
708;Hairstyle - Type 9;101;0;79
709;Hairstyle - Type 10;9;0;80
710;Hairstyle - Type 11;8;0;81
711;Hairstyle - Type 12;6;0;82
712;Hairstyle - Type 13;7;0;83
713;Hairstyle - Type 14;115;0;96
714;Hairstyle - Type 15;114;0;95
715;Hairstyle - Type 16;2;0;74
716;Hairstyle - Type 17;4;0;84
717;Hairstyle - Type 18;102;0;85
718;Hairstyle - Type 19;103;0;86
719;Hairstyle - Type 20;104;0;87
720;Hairstyle - Type 21;105;0;88
721;Hairstyle - Type 22;106;0;89
722;Hairstyle - Type 23;107;0;90
723;Hairstyle - Type 24;109;0;91
724;Hairstyle - Type 25;108;0;92
725;Hairstyle - Type 26;111;0;93
726;Hairstyle - Type 27;110;0;94
800;Tattoo - Type 1;0;0;50
801;Tattoo - Type 2;1;0;51
802;Tattoo - Type 3;2;0;57
803;Tattoo - Type 4;3;0;58
804;Tattoo - Type 5;4;0;59
805;Tattoo - Type 6;5;0;60
806;Tattoo - Type 7;6;0;61
807;Tattoo - Type 8;7;0;62
808;Tattoo - Type 9;8;0;63
809;Tattoo - Type 10;9;0;64
810;Tattoo - Type 11;10;0;65
811;Tattoo - Type 12;11;0;68
812;Tattoo - Type 13;12;0;69
813;Tattoo - Type 14;13;0;111
814;Tattoo - Type 15;14;0;113
815;Tattoo - Type 16;15;0;114
816;Tattoo - Type 17;16;0;116
817;Tattoo - Type 18;17;0;117
818;Tattoo - Type 19;18;0;118
819;Tattoo - Type 20;20;0;120
820;Tattoo - Type 21;21;0;121
821;Tattoo - Type 22;22;0;122
822;Tattoo - Type 23;23;0;123
823;Tattoo - Type 24;24;0;124
824;Tattoo - Type 25;25;0;125
825;Tattoo - Type 26;26;0;126
826;Tattoo - Type 27;27;0;128
827;Tattoo - Type 28;28;0;129
828;Tattoo - Type 29;29;0;130
829;Tattoo - Type 30;30;0;131
830;Tattoo - Type 31;31;0;132
831;Tattoo - Type 32;32;0;133
832;Tattoo - Type 33;33;0;134
833;Tattoo - Type 34;34;0;135
834;Tattoo - Type 35;35;0;136
835;Tattoo - Type 36;36;0;137
836;Tattoo - Type 37;37;0;138
837;Tattoo - Type 38;38;0;139
900;Accessories - Type 1;0;0;240
901;Accessories - Type 2;2;0;241
902;Accessories - Type 3;1;0;242
903;Accessories - Type 4;10;0;243
1000;Pupil Type - Normal 1;0;0;1
1001;Pupil Type - Normal 2;1;0;2
1002;Pupil Type - Normal 3;2;0;3
1003;Pupil Type - Sclera 1;3;0;4
1004;Pupil Type - Sclera 2;4;0;5
1005;Pupil Type - Sclera 3;5;0;6
1006;Pupil Color - Cornea 1;6;0;7
1007;Pupil Color - Cornea 2;7;0;8
1008;Pupil Color - Cornea 3;8;0;9
1100;Eyelashes - None;0;0;100
1101;Eyelashes - Short;1;0;101
1102;Eyelashes - Medium;2;0;102
1103;Eyelashes - Long;3;0;103
1200;ON;0;297180;0
1201;OFF;1;297181;0
1300;ON;1;297185;0
1301;OFF;0;297186;0
1310;ON;1;297187;0
1311;OFF;0;297188;0
100000;Body Type - A;0;297100;0
100001;Body Type - B;1;297101;0
100100;Age - Young;0;297110;0
100101;Age - Mature;1;297111;0
100102;Age - Aged;2;297112;0
100200;Class - Vagabond;0;297130;0
100201;Class - Warrior;1;297131;0
100202;Class - Hero;2;297132;0
100203;Class - Bandit;3;297133;0
100204;Class - Astrologer;4;297134;0
100205;Class - Prophet;5;297135;0
100206;Class - Samurai;7;297136;0
100207;Class - Prisoner;8;297137;0
100208;Class - Confessor;6;297138;0
100209;Class - Wretch;9;297139;0
100300;Gift - None;0;297150;0
100301;Gift - Crimson Amber Medallion;1;297151;0
100302;Gift - Lands Between Rune;2;297152;0
100303;Gift - Golden Seed;3;297153;0
100304;Gift - Fanged Imp Ashes;4;297154;0
100305;Gift - Cracked Pot;5;297156;0
100306;Gift - Stonesword Key;6;297157;0
100307;Gift - Bewitching Branch;7;297158;0
100308;Gift - Boiled Prawn;8;297159;0
100309;Gift - Shabriri's Woe;9;297160;0
100400;Voice - Young 1;0;297120;0
100401;Voice - Young 2;1;297125;0
100402;Voice - Mature 1;2;297121;0
100403;Voice - Mature 2;3;297126;0
100404;Voice - Aged 1;4;297122;0
100405;Voice - Aged 2;5;297127;0
