Row ID;Row Name;Camera Target Distance;Rotation Range - Min X;Lock Rotation X - Shift Ratio;Character Origin - Offset Z;Character Lock Range - Max Radius;Field of View - Y Change;Character Lock Range - Max Radius (Dark);Character Lock Range - Max Radius (Pitch Dark);Attack Capture - Upper Limit Height;Attack Capture - Lower Limit Height;Attack Capture - Auto Acquisition - Angle Range Left;Attack Capture - Auto Acquisition - Max Radius;Attack Capture - Auto Acquisition - Max Radius (Dark);Attack Capture - Auto Acquisition - Max Radius (Pitch Dark);Attack Capture - Bullet - Max Radius;Attack Capture - Bullet - Max Radius (Dark);Attack Capture - Bullet - Max Radius (Pitch Dark;Attack Capture - Bullet - Angle Range Left/Right;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6
3670;;4;-40;0.4;1.4;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3704;;4;-40;0.3;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3810;;3.8;-40;0.5;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3910;;4.2;-40;0.45;1.48;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3950;;3.8;-40;0.45;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4020;;4;-20;0.2;1.3;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4060;;3.8;-40;0.4;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4120;;4;-40;0.3;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4130;;4.5;-40;0;1.7;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4190;;3.8;-40;0.3;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4191;;3.8;-40;0.55;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4192;;3.8;-40;0.25;1.49;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4220;;4;-40;0.35;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4240;;4;-40;0.3;1.3;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4241;;5;-80;0.3;1.8;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4260;;3.8;-25;0.3;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4280;;3.8;-80;0.15;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4320;;3.8;-40;0.1;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4360;;4;-40;0.2;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4381;;3.9;-40;0.3;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4385;;3.9;-40;0.3;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4410;;6;-40;0.4;1.7;25;48;-1;-1;0;0;0;0;0;0;25;18;12;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4430;;4;-40;0.5;1.3;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4441;;5;-40;0.3;1.8;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4460;;3.8;-40;0.1;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4470;;4.1;0;0.3;1.6;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4490;;3.8;-40;0.3;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4500;;4.3;-20;0.25;1.48;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4501;;5.8;-30;0.5;1.98;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4504;;4.4;-30;0.3;1.65;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4505;;4.3;-20;0.3;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4510;;4.8;-20;0.3;1.95;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4511;;4.8;-80;0.3;1.95;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;10;-1;0;0;0;0;0;0;0;0;0;0;0;0
4512;;4.8;-30;0.3;1.95;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4513;;4.8;-20;0.4;1.65;15;56;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4514;;4.8;-80;0.6;1.45;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4515;;4.8;-30;0;1.45;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4516;;4.8;-30;0.8;2.05;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4517;;4.8;-20;0.4;1.65;15;53;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4518;;4.8;-10;0.3;1.95;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4520;;4.7;-18;0.2;1.7;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4521;;4.7;-40;0.2;1.7;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4525;;4.7;-40;0.2;1.7;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4550;;4.3;-40;0.6;1.8;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4560;;4.8;-20;0.3;1.8;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4570;;4.5;-40;0.2;1.6;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4580;;5;-10;0.2;1.9;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4581;;10;0;0.35;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4600;;4.8;-20;0.2;1.82;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4620;;4.8;-40;0.3;1.95;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4640;;5.5;-15;0;2.04;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4641;;8.5;0;0.3;1.49;15;56;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4650;;5;-10;0.1;1.82;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4651;;5;-22.5;0.1;1.82;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4660;;5;-12;0.4;1.82;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4670;;5;-15;0.3;1.6;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4680;;5;-15;0.3;1.6;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4681;;5.7;-15;0.3;1.6;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4690;;3.6;-25;0.45;1.6;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4710;;3.8;-40;0.6;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4711;;5;-55;0.6;2;15;56;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4712;;4.4;-40;0.4;1.7;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4713;;8;0;0.35;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4714;;12;0;0.35;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4720;;4.5;-20;0.2;1.65;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4721;;4.5;-20;0.15;1.65;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4722;;3.8;-40;0.5;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4723;;3.8;-40;0.5;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4724;;3.8;-40;0.5;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4725;;4.5;-40;0.5;1.8;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4730;;4.8;-20;0.15;1.82;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4750;;3.8;-40;0.35;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4751;;7;-40;0.35;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4760;;5.5;-30;0;2;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4761;;5.3;-30;0.2;1.8;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4770;;5.5;-15;0.2;1.82;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4775;;4;-25;0.5;1.42;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4800;;4.5;-30;0.45;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4810;;4.3;-15;0.3;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4811;;4.3;-40;0.3;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4820;;3.8;-40;0.45;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4910;;4.8;-40;0;1.95;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4950;;4.3;-40;0.4;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4960;;4.5;-10;0.45;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
4980;;4.8;-40;0.45;1.7;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
5240;;4.8;-20;0.45;1.62;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
5241;;6.5;-20;0.45;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
6031;;3.8;-40;0.3;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
7100;;3.8;-40;0.5;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
600000;;2.2;-40;0.6;1.22;15;43;-1;-1;0;0;0;0;0;0;15;10;6;0;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
600001;;3.2;-40;0.6;1.32;15;43;-1;-1;0;0;0;0;0;0;15;10;6;0;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
600002;;5;-20;0.4;1.6;15;43;-1;-1;0;0;0;0;0;0;15;10;6;0;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1000000;;2.5;-40;0.6;1.45;15;48;-1;-1;0;0;0;0;0;0;0;0;0;0;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1001000;;3;5;0.6;1;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1001001;;3;-20;0.6;1;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
