Row ID;Row Name;Base FP Recovery Time;Base Stamina Recovery Time;Characer Head Land - Damage Reduction;Runes;Equipped Weapon: Right Primary;Equipped Weapon: Right Secondary;Equipped Weapon: Left Primary;Equipped Weapon: Left Secondary;Equipped Armor: Head;Equipped Armor: Chest;Equipped Armor: Arms;Equipped Armor: Legs;Equipped Ammunition: Arrow Primary;Equipped Ammunition: Bolt Primary;Equipped Ammunition: Arrow Secondary;Equipped Ammunition: Bolt Secondary;Equipped Accessory: Slot 1;Equipped Accessory: Slot 2;Equipped Accessory: Slot 3;Equipped Accessory: Slot 4;Elixir Material 1;Elixir Material 2;Elixir Material 3;Equipped Spell: Slot 1;Equipped Spell: Slot 2;Equipped Spell: Slot 3;Equipped Spell: Slot 4;Equipped Spell: Slot 5;Equipped Spell: Slot 6;Equipped Spell: Slot 7;Equipped Item: Slot 1;Equipped Item: Slot 2;Equipped Item: Slot 3;Equipped Item: Slot 4;Equipped Item: Slot 5;Equipped Item: Slot 6;Equipped Item: Slot 7;Equipped Item: Slot 8;Equipped Item: Slot 9;Equipped Item: Slot 10;NPC Player - Face Gen ID;NPC Player - Think ID;Base HP;Base FP;Base Stamina;Equipped Ammunition: Arrow Primary Count;Equipped Ammunition: Bolt Primary Count;Equipped Ammunition: Arrow Secondary Count;Equipped Ammunition: Bolt Secondary Count;Level;Vigor;Attunement;Endurance;Strength;Dexterity;Intelligence;Faith;Arcane;Humanity;Vitality;Equipped Item: Slot 1 Amount;Equipped Item: Slot 2 Amount;Equipped Item: Slot 3 Amount;Equipped Item: Slot 4 Amount;Equipped Item: Slot 5 Amount;Equipped Item: Slot 6 Amount;Equipped Item: Slot 7 Amount;Equipped Item: Slot 8 Amount;Equipped Item: Slot 9 Amount;Equipped Item: Slot 10 Amount;Equipped Gesture: Slot 1;Equipped Gesture: Slot 2;Equipped Gesture: Slot 3;Equipped Gesture: Slot 4;Equipped Gesture: Slot 5;Equipped Gesture: Slot 6;Equipped Gesture: Slot 7;NPC Player - Type;NPC Player - Draw Type;NPC Player - Sex;Vow Type: 1;Vow Type: 2;Vow Type: 3;Vow Type: 4;Is Sync Target;Weapon Param Type - Right Primary;Weapon Param Type - Right Secondary;Weapon Param Type - Right Tertiary;Weapon Param Type - Left Primary;Weapon Param Type - Left Secondary;Weapon Param Type - Left Tertiary;Equipped Weapon: Right Tertiary;Equipped Weapon: Left Tertiary;Stored Item: Slot 1;Stored Item: Slot 2;Stored Item: Slot 3;Stored Item: Slot 4;Stored Item: Slot 5;Stored Item: Slot 6;Stored Item: Slot 1 Count;Stored Item: Slot 2 Count;Stored Item: Slot 3 Count;Stored Item: Slot 4 Count;Stored Item: Slot 5 Count;Stored Item: Slot 6 Count;HP Flask - Max Possession Limit;FP Flask - Max Possession Limit;Voice Type
1001;;0;0;0;0;500;-1;500;30000000;670000;670100;670200;670300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;21;0;0;0;0;0;0;0;0;5;12;10;13;11;15;9;7;10;0;7;2;2;0;0;0;0;0;0;0;0;0;7;50;70;80;53;92;0;0;0;False;False;False;False;False;1;0;0;1;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1010;;0;0;0;0;501;-1;33210000;31190000;980000;981100;980200;980300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4000;4450;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;22;0;0;0;0;0;0;0;0;5;10;14;11;13;12;16;5;6;0;7;2;2;0;0;0;0;0;0;0;0;2;7;50;70;80;98;92;0;0;1;False;False;False;False;False;1;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1011;;0;0;0;0;501;-1;33210000;31190000;980000;981100;980200;980300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4000;4450;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;23;0;0;0;0;0;0;0;0;5;10;14;11;13;12;16;5;6;0;7;2;2;0;0;0;0;0;0;0;0;2;7;50;70;80;98;92;0;0;0;False;False;False;False;False;1;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1020;;0;0;0;0;11010000;34040000;503;-1;620000;620100;-1;620300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6421;6820;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;24;0;0;0;0;0;0;0;0;5;9;16;10;12;9;8;16;7;0;7;2;2;0;0;0;0;0;0;0;0;1;7;50;70;80;101;92;0;0;1;False;False;False;False;False;0;0;0;1;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1021;;0;0;0;0;11010000;34040000;503;-1;620000;620100;-1;620300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6421;6820;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;25;0;0;0;0;0;0;0;0;5;9;16;10;12;9;8;16;7;0;7;2;2;0;0;0;0;0;0;0;0;1;7;50;70;80;101;92;0;0;0;False;False;False;False;False;0;0;0;1;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1030;;0;0;0;0;14000000;-1;34000000;30070000;730000;730100;730200;730300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7000;-1;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;26;0;0;0;0;0;0;0;0;5;13;9;12;14;8;5;15;11;0;7;2;2;0;0;0;0;0;0;0;0;9;7;50;70;80;54;92;0;0;1;False;False;False;False;False;0;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1031;;0;0;0;0;14000000;-1;34000000;30070000;730000;730100;730200;730300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7000;-1;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;27;0;0;0;0;0;0;0;0;5;13;9;12;14;8;5;15;11;0;7;2;2;0;0;0;0;0;0;0;0;9;7;50;70;80;54;92;0;0;0;False;False;False;False;False;0;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1040;;0;0;0;0;504;-1;30120000;-1;860000;861100;860200;860300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;28;0;0;0;0;0;0;0;0;5;14;11;12;16;12;7;9;6;0;7;2;2;0;0;0;0;0;0;0;0;4;7;50;70;80;52;92;0;0;1;False;False;False;False;False;1;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1041;;0;0;0;0;504;-1;30120000;-1;860000;861100;860200;860300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;-1;-1;-1;-1;-1;-1;-1;-1;29;0;0;0;0;0;0;0;0;5;14;11;12;16;12;7;9;6;0;7;2;2;0;0;0;0;0;0;0;0;4;7;50;70;80;52;92;0;0;0;False;False;False;False;False;1;0;0;0;0;0;-1;-1;115;-1;-1;-1;-1;-1;1;0;0;0;0;0;2;2;0
1050;;0;0;0;50000;2000;2001;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2002;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1051;;0;0;0;50000;2003;2004;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2005;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1052;;0;0;0;50000;2040;2041;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2046;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1053;;0;0;0;50000;2042;2045;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2047;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1054;;0;0;0;50000;2048;-1;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1055;;0;0;0;50000;2090;2102;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2103;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1056;;0;0;0;50000;2091;2095;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2104;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1057;;0;0;0;50000;2105;2099;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2100;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1058;;0;0;0;50000;2110;2114;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2112;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1059;;0;0;0;50000;2113;2115;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2116;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1060;;0;0;0;50000;2117;2118;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1061;;0;0;0;50000;2120;2121;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2123;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1062;;0;0;0;50000;2127;2129;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2122;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1063;;0;0;0;50000;2132;2130;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2136;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1064;;0;0;0;50000;2137;-1;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1065;;0;0;0;50000;2150;2151;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2153;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1066;;0;0;0;50000;2156;2157;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2152;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1067;;0;0;0;50000;2460;2461;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2463;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1068;;0;0;0;50000;2462;2464;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2465;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1069;;0;0;0;50000;2466;-1;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1070;;0;0;0;50000;2200;2201;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2203;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
1071;;0;0;0;50000;2207;2209;31000000;-1;860000;861100;860200;860300;50000000;52000000;50010000;52020000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1001;1051;130;300;1700;800;1400;-1;-1;-1;1;0;0;0;0;99;99;99;99;5;14;11;12;16;12;7;9;6;0;7;2;1;1;10;10;1;99;0;0;0;0;1;2;3;4;5;6;0;0;1;False;False;False;False;False;1;1;1;0;1;1;2202;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;3;3;0
