Row ID;Row Name;Shealth Time;Unk0;Unk1;Unk2;1H - Dummy ID 0;1H - Dummy ID 1;2H - Dummy ID 0;Sheathed - Dummy ID 0;Sheathed - Dummy ID 1;1H - Dummy ID 2;1H - Dummy ID 3;2H - Dummy ID 1;Sheathed - Dummy ID 2;Sheathed - Dummy ID 3;1H - Dummy ID 4;1H - Dummy ID 5;2H - Dummy ID 2;Sheathed - Dummy ID 4;Sheathed - Dummy ID 5;1H - Dummy ID 6;1H - Dummy ID 7;2H - Dummy ID 3;Sheathed - Dummy ID 6;Sheathed - Dummy ID 7;Unk22;Unk23;Unk24;Unk25;2H - Dummy ID 4;2H - Dummy ID 5;2H - Dummy ID 6;2H - Dummy ID 7;Unk30;Unk31;Unk32;Unk33;Unk34;Unk35;Unk36;Unk37;Unk38;Unk39;Unk40;Unk41;Unk42;Unk43;Unk44;Unk45;Unk46;Unk47;Unk48;Unk49;Unk50;Unk51;Unk52;Unk53;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15;Unk16
41;;0;0;0;0;0;0;20;21;24;2049;2050;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
42;;0;0;0;0;0;0;115;116;115;2067;2065;2066;2068;2117;2068;2066;30;31;30;31;30;62;61;62;61;0;62;0;512;257;115;2117;31;0;61;0;0;0;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
43;;0;0;0;0;0;0;20;21;24;2052;2051;51;52;51;52;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;52;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
44;;0;0;0;0;1;0;18;19;21;2040;2040;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;21;31;-1;-1;-1;-1;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
45;;0;0;0;0;1;0;20;21;21;2040;2040;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;21;31;-1;-1;-1;-1;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
46;;0;0;0;0;1;0;20;21;24;2039;2041;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
47;;0;0;0;0;1;0;97;98;415;2034;2033;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;415;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
48;;0;0;0;0;1;0;22;23;25;2048;2047;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;25;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
49;;0;0;0;0;1;0;22;23;25;2048;2047;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;25;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
50;;0;0;0;0;3;0;29;28;24;2038;2037;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
51;;0;0;0;0;1;0;18;19;21;2040;2040;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;21;31;-1;-1;-1;-1;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
100;;0;0;0;0;0;0;20;21;24;2052;2051;20;21;24;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;24;24;-1;-1;-1;-1;0;1;0;0;3;3;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
101;;0;0;0;0;0;0;20;21;20;2062;2061;2062;2061;21;2061;2062;30;31;30;31;30;62;61;62;61;0;62;0;512;257;20;21;31;0;61;0;0;0;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
110;;0;0;0;0;0;0;115;116;115;-1;-1;-1;-1;2117;-1;-1;30;31;30;31;30;62;61;62;61;0;62;0;512;257;115;2117;31;0;61;0;0;0;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
260;;0;0;0;0;2;0;20;21;20;2036;2035;35;36;21;2035;2036;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;512;0;20;21;-1;-1;-1;-1;0;1;0;0;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
410;;0;0;0;0;256;0;0;-1;0;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;0;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
480;;0;0;0;0;1;0;420;23;420;2048;2047;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;420;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
10000;;0;0;0;0;1;0;20;21;24;31;30;30;31;21;31;30;30;31;30;31;30;31;30;31;30;0;31;0;512;257;24;21;31;0;30;0;0;1;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
