Row ID;Row Name;Disable Param - Network Test;Disable Param - Debug;Destination Weather: Sunny;Destination Weather: Clear Sky;Destination Weather: Lightly Cloudy;Destination Weather: Cloudy;Destination Weather: Rain;Destination Weather: Heavy Rain;Destination Weather: Storm;Destination Weather: Storm for Battle;Destination Weather: Snow;Destination Weather: Heavy Snow;Destination Weather: Fog;Destination Weather: Heavy Fog;Destination Weather: Sandstorm;Destination Weather: Heavy Fog and Rain;Post Cutscene In-game Weather;Indoor/Outdoor Type;Replacement Weather: Sunny;Replacement Weather: Clear Sky;Replacement Weather: Lightly Cloudy;Replacement Weather: Cloudy;Replacement Weather: Rain;Replacement Weather: Heavy Rain;Replacement Weather: Storm;Replacement Weather: Storm for Battle;Replacement Weather: Snow;Replacement Weather: Heavy Snow;Replacement Weather: Fog;Replacement Weather: Heavy Fog;Replacement Weather: Sandstorm;Replacement Weather: Heavy Fog and Rain;Destination Weather: Snowstorm;Destination Weather: Lightning Storm;Destination Weather: Reserved 3;Destination Weather: Reserved 4;Destination Weather: Reserved 5;Destination Weather: Reserved 6;Destination Weather: Reserved 7;Destination Weather: Reserved 8;Replacement Weather: Snowstorm;Replacement Weather: Lightning Storm;Replacement Weather: Reserved 3;Replacement Weather: Reserved 4;Replacement Weather: Reserved 5;Replacement Weather: Reserved 6;Replacement Weather: Reserved 7;Replacement Weather: Reserved 8;Is Apply MapGdRegionID for GPARAM Enabled;Override MapGdRegion ID
11050020;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
12010000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
12010001;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
12020000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
12020001;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
12030010;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
12030011;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
12030020;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
12030021;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
12050020;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
12060000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
13000010;;True;False;60;60;60;60;60;60;60;60;60;60;60;60;60;60;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;60;60;60;60;60;60;60;60;1;1;1;1;1;1;1;1;False;-1
13000040;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
13000050;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
13000060;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
14000000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
14000010;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
15000000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
15000010;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
16000000;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
16000010;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
16000020;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000010;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000011;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000019;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000020;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000021;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000030;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000031;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000040;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000050;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000060;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000061;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000069;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000070;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000071;;True;False;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;11;11;11;11;11;11;11;1;1;1;1;1;1;1;1;False;-1
19000079;;True;False;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;11;11;11;11;11;11;11;1;1;1;1;1;1;1;1;False;-1
19000080;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
19000081;;True;False;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;11;11;11;11;11;11;11;1;1;1;1;1;1;1;1;False;-1
19000089;;True;False;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;11;11;11;11;11;11;11;1;1;1;1;1;1;1;1;False;-1
31000000;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
31000001;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
34110000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
34110001;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
34110010;;True;False;21;21;21;21;21;21;21;21;21;21;21;21;21;21;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;21;21;21;21;21;21;21;21;1;1;1;1;1;1;1;1;True;-1
35000000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
35000010;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
35000020;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
60370000;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60380000;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60380001;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60380010;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60380011;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60420000;;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60420001;;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60420002;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60420003;;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60420004;;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60420005;;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60420006;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60420007;;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60430000;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60490000;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60490001;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60490010;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60490011;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60490020;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60490021;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60490030;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60490031;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;True;-1
60500000;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
60510000;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60510010;;True;False;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;False;-1
60510011;;True;False;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;False;-1
60520010;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;True;-1
60540000;;True;False;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;11;11;11;11;11;11;11;1;1;1;1;1;1;1;1;False;-1
60540001;;True;False;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;11;11;11;11;11;11;11;1;1;1;1;1;1;1;1;False;-1
60540010;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
60540011;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
99990010;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
99990020;;True;False;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;False;-1
99990030;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
99990040;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
