Row ID;Row Name;regionType;category;padding1;dummyPoly1;dummyPoly2;radius;angle;depth;width;height;baseHeightOffset;angleCheckType;padding2;allowAngle;spotDummyPoly;textBoxType;padding3;padding5;isInvalidForRide;isGrayoutForRide;isInvalidForCrouching;isGrayoutForCrouching;padding4;textId;invalidFlag;grayoutFlag;overrideActionButtonIdForRide;execInvalidTime;padding6
4400;OK;0;1;[0|0];-1;-1;1.5;180;0;0;1;-0.25;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2100;0;0;-1;0.3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
5000;Climb;0;5;[0|0];195;-1;1.5;90;0;0;0.5;-0.25;0;[0|0|0];45;-1;0;[0|0];0;0;1;0;1;0;3300;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
5010;Descend;0;5;[0|0];194;-1;1.5;90;0;0;0.5;-0.25;0;[0|0|0];45;-1;0;[0|0];0;0;1;0;1;0;3301;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6000;Talk;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6001;Talk;0;11;[0|0];-1;-1;1.2;180;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;0;0;0;0;7000;0;0;-1;0.51;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6100;Touch grace;0;5;[0|0];-1;-1;1.5;180;0;0;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;0;0;1800;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6101;Rest at site of grace;0;5;[0|0];-1;-1;1.5;180;0;0;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;0;0;1810;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6102;Rest at table of lost grace;0;5;[0|0];-1;-1;5.25;180;0;0;0.6;0.05;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;1830;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6103;Rest at table of lost grace;0;5;[0|0];-1;-1;5.25;180;0;0;0.6;0.05;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;1830;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6200;Talk;0;4;[0|0];-1;-1;4.5;180;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6210;Talk;0;4;[0|0];-1;-1;3.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6220;Talk;0;5;[0|0];-1;-1;6.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6221;Hand over Deathroot;0;4;[0|0];-1;-1;6.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7060;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6222;Talk;0;4;[0|0];-1;-1;7.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6230;Touch Hyetta;0;2;[0|0];-1;-1;2.5;45;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7150;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6231;Examine;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;1000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6240;Talk;0;4;[0|0];-1;-1;8.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6250;Use smithing table;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7030;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6260;Talk;0;4;[0|0];-1;-1;2.5;180;0;0;3.5;-2.5;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6270;Talk;0;4;[0|0];-1;-1;3.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6271;Talk;0;4;[0|0];-1;-1;15.5;180;0;0;5.5;-3.5;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6280;Talk;0;4;[0|0];-1;-1;2;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6290;Accept primal glintstone;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7090;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6291;Accept primal glintstone;0;4;[0|0];-1;-1;3.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6292;Transplant primal glintstone;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7100;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6300;Talk;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6310;Touch Fractured Marika;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7050;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6320;Examine;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7080;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6321;Touch the Two Fingers;0;4;[0|0];-1;-1;3;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7120;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6330;Be held;0;4;[0|0];-1;-1;2.5;90;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7110;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6331;Touch Fia;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7111;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6332;Talk;0;4;[0|0];-1;-1;2.5;90;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6333;;0;4;[0|0];-1;-1;2.5;50;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6340;Summon Latenna;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7130;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6350;Examine;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7140;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6360;Talk;0;4;[0|0];-1;-1;6;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6361;Pick up item;0;2;[0|0];-1;-1;3;180;0;0;2.5;-1.75;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;0;0;2000;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6370;Atone;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7170;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6380;Use dressing table;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7190;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6390;Speak the truth about Radagon;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7200;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6400;Talk;0;4;[0|0];-1;-1;2.5;180;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6410;Administer draught;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7211;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6411;Administer draught;0;2;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7211;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6412;Administer draught;0;5;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7211;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6413;Where did the body go?;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7210;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6414;Talk;0;4;[0|0];-1;-1;2.5;180;0;0;3;-2;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6420;Examine;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7220;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6430;Examine remains;0;4;[0|0];270;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7230;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6440;Receive mending rune;0;2;[0|0];-1;-1;1.5;180;0;0;1;-0.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;0;0;7242;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6450;Receive mending rune;0;2;[0|0];-1;-1;1.5;180;0;0;1;-0.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;0;0;7240;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6460;Receive mending rune;0;2;[0|0];-1;-1;1.5;180;0;0;2;-1;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;0;0;7241;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6470;Offer finger;0;4;[0|0];-1;-1;2.5;90;0;0;2;-1;0;[0|0|0];45;-1;0;[0|0];0;0;1;0;0;0;7160;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6471;Dye cloth with maiden's blood;0;2;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;0;0;7161;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6472;Dye cloth with maiden's blood;0;2;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;0;0;7162;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6480;Talk;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7180;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6490;Talk;0;4;[0|0];-1;-1;4;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6500;Talk;0;4;[0|0];-1;-1;3.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6510;;0;2;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7260;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6511;Touch bloodstain;0;8;[0|0];-1;-1;1.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;50000100;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6519;Return Unalloyed Gold Needle;0;4;[0|0];-1;-1;11;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7250;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6520;;1;5;[0|0];-1;-1;0;180;2.2;0.5;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010530;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6521;;1;5;[0|0];-1;-1;0;180;2.8;0.8;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010530;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6522;;1;5;[0|0];-1;-1;0;180;3.5;1;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010530;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6523;;1;5;[0|0];-1;-1;0;180;4.5;1.4;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010530;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6530;;1;5;[0|0];-1;-1;0;180;4.5;1.4;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010550;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6531;;1;5;[0|0];-1;-1;0;180;4.5;1.4;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010551;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6532;;1;5;[0|0];-1;-1;0;180;4.5;1.4;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010552;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
