Row ID, Field: Equip ID, Field: Equip Type
100700,9308,3
100704,40050000,0
100705,30110000,0
100706,31300000,0
100714,190,3
100715,3350,3
100716,50000000,0
100717,52000000,0
100718,1310,3
100719,1320,3
100720,1330,3
100725,9510,3
100734,51020000,0
100735,24070000,0
100736,190,3
100737,20683,3
100738,32020000,0
100739,50000000,0
100740,50090000,0
100741,52000000,0
100742,52070000,0
100743,51000000,0
100744,53000000,0
100745,962100,1
100746,960300,1
100747,620000,1
100748,620300,1
100749,622100,1
100750,9401,3
100751,8701,3
100752,8705,3
100753,8000,3
100761,52010000,0
100764,31080000,0
100765,20855,3
100766,31290000,0
100767,32200000,0
100768,50000000,0
100769,52000000,0
100770,1102100,1
100775,9323,3
100777,8000,3
100784,53020000,0
100789,50000000,0
100790,51000000,0
100791,52000000,0
100792,52060000,0
100793,53000000,0
100794,880000,1
100795,880100,1
100796,880200,1
100797,880300,1
100798,160000,1
100801,1720,3
100802,1840,3
100803,1841,3
100813,940,3
100814,20801,3
100815,50000000,0
100816,50010000,0
100817,52000000,0
100825,9390,3
100826,8000,3
100827,9500,3
100837,8710,3
100838,50000000,0
100839,52000000,0
100840,52190000,0
100841,730000,1
100842,730100,1
100843,730200,1
100844,730300,1
100845,1101000,1
100875,8700,3
100876,9501,3
100877,10070,3
100878,20855,3
100880,6070,2
100882,870000,1
100883,870100,1
100884,870200,1
100885,870300,1
100886,8713,3
100887,1480,3
100888,21010000,0
100889,24060000,0
100890,50000000,0
100891,50020000,0
100892,52000000,0
100900,9423,3
100901,8000,3
100903,920,3
100909,190,3
100910,50000000,0
100911,52000000,0
100912,51000000,0
100913,53000000,0
100914,53010000,0
100915,660000,1
100916,660100,1
100917,660200,1
100918,660300,1
100925,9310,3
100926,9327,3
100928,8000,3
100935,50100000,0
100936,8185,3
100937,7020000,0
100938,50000000,0
100939,52000000,0
100940,2120,3
100941,20800,3
100950,9329,3
100951,9392,3
100953,10070,3
100962,2130,3
100963,3060,3
100964,3070,3
100965,890000,1
100966,890100,1
100967,890300,1
100976,8000,3
100977,10070,3
100981,190,3
100982,111,3
100983,910,3
100984,20723,3
100985,50100000,0
100986,52040000,0
101503,460000,1
101504,460100,1
101505,460200,1
101506,460300,1
101507,470000,1
101508,470100,1
101509,470200,1
101510,470300,1
101511,480100,1
101512,510000,1
101513,510100,1
101514,510200,1
101515,510300,1
101516,760000,1
101517,760100,1
101518,760200,1
101519,760300,1
101520,770000,1
101521,770100,1
101522,770200,1
101523,770300,1
101524,1050100,1
101525,280000,1
101526,280100,1
101527,280200,1
101528,280300,1
101529,780000,1
101530,780100,1
101531,780200,1
101532,780300,1
101549,51040000,0
101550,210000,1
101551,210100,1
101552,210200,1
101553,210300,1
101775,2950,3
101776,2951,3
101777,2952,3
101778,2953,3
101779,2954,3
101780,2959,3
101781,2955,3
101785,2956,3
101786,2957,3
101787,2958,3
101788,2960,3
101789,2961,3
101790,2962,3
101791,2963,3
101792,2964,3
101800,104,3
101801,105,3
101802,8158,3
101803,232000,3
101804,6260,3
101805,6490,3
101806,9421,3
101807,6760,3
101808,10100,3
101809,10101,3
101810,3050,3
101811,10102,3
101812,10103,3
101813,1830,3
101814,10104,3
101815,10105,3
101816,10106,3
101817,10107,3
101818,10160,3
101819,10161,3
101820,10162,3
101821,10163,3
101822,20780,3
101823,10164,3
101824,10165,3
101825,10166,3
101826,10167,3
101827,20795,3
101828,10200,3
101829,10900,3
101830,10901,3
101831,10902,3
101832,10903,3
101833,10904,3
101834,10905,3
101835,10906,3
101836,10907,3
101837,10908,3
101838,10910,3
101839,10911,3
101840,10912,3
101841,10913,3
101842,10914,3
101843,10915,3
101844,10916,3
101845,10917,3
101846,10918,3
101847,15340,3
101848,15341,3
101849,15000,3
101850,15020,3
101851,15090,3
101852,900,3
101853,910,3
101854,920,3
101855,930,3
101856,3060,3
101857,3070,3
101858,1760,3
101859,10030,3
101860,8000,3
101861,190,3
101862,6080,2
101863,6090,2
101864,1000000,0
101865,2000000,0
101866,7140000,0
101867,14000000,0
101868,11000000,0
101869,16000000,0
101870,5020000,0
101871,34000000,0
101872,41000000,0
101873,31330000,0
101874,1500000,1
101875,1500100,1
101876,1500200,1
101877,1500300,1
101900,15040000,0
101901,21060000,0
101902,4050000,0
101903,42000000,0
101904,8100000,0
101905,3011,3
101906,3140000,0
101907,4830,3
101908,9020000,0
101909,7240,3
101910,17010000,0
101911,6310,3
101912,4020000,0
101913,7530,3
101914,23050000,0
101915,50900,4
101916,6040000,0
101917,7050,3
101918,33090000,0
101919,4360,3
101920,6941,3
101921,5040,3
101922,20060000,0
101923,6120,3
101924,15110000,0
101925,6110,2
101926,11150000,0
101927,3100000,0
101928,13030000,0
101929,50800,4
101950,7000,3
101951,7020,3
101952,7040,3
101953,7030,3
101954,7001,3
101955,7021,3
101956,7041,3
101957,7031,3
101958,7060,3
101959,7080,3
101960,7010,3
101961,7011,3
101962,7090,3
101975,7060,3
101976,7080,3
101980,7000,3
110000,61000,1
110001,61100,1
110002,81100,1
110003,91100,1
110004,101100,1
110005,131100,1
110006,151100,1
110007,171100,1
110008,181100,1
110009,211100,1
110010,221100,1
110011,231000,1
110012,231100,1
110013,241100,1
110014,251100,1
110015,271100,1
110016,281100,1
110017,291000,1
110018,291100,1
110019,294000,1
110020,294100,1
110021,311100,1
110022,341000,1
110023,341100,1
110024,541100,1
110025,591100,1
110026,601100,1
110029,621100,1
110030,631100,1
110031,641100,1
110032,652100,1
110033,661100,1
110034,681100,1
110036,781100,1
110037,791100,1
110038,801000,1
110039,811100,1
110040,812100,1
110041,861100,1
110042,871100,1
110043,881000,1
110044,881100,1
110045,903100,1
110047,911100,1
110049,941000,1
110050,951100,1
110051,981100,1
110052,991100,1
110053,1761100,1
110054,1771100,1
110055,1781100,1
110056,1791100,1
110057,1801100,1
110058,1811100,1
110059,1821100,1
110060,1991100,1
110061,2001100,1
110062,721100,1
110063,1011100,1
110064,572100,1
110065,573100,1
110066,1941100,1
110067,121000,1
110068,121100,1
110069,901100,1
110100,461100,1
110101,471100,1
110102,481100,1
110103,761100,1
110104,771100,1
110200,60000,1
110201,60100,1
110202,80100,1
110203,90100,1
110204,100100,1
110205,130100,1
110206,150100,1
110207,170100,1
110208,180100,1
110209,210100,1
110210,220100,1
110211,230000,1
110212,230100,1
110213,240100,1
110214,250100,1
110215,270100,1
110216,280100,1
110217,290000,1
110218,290100,1
110219,292000,1
110220,292100,1
110221,310100,1
110222,340000,1
110223,340100,1
110224,540100,1
110225,590100,1
110226,600100,1
110229,622100,1
110230,630100,1
110231,640100,1
110232,650100,1
110233,660100,1
110234,680100,1
110236,780100,1
110237,790100,1
110238,800000,1
110239,810100,1
110240,812000,1
110241,860100,1
110242,870100,1
110243,880000,1
110244,880100,1
110245,902100,1
110247,910100,1
110249,940000,1
110250,950100,1
110251,980100,1
110252,990100,1
110253,1760100,1
110254,1770100,1
110255,1780100,1
110256,1790100,1
110257,1800100,1
110258,1810100,1
110259,1820100,1
110260,1990100,1
110261,2000100,1
110262,720100,1
110263,1010100,1
110264,570100,1
110265,571100,1
110266,1940100,1
110267,120000,1
110268,120100,1
110269,900100,1
110300,460100,1
110301,470100,1
110302,480100,1
110303,760100,1
110304,770100,1
111000,61000,1
111001,61100,1
111002,81100,1
111003,91100,1
111004,101100,1
111005,131100,1
111006,151100,1
111007,171100,1
111008,181100,1
111009,211100,1
111010,221100,1
111011,231000,1
111012,231100,1
111013,241100,1
111014,251100,1
111015,271100,1
111016,281100,1
111017,291000,1
111018,291100,1
111019,294000,1
111020,294100,1
111021,311100,1
111022,341000,1
111023,341100,1
111024,541100,1
111025,591100,1
111026,601100,1
111029,621100,1
111030,631100,1
111031,641100,1
111032,652100,1
111033,661100,1
111034,681100,1
111036,781100,1
111037,791100,1
111038,801000,1
111039,811100,1
111040,812100,1
111041,861100,1
111042,871100,1
111043,881000,1
111044,881100,1
111045,903100,1
111047,911100,1
111049,941000,1
111050,951100,1
111051,981100,1
111052,991100,1
111053,1761100,1
111054,1771100,1
111055,1781100,1
111056,1791100,1
111057,1801100,1
111058,1811100,1
111059,1821100,1
111060,1991100,1
111061,2001100,1
111062,721100,1
111063,1011100,1
111064,572100,1
111065,573100,1
111066,1941100,1
111067,121000,1
111068,121100,1
111069,901100,1
111100,461100,1
111101,471100,1
111102,481100,1
111103,761100,1
111104,771100,1
111200,60000,1
111201,60100,1
111202,80100,1
111203,90100,1
111204,100100,1
111205,130100,1
111206,150100,1
111207,170100,1
111208,180100,1
111209,210100,1
111210,220100,1
111211,230000,1
111212,230100,1
111213,240100,1
111214,250100,1
111215,270100,1
111216,280100,1
111217,290000,1
111218,290100,1
111219,292000,1
111220,292100,1
111221,310100,1
111222,340000,1
111223,340100,1
111224,540100,1
111225,590100,1
111226,600100,1
111229,622100,1
111230,630100,1
111231,640100,1
111232,650100,1
111233,660100,1
111234,680100,1
111236,780100,1
111237,790100,1
111238,800000,1
111239,810100,1
111240,812000,1
111241,860100,1
111242,870100,1
111243,880000,1
111244,880100,1
111245,902100,1
111247,910100,1
111249,940000,1
111250,950100,1
111251,980100,1
111252,990100,1
111253,1760100,1
111254,1770100,1
111255,1780100,1
111256,1790100,1
111257,1800100,1
111258,1810100,1
111259,1820100,1
111260,1990100,1
111261,2000100,1
111262,720100,1
111263,1010100,1
111264,570100,1
111265,571100,1
111266,1940100,1
111267,120000,1
111268,120100,1
111269,900100,1
111300,460100,1
111301,470100,1
111302,480100,1
111303,760100,1
111304,770100,1
112000,10100,4
112001,10200,4
112002,10300,4
112003,10900,4
112004,11200,4
112005,11400,4
112006,12400,4
112008,80000,4
112009,80100,4
112010,10000,4
112011,10600,4
112012,10700,4
112013,11000,4
112014,21200,4
112015,50300,4
112016,50600,4
112017,50900,4
112018,65000,4
112019,65100,4
112020,65300,4
112021,65400,4
112022,70000,4
112023,10500,4
112024,11500,4
112025,11600,4
112026,11100,4
112027,12200,4
112028,12300,4
112029,21000,4
112030,22000,4
112031,50200,4
112032,60000,4
112033,60100,4
112034,11300,4
112035,20700,4
112036,21400,4
112037,22100,4
112038,50500,4
112039,21600,4
112040,21700,4
112041,50400,4
112042,11800,4
112043,12000,4
112044,20000,4
112045,20300,4
112046,20900,4
112047,21800,4
112048,21900,4
112049,50800,4
112050,60700,4
112051,20100,4
112052,20800,4
112053,21300,4
112054,22200,4
112055,50700,4
112056,60300,4
112057,60400,4
112058,60500,4
112059,65200,4
112060,22500,4
112061,22600,4
112062,80200,4
112063,85000,4
112064,11900,4
112065,22800,4
112066,10800,4
112067,20400,4
112068,20500,4
112069,22400,4
112070,60200,4
112071,60600,4
112072,20200,4
112073,22700,4
112074,50100,4
112075,30900,4
112076,30000,4
112077,30800,4
112078,30100,4
112079,30200,4
112080,30500,4
112081,30600,4
112082,30700,4
112083,31000,4
112084,70200,4
112085,70100,4
112086,40100,4
112087,40200,4
112088,40500,4
112089,40000,4
112090,40400,4
112091,40600,4
600000,1000000,0
600001,2000000,0
600002,16000000,0
600003,11000000,0
600004,41000000,0
600005,7000000,0
600006,14020000,0
600007,30000000,0
600008,31070000,0
600009,670000,1
600010,670100,1
600011,670200,1
600012,670300,1
600013,232000,3
600014,9500,3
600015,8550,3
600016,50000000,0
600017,15400,3
600018,8701,3
600019,8702,3
600020,15390,3
600021,15150,3
600022,15210,3
900000,7000,3
900001,7001,3
900002,7010,3
900003,7020,3
900004,7030,3
900010,7000,3
900011,7001,3
900012,7010,3
900013,7020,3
900014,7030,3
900020,7000,3
900021,7001,3
900022,7010,3
900023,7020,3
900024,7030,3
900030,7000,3
900031,7001,3
900032,7010,3
900033,7020,3
900034,7030,3
1600101,1000000,0
1600102,2000000,0
1600103,16000000,0
1600104,11000000,0
1600105,41000000,0
1600106,7000000,0
1600107,14020000,0
1600108,30000000,0
1600109,31070000,0
1600110,670000,1
1600111,670100,1
1600112,670200,1
1600113,670300,1
1600114,2529,3
1600115,9500,3
1600116,8550,3
1600117,50000000,0
1600118,15400,3
1600119,8701,3
1600120,8702,3
1600121,15390,3
1600122,15150,3
1600123,15210,3
1600401,33000000,0
1600402,34000000,0
1600403,34040000,0
1600404,4000,3
1600405,4220,3
1600406,5510,3
1600407,6020,3
1600408,7320,3
1600409,980000,1
1600410,981100,1
1600411,980200,1
1600412,980300,1
1600413,730000,1
1600414,730100,1
1600415,730200,1
1600416,730300,1
1600417,1000,2
1600418,2130,2
1600419,50010000,0
1600420,8703,3
9000000,3010000,0
9000001,3020000,0
9000002,3030000,0
9000003,3040000,0
9000004,3060000,0
9001000,970000,1
9001001,970100,1
9001002,970200,1
9001003,970300,1
9001004,970400,1
