Row ID,Row Name,UnkC
1910000,,3
2000000,Longsword,5
2000100,Heavy Longsword,5
2000200,Keen Longsword,5
2000300,Quality Longsword,5
2000400,Fire Longsword,5
2000500,Flame Art Longsword,5
2000600,Lightning Longsword,5
2000700,Sacred Longsword,5
2000800,Magic Longsword,5
2000900,Cold Longsword,5
2001000,Poison Longsword,5
2001100,Bloody Longsword,5
2001200,Occult Longsword,5
2010000,Short Sword,5
2010100,Heavy Short Sword,5
2010200,Keen Short Sword,5
2010300,Quality Short Sword,5
2010400,Fire Short Sword,5
2010500,Flame Art Short Sword,5
2010600,Lightning Short Sword,5
2010700,Sacred Short Sword,5
2010800,Magic Short Sword,5
2010900,Cold Short Sword,5
2011000,Poison Short Sword,5
2011100,Blood Short Sword,5
2011200,Occult Short Sword,5
2020000,Broadsword,5
2020100,Heavy Broadsword,5
2020200,Keen Broadsword,5
2020300,Quality Broadsword,5
2020400,Fire Broadsword,5
2020500,Flame Art Broadsword,5
2020600,Lightning Broadsword,5
2020700,Sacred Broadsword,5
2020800,Magic Broadsword,5
2020900,Cold Broadsword,5
2021000,Poison Broadsword,5
2021100,Blood Broadsword,5
2021200,Occult Broadsword,5
2040000,Lordsworn's Straight Sword,5
2040100,Lordsworn's Heavy Straight Sword,5
2040200,Lordsworn's Keen Straight Sword,5
2040300,Lordsworn's Quality Straight Sword,5
2040400,Lordsworn's Fire Straight Sword,5
2040500,Lordsworn's Flame Art Straight Sword,5
2040600,Lordsworn's Lightning Straight Sword,5
2040700,Lordsworn's Sacred Straight Sword,5
2040800,Lordsworn's Magic Straight Sword,5
2040900,Lordsworn's Cold Straight Sword,5
2041000,Lordsworn's Poison Straight Sword,5
2041100,Lordsworn's Blood Straight Sword,5
2041200,Lordsworn's Occult Straight Sword,5
2050000,Weathered Straight Sword,5
2050100,Weathered Heavy Straight Sword,5
2050200,Weathered Keen Straight Sword,5
2050300,Weathered Quality Straight Sword,5
2050400,Weathered Fire Straight Sword,5
2050500,Weathered Flame Art Straight Sword,5
2050600,Weathered Lightning Straight Sword,5
2050700,Weathered Sacred Straight Sword,5
2050800,Weathered Magic Straight Sword,5
2050900,Weathered Cold Straight Sword,5
2051000,Weathered Poison Straight Sword,5
2051100,Weathered Blood Straight Sword,5
2051200,Weathered Occult Straight Sword,5
2060000,Ornamental Straight Sword,5
2070000,Golden Epitaph,5
2080000,Nox Flowing Sword,5
2090000,Inseparable Sword,5.5
2092000,,3
2110000,Coded Sword,5
2140000,Sword of Night and Flame,5
2150000,Crystal Sword,5
2180000,Carian Knight's Sword,5
2190000,Sword of St. Trina,5
2200000,Miquellan Knight's Sword,5
2210000,Cane Sword,5
2210100,Heavy Cane Sword,5
2210200,Keen Cane Sword,5
2210300,Quality Cane Sword,5
2210400,Fire Cane Sword,5
2210500,Flame Art Cane Sword,5
2210600,Lightning Cane Sword,5
2210700,Sacred Cane Sword,5
2210800,Magic Cane Sword,5
2210900,Cold Cane Sword,5
2211000,Poison Cane Sword,5
2211100,Blood Cane Sword,5
2211200,Occult Cane Sword,5
2220000,Regalia of Eochaid,5
2230000,Noble's Slender Sword,5
2230100,Noble's Heavy Slender Sword,5
2230200,Noble's Keen Slender Sword,5
2230300,Noble's Quality Slender Sword,5
2230400,Noble's Fire Slender Sword,5
2230500,Noble's Flame Art Slender Sword,5
2230600,Noble's Lightning Slender Sword,5
2230700,Noble's Sacred Slender Sword,5
2230800,Noble's Magic Slender Sword,5
2230900,Noble's Cold Slender Sword,5
2231000,Noble's Poison Slender Sword,5
2231100,Noble's Blood Slender Sword,5
2231200,Noble's Occult Slender Sword,5
2240000,Warhawk's Talon,5
2240100,Warhawk's Heavy Talon,5
2240200,Warhawk's Keen Talon,5
2240300,Warhawk's Quality Talon,5
2240400,Warhawk's Fire Talon,5
2240500,Warhawk's Flame Art Talon,5
2240600,Warhawk's Lightning Talon,5
2240700,Warhawk's Sacred Talon,5
2240800,Warhawk's Magic Talon,5
2240900,Warhawk's Cold Talon,5
2241000,Warhawk's Poison Talon,5
2241100,Warhawk's Blood Talon,5
2241200,Warhawk's Occult Talon,5
2250000,Lazuli Glintstone Sword,5
2260000,Rotten Crystal Sword,5
3000000,Bastard Sword,5.5
3000100,Heavy Bastard Sword,5.5
3000200,Keen Bastard Sword,5.5
3000300,Quality Bastard Sword,5.5
3000400,Fire Bastard Sword,5.5
3000500,Flame Art Bastard Sword,5.5
3000600,Lightning Bastard Sword,5.5
3000700,Sacred Bastard Sword,5.5
3000800,Magic Bastard Sword,5.5
3000900,Cold Bastard Sword,5.5
3001000,Poison Bastard Sword,5.5
3001100,Bloody Bastard Sword,5.5
3001200,Occult Bastard Sword,5.5
3010000,Forked Greatsword,5.5
3010100,Heavy Forked Greatsword,5.5
3010200,Keen Forked Greatsword,5.5
3010300,Quality Forked Greatsword,5.5
3010400,Fire Forked Greatsword,5.5
3010500,Flame Art Forked Greatsword,5.5
3010600,Lightning Forked Greatsword,5.5
3010700,Sacred Forked Greatsword,5.5
3010800,Magic Forked Greatsword,5.5
3010900,Cold Forked Greatsword,5.5
3011000,Poison Forked Greatsword,5.5
3011100,Blood Forked Greatsword,5.5
3011200,Occult Forked Greatsword,5.5
3020000,Iron Greatsword,5.5
3020100,Heavy Iron Greatsword,5.5
3020200,Keen Iron Greatsword,5.5
3020300,Quality Iron Greatsword,5.5
3020400,Fire Iron Greatsword,5.5
3020500,Flame Art Iron Greatsword,5.5
3020600,Lightning Iron Greatsword,5.5
3020700,Sacred Iron Greatsword,5.5
3020800,Magic Iron Greatsword,5.5
3020900,Cold Iron Greatsword,5.5
3021000,Poison Iron Greatsword,5.5
3021100,Blood Iron Greatsword,5.5
3021200,Occult Iron Greatsword,5.5
3030000,Lordsworn's Greatsword,5.5
3030100,Lordsworn's Heavy Greatsword,5.5
3030200,Lordsworn's Keen Greatsword,5.5
3030300,Lordsworn's Quality Greatsword,5.5
3030400,Lordsworn's Fire Greatsword,5.5
3030500,Lordsworn's Flame Art Greatsword,5.5
3030600,Lordsworn's Lightning Greatsword,5.5
3030700,Lordsworn's Sacred Greatsword,5.5
3030800,Lordsworn's Magic Greatsword,5.5
3030900,Lordsworn's Cold Greatsword,5.5
3031000,Lordsworn's Poison Greatsword,5.5
3031100,Lordsworn's Blood Greatsword,5.5
3031200,Lordsworn's Occult Greatsword,5.5
3040000,Knight's Greatsword,5.5
3040100,Knight's Heavy Greatsword,5.5
3040200,Knight's Keen Greatsword,5.5
3040300,Knight's Quality Greatsword,5.5
3040400,Knight's Fire Greatsword,5.5
3040500,Knight's Flame Art Greatsword,5.5
3040600,Knight's Lightning Greatsword,5.5
3040700,Knight's Sacred Greatsword,5.5
3040800,Knight's Magic Greatsword,5.5
3040900,Knight's Cold Greatsword,5.5
3041000,Knight's Poison Greatsword,5.5
3041100,Knight's Blood Greatsword,5.5
3041200,Knight's Occult Greatsword,5.5
3050000,Flamberge,5.5
3050100,Heavy Flamberge,5.5
3050200,Keen Flamberge,5.5
3050300,Quality Flamberge,5.5
3050400,Fire Flamberge,5.5
3050500,Flame Art Flamberge,5.5
3050600,Lightning Flamberge,5.5
3050700,Sacred Flamberge,5.5
3050800,Magic Flamberge,5.5
3050900,Cold Flamberge,5.5
3051000,Poison Flamberge,5.5
3051100,Blood Flamberge,5.5
3051200,Occult Flamberge,5.5
3060000,Ordovis's Greatsword,5.5
3070000,Alabaster Lord's Sword,5.5
3080000,Banished Knight's Greatsword,5.5
3080100,Banished Knight's Heavy Greatsword,5.5
3080200,Banished Knight's Keen Greatsword,5.5
3080300,Banished Knight's Quality Greatsword,5.5
3080400,Banished Knight's Fire Greatsword,5.5
3080500,Banished Knight's Flame Art Greatsword,5.5
3080600,Banished Knight's Lightning Greatsword,5.5
3080700,Banished Knight's Sacred Greatsword,5.5
3080800,Banished Knight's Magic Greatsword,5.5
3080900,Banished Knight's Cold Greatsword,5.5
3081000,Banished Knight's Poison Greatsword,5.5
3081100,Banished Knight's Blood Greatsword,5.5
3081200,Banished Knight's Occult Greatsword,5.5
3090000,Dark Moon Greatsword,5.5
3100000,Sacred Relic Sword,5.5
3130000,Helphen's Steeple,5.5
3140000,Blasphemous Blade,5.5
3150000,Marais Executioner's Sword,5.5
3160000,Sword of Milos,5.5
3170000,Golden Order Greatsword,5.5
3180000,Claymore,5.5
3180100,Heavy Claymore,5.5
3180200,Keen Claymore,5.5
3180300,Quality Claymore,5.5
3180400,Fire Claymore,5.5
3180500,Flame Art Claymore,5.5
3180600,Lightning Claymore,5.5
3180700,Sacred Claymore,5.5
3180800,Magic Claymore,5.5
3180900,Cold Claymore,5.5
3181000,Poison Claymore,5.5
3181100,Blood Claymore,5.5
3181200,Occult Claymore,5.5
3190000,Gargoyle's Greatsword,5.5
3190100,Gargoyle's Heavy Greatsword,5.5
3190200,Gargoyle's Keen Greatsword,5.5
3190300,Gargoyle's Quality Greatsword,5.5
3190400,Gargoyle's Fire Greatsword,5.5
3190500,Gargoyle's Flame Art Greatsword,5.5
3190600,Gargoyle's Lightning Greatsword,5.5
3190700,Gargoyle's Sacred Greatsword,5.5
3190800,Gargoyle's Magic Greatsword,5.5
3190900,Gargoyle's Cold Greatsword,5.5
3191000,Gargoyle's Poison Greatsword,5.5
3191100,Gargoyle's Blood Greatsword,5.5
3191200,Gargoyle's Occult Greatsword,5.5
3200000,Death's Poker,5.5
3210000,Gargoyle's Blackblade,5.5
3220000,,5.5
3900000,,5.5
4000000,Greatsword,6
4000100,Heavy Greatsword,6
4000200,Keen Greatsword,6
4000300,Quality Greatsword,6
4000400,Fire Greatsword,6
4000500,Flame Art Greatsword,6
4000600,Lightning Greatsword,6
4000700,Sacred Greatsword,6
4000800,Magic Greatsword,6
4000900,Cold Greatsword,6
4001000,Poison Greatsword,6
4001100,Blood Greatsword,6
4001200,Occult Greatsword,6
4010000,Watchdog's Greatsword,6
4010100,Watchdog's Heavy Greatsword,6
4010200,Watchdog's Keen Greatsword,6
4010300,Watchdog's Quality Greatsword,6
4010400,Watchdog's Fire Greatsword,6
4010500,Watchdog's Flame Art Greatsword,6
4010600,Watchdog's Lightning Greatsword,6
4010700,Watchdog's Sacred Greatsword,6
4010800,Watchdog's Magic Greatsword,6
4010900,Watchdog's Cold Greatsword,6
4011000,Watchdog's Poison Greatsword,6
4011100,Watchdog's Blood Greatsword,6
4011200,Watchdog's Occult Greatsword,6
4020000,Maliketh's Black Blade,6
4030000,Troll's Golden Sword,6
4030100,Troll's Golden Heavy Sword,6
4030200,Troll's Golden Keen Sword,6
4030300,Troll's Golden Quality Sword,6
4030400,Troll's Golden Fire Sword,6
4030500,Troll's Golden Flame Art Sword,6
4030600,Troll's Golden Lightning Sword,6
4030700,Troll's Golden Sacred Sword,6
4030800,Troll's Golden Magic Sword,6
4030900,Troll's Golden Cold Sword,6
4031000,Troll's Golden Poison Sword,6
4031100,Troll's Golden Blood Sword,6
4031200,Troll's Golden Occult Sword,6
4040000,Zweihander,6
4040100,Heavy Zweihander,6
4040200,Keen Zweihander,6
4040300,Quality Zweihander,6
4040400,Fire Zweihander,6
4040500,Flame Art Zweihander,6
4040600,Lightning Zweihander,6
4040700,Sacred Zweihander,6
4040800,Magic Zweihander,6
4040900,Cold Zweihander,6
4041000,Poison Zweihander,6
4041100,Blood Zweihander,6
4041200,Occult Zweihander,6
4050000,Starscourge Greatsword,6
4060000,Royal Greatsword,6
4070000,Godslayer's Greatsword,6
4080000,Ruins Greatsword,6
4100000,Grafted Blade Greatsword,6
4110000,Troll Knight's Sword,6
4900000,,6
4910000,,6
5000000,Estoc,4
5000100,Heavy Estoc,4
5000200,Keen Estoc,4
5000300,Quality Estoc,4
5000400,Fire Estoc,4
5000500,Flame Art Estoc,4
5000600,Lightning Estoc,4
5000700,Sacred Estoc,4
5000800,Magic Estoc,4
5000900,Cold Estoc,4
5001000,Poison Estoc,4
5001100,Blood Estoc,4
5001200,Occult Estoc,4
5010000,Cleanrot Knight's Sword,4
5010100,Cleanrot Knight's Heavy Sword,4
5010200,Cleanrot Knight's Keen Sword,4
5010300,Cleanrot Knight's Quality Sword,4
5010400,Cleanrot Knight's Fire Sword,4
5010500,Cleanrot Knight's Flame Art Sword,4
5010600,Cleanrot Knight's Lightning Sword,4
5010700,Cleanrot Knight's Sacred Sword,4
5010800,Cleanrot Knight's Magic Sword,4
5010900,Cleanrot Knight's Cold Sword,4
5011000,Cleanrot Knight's Poison Sword,4
5011100,Cleanrot Knight's Blood Sword,4
5011200,Cleanrot Knight's Occult Sword,4
5020000,Rapier,4
5020100,Heavy Rapier,4
5020200,Keen Rapier,4
5020300,Quality Rapier,4
5020400,Fire Rapier,4
5020500,Flame Art Rapier,4
5020600,Lightning Rapier,4
5020700,Sacred Rapier,4
5020800,Magic Rapier,4
5020900,Cold Rapier,4
5021000,Poison Rapier,4
5021100,Blood Rapier,4
5021200,Occult Rapier,4
5030000,Rogier's Rapier,4
5030100,Rogier's Heavy Rapier,4
5030200,Rogier's Keen Rapier,4
5030300,Rogier's Quality Rapier,4
5030400,Rogier's Fire Rapier,4
5030500,Rogier's Flame Art Rapier,4
5030600,Rogier's Lightning Rapier,4
5030700,Rogier's Sacred Rapier,4
5030800,Rogier's Magic Rapier,4
5030900,Rogier's Cold Rapier,4
5031000,Rogier's Poison Rapier,4
5031100,Rogier's Blood Rapier,4
5031200,Rogier's Occult Rapier,4
5040000,Antspur Rapier,4
5040100,Heavy Antspur Rapier,4
5040200,Keen Antspur Rapier,4
5040300,Quality Antspur Rapier,4
5040400,Fire Antspur Rapier,4
5040500,Flame Art Antspur Rapier,4
5040600,Lightning Antspur Rapier,4
5040700,Sacred Antspur Rapier,4
5040800,Magic Antspur Rapier,4
5040900,Cold Antspur Rapier,4
5041000,Poison Antspur Rapier,4
5041100,Blood Antspur Rapier,4
5041200,Occult Antspur Rapier,4
5050000,Frozen Needle,4
5060000,Noble's Estoc,4
5060100,Noble's Heavy Estoc,4
5060200,Noble's Keen Estoc,4
5060300,Noble's Quality Estoc,4
5060400,Noble's Fire Estoc,4
5060500,Noble's Flame Art Estoc,4
5060600,Noble's Lightning Estoc,4
5060700,Noble's Sacred Estoc,4
5060800,Noble's Magic Estoc,4
5060900,Noble's Cold Estoc,4
5061000,Noble's Poison Estoc,4
5061100,Noble's Blood Estoc,4
5061200,Noble's Occult Estoc,4
6000000,Bloody Helice,5.5
6010000,Godskin Stitcher,5.5
6010100,Heavy Godskin Stitcher,5.5
6010200,Keen Godskin Stitcher,5.5
6010300,Quality Godskin Stitcher,5.5
6010400,Fire Godskin Stitcher,5.5
6010500,Flame Art Godskin Stitcher,5.5
6010600,Lightning Godskin Stitcher,5.5
6010700,Sacred Godskin Stitcher,5.5
6010800,Magic Godskin Stitcher,5.5
6010900,Cold Godskin Stitcher,5.5
6011000,Poison Godskin Stitcher,5.5
6011100,Blood Godskin Stitcher,5.5
6011200,Occult Godskin Stitcher,5.5
6020000,Great epee,5.5
6020100,Heavy Great epee,5.5
6020200,Keen Great epee,5.5
6020300,Quality Great epee,5.5
6020400,Fire Great epee,5.5
6020500,Flame Art Great epee,5.5
6020600,Lightning Great epee,5.5
6020700,Sacred Great epee,5.5
6020800,Magic Great epee,5.5
6020900,Cold Great epee,5.5
6021000,Poison Great epee,5.5
6021100,Blood Great epee,5.5
6021200,Occult Great epee,5.5
6040000,Dragon King's Cragblade,5.5
6900000,,5.5
7000000,Falchion,5
7000100,Heavy Falchion,5
7000200,Keen Falchion,5
7000300,Quality Falchion,5
7000400,Fire Falchion,5
7000500,Flame Art Falchion,5
7000600,Lightning Falchion,5
7000700,Sacred Falchion,5
7000800,Magic Falchion,5
7000900,Cold Falchion,5
7001000,Poison Falchion,5
7001100,Blood Falchion,5
7001200,Occult Falchion,5
7010000,Beastman's Curved Sword,5
7010100,Beastman's Heavy Curved Sword,5
7010200,Beastman's Keen Curved Sword,5
7010300,Beastman's Quality Curved Sword,5
7010400,Beastman's Fire Curved Sword,5
7010500,Beastman's Flame Art Curved Sword,5
7010600,Beastman's Lightning Curved Sword,5
7010700,Beastman's Sacred Curved Sword,5
7010800,Beastman's Magic Curved Sword,5
7010900,Beastman's Cold Curved Sword,5
7011000,Beastman's Poison Curved Sword,5
7011100,Beastman's Blood Curved Sword,5
7011200,Beastman's Occult Curved Sword,5
7020000,Shotel,5
7020100,Heavy Shotel,5
7020200,Keen Shotel,5
7020300,Quality Shotel,5
7020400,Fire Shotel,5
7020500,Flame Art Shotel,5
7020600,Lightning Shotel,5
7020700,Sacred Shotel,5
7020800,Magic Shotel,5
7020900,Cold Shotel,5
7021000,Poison Shotel,5
7021100,Blood Shotel,5
7021200,Occult Shotel,5
7030000,Shamshir,5
7030100,Heavy Shamshir,5
7030200,Keen Shamshir,5
7030300,Quality Shamshir,5
7030400,Fire Shamshir,5
7030500,Flame Art Shamshir,5
7030600,Lightning Shamshir,5
7030700,Sacred Shamshir,5
7030800,Magic Shamshir,5
7030900,Cold Shamshir,5
7031000,Poison Shamshir,5
7031100,Blood Shamshir,5
7031200,Occult Shamshir,5
7040000,Bandit's Curved Sword,5
7040100,Bandit's Heavy Curved Sword,5
7040200,Bandit's Keen Curved Sword,5
7040300,Bandit's Quality Curved Sword,5
7040400,Bandit's Fire Curved Sword,5
7040500,Bandit's Flame Art Curved Sword,5
7040600,Bandit's Lightning Curved Sword,5
7040700,Bandit's Sacred Curved Sword,5
7040800,Bandit's Magic Curved Sword,5
7040900,Bandit's Cold Curved Sword,5
7041000,Bandit's Poison Curved Sword,5
7041100,Bandit's Blood Curved Sword,5
7041200,Bandit's Occult Curved Sword,5
7050000,Magma Blade,5
7060000,Flowing Curved Sword,5
7060100,Flowing Heavy Curved Sword,5
7060200,Flowing Keen Curved Sword,5
7060300,Flowing Quality Curved Sword,5
7060400,Flowing Fire Curved Sword,5
7060500,Flowing Flame Art Curved Sword,5
7060600,Flowing Lightning Curved Sword,5
7060700,Flowing Sacred Curved Sword,5
7060800,Flowing Magic Curved Sword,5
7060900,Flowing Cold Curved Sword,5
7061000,Flowing Poison Curved Sword,5
7061100,Flowing Blood Curved Sword,5
7061200,Flowing Occult Curved Sword,5
7070000,Wing of Astel,5
7080000,Scavenger's Curved Sword,5
7080100,Scavenger's Heavy Curved Sword,5
7080200,Scavenger's Keen Curved Sword,5
7080300,Scavenger's Quality Curved Sword,5
7080400,Scavenger's Fire Curved Sword,5
7080500,Scavenger's Flame Art Curved Sword,5
7080600,Scavenger's Lightning Curved Sword,5
7080700,Scavenger's Sacred Curved Sword,5
7080800,Scavenger's Magic Curved Sword,5
7080900,Scavenger's Cold Curved Sword,5
7081000,Scavenger's Poison Curved Sword,5
7081100,Scavenger's Blood Curved Sword,5
7081200,Scavenger's Occult Curved Sword,5
7100000,Eclipse Shotel,5
7110000,Serpent-God's Curved Sword,5
7110100,Serpent-God's Heavy Curved Sword,5
7110200,Serpent-God's Keen Curved Sword,5
7110300,Serpent-God's Quality Curved Sword,5
7110400,Serpent-God's Fire Curved Sword,5
7110500,Serpent-God's Flame Art Curved Sword,5
7110600,Serpent-God's Lightning Curved Sword,5
7110700,Serpent-God's Sacred Curved Sword,5
7110800,Serpent-God's Magic Curved Sword,5
7110900,Serpent-God's Cold Curved Sword,5
7111000,Serpent-God's Poison Curved Sword,5
7111100,Serpent-God's Blood Curved Sword,5
7111200,Serpent-God's Occult Curved Sword,5
7120000,Mantis Blade,5
7120100,Heavy Mantis Blade,5
7120200,Keen Mantis Blade,5
7120300,Quality Mantis Blade,5
7120400,Fire Mantis Blade,5
7120500,Flame Art Mantis Blade,5
7120600,Lightning Mantis Blade,5
7120700,Sacred Mantis Blade,5
7120800,Magic Mantis Blade,5
7120900,Cold Mantis Blade,5
7121000,Poison Mantis Blade,5
7121100,Blood Mantis Blade,5
7121200,Occult Mantis Blade,5
7140000,Scimitar,5
7140100,Heavy Scimitar,5
7140200,Keen Scimitar,5
7140300,Quality Scimitar,5
7140400,Fire Scimitar,5
7140500,Flame Art Scimitar,5
7140600,Lightning Scimitar,5
7140700,Sacred Scimitar,5
7140800,Magic Scimitar,5
7140900,Cold Scimitar,5
7141000,Poison Scimitar,5
7141100,Bloody Scimitar,5
7141200,Occult Scimitar,5
7150000,Grossmesser,5
7150100,Heavy Grossmesser,5
7150200,Keen Grossmesser,5
7150300,Quality Grossmesser,5
7150400,Fire Grossmesser,5
7150500,Flame Art Grossmesser,5
7150600,Lightning Grossmesser,5
7150700,Sacred Grossmesser,5
7150800,Magic Grossmesser,5
7150900,Cold Grossmesser,5
7151000,Poison Grossmesser,5
7151100,Blood Grossmesser,5
7151200,Occult Grossmesser,5
8010000,Onyx Lord's Greatsword,5.5
8020000,Dismounter,5.5
8020100,Heavy Dismounter,5.5
8020200,Keen Dismounter,5.5
8020300,Quality Dismounter,5.5
8020400,Fire Dismounter,5.5
8020500,Flame Art Dismounter,5.5
8020600,Lightning Dismounter,5.5
8020700,Sacred Dismounter,5.5
8020800,Magic Dismounter,5.5
8020900,Cold Dismounter,5.5
8021000,Poison Dismounter,5.5
8021100,Blood Dismounter,5.5
8021200,Occult Dismounter,5.5
8030000,Bloodhound's Fang,5.5
8040000,Magma Wyrm's Scalesword,5.5
8050000,Zamor Curved Sword,5.5
8060000,Omen Cleaver,5.5
8060100,Heavy Omen Cleaver,5.5
8060200,Keen Omen Cleaver,5.5
8060300,Quality Omen Cleaver,5.5
8060400,Fire Omen Cleaver,5.5
8060500,Flame Art Omen Cleaver,5.5
8060600,Lightning Omen Cleaver,5.5
8060700,Sacred Omen Cleaver,5.5
8060800,Magic Omen Cleaver,5.5
8060900,Cold Omen Cleaver,5.5
8061000,Poison Omen Cleaver,5.5
8061100,Blood Omen Cleaver,5.5
8061200,Occult Omen Cleaver,5.5
8070000,Monk's Flameblade,5.5
8070100,Monk's Heavy Flameblade,5.5
8070200,Monk's Keen Flameblade,5.5
8070300,Monk's Quality Flameblade,5.5
8070400,Monk's Fire Flameblade,5.5
8070500,Monk's Flame Art Flameblade,5.5
8070600,Monk's Lightning Flameblade,5.5
