Row ID;Row Name;physicsAtkRate;magicAtkRate;fireAtkRate;thunderAtkRate;staminaAtkRate;saWeaponAtkRate;saDurabilityRate;correctStrengthRate;correctAgilityRate;correctMagicRate;correctFaithRate;physicsGuardCutRate;magicGuardCutRate;fireGuardCutRate;thunderGuardCutRate;poisonGuardResistRate;diseaseGuardResistRate;bloodGuardResistRate;curseGuardResistRate;staminaGuardDefRate;spEffectId1;spEffectId2;spEffectId3;residentSpEffectId1;residentSpEffectId2;residentSpEffectId3;materialSetId;maxReinforceLevel;darkAtkRate;darkGuardCutRate;correctLuckRate;freezeGuardDefRate;reinforcePriceRate;baseChangePriceRate;enableGemRank;sleepGuardDefRate;madnessGuardDefRate;baseAtkRate
11;Standard +11;1.638;1.638;1.638;1.638;1.44;1;1;1.22;1.22;1.43;1.43;1;1;1;1;1;1;1;1;1.11;0;0;0;0;0;0;11;11;1.638;1;1.43;1;3;1;0;1;1;2.32;
12;Standard +12;1.696;1.696;1.696;1.696;1.48;1;1;1.24;1.24;1.46;1.46;1;1;1;1;1;1;1;1;1.12;0;0;0;0;0;0;12;12;1.696;1;1.46;1;3.2;1;0;1;1;2.44;
13;Standard +13;1.754;1.754;1.754;1.754;1.52;1;1;1.26;1.26;1.49;1.49;1;1;1;1;1;1;1;1;1.13;0;0;0;0;0;0;13;13;1.754;1;1.49;1;3.4;1;0;1;1;2.56;
14;Standard +14;1.812;1.812;1.812;1.812;1.56;1;1;1.28;1.28;1.52;1.52;1;1;1;1;1;1;1;1;1.14;0;0;0;0;0;0;14;14;1.812;1;1.52;1;3.6;1;0;1;1;2.68;
15;Standard +15;1.87;1.87;1.87;1.87;1.6;1;1;1.3;1.3;1.55;1.55;1;1;1;1;1;1;1;1;1.15;0;0;0;0;0;0;15;15;1.87;1;1.55;1;3.8;1;0;1;1;2.8;
16;Standard +16;1.928;1.928;1.928;1.928;1.64;1;1;1.32;1.32;1.58;1.58;1;1;1;1;1;1;1;1;1.16;0;0;0;0;0;0;16;16;1.928;1;1.58;1;4;1;0;1;1;2.92;
17;Standard +17;1.986;1.986;1.986;1.986;1.68;1;1;1.34;1.34;1.61;1.61;1;1;1;1;1;1;1;1;1.16;0;0;0;0;0;0;17;17;1.986;1;1.61;1;4.2;1;0;1;1;3.04;
18;Standard +18;2.044;2.044;2.044;2.044;1.72;1;1;1.36;1.36;1.64;1.64;1;1;1;1;1;1;1;1;1.17;0;0;0;0;0;0;18;18;2.044;1;1.64;1;4.4;1;0;1;1;3.16;
19;Standard +19;2.102;2.102;2.102;2.102;1.76;1;1;1.38;1.38;1.67;1.67;1;1;1;1;1;1;1;1;1.17;0;0;0;0;0;0;19;19;2.102;1;1.67;1;4.6;1;0;1;1;3.28;
20;Standard +20;2.16;2.16;2.16;2.16;1.8;1;1;1.4;1.4;1.7;1.7;1;1;1;1;1;1;1;1;1.18;0;0;0;0;0;0;20;20;2.16;1;1.7;1;4.8;1;0;1;1;3.4;
21;Standard +21;2.218;2.218;2.218;2.218;1.84;1;1;1.42;1.42;1.72;1.72;1;1;1;1;1;1;1;1;1.18;0;0;0;0;0;0;21;21;2.218;1;1.72;1;5;1;0;1;1;3.52;
22;Standard +22;2.276;2.276;2.276;2.276;1.88;1;1;1.44;1.44;1.74;1.74;1;1;1;1;1;1;1;1;1.18;0;0;0;0;0;0;22;22;2.276;1;1.74;1;5.2;1;0;1;1;3.64;
23;Standard +23;2.334;2.334;2.334;2.334;1.92;1;1;1.46;1.46;1.76;1.76;1;1;1;1;1;1;1;1;1.19;0;0;0;0;0;0;23;23;2.334;1;1.76;1;5.4;1;0;1;1;3.76;
24;Standard +24;2.392;2.392;2.392;2.392;1.96;1;1;1.48;1.48;1.78;1.78;1;1;1;1;1;1;1;1;1.19;0;0;0;0;0;0;24;24;2.392;1;1.78;1;5.6;1;0;1;1;3.88;
25;Standard +25;2.45;2.45;2.45;2.45;2;1;1;1.5;1.5;1.8;1.8;1;1;1;1;1;1;1;1;1.2;0;0;0;0;0;0;25;25;2.45;1;1.8;1;5.8;1;0;1;1;4;
100;Heavy +0;0.95;0.95;0.95;0.95;1;1;1;1.8;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0.95;1;1;1;1;1;0;1;1;1;
101;Heavy +1;1.006;1.006;1.006;1.006;1.04;1;1;1.85;0;1.04;1.04;1;1;1;1;1;1;1;1;1.01;0;0;0;0;0;0;1;1;1.006;1;1.04;1;1;1;0;1;1;1.12;
102;Heavy +2;1.062;1.062;1.062;1.062;1.08;1;1;1.9;0;1.08;1.08;1;1;1;1;1;1;1;1;1.01;0;0;0;0;0;0;2;2;1.062;1;1.08;1;1.2;1;0;1;1;1.24;
103;Heavy +3;1.118;1.118;1.118;1.118;1.12;1;1;1.95;0;1.12;1.12;1;1;1;1;1;1;1;1;1.02;0;0;0;0;0;0;3;3;1.118;1;1.12;1;1.4;1;0;1;1;1.36;
104;Heavy +4;1.174;1.174;1.174;1.174;1.16;1;1;2;0;1.16;1.16;1;1;1;1;1;1;1;1;1.02;0;0;0;0;0;0;4;4;1.174;1;1.16;1;1.6;1;0;1;1;1.48;
105;Heavy +5;1.23;1.23;1.23;1.23;1.2;1;1;2.05;0;1.2;1.2;1;1;1;1;1;1;1;1;1.03;0;0;0;0;0;0;5;5;1.23;1;1.2;1;1.8;1;0;1;1;1.6;
106;Heavy +6;1.286;1.286;1.286;1.286;1.24;1;1;2.1;0;1.24;1.24;1;1;1;1;1;1;1;1;1.03;0;0;0;0;0;0;6;6;1.286;1;1.24;1;2;1;0;1;1;1.72;
107;Heavy +7;1.342;1.342;1.342;1.342;1.28;1;1;2.15;0;1.28;1.28;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;7;7;1.342;1;1.28;1;2.2;1;0;1;1;1.84;
108;Heavy +8;1.398;1.398;1.398;1.398;1.32;1;1;2.2;0;1.32;1.32;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;8;8;1.398;1;1.32;1;2.4;1;0;1;1;1.96;
109;Heavy +9;1.454;1.454;1.454;1.454;1.36;1;1;2.25;0;1.36;1.36;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;9;9;1.454;1;1.36;1;2.6;1;0;1;1;2.08;
110;Heavy +10;1.51;1.51;1.51;1.51;1.4;1;1;2.3;0;1.4;1.4;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;10;10;1.51;1;1.4;1;2.8;1;0;1;1;2.2;
111;Heavy +11;1.566;1.566;1.566;1.566;1.44;1;1;2.34;0;1.43;1.43;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;11;11;1.566;1;1.43;1;3;1;0;1;1;2.32;
112;Heavy +12;1.622;1.622;1.622;1.622;1.48;1;1;2.38;0;1.46;1.46;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;12;12;1.622;1;1.46;1;3.2;1;0;1;1;2.44;
113;Heavy +13;1.678;1.678;1.678;1.678;1.52;1;1;2.42;0;1.49;1.49;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;13;13;1.678;1;1.49;1;3.4;1;0;1;1;2.56;
114;Heavy +14;1.734;1.734;1.734;1.734;1.56;1;1;2.46;0;1.52;1.52;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;14;14;1.734;1;1.52;1;3.6;1;0;1;1;2.68;
115;Heavy +15;1.79;1.79;1.79;1.79;1.6;1;1;2.5;0;1.55;1.55;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;15;15;1.79;1;1.55;1;3.8;1;0;1;1;2.8;
116;Heavy +16;1.846;1.846;1.846;1.846;1.64;1;1;2.54;0;1.58;1.58;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;16;16;1.846;1;1.58;1;4;1;0;1;1;2.92;
117;Heavy +17;1.902;1.902;1.902;1.902;1.68;1;1;2.58;0;1.61;1.61;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;17;17;1.902;1;1.61;1;4.2;1;0;1;1;3.04;
118;Heavy +18;1.958;1.958;1.958;1.958;1.72;1;1;2.62;0;1.64;1.64;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;18;18;1.958;1;1.64;1;4.4;1;0;1;1;3.16;
119;Heavy +19;2.014;2.014;2.014;2.014;1.76;1;1;2.66;0;1.67;1.67;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;19;19;2.014;1;1.67;1;4.6;1;0;1;1;3.28;
120;Heavy +20;2.07;2.07;2.07;2.07;1.8;1;1;2.7;0;1.7;1.7;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;20;20;2.07;1;1.7;1;4.8;1;0;1;1;3.4;
121;Heavy +21;2.126;2.126;2.126;2.126;1.84;1;1;2.72;0;1.72;1.72;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;21;21;2.126;1;1.72;1;5;1;0;1;1;3.52;
122;Heavy +22;2.182;2.182;2.182;2.182;1.88;1;1;2.74;0;1.74;1.74;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;22;22;2.182;1;1.74;1;5.2;1;0;1;1;3.64;
123;Heavy +23;2.238;2.238;2.238;2.238;1.92;1;1;2.76;0;1.76;1.76;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;23;23;2.238;1;1.76;1;5.4;1;0;1;1;3.76;
124;Heavy +24;2.294;2.294;2.294;2.294;1.96;1;1;2.78;0;1.78;1.78;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;24;24;2.294;1;1.78;1;5.6;1;0;1;1;3.88;
125;Heavy +25;2.35;2.35;2.35;2.35;2;1;1;2.8;0;1.8;1.8;1;1;1;1;1;1;1;1;1.1;0;0;0;0;0;0;25;25;2.35;1;1.8;1;5.8;1;0;1;1;4;
200;Keen +0;0.95;0.95;0.95;0.95;1;1;1;0.5;1.8;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0.95;1;1;1;1;1;0;1;1;1;
201;Keen +1;1.006;1.006;1.006;1.006;1.04;1;1;0.53;1.85;1.04;1.04;1;1;1;1;1;1;1;1;1.01;0;0;0;0;0;0;1;1;1.006;1;1.04;1;1;1;0;1;1;1.12;
202;Keen +2;1.062;1.062;1.062;1.062;1.08;1;1;0.56;1.9;1.08;1.08;1;1;1;1;1;1;1;1;1.01;0;0;0;0;0;0;2;2;1.062;1;1.08;1;1.2;1;0;1;1;1.24;
203;Keen +3;1.118;1.118;1.118;1.118;1.12;1;1;0.59;1.95;1.12;1.12;1;1;1;1;1;1;1;1;1.02;0;0;0;0;0;0;3;3;1.118;1;1.12;1;1.4;1;0;1;1;1.36;
204;Keen +4;1.174;1.174;1.174;1.174;1.16;1;1;0.62;2;1.16;1.16;1;1;1;1;1;1;1;1;1.02;0;0;0;0;0;0;4;4;1.174;1;1.16;1;1.6;1;0;1;1;1.48;
205;Keen +5;1.23;1.23;1.23;1.23;1.2;1;1;0.65;2.05;1.2;1.2;1;1;1;1;1;1;1;1;1.03;0;0;0;0;0;0;5;5;1.23;1;1.2;1;1.8;1;0;1;1;1.6;
206;Keen +6;1.286;1.286;1.286;1.286;1.24;1;1;0.68;2.1;1.24;1.24;1;1;1;1;1;1;1;1;1.03;0;0;0;0;0;0;6;6;1.286;1;1.24;1;2;1;0;1;1;1.72;
207;Keen +7;1.342;1.342;1.342;1.342;1.28;1;1;0.71;2.15;1.28;1.28;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;7;7;1.342;1;1.28;1;2.2;1;0;1;1;1.84;
208;Keen +8;1.398;1.398;1.398;1.398;1.32;1;1;0.74;2.2;1.32;1.32;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;8;8;1.398;1;1.32;1;2.4;1;0;1;1;1.96;
209;Keen +9;1.454;1.454;1.454;1.454;1.36;1;1;0.77;2.25;1.36;1.36;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;9;9;1.454;1;1.36;1;2.6;1;0;1;1;2.08;
210;Keen +10;1.51;1.51;1.51;1.51;1.4;1;1;0.8;2.3;1.4;1.4;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;10;10;1.51;1;1.4;1;2.8;1;0;1;1;2.2;
211;Keen +11;1.566;1.566;1.566;1.566;1.44;1;1;0.82;2.34;1.43;1.43;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;11;11;1.566;1;1.43;1;3;1;0;1;1;2.32;
212;Keen +12;1.622;1.622;1.622;1.622;1.48;1;1;0.84;2.38;1.46;1.46;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;12;12;1.622;1;1.46;1;3.2;1;0;1;1;2.44;
213;Keen +13;1.678;1.678;1.678;1.678;1.52;1;1;0.86;2.42;1.49;1.49;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;13;13;1.678;1;1.49;1;3.4;1;0;1;1;2.56;
214;Keen +14;1.734;1.734;1.734;1.734;1.56;1;1;0.88;2.46;1.52;1.52;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;14;14;1.734;1;1.52;1;3.6;1;0;1;1;2.68;
215;Keen +15;1.79;1.79;1.79;1.79;1.6;1;1;0.9;2.5;1.55;1.55;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;15;15;1.79;1;1.55;1;3.8;1;0;1;1;2.8;
216;Keen +16;1.846;1.846;1.846;1.846;1.64;1;1;0.92;2.54;1.58;1.58;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;16;16;1.846;1;1.58;1;4;1;0;1;1;2.92;
217;Keen +17;1.902;1.902;1.902;1.902;1.68;1;1;0.94;2.58;1.61;1.61;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;17;17;1.902;1;1.61;1;4.2;1;0;1;1;3.04;
218;Keen +18;1.958;1.958;1.958;1.958;1.72;1;1;0.96;2.62;1.64;1.64;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;18;18;1.958;1;1.64;1;4.4;1;0;1;1;3.16;
219;Keen +19;2.014;2.014;2.014;2.014;1.76;1;1;0.98;2.66;1.67;1.67;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;19;19;2.014;1;1.67;1;4.6;1;0;1;1;3.28;
220;Keen +20;2.07;2.07;2.07;2.07;1.8;1;1;1;2.7;1.7;1.7;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;20;20;2.07;1;1.7;1;4.8;1;0;1;1;3.4;
221;Keen +21;2.126;2.126;2.126;2.126;1.84;1;1;1.06;2.72;1.72;1.72;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;21;21;2.126;1;1.72;1;5;1;0;1;1;3.52;
222;Keen +22;2.182;2.182;2.182;2.182;1.88;1;1;1.12;2.74;1.74;1.74;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;22;22;2.182;1;1.74;1;5.2;1;0;1;1;3.64;
223;Keen +23;2.238;2.238;2.238;2.238;1.92;1;1;1.18;2.76;1.76;1.76;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;23;23;2.238;1;1.76;1;5.4;1;0;1;1;3.76;
224;Keen +24;2.294;2.294;2.294;2.294;1.96;1;1;1.24;2.78;1.78;1.78;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;24;24;2.294;1;1.78;1;5.6;1;0;1;1;3.88;
225;Keen +25;2.35;2.35;2.35;2.35;2;1;1;1.3;2.8;1.8;1.8;1;1;1;1;1;1;1;1;1.1;0;0;0;0;0;0;25;25;2.35;1;1.8;1;5.8;1;0;1;1;4;
300;Quality +0;0.9;0.9;0.9;0.9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0.9;1;1;1;1;1;0;1;1;1;
301;Quality +1;0.946;0.946;0.946;0.946;1.04;1;1;1.05;1.05;1.04;1.04;1;1;1;1;1;1;1;1;1.01;0;0;0;0;0;0;1;1;0.946;1;1.04;1;1;1;0;1;1;1.12;
302;Quality +2;0.992;0.992;0.992;0.992;1.08;1;1;1.1;1.1;1.08;1.08;1;1;1;1;1;1;1;1;1.01;0;0;0;0;0;0;2;2;0.992;1;1.08;1;1.2;1;0;1;1;1.24;
303;Quality +3;1.038;1.038;1.038;1.038;1.12;1;1;1.15;1.15;1.12;1.12;1;1;1;1;1;1;1;1;1.02;0;0;0;0;0;0;3;3;1.038;1;1.12;1;1.4;1;0;1;1;1.36;
304;Quality +4;1.084;1.084;1.084;1.084;1.16;1;1;1.2;1.2;1.16;1.16;1;1;1;1;1;1;1;1;1.02;0;0;0;0;0;0;4;4;1.084;1;1.16;1;1.6;1;0;1;1;1.48;
305;Quality +5;1.13;1.13;1.13;1.13;1.2;1;1;1.25;1.25;1.2;1.2;1;1;1;1;1;1;1;1;1.03;0;0;0;0;0;0;5;5;1.13;1;1.2;1;1.8;1;0;1;1;1.6;
306;Quality +6;1.176;1.176;1.176;1.176;1.24;1;1;1.3;1.3;1.24;1.24;1;1;1;1;1;1;1;1;1.03;0;0;0;0;0;0;6;6;1.176;1;1.24;1;2;1;0;1;1;1.72;
307;Quality +7;1.222;1.222;1.222;1.222;1.28;1;1;1.35;1.35;1.28;1.28;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;7;7;1.222;1;1.28;1;2.2;1;0;1;1;1.84;
308;Quality +8;1.268;1.268;1.268;1.268;1.32;1;1;1.4;1.4;1.32;1.32;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;8;8;1.268;1;1.32;1;2.4;1;0;1;1;1.96;
309;Quality +9;1.314;1.314;1.314;1.314;1.36;1;1;1.45;1.45;1.36;1.36;1;1;1;1;1;1;1;1;1.04;0;0;0;0;0;0;9;9;1.314;1;1.36;1;2.6;1;0;1;1;2.08;
310;Quality +10;1.36;1.36;1.36;1.36;1.4;1;1;1.5;1.5;1.4;1.4;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;10;10;1.36;1;1.4;1;2.8;1;0;1;1;2.2;
311;Quality +11;1.406;1.406;1.406;1.406;1.44;1;1;1.53;1.53;1.43;1.43;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;11;11;1.406;1;1.43;1;3;1;0;1;1;2.32;
312;Quality +12;1.452;1.452;1.452;1.452;1.48;1;1;1.56;1.56;1.46;1.46;1;1;1;1;1;1;1;1;1.05;0;0;0;0;0;0;12;12;1.452;1;1.46;1;3.2;1;0;1;1;2.44;
313;Quality +13;1.498;1.498;1.498;1.498;1.52;1;1;1.59;1.59;1.49;1.49;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;13;13;1.498;1;1.49;1;3.4;1;0;1;1;2.56;
314;Quality +14;1.544;1.544;1.544;1.544;1.56;1;1;1.62;1.62;1.52;1.52;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;14;14;1.544;1;1.52;1;3.6;1;0;1;1;2.68;
315;Quality +15;1.59;1.59;1.59;1.59;1.6;1;1;1.65;1.65;1.55;1.55;1;1;1;1;1;1;1;1;1.06;0;0;0;0;0;0;15;15;1.59;1;1.55;1;3.8;1;0;1;1;2.8;
316;Quality +16;1.636;1.636;1.636;1.636;1.64;1;1;1.68;1.68;1.58;1.58;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;16;16;1.636;1;1.58;1;4;1;0;1;1;2.92;
317;Quality +17;1.682;1.682;1.682;1.682;1.68;1;1;1.71;1.71;1.61;1.61;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;17;17;1.682;1;1.61;1;4.2;1;0;1;1;3.04;
318;Quality +18;1.728;1.728;1.728;1.728;1.72;1;1;1.74;1.74;1.64;1.64;1;1;1;1;1;1;1;1;1.07;0;0;0;0;0;0;18;18;1.728;1;1.64;1;4.4;1;0;1;1;3.16;
319;Quality +19;1.774;1.774;1.774;1.774;1.76;1;1;1.77;1.77;1.67;1.67;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;19;19;1.774;1;1.67;1;4.6;1;0;1;1;3.28;
320;Quality +20;1.82;1.82;1.82;1.82;1.8;1;1;1.8;1.8;1.7;1.7;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;20;20;1.82;1;1.7;1;4.8;1;0;1;1;3.4;
321;Quality +21;1.866;1.866;1.866;1.866;1.84;1;1;1.82;1.82;1.72;1.72;1;1;1;1;1;1;1;1;1.08;0;0;0;0;0;0;21;21;1.866;1;1.72;1;5;1;0;1;1;3.52;
322;Quality +22;1.912;1.912;1.912;1.912;1.88;1;1;1.84;1.84;1.74;1.74;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;22;22;1.912;1;1.74;1;5.2;1;0;1;1;3.64;
323;Quality +23;1.958;1.958;1.958;1.958;1.92;1;1;1.86;1.86;1.76;1.76;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;23;23;1.958;1;1.76;1;5.4;1;0;1;1;3.76;
324;Quality +24;2.004;2.004;2.004;2.004;1.96;1;1;1.88;1.88;1.78;1.78;1;1;1;1;1;1;1;1;1.09;0;0;0;0;0;0;24;24;2.004;1;1.78;1;5.6;1;0;1;1;3.88;
325;Quality +25;2.05;2.05;2.05;2.05;2;1;1;1.9;1.9;1.8;1.8;1;1;1;1;1;1;1;1;1.1;0;0;0;0;0;0;25;25;2.05;1;1.8;1;5.8;1;0;1;1;4;
400;Fire +0;0.8;0.8;0.8;0.8;1;1;1;1.3;0.5;1;1;0.95;0.95;1.15;1.05;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;0;0;0.8;0.95;1;0.95;1;1;0;0.95;0.95;1;
401;Fire +1;0.836;0.836;0.836;0.836;1.04;1;1;1.34;0.53;1.04;1.04;0.95;0.95;1.15;1.05;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;1;1;0.836;0.95;1.04;0.95;1;1;0;0.95;0.95;1.12;
402;Fire +2;0.872;0.872;0.872;0.872;1.08;1;1;1.38;0.56;1.08;1.08;0.95;0.95;1.16;1.06;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;2;2;0.872;0.95;1.08;0.95;1.2;1;0;0.95;0.95;1.24;
403;Fire +3;0.908;0.908;0.908;0.908;1.12;1;1;1.42;0.59;1.12;1.12;0.95;0.95;1.16;1.06;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;3;3;0.908;0.95;1.12;0.95;1.4;1;0;0.95;0.95;1.36;
404;Fire +4;0.944;0.944;0.944;0.944;1.16;1;1;1.46;0.62;1.16;1.16;0.95;0.95;1.17;1.07;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;4;4;0.944;0.95;1.16;0.95;1.6;1;0;0.95;0.95;1.48;
405;Fire +5;0.98;0.98;0.98;0.98;1.2;1;1;1.5;0.65;1.2;1.2;0.95;0.95;1.17;1.07;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;5;5;0.98;0.95;1.2;0.95;1.8;1;0;0.95;0.95;1.6;
406;Fire +6;1.016;1.016;1.016;1.016;1.24;1;1;1.54;0.68;1.24;1.24;0.95;0.95;1.18;1.08;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;6;6;1.016;0.95;1.24;0.95;2;1;0;0.95;0.95;1.72;
407;Fire +7;1.052;1.052;1.052;1.052;1.28;1;1;1.58;0.71;1.28;1.28;0.95;0.95;1.18;1.08;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;7;7;1.052;0.95;1.28;0.95;2.2;1;0;0.95;0.95;1.84;
408;Fire +8;1.088;1.088;1.088;1.088;1.32;1;1;1.62;0.74;1.32;1.32;0.95;0.95;1.19;1.09;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;8;8;1.088;0.95;1.32;0.95;2.4;1;0;0.95;0.95;1.96;
409;Fire +9;1.124;1.124;1.124;1.124;1.36;1;1;1.66;0.77;1.36;1.36;0.95;0.95;1.19;1.09;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;9;9;1.124;0.95;1.36;0.95;2.6;1;0;0.95;0.95;2.08;
410;Fire +10;1.16;1.16;1.16;1.16;1.4;1;1;1.7;0.8;1.4;1.4;0.95;0.95;1.2;1.1;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;10;10;1.16;0.95;1.4;0.95;2.8;1;0;0.95;0.95;2.2;
411;Fire +11;1.196;1.196;1.196;1.196;1.44;1;1;1.73;0.83;1.43;1.43;0.95;0.95;1.2;1.1;0.95;0.95;0.95;0.95;1;0;0;0;0;0;0;11;11;1.196;0.95;1.43;0.95;3;1;0;0.95;0.95;2.32;
