Row ID;Row Name;lotItemId01;lotItemId02;lotItemId03;lotItemId04;lotItemId05;lotItemId06;lotItemId07;lotItemId08;lotItemCategory01;lotItemCategory02;lotItemCategory03;lotItemCategory04;lotItemCategory05;lotItemCategory06;lotItemCategory07;lotItemCategory08;lotItemBasePoint01;lotItemBasePoint02;lotItemBasePoint03;lotItemBasePoint04;lotItemBasePoint05;lotItemBasePoint06;lotItemBasePoint07;lotItemBasePoint08;cumulateLotPoint01;cumulateLotPoint02;cumulateLotPoint03;cumulateLotPoint04;cumulateLotPoint05;cumulateLotPoint06;cumulateLotPoint07;cumulateLotPoint08;getItemFlagId01;getItemFlagId02;getItemFlagId03;getItemFlagId04;getItemFlagId05;getItemFlagId06;getItemFlagId07;getItemFlagId08;getItemFlagId;cumulateNumFlagId;cumulateNumMax;lotItem_Rarity;lotItemNum01;lotItemNum02;lotItemNum03;lotItemNum04;lotItemNum05;lotItemNum06;lotItemNum07;lotItemNum08;enableLuck01;enableLuck02;enableLuck03;enableLuck04;enableLuck05;enableLuck06;enableLuck07;enableLuck08;cumulateReset01;cumulateReset02;cumulateReset03;cumulateReset04;cumulateReset05;cumulateReset06;cumulateReset07;cumulateReset08;GameClearOffset;canExecByFriendlyGhost;canExecByHostileGhost;PAD1;PAD2
80;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;
90;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;
100;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;
110;Neutralizing Boluses;900;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;
22200000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
30100000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
30200000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
31600000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
31800000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
34300000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
80000000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
80100000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
204100000;[Rennala Student (Bug)] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
204100100;[Rennala Student - Bug Form] Aeonian Butterfly;0;20801;0;0;0;0;0;0;0;1;0;0;0;0;0;0;950;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
210000000;[Black Knife Assassin] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
213000000;[Morgott] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;
214000000;[Omen Monstrosity] Omen Cleaver;0;8060000;0;0;0;0;0;0;0;2;0;0;0;0;0;0;960;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
214000100;[Omen Monstrosity] Warped Axe;0;15010000;0;0;0;0;0;0;0;2;0;0;0;0;0;0;960;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
214000990;[Omen Monstrosity] Omen Cleaver;0;8060000;0;0;0;0;0;0;0;2;0;0;0;0;0;0;960;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
214000991;[Omen Monstrosity] Omen Bairn;3010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35007990;0;0;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;
215000000;[Unknown] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
227000000;[Giant Crab] Crab Eggs;0;15130;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
227000001;[Giant Crab] Strip of White Flesh;0;15160;0;0;0;0;0;0;0;1;0;0;0;0;0;0;750;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
227100000;[Crab] Crab Eggs;0;15130;0;0;0;0;0;0;0;1;0;0;0;0;0;0;970;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
227100001;[Crab] Strip of White Flesh;0;15160;0;0;0;0;0;0;0;1;0;0;0;0;0;0;970;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
227100500;[Crab] Crab Eggs;0;15130;0;0;0;0;0;0;0;1;0;0;0;0;0;0;970;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
227100501;[Crab] Strip of White Flesh;0;15160;0;0;0;0;0;0;0;1;0;0;0;0;0;0;970;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
227100502;[Crab] Glintstone Firefly;0;20812;0;0;0;0;0;0;0;1;0;0;0;0;0;0;950;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
250000000;[Crucible Knight] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
250000100;[Crucible Knight] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
250000200;[Crucible Knight] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
250000300;[Crucible Knight] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000000;[Castle Exile] Soldier's Crossbow;0;43000000;0;0;0;0;0;0;0;2;0;0;0;0;0;0;980;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000001;[Castle Exile] Exile Hood;0;190000;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000002;[Castle Exile] Exile Armor;0;190100;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000003;[Castle Exile] Exile Gauntlets;0;190200;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000004;[Castle Exile] Exile Greaves;0;190300;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000005;[Castle Exile] Stormhawk Feather;0;15430;0;0;0;0;0;0;0;1;0;0;0;0;0;0;980;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000006;[Castle Exile] Bolt;0;52000000;0;0;0;0;0;0;0;2;0;0;0;0;0;0;900;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000007;[Castle Exile] Lordsworn's Bolt;0;52080000;0;0;0;0;0;0;0;2;0;0;0;0;0;0;980;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000008;[Castle Exile] Smoldering Butterfly;0;20802;0;0;0;0;0;0;0;1;0;0;0;0;0;0;850;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000009;[Castle Exile] Mushroom;0;20760;0;0;0;0;0;0;0;1;0;0;0;0;0;0;850;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000010;[Castle Exile] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000100;[Castle Exile] Exile Hood;0;190000;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000101;[Castle Exile] Exile Armor;0;190100;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000102;[Castle Exile] Exile Gauntlets;0;190200;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000103;[Castle Exile] Exile Greaves;0;190300;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000104;[Castle Exile] Stormhawk Feather;0;15430;0;0;0;0;0;0;0;1;0;0;0;0;0;0;980;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000105;[Castle Exile] Bolt;0;52000000;0;0;0;0;0;0;0;2;0;0;0;0;0;0;900;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000106;[Castle Exile] Lordsworn's Bolt;0;52080000;0;0;0;0;0;0;0;2;0;0;0;0;0;0;980;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000107;[Castle Exile] Smoldering Butterfly;0;20802;0;0;0;0;0;0;0;1;0;0;0;0;0;0;850;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000108;[Castle Exile] Mushroom;0;20760;0;0;0;0;0;0;0;1;0;0;0;0;0;0;850;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000110;[Castle Exile] None;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000200;[Castle Exile] Exile Hood;0;190000;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000201;[Castle Exile] Exile Armor;0;190100;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000202;[Castle Exile] Exile Gauntlets;0;190200;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000203;[Castle Exile] Exile Greaves;0;190300;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000204;[Castle Exile] Stormhawk Feather;0;15430;0;0;0;0;0;0;0;1;0;0;0;0;0;0;980;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000205;[Castle Exile] Smoldering Butterfly;0;20802;0;0;0;0;0;0;0;1;0;0;0;0;0;0;850;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000206;[Castle Exile] Mushroom;0;20760;0;0;0;0;0;0;0;1;0;0;0;0;0;0;850;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000300;[Castle Exile] Exile Hood;0;190000;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000301;[Castle Exile] Exile Armor;0;190100;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000302;[Castle Exile] Exile Gauntlets;0;190200;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000303;[Castle Exile] Exile Greaves;0;190300;0;0;0;0;0;0;0;3;0;0;0;0;0;0;985;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
300000304;[Castle Exile] Stormhawk Feather;0;15430;0;0;0;0;0;0;0;1;0;0;0;0;0;0;980;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;
