Row ID;Row Name;aiVolumeRate;spEffectIdOnHit0;spEffectIdOnHit1;footEffectHeightType;footEffectDirType;floorHeightType;disableFallDamage;isHardnessForSoundReverb;hardnessType;spEffectIdOnHit0_ClearCount_2;spEffectIdOnHit0_ClearCount_3;spEffectIdOnHit0_ClearCount_4;spEffectIdOnHit0_ClearCount_5;spEffectIdOnHit0_ClearCount_6;spEffectIdOnHit0_ClearCount_7;spEffectIdOnHit0_ClearCount_8;spEffectIdOnHit1_ClearCount_2;spEffectIdOnHit1_ClearCount_3;spEffectIdOnHit1_ClearCount_4;spEffectIdOnHit1_ClearCount_5;spEffectIdOnHit1_ClearCount_6;spEffectIdOnHit1_ClearCount_7;spEffectIdOnHit1_ClearCount_8;replaceMateiralId_Rain;spEffectId_forWet00;spEffectId_forWet01;spEffectId_forWet02;spEffectId_forWet03;spEffectId_forWet04
10;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
11;Iron Grate;1;-1;-1;0;0;0;0;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
12;Scarlet Mushroom;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
13;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;-1;-1;-1;-1;-1;
14;Bone;1;-1;-1;0;0;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
15;;1;-1;-1;0;0;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
16;;1;-1;-1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
17;;1;-1;-1;2;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
18;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
19;;1;-1;-1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
20;;1.75;-1;4190;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4010;-1;-1;-1;-1;
21;Water;1.75;-1;4190;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4010;4500;4510;4511;-1;
22;;1;4100;4190;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4010;4500;4510;4511;-1;
23;Shallow Poison Swamp;1;-1;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4003;4500;4520;4521;-1;
24;Poison Swamp;1;4101;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4001;4501;4520;4522;-1;
25;;1;4100;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4003;4500;4520;4521;-1;
26;;1;-1;-1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4003;-1;-1;-1;-1;
27;;1;4101;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4010;4501;4510;4512;-1;
28;;1;-1;-1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
29;;1;-1;-1;0;0;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
30;;1;4200;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
31;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
32;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
33;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
34;;1;-1;-1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
35;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
36;;1.75;-1;-1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
37;;1.75;-1;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
38;;1;4100;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
39;;1;4101;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
40;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
43;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
44;Rain Dirt;1.75;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
45;;1;-1;-1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
46;Scarlet Swamp;1;-1;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4052;4500;4550;4551;-1;
47;;1;4101;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4050;4501;4550;4552;-1;
48;;1;-1;-1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
49;;1;-1;-1;1;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4054;4500;4550;4551;-1;
