Row ID,Row Name,AtkParam ID,Projectile FX ID,Impact FX ID,Flick FX ID,Duration,Attenuation Range,Shoot Interval,Gravity: In Range,Gravity: Out of Range,Homing Stop Range,Initial Velocity,Acceleration: In Range,Acceleration: Out of Range,Max Velocity,Min Velocity,Acceleration Duration,Homing Start Distance,Initial Hit Radius,Final Hit Radius,Radius Spread Time,Explosion Delay,Homing Offset Range,Hitbox Duration,External Force,Owner SpEffect ID,Bullet AI,Hit Bullet ID,Target SpEffect ID 0,Target SpEffect ID 1,Target SpEffect ID 2,Target SpEffect ID 3,Target SpEffect ID 4,Bullet Count,Homing Angle,Horizontal Shoot Angle,Shoot Angle - Horizontal Interval,Shoot Angle - Vertical Interval,Damage Falloff: Physical,Damage Falloff: Magic,Damage Falloff: Fire,Damage Falloff: Lightning,Damage Falloff: Stamina,Damage Falloff: Knockback,Vertical Shoot Angle,Lock Shoot Limit Angle,Is Object Penetration,Previous Velocity Direction Rate,Attack Attribute,Effect Attribute,Material Attack Type,Material Attack Material,Material Size,Launch Condition Type,Follow Type: Soulmass,Follow Type: Catalyst,Follow Type: Follow Floor,Emitter Type: Player Feet,Emitter Type: Parent Bullet,Emitter Type: Nearest Enemy Feet,Persistent Attack FX,Continuous Hitbox,Penetrate Map,Hit Both Teams,Use Shared Hit List,Use Multiple Model Points,Attach Effect Type 0,Attach Effect Type 1,Can be Deflected by Magic,Ignore FX On Water Hit,Ignore State Transition On Water Hit,Can Be Deflected By Bullet Deflection,Transfer Effect to Child Bullet,Transfer Speed to Child Bullet,Is Lock Module,Is Search For Target,Is Emitted Bullet,Transfer Duration to Child Bullet,Damage Falloff: Dark Damage,Bullet Hit Type 0,Bullet Hit Type 1,Sp Homing Y Angle,Emitted Bullet - Random Angle XZ,Emitted Bullet - Random Angle Y,Bullet Emitter: Bullet ID,Bullet Emitter: Shoot Interval 1,Bullet Emitter: Initial Shoot Interval,Sp Homing Y Angle For Enemy,Bullet Emitter: Shoot Interval 2,Launch Type,Limit Bullet Param ID,Counter Hit Type,Is Position Hit Bullet,Is Attach Attack SFX,Is Sp Correction 0,Is Sp Correction 1,Is Penetrate Target,Is Sp Correction 2,Is Disable Int Scale,Unk1,Emitter Position Radius,Hit Object ID,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12a,Unk12b,Unk13,Unk14,Unk15,Unk16a,Unk16b,Unk17,Unk18,Unk19,Unk20,Unk21
69,,998,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,254,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
70,,999,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,254,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
110,Impact,0,300121,300122,300122,4,1.5,0,5,12,0,25,0,-6,50,12,0,0,0.08,-1,0,0,0,5,0,0,0,111,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,60,0,0,3,11,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
111,Impact,1010,300123,-1,-1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1.6,-1,0,0,0,5,0,0,0,10040002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,6,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
126,,0,300371,-1,-1,4,1,0,5,12,1,15,0,-8,50,12,0,0,0.08,-1,0,0,0,0,0,0,0,127,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,60,0,0,3,0,0,6,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
127,,1410,300372,-1,-1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1.6,-1,0,0,0,0,0,0,0,128,3380,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
128,,6,-1,-1,-1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,100,-1,0,0,0,0,0,0,0,129,3381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
129,,6,-1,-1,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5,7,0,0,0,0,0,0,-1,3382,3383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
130,Rainbow Stone,0,302020,-1,-1,2.04,20,0,9.8,9.8,0,2,0,0,20,2,0,0,0.01,-1,0,0,0,0,0,0,0,131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
131,Rainbow Stone [Hit],0,-1,302022,-1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-1,0,0,0,0,0,0,0,132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
132,Rainbow Stone [Hit],0,302023,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
148,,1250,302141,302142,302142,4,1.5,0,5,12,0,25,0,-6,50,12,0,0,0.08,-1,0,0,0,5,0,0,0,-1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,60,0,0,3,0,0,6,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
150,,1030,300191,300192,300192,4,1.5,0,5,12,1,25,0,-6,50,12,0,0,0.08,-1,0,0,0,0,0,3121,0,151,3120,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,60,0,0,3,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
151,,1030,-1,-1,-1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.4,0.6,0,0,0,0,0,0,-1,3120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
155,,1040,300201,300202,300202,2,1.5,0,0,15,1,15,5,0,50,12,0,0,0.12,-1,0,0,0,0,0,0,0,156,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,60,0,0,3,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
156,,3,-1,-1,-1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,3.5,-1,0,0,0,0,0,0,0,157,473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
157,,1041,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.4,0.6,0,0,0,0,0,0,-1,473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,158,0.6,0.6,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
158,,1042,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0,0,0,0.7,0,0,0,-1,3126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,300203,0,0,0,0,-1,0,-1,0,1,0,0,0
250,,1020,300171,-1,-1,4,1.5,0,5,12,0,25,0,-6,50,12,0,0,0.08,-1,0,0,0,5,0,0,0,251,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,60,0,0,3,12,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
251,,1020,300172,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.6,-1,0,0,0,5,0,0,0,252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,6,3,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
252,,1023,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-1,0,0,0,5,0,0,0,253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,6,3,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
253,,1023,-1,-1,-1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1,0,0,0,5,0,0,0,254,0,0,0,0,0,10,0,0,36,0,0,0,0,0,0,0,0,0,0,0,3,12,0,6,3,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
254,,1023,300173,-1,-1,0.07,0,0,0,0,0,20,0,0,20,20,0,0,0.7,-1,0,0,0,5,0,0,0,255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,6,3,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
255,,1023,-1,-1,-1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-1,0,0,0,5,0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,6,3,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
256,,1023,300173,-1,-1,0.7,0,0,0,0,0,5,-8,-8,5,0.5,0,0,0.7,-1,0,0,0,5,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,6,3,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
260,,1070,300181,-1,-1,4,1.5,0,5,12,0,25,0,-6,50,12,0,0,0.1,-1,0,0,0,5,0,0,0,261,3200,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,60,0,0,3,254,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
261,,1070,300182,-1,-1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1.4,-1,0,0,0,5,0,0,0,-1,3200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,254,0,6,3,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
300,,1200,300001,300002,300003,0.85,15,0,5,5,7,32,0,-30,32,32,0,2,0.02,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,10,0,0,0,100,0,0,0,100,0,0,45,0,0,2,0,2,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
304,,1204,300071,300072,300073,0.85,15,0,5,5,7,32,0,-30,32,32,0,2,0.02,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,10,0,0,0,100,0,0,0,100,0,0,45,0,0,2,0,2,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
370,,1405,302181,-1,-1,0.22,0,0,0,0,0,0,0,0,0,0,0,0,6.4,-1,0,0,0,0.06,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
380,,1420,-1,-1,-1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,140,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
385,,1425,-1,-1,-1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,120,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,1,0,0,0
