Row ID;Row Name;SpEffect 4
21400090;Omen Monstrosity;7010
21400114;Omen Monstrosity;7030
21400120;Omen Monstrosity;7060
21400130;Omen Monstrosity;7080
21400135;Omen Monstrosity;7130
21400235;Omen Monstrosity;7130
21400335;Omen Monstrosity;7130
21400435;Omen Monstrosity;7130
21400633;Omen Monstrosity;7090
21400930;Omen Monstrosity;7080
21401030;Omen Monstrosity;7080
21401035;Omen Monstrosity;7130
21401120;Omen Monstrosity;7060
21401130;Omen Monstrosity;7080
21401135;Omen Monstrosity;7130
21401235;Omen Monstrosity;7130
21401335;Omen Monstrosity;7130
21401435;Omen Monstrosity;7130
21401930;Omen Monstrosity;7080
21403050;Omen Monstrosity;7120
21403150;Omen Monstrosity;7120
21500052;;7160
21500064;;7060
21500352;;7160
21500452;;7160
21500552;;7160
21500652;;7160
21601010;Palm Reader - Wooden Chair;7010
21601012;Palm Reader - Wooden Chair;7020
21601020;Palm Reader - Wooden Chair;7060
21601030;Palm Reader - Wooden Chair;7080
21601033;Palm Reader - Wooden Chair;7090
21601040;Palm Reader - Wooden Chair;7070
21601050;Palm Reader - Wooden Chair;7120
21601066;Palm Reader - Wooden Chair;7110
21801034;Melina;7100
21900078;Radagon;7170
21910000;Radagon - Crucified;-1
22000078;Elden Beast;7170
22700010;Giant Crab;7010
22700012;Giant Crab;7020
22700013;Giant Crab;7030
22700030;;7080
22700032;Giant Crab;7090
22700033;Giant Crab;7090
22700064;Giant Crab;7060
22700210;Giant Crab;7010
22710010;Crab;7010
22710012;Crab;7020
22710013;Crab;7030
22710030;Crab;7080
22710032;Crab;7090
22710033;Crab;7090
22710040;Crab;7070
22710060;Crab;7050
22710064;Crab;7060
22710065;Crab;7090
22720020;Giant Crab - Damaged;7060
22720112;Giant Crab - Damaged;7020
22730020;Crab - Maggots;7060
22740020;Giant Crab - Clean;7060
22740021;Giant Crab - Clean;7060
22740024;Giant Crab - Clean;7060
22740052;Giant Crab - Clean;7160
22740120;Giant Crab - Clean;7060
22750020;Crab - Clean;7060
22750024;Crab - Clean;7060
22750052;Crab - Clean;7160
22750120;Crab - Clean;7060
22751024;Crab - Clean;7060
22760020;Giant Crab - Golden Tuffs;7060
22760033;Giant Crab - Golden Tuffs;7090
22770020;Crab - Golden Tuffs;7060
22770033;Crab - Golden Tuffs;7090
25000010;Crucible Knight;7030
25000014;Crucible Knight;7030
25000030;Crucible Knight;7080
25000034;Crucible Knight;7100
25000042;Crucible Knight;7150
25000065;Crucible Knight;7090
25000165;Crucible Knight;7090
25000172;Crucible Knight;7140
25000865;Crucible Knight;7090
25000933;Crucible Knight;7090
25000941;Crucible Knight;7080
25001034;Crucible Knight;7100
25001065;Crucible Knight;7090
25001066;Crucible Knight;7130
25001134;Crucible Knight;7100
25001165;Crucible Knight;7090
25001933;Crucible Knight;7090
25006020;Crucible Knight;7060
25006120;Crucible Knight;7060
25007020;Crucible Knight;7060
25007120;Crucible Knight;7060
25009038;Crucible Knight;7110
25009138;Crucible Knight;7110
30000006;Castle Exile;7000
30000014;Castle Exile;7030
30000034;Castle Exile;7100
30000106;Castle Exile;7000
30000114;Castle Exile;7030
30000134;Castle Exile;7100
30000214;Castle Exile;7030
30000600;Castle Exile;7030
30000614;Castle Exile;7030
30000714;Castle Exile;7030
30000814;Castle Exile;7030
30000834;Castle Exile;7100
30001014;Castle Exile;7030
30001034;Castle Exile;7100
30001114;Castle Exile;7030
30001214;Castle Exile;7030
30001314;Castle Exile;7030
30002014;Castle Exile;7030
30002034;Castle Exile;7100
30003014;Castle Exile;7030
30003034;Castle Exile;7100
30003214;Castle Exile;7030
30003514;Castle Exile;7030
30004007;Castle Exile;7060
30004051;Castle Exile;7130
30004107;Castle Exile;7060
30004151;Castle Exile;7130
30004251;Castle Exile;7130
30004351;Castle Exile;7130
30005007;Castle Exile;7060
30005051;Castle Exile;7130
30006051;Castle Exile;7130
30007051;Castle Exile;7130
30008040;Castle Exile;7090
30100014;Banished Knight;7030
30100034;Banished Knight;7100
30100114;Banished Knight;7030
30100134;Banished Knight;7100
30100140;Banished Knight;7070
30100172;Banished Knight;7140
30100234;Banished Knight;7100
30100451;Banished Knight;7130
30100507;Banished Knight;7060
30100651;Banished Knight;7130
30100814;Banished Knight;7030
30101034;Banished Knight;7100
30101134;Banished Knight;7100
30101140;Banished Knight;7070
30101172;Banished Knight;7140
30101234;Banished Knight;7100
30101451;Banished Knight;7130
30101651;Banished Knight;7130
30102014;Banished Knight;7030
30102034;Banished Knight;7100
30102134;Banished Knight;7100
30102172;Banished Knight;7140
30102234;Banished Knight;7100
30102451;Banished Knight;7130
30102507;Banished Knight;7060
30102651;Banished Knight;7130
30106051;Banished Knight;7130
30107051;Banished Knight;7130
30200014;Large Castle Exile;7030
30200034;Large Castle Exile;7100
30200151;Large Castle Exile;7130
30208040;Large Castle Exile;7090
30500051;Commander;7130
30500140;Commander;7090
30600020;Undead Mariner;7060
30600030;Undead Mariner;7080
30600040;Undead Mariner;7070
30600050;Undead Mariner;7120
30601020;Undead Mariner;7060
30601030;Undead Mariner;7080
30601040;Undead Mariner;7070
30601050;Undead Mariner;7120
30610072;Undead Azula Beastman;7140
30611072;Undead Azula Beastman;7140
30700030;Dominula Celebrant;7080
30700032;Dominula Celebrant;7090
30701030;Dominula Celebrant;7080
30701032;Dominula Celebrant;7090
30702030;Dominula Celebrant;7080
30703030;Dominula Celebrant;7080
30704030;Dominula Celebrant;7080
30800007;Imp;7060
30800010;Imp;7010
30800012;Imp;7020
30800020;Imp;7060
30800030;Imp;7080
30800032;Imp;7090
30800033;Imp;7090
30800034;Imp;7100
30800035;Imp;7130
30800040;Imp;7070
30800042;Imp;7150
30800050;Imp;7120
30800052;Imp;7160
30800110;Imp;7010
30800830;Imp;7080
30800852;Imp;7160
30800912;Imp;7020
30801010;Imp;7010
30801012;Imp;7020
30801020;Imp;7060
30801032;Imp;7090
30801033;Imp;7090
30801034;Imp;7100
30801035;Imp;7130
30801040;Imp;7070
30801042;Imp;7150
30801120;Imp;7060
30801133;Imp;7090
30801150;Imp;7120
30801232;Imp;7090
30801233;Imp;7090
30802010;Imp;7010
30802012;Imp;7020
30802030;Imp;7080
30802032;Imp;7090
30802033;Imp;7090
30802034;Imp;7100
30802035;Imp;7130
30806007;Imp;7060
30806012;Imp;7020
30806020;Imp;7060
30806030;Imp;7080
30806032;Imp;7090
30806033;Imp;7090
30806034;Imp;7100
30806035;Imp;7130
30806040;Imp;7070
30806042;Imp;7150
30806050;Imp;7120
30806052;Imp;7160
31000010;Elemer of the Briar;7030
31000020;Elemer of the Briar;7080
31000033;Elemer of the Briar;7110
31000042;Elemer of the Briar;7170
31000931;Elemer of the Briar;7090
31500010;Night's Cavalry;7030
31500020;Night's Cavalry;7080
31500032;Night's Cavalry;7090
31500040;Night's Cavalry;7090
31500042;Night's Cavalry;7170
31500050;Night's Cavalry;7140
31500052;Night's Cavalry;7180
31501012;Night's Cavalry;7040
31501030;Night's Cavalry;7100
31501040;Night's Cavalry;7090
31501052;Night's Cavalry;7180
31600010;Night's Cavalry Horse;7030
31600012;Night's Cavalry Horse;7040
31600020;Night's Cavalry Horse;7080
31600030;Night's Cavalry Horse;7100
31600032;Night's Cavalry Horse;7090
31600040;Night's Cavalry Horse;7090
31600042;Night's Cavalry Horse;7170
31600050;Night's Cavalry Horse;7140
31600052;Night's Cavalry Horse;7180
31700052;Albinauric Archer;7160
31701052;Albinauric Archer;7160
31709020;Albinauric Archer;7060
31709052;Albinauric Archer;7160
31710052;Giant Albinauric Archer;7160
31800020;Dog;7060
31800021;Dog;7060
31800052;Dog;7160
31809020;Dog;7060
31810020;Red Wolf of Radagon;7060
31810022;Red Wolf of Radagon;7130
31810052;Red Wolf of Radagon;7160
31810065;Red Wolf of Radagon;7090
31811024;Red Wolf of Radagon;7060
31811032;Red Wolf of Radagon;7090
31811052;Red Wolf of Radagon;7160
32000010;Nomad Trader - Merchant Kalé;7010
32000012;Nomad Trader - Merchant Kalé;7020
32000020;Nomad Trader - Merchant Kalé;7060
32000030;Nomad Trader - Merchant Kalé;7080
32000032;Nomad Trader - Merchant Kalé;7090
32000034;Nomad Trader - Merchant Kalé;7100
32000035;Nomad Trader - Merchant Kalé;7130
32000110;Nomad Trader - Merchant Kalé;7010
32000120;Nomad Trader - Merchant Kalé;7060
32000134;Nomad Trader - Merchant Kalé;7100
32000135;Nomad Trader - Merchant Kalé;7130
32000210;Nomad Trader - Merchant Kalé;7010
32000220;Nomad Trader - Merchant Kalé;7060
32000234;Nomad Trader - Merchant Kalé;7100
32001010;Nomad Trader - Merchant Kalé;7010
32001110;Nomad Trader - Nomadic Merchant;7010
32001210;Nomad Trader - Nomadic Merchant;7010
32001310;Nomad Trader - Nomadic Merchant;7010
32001412;Nomad Trader - Nomadic Merchant;7020
32001520;Nomad Trader - Nomadic Merchant;7060
32001612;Nomad Trader - Isolated Merchant;7020
32001720;Nomad Trader - Isolated Merchant;7060
32001820;Nomad Trader - Nomadic Merchant;7060
32001933;Nomad Trader - Hermit Merchant;7090
32002030;Nomad Trader - Nomadic Merchant;7080
32002132;Nomad Trader - Nomadic Merchant;7090
32002240;Nomad Trader - Nomadic Merchant;7070
32002340;Nomad Trader - Nomadic Merchant;7070
32002542;Nomad Trader - Isolated Merchant;7150
32002650;Nomad Trader - Hermit Merchant;7120
32002764;Nomad Trader - Abandoned Merchant;7060
32002860;Nomad Trader - Hermit Merchant;7050
32002968;Nomad Trader - Imprisoned Merchant;7170
32003010;Nomad Trader - Nomadic Merchant;7010
32008010;Nomad Trader;7010
32009210;Nomad Trader;7010
32010035;Nomad Trader;7130
32020035;Nomad Trader;7130
32100010;Nomad Mule;7010
32100012;Nomad Mule;7020
32100030;Nomad Mule;7080
32100032;Nomad Mule;7090
32100210;Nomad Mule;7010
32101010;Nomad Mule;7010
32101110;Nomad Mule;7010
32101210;Nomad Mule;7010
32101310;Nomad Mule;7010
32101412;Nomad Mule;7020
32101520;Nomad Mule;7060
32101612;Nomad Mule;7020
32101720;Nomad Mule;7060
32101820;Nomad Mule;7060
32101933;Nomad Mule;7090
32102030;Nomad Mule;7080
32102132;Nomad Mule;7090
32102240;Nomad Mule;7070
32102340;Nomad Mule;7070
32102542;Nomad Mule;7150
32102650;Nomad Mule;7120
32102764;Nomad Mule;7060
32102860;Nomad Mule;7050
32102968;Nomad Mule;7170
32103010;Nomad Mule;7010
32109200;Nomad Mule;7010
32109810;Nomad Mule;7010
32500033;Draconic Tree Sentinel;7110
32500070;Draconic Tree Sentinel;7150
32500072;Draconic Tree Sentinel;7140
32510010;Tree Sentinel;7030
32510030;Tree Sentinel;7100
32510034;Tree Sentinel;7100
32510070;Tree Sentinel;7150
32511030;Tree Sentinel;7100
32520054;Fallen Tree Sentinel;7180
32520921;Fallen Tree Sentinel;7060
33000062;Nox Swordstress;7110
33000820;Nox Swordstress;7060
33000940;Nox Swordstress;7070
33001062;Nox Swordstress;7110
33001065;Nox Swordstress;7090
33001940;Nox Swordstress;7070
33002062;Nox Swordstress;7110
33002065;Nox Swordstress;7090
33200062;Silver Tear;7110
33200162;Silver Tear;7110
33200262;Silver Tear;7110
33200265;Silver Tear;7090
33201052;Silver Tear;7160
33201062;Silver Tear;7110
33201065;Silver Tear;7090
33201165;Silver Tear;7090
33202062;Silver Tear;7110
33202262;Silver Tear;7110
33209010;Silver Tear;7010
33300040;Silver Tear Orb;7070
33300042;Silver Tear Orb;7150
33300062;Silver Tear Orb;7110
33300065;Silver Tear Orb;7090
33300162;Silver Tear Orb;7110
33300262;Silver Tear Orb;7110
33300662;Silver Tear Orb;7110
33300665;Silver Tear Orb;7090
33300762;Silver Tear Orb;7110
33300862;Silver Tear Orb;7110
33500022;Crystalian;7130
33500154;Crystalian;7180
33500556;Crystalian;7190
33500920;Crystalian;7060
33500930;Crystalian;7080
33500940;Crystalian;7070
33501020;Crystalian;7060
33501022;Crystalian;7130
33501154;Crystalian;7180
33501556;Crystalian;7190
33501920;Crystalian;7060
33501930;Crystalian;7080
33501940;Crystalian;7070
33502154;Crystalian;7180
33502556;Crystalian;7190
33502920;Crystalian;7060
33502940;Crystalian;7070
33600020;Ancestral Follower;7060
33600062;Ancestral Follower;7110
33600064;Ancestral Follower;7060
33600065;Ancestral Follower;7090
33600264;Ancestral Follower;7060
33600265;Ancestral Follower;7090
33600520;Ancestral Follower;7060
33600564;Ancestral Follower;7060
33600565;Ancestral Follower;7090
33600764;Ancestral Follower;7060
33600765;Ancestral Follower;7090
33601064;Ancestral Follower;7060
33601065;Ancestral Follower;7090
33601264;Ancestral Follower;7060
33601265;Ancestral Follower;7090
33601365;Ancestral Follower;7090
33602064;Ancestral Follower;7060
33602065;Ancestral Follower;7090
33602264;Ancestral Follower;7060
33602265;Ancestral Follower;7090
33602352;Ancestral Follower;7180
33602365;Ancestral Follower;7090
33605064;Ancestral Follower;7060
33605264;Ancestral Follower;7060
33605564;Ancestral Follower;7060
33605764;Ancestral Follower;7060
33606064;Ancestral Follower;7060
33606264;Ancestral Follower;7060
33607064;Ancestral Follower;7060
33607264;Ancestral Follower;7060
33610062;Undead Ancestral Follower;7110
33610562;Undead Ancestral Follower;7110
33611062;Undead Ancestral Follower;7110
33612062;Undead Ancestral Follower;7110
33700052;Ancestral Follower Shaman;7180
33700064;Ancestral Follower Shaman;7060
33700065;Ancestral Follower Shaman;7090
33700265;Ancestral Follower Shaman;7060
33700865;Ancestral Follower Shaman;7060
33710062;Undead Ancestral Follower Shaman;7110
34000030;Grave Warden Duelist;7080
34000034;Grave Warden Duelist;7100
34000040;Grave Warden Duelist;7070
34000252;Grave Warden Duelist;7160
34000254;Grave Warden Duelist;7180
34000256;Grave Warden Duelist;7190
34000852;Grave Warden Duelist;7160
34000940;Grave Warden Duelist;7070
34000952;Grave Warden Duelist;7160
34001034;Grave Warden Duelist;7100
34001110;Grave Warden Duelist;7010
34001133;Grave Warden Duelist;7090
34001252;Grave Warden Duelist;7160
34001254;Grave Warden Duelist;7180
34001256;Grave Warden Duelist;7190
34001852;Grave Warden Duelist;7160
34500012;Misbegotten;7020
34500013;Misbegotten;7030
34500030;Misbegotten;7080
34500034;Misbegotten;7100
34500054;Misbegotten;7180
34501012;Misbegotten;7020
34501013;Misbegotten;7030
34501020;Misbegotten;7060
34501030;Misbegotten;7080
34501034;Misbegotten;7100
34501052;Misbegotten;7160
34501054;Misbegotten;7180
34501354;Misbegotten;7180
34502012;Misbegotten;7020
34502030;Misbegotten;7080
34502054;Misbegotten;7180
34502354;Misbegotten;7180
34510012;Misbegotten;7020
34510013;Misbegotten;7030
34510030;Misbegotten;7080
34510034;Misbegotten;7100
34510052;Misbegotten;7160
34510054;Misbegotten;7180
34510354;Misbegotten;7180
34510912;Misbegotten;7020
34519020;Misbegotten;7060
34600012;Leonine Misbegotten;7020
34600034;Leonine Misbegotten;7100
34600054;Leonine Misbegotten;7180
34600354;Leonine Misbegotten;7180
34600913;Leonine Misbegotten;7030
34600930;Leonine Misbegotten;7080
34600941;Leonine Misbegotten;7080
34601952;Leonine Misbegotten;7160
34700020;Albinauric;7060
34700120;Albinauric;7060
34700268;Albinauric;7170
34700352;Albinauric;7160
34700452;Albinauric;7160
34701020;Albinauric;7060
34701120;Albinauric;7060
34701468;Albinauric;7170
34701552;Albinauric;7160
34701652;Albinauric;7160
34702120;Albinauric;7060
34702320;Albinauric;7060
34702468;Albinauric;7170
34702552;Albinauric;7160
34703020;Albinauric;7060
34703068;Albinauric;7170
34703252;Albinauric;7160
34704020;Albinauric;7060
34704120;Albinauric;7060
34704268;Albinauric;7170
34704352;Albinauric;7160
34715120;Albinauric;7060
34715268;Albinauric;7170
34715352;Albinauric;7160
35000010;Skeleton (Curved Sword);7010
35000012;Skeleton (Curved Sword);7020
35000014;Skeleton (Curved Sword);7030
35000020;Skeleton (Curved Sword);7060
35000030;Skeleton (Curved Sword);7080
35000032;Skeleton (Curved Sword);7090
35000034;Skeleton (Curved Sword);7130
35000040;Skeleton (Curved Sword);7070
35000050;Skeleton (Curved Sword);7120
35000172;Skeleton (Curved Sword);7140
35000330;Skeleton (Curved Sword);7080
35000733;Skeleton (Curved Sword);7090
35001010;Skeleton (Curved Sword);7010
35001012;Skeleton (Curved Sword);7020
35001014;Skeleton (Curved Sword);7030
35001030;Skeleton (Curved Sword);7080
35001032;Skeleton (Curved Sword);7090
35001040;Skeleton (Curved Sword);7070
35001050;Skeleton (Curved Sword);7120
35001172;Skeleton (Curved Sword);7140
35001733;Skeleton (Curved Sword);7090
35002010;Skeleton (Curved Sword);7010
35002012;Skeleton (Curved Sword);7020
35002020;Skeleton (Curved Sword);7060
35002032;Skeleton (Curved Sword);7090
35002040;Skeleton (Curved Sword);7070
35002050;Skeleton (Curved Sword);7120
35002172;Skeleton (Curved Sword);7140
35002733;Skeleton (Curved Sword);7090
35003010;Skeleton (Curved Sword);7010
35003012;Skeleton (Curved Sword);7020
35003014;Skeleton (Curved Sword);7030
35003032;Skeleton (Curved Sword);7090
35003040;Skeleton (Curved Sword);7070
35003050;Skeleton (Curved Sword);7120
35003172;Skeleton (Curved Sword);7140
35003733;Skeleton (Curved Sword);7090
35004010;Skeleton (Curved Sword);7010
35004012;Skeleton (Curved Sword);7020
35004020;Skeleton (Curved Sword);7060
35004030;Skeleton (Curved Sword);7080
35004032;Skeleton (Curved Sword);7090
35004040;Skeleton (Curved Sword);7070
35004050;Skeleton (Curved Sword);7120
35004172;Skeleton (Curved Sword);7140
35004733;Skeleton (Curved Sword);7090
35005010;Skeleton (Curved Sword);7010
35005020;Skeleton (Curved Sword);7060
35005032;Skeleton (Curved Sword);7090
35006010;Skeleton (Curved Sword);7010
35006032;Skeleton (Curved Sword);7090
35007010;Skeleton (Curved Sword);7010
35007020;Skeleton (Curved Sword);7060
35007032;Skeleton (Curved Sword);7090
35008010;Skeleton (Curved Sword);7010
35008020;Skeleton (Curved Sword);7060
35008032;Skeleton (Curved Sword);7090
35009010;Skeleton (Curved Sword);7010
35009032;Skeleton (Curved Sword);7090
35100006;Skeleton (Scimitar);7000
35100010;Skeleton (Scimitar);7010
35100012;Skeleton (Scimitar);7020
35100020;Skeleton (Scimitar);7060
35100032;Skeleton (Scimitar);7090
35100033;Skeleton (Scimitar);7090
35100040;Skeleton (Scimitar);7070
35100110;Skeleton (Scimitar);7010
35100112;Skeleton (Scimitar);7020
35100120;Skeleton (Scimitar);7060
35100132;Skeleton (Scimitar);7090
35100133;Skeleton (Scimitar);7090
35100210;Skeleton (Scimitar);7010
35100920;Skeleton (Scimitar);7060
35101006;Skeleton (Scimitar);7000
35101010;Skeleton (Scimitar);7010
35101012;Skeleton (Scimitar);7020
35101020;Skeleton (Scimitar);7060
35101032;Skeleton (Scimitar);7090
35101033;Skeleton (Scimitar);7090
35101040;Skeleton (Scimitar);7070
35101110;Skeleton (Scimitar);7010
35101112;Skeleton (Scimitar);7020
35101140;Skeleton (Scimitar);7070
35101920;Skeleton (Scimitar);7060
35102006;Skeleton (Scimitar);7000
35102010;Skeleton (Scimitar);7010
35102012;Skeleton (Scimitar);7020
35102020;Skeleton (Scimitar);7060
35102032;Skeleton (Scimitar);7090
35102033;Skeleton (Scimitar);7090
35102040;Skeleton (Scimitar);7070
35102920;Skeleton (Scimitar);7060
35103010;Skeleton (Scimitar);7010
35103012;Skeleton (Scimitar);7020
35103020;Skeleton (Scimitar);7060
35103106;Skeleton (Scimitar);7000
35103110;Skeleton (Scimitar);7010
35104006;Skeleton (Scimitar);7000
35104010;Skeleton (Scimitar);7010
35104012;Skeleton (Scimitar);7020
35104032;Skeleton (Scimitar);7090
35104110;Skeleton (Scimitar);7010
35500020;Sanguine Noble;7060
35500030;Sanguine Noble;7080
35500050;Sanguine Noble;7120
35500068;Sanguine Noble;7170
35500930;Sanguine Noble;7080
35600030;Godskin Apostle;7100
35600040;Godskin Apostle;7070
35600042;Godskin Apostle;7150
35600172;Godskin Apostle;7140
35600950;Godskin Apostle;7120
35600972;Godskin Apostle;7140
35700028;Godskin Noble;7100
35700038;Godskin Noble;7110
35700172;Godskin Noble;7140
35700950;Godskin Noble;7120
36000010;Alabaster Lord;7010
36000012;Alabaster Lord;7020
36000024;Alabaster Lord;7060
36000052;Alabaster Lord;7160
36000062;Alabaster Lord;7110
36001052;Alabaster Lord;7160
36001920;Alabaster Lord;7080
36001933;Alabaster Lord;7090
36100034;Oracle Envoy;7100
36100054;Oracle Envoy;7180
36200034;Large Oracle Envoy;7100
36200054;Large Oracle Envoy;7180
36300054;Giant Oracle Envoy;7180
36500012;Erdtree Guardian;7020
36500020;Erdtree Guardian;7060
36500030;Erdtree Guardian;7080
36500033;Erdtree Guardian;7090
36500034;Erdtree Guardian;7100
36501033;Erdtree Guardian;7090
36501034;Erdtree Guardian;7100
36501833;Erdtree Guardian;7090
36502040;Erdtree Guardian;7070
36502042;Erdtree Guardian;7150
36502052;Erdtree Guardian;7160
36600014;Commoner;7030
36600020;Commoner;7060
36600030;Commoner;7080
36600034;Commoner;7100
36600035;Commoner;7130
36600041;Commoner;7080
36600070;Commoner;7150
36600110;Commoner;7010
36600114;Commoner;7030
36600612;Commoner;7020
36600620;Commoner;7060
36600652;Commoner;7160
36600733;Commoner;7090
36600838;Commoner;7110
36601030;Commoner;7080
36601070;Commoner;7150
36601212;Commoner;7020
36601220;Commoner;7060
36601252;Commoner;7160
36601333;Commoner;7090
36601438;Commoner;7110
36602070;Commoner;7150
36602152;Commoner;7160
36602233;Commoner;7090
36602338;Commoner;7110
36603010;Commoner;7010
36603020;Commoner;7060
36603110;Commoner;7010
36608033;Commoner;7090
36609006;Commoner;7000
36609010;Commoner;7010
36609012;Commoner;7020
36609020;Commoner;7060
36609022;Commoner;7130
36609040;Commoner;7070
36609052;Commoner;7160
36609114;Commoner;7030
36609120;Commoner;7060
36609130;Commoner;7080
36609140;Commoner;7070
36609142;Commoner;7150
36609152;Commoner;7160
36609162;Commoner;7110
36609165;Commoner;7090
36609170;Commoner;7150
36609510;Commoner;7010
36609520;Commoner;7060
36610012;Putrid Corpse;7020
36610030;Putrid Corpse;7080
36610032;Putrid Corpse;7090
36610033;Putrid Corpse;7090
36610034;Putrid Corpse;7100
36610035;Putrid Corpse;7130
36610040;Putrid Corpse;7070
36610054;Putrid Corpse;7180
36610140;Putrid Corpse;7070
36610812;Putrid Corpse;7020
36610820;Putrid Corpse;7060
36611012;Putrid Corpse;7020
36611030;Putrid Corpse;7080
36611031;Putrid Corpse;7090
36611035;Putrid Corpse;7130
36612030;Putrid Corpse;7080
36612032;Putrid Corpse;7090
36612035;Putrid Corpse;7130
36612040;Putrid Corpse;7070
36612132;Putrid Corpse;7090
36613054;Putrid Corpse;7180
36613154;Putrid Corpse;7180
36613254;Putrid Corpse;7180
36614024;Putrid Corpse;7060
36615068;Putrid Corpse;7170
36616040;Putrid Corpse;7070
36619040;Putrid Corpse;7070
36620012;Scarlet Putrid Corpse;7020
36620034;Scarlet Putrid Corpse;7100
36620040;Scarlet Putrid Corpse;7070
36620054;Scarlet Putrid Corpse;7180
36620140;Scarlet Putrid Corpse;7070
36621031;Scarlet Putrid Corpse;7090
36621035;Scarlet Putrid Corpse;7130
36621140;Scarlet Putrid Corpse;7070
36622040;Scarlet Putrid Corpse;7070
36623054;Scarlet Putrid Corpse;7180
36623154;Scarlet Putrid Corpse;7180
36623254;Scarlet Putrid Corpse;7180
36624024;Scarlet Putrid Corpse;7060
36625068;Scarlet Putrid Corpse;7170
36626040;Scarlet Putrid Corpse;7070
36640012;Cemetery Shade;7020
36640032;Cemetery Shade;7090
36640035;Cemetery Shade;7130
36640040;Cemetery Shade;7070
36640920;Cemetery Shade;7060
36650014;Devious Commoner;7030
36650114;Devious Commoner;7030
36650214;Devious Commoner;7030
36650314;Devious Commoner;7030
36650414;Devious Commoner;7030
36650514;Devious Commoner;7030
36650614;Devious Commoner;7030
36660030;Sunflower Commoner;7080
36660034;Sunflower Commoner;7100
36660050;Sunflower Commoner;7120
36660070;Sunflower Commoner;7150
36700042;Albinauric Lookout;7150
36700120;Albinauric Lookout;7060
36700134;Albinauric Lookout;7100
36701021;Albinauric Lookout;7060
36701038;Albinauric Lookout;7110
36701042;Albinauric Lookout;7150
36701120;Albinauric Lookout;7060
36701121;Albinauric Lookout;7060
36701138;Albinauric Lookout;7110
36702038;Albinauric Lookout;7110
36702051;Albinauric Lookout;7130
36702138;Albinauric Lookout;7110
36702151;Albinauric Lookout;7130
36702238;Albinauric Lookout;7110
36702251;Albinauric Lookout;7130
36703034;Albinauric Lookout;7100
36703038;Albinauric Lookout;7110
36703051;Albinauric Lookout;7130
36704020;Albinauric Lookout;7060
36708020;Albinauric Lookout;7060
36709020;Albinauric Lookout;7060
36709120;Albinauric Lookout;7060
36709920;Albinauric Lookout;7060
37000010;Depraved Perfumer;7010
37000020;Depraved Perfumer;7060
37000030;Depraved Perfumer;7080
37000031;Depraved Perfumer;7090
37000033;Depraved Perfumer;7090
37001030;Depraved Perfumer;7080
37001031;Depraved Perfumer;7090
37010030;White Veil Perfumer;7080
37010033;White Veil Perfumer;7090
37010034;White Veil Perfumer;7100
37010830;White Veil Perfumer;7080
37011030;White Veil Perfumer;7080
37011034;White Veil Perfumer;7100
37011930;White Veil Perfumer;7080
37020020;Raya Lucaria Scholar;7060
37020021;Raya Lucaria Scholar;7060
37020024;Raya Lucaria Scholar;7060
37020032;Raya Lucaria Scholar;7090
37020040;Raya Lucaria Scholar;7070
37021020;Raya Lucaria Scholar;7060
37021024;Raya Lucaria Scholar;7060
37021032;Raya Lucaria Scholar;7090
37021040;Raya Lucaria Scholar;7070
37021140;Raya Lucaria Scholar;7070
37022021;Raya Lucaria Scholar;7060
