Row ID;Row Name;Change HP +
18430;Malenia - Scarlet Rot;26
18431;Malenia - Scarlet Rot;26
18432;Malenia - Scarlet Rot;26
18433;Malenia - Scarlet Rot;26
18731;Melina - HP Recovery;-8
19031;;5
20000;NPC: Poison;7
20001;NPC: Poison;7
20002;NPC: Poison;7
20003;NPC: Poison;7
20004;NPC: Poison;7
20005;NPC: Poison;7
20006;NPC: Poison;7
20007;NPC: Poison;7
20008;NPC: Poison;7
20009;NPC: Poison;7
20010;NPC: Poison;7
20011;NPC: Poison;7
20012;NPC: Poison;7
20013;NPC: Poison;7
20014;NPC: Poison;7
20015;NPC: Poison;7
20016;NPC: Poison;7
20017;NPC: Poison;7
20018;NPC: Poison;7
20019;NPC: Poison;7
20110;NPC: Poison;7
20120;NPC: Poison;7
20130;NPC: Poison;7
20140;NPC: Poison;7
20141;NPC: Poison;7
20142;NPC: Poison;7
20150;NPC: Poison;7
20151;NPC: Poison;7
20152;NPC: Poison;7
20160;NPC: Poison;7
20161;NPC: Poison;7
20162;NPC: Poison;7
20163;NPC: Poison;7
20170;NPC: Poison;7
20175;NPC: Poison;7
20180;NPC: Poison;14
20181;NPC: Poison;14
20190;NPC: Poison;7
20500;NPC: Poison;18
20501;NPC: Poison;18
20502;NPC: Poison;18
20503;NPC: Poison;18
20504;NPC: Poison;18
20505;NPC: Poison;18
20506;NPC: Poison;18
20507;NPC: Poison;18
20508;NPC: Poison;18
20509;NPC: Poison;18
20510;NPC: Poison;18
20511;NPC: Poison;18
20512;NPC: Poison;18
20513;NPC: Poison;18
20514;NPC: Poison;18
20515;NPC: Poison;18
20516;NPC: Poison;18
20517;NPC: Poison;18
20518;NPC: Poison;18
20519;NPC: Poison;18
20600;NPC: Poison - Affect Self;18
21000;NPC: Scarlet Rot;13
21001;NPC: Scarlet Rot;13
21002;NPC: Scarlet Rot;13
21003;NPC: Scarlet Rot;13
21004;NPC: Scarlet Rot;13
21005;NPC: Scarlet Rot;13
21006;NPC: Scarlet Rot;13
21007;NPC: Scarlet Rot;13
21008;NPC: Scarlet Rot;13
21009;NPC: Scarlet Rot;13
21010;NPC: Scarlet Rot;13
21011;NPC: Scarlet Rot;13
21012;NPC: Scarlet Rot;13
21013;NPC: Scarlet Rot;13
21014;NPC: Scarlet Rot;13
21015;NPC: Scarlet Rot;13
21016;NPC: Scarlet Rot;13
21017;NPC: Scarlet Rot;13
21018;NPC: Scarlet Rot;13
21019;NPC: Scarlet Rot;13
21100;NPC: Scarlet Rot;13
21101;NPC: Scarlet Rot;13
21102;NPC: Scarlet Rot;13
22000;NPC: Hemorrhage;100
22001;NPC: Hemorrhage;100
22002;NPC: Hemorrhage;100
22003;NPC: Hemorrhage;100
22004;NPC: Hemorrhage;100
22005;NPC: Hemorrhage;100
22006;NPC: Hemorrhage;100
22007;NPC: Hemorrhage;100
22008;NPC: Hemorrhage;100
22009;NPC: Hemorrhage;100
22010;NPC: Hemorrhage;100
22011;NPC: Hemorrhage;100
22012;NPC: Hemorrhage;100
22013;NPC: Hemorrhage;100
22014;NPC: Hemorrhage;100
22015;NPC: Hemorrhage;100
22016;NPC: Hemorrhage;100
22017;NPC: Hemorrhage;100
22018;NPC: Hemorrhage;100
22019;NPC: Hemorrhage;100
22111;NPC: Maggots - Hemorrhage;100
22120;NPC: Maggots - Hemorrhage;100
24000;NPC: Frostbite;30
24001;NPC: Frostbite;30
24002;NPC: Frostbite;30
24003;NPC: Frostbite;30
24004;NPC: Frostbite;30
24005;NPC: Frostbite;30
24006;NPC: Frostbite;30
24007;NPC: Frostbite;30
24008;NPC: Frostbite;30
24009;NPC: Frostbite;30
24010;NPC: Frostbite;30
24011;NPC: Frostbite;30
24012;NPC: Frostbite;30
24013;NPC: Frostbite;30
24014;NPC: Frostbite;30
24015;NPC: Frostbite;30
24016;NPC: Frostbite;30
24017;NPC: Frostbite;30
24018;NPC: Frostbite;30
24019;NPC: Frostbite;30
24130;NPC: Frostbite;30
24131;NPC: Frostbite;30
24132;NPC: Frostbite;30
24140;NPC: Frostbite;30
24150;NPC: Frostbite;30
24160;NPC: Frostbite;30
24170;NPC: Frostbite;30
26000;NPC: Madness;100
26001;NPC: Madness;100
26002;NPC: Madness;100
26003;NPC: Madness;100
26004;NPC: Madness;100
26005;NPC: Madness;100
26006;NPC: Madness;100
26007;NPC: Madness;100
26008;NPC: Madness;100
26009;NPC: Madness;100
26010;NPC: Madness;100
26011;NPC: Madness;100
26012;NPC: Madness;100
26013;NPC: Madness;100
26014;NPC: Madness;100
26015;NPC: Madness;100
26016;NPC: Madness;100
26017;NPC: Madness;100
26018;NPC: Madness;100
26019;NPC: Madness;100
26100;NPC: Madness;100
26110;NPC: Madness;100
29000;NPC: HP Burn on Hit;1
29001;NPC: HP Burn on Hit;2
29002;NPC: HP Burn on Hit;3
29003;NPC: HP Burn on Hit;4
29004;NPC: HP Burn on Hit;5
29005;NPC: HP Burn on Hit;6
29006;NPC: HP Burn on Hit;7
29007;NPC: HP Burn on Hit;8
29008;NPC: HP Burn on Hit;9
29009;NPC: HP Burn on Hit;10
29500;NPC: HP Burn on Hit;1
29501;NPC: HP Burn on Hit;2
29502;NPC: HP Burn on Hit;3
29503;NPC: HP Burn on Hit;4
29504;NPC: HP Burn on Hit;5
29505;NPC: HP Burn on Hit;6
29506;NPC: HP Burn on Hit;7
29507;NPC: HP Burn on Hit;8
29508;NPC: HP Burn on Hit;9
29509;NPC: HP Burn on Hit;10
29510;NPC: HP Burn on Hit;1
29515;NPC: HP Burn on Hit;1
29516;NPC: HP Burn on Hit;1
29517;NPC: HP Burn on Hit;1
99440;;20
99441;;10
105000;Hemorrhage - Low - Addition +0;100
105001;Hemorrhage - Low - Addition +1;100
105002;Hemorrhage - Low - Addition +2;100
105003;Hemorrhage - Low - Addition +3;100
105004;Hemorrhage - Low - Addition +4;100
105005;Hemorrhage - Low - Addition +5;100
105006;Hemorrhage - Low - Addition +6;100
105007;Hemorrhage - Low - Addition +7;100
105008;Hemorrhage - Low - Addition +8;100
105009;Hemorrhage - Low - Addition +9;100
105010;Hemorrhage - Low - Addition +10;100
105011;Hemorrhage - Low - Addition +11;100
105012;Hemorrhage - Low - Addition +12;100
105013;Hemorrhage - Low - Addition +13;100
105014;Hemorrhage - Low - Addition +14;100
105015;Hemorrhage - Low - Addition +15;100
105016;Hemorrhage - Low - Addition +16;100
105017;Hemorrhage - Low - Addition +17;100
105018;Hemorrhage - Low - Addition +18;100
105019;Hemorrhage - Low - Addition +19;100
105020;Hemorrhage - Low - Addition +20;100
105021;Hemorrhage - Low - Addition +21;100
105022;Hemorrhage - Low - Addition +22;100
105023;Hemorrhage - Low - Addition +23;100
105024;Hemorrhage - Low - Addition +24;100
105025;Hemorrhage - Low - Addition +25;100
105050;Hemorrhage - Low - Innate +0;200
105051;Hemorrhage - Low - Innate +1;200
105052;Hemorrhage - Low - Innate +2;200
105053;Hemorrhage - Low - Innate +3;200
105054;Hemorrhage - Low - Innate +4;200
105055;Hemorrhage - Low - Innate +5;200
105056;Hemorrhage - Low - Innate +6;200
105057;Hemorrhage - Low - Innate +7;200
105058;Hemorrhage - Low - Innate +8;200
105059;Hemorrhage - Low - Innate +9;200
105060;Hemorrhage - Low - Innate +10;200
105061;Hemorrhage - Low - Innate +11;200
105062;Hemorrhage - Low - Innate +12;200
105063;Hemorrhage - Low - Innate +13;200
105064;Hemorrhage - Low - Innate +14;200
105065;Hemorrhage - Low - Innate +15;200
105066;Hemorrhage - Low - Innate +16;200
105067;Hemorrhage - Low - Innate +17;200
105068;Hemorrhage - Low - Innate +18;200
105069;Hemorrhage - Low - Innate +19;200
105070;Hemorrhage - Low - Innate +20;200
105071;Hemorrhage - Low - Innate +21;200
105072;Hemorrhage - Low - Innate +22;200
105073;Hemorrhage - Low - Innate +23;200
105074;Hemorrhage - Low - Innate +24;200
105075;Hemorrhage - Low - Innate +25;200
105100;Hemorrhage - Medium - Addition +0;100
105101;Hemorrhage - Medium - Addition +1;100
105102;Hemorrhage - Medium - Addition +2;100
105103;Hemorrhage - Medium - Addition +3;100
105104;Hemorrhage - Medium - Addition +4;100
105105;Hemorrhage - Medium - Addition +5;100
105106;Hemorrhage - Medium - Addition +6;100
105107;Hemorrhage - Medium - Addition +7;100
105108;Hemorrhage - Medium - Addition +8;100
105109;Hemorrhage - Medium - Addition +9;100
105110;Hemorrhage - Medium - Addition +10;100
105111;Hemorrhage - Medium - Addition +11;100
105112;Hemorrhage - Medium - Addition +12;100
105113;Hemorrhage - Medium - Addition +13;100
105114;Hemorrhage - Medium - Addition +14;100
105115;Hemorrhage - Medium - Addition +15;100
105116;Hemorrhage - Medium - Addition +16;100
105117;Hemorrhage - Medium - Addition +17;100
105118;Hemorrhage - Medium - Addition +18;100
105119;Hemorrhage - Medium - Addition +19;100
105120;Hemorrhage - Medium - Addition +20;100
105121;Hemorrhage - Medium - Addition +21;100
105122;Hemorrhage - Medium - Addition +22;100
105123;Hemorrhage - Medium - Addition +23;100
105124;Hemorrhage - Medium - Addition +24;100
105125;Hemorrhage - Medium - Addition +25;100
105150;Hemorrhage - Medium - Innate +0;200
105151;Hemorrhage - Medium - Innate +1;200
105152;Hemorrhage - Medium - Innate +2;200
105153;Hemorrhage - Medium - Innate +3;200
105154;Hemorrhage - Medium - Innate +4;200
105155;Hemorrhage - Medium - Innate +5;200
105156;Hemorrhage - Medium - Innate +6;200
105157;Hemorrhage - Medium - Innate +7;200
105158;Hemorrhage - Medium - Innate +8;200
105159;Hemorrhage - Medium - Innate +9;200
105160;Hemorrhage - Medium - Innate +10;200
105161;Hemorrhage - Medium - Innate +11;200
105162;Hemorrhage - Medium - Innate +12;200
105163;Hemorrhage - Medium - Innate +13;200
105164;Hemorrhage - Medium - Innate +14;200
105165;Hemorrhage - Medium - Innate +15;200
105166;Hemorrhage - Medium - Innate +16;200
105167;Hemorrhage - Medium - Innate +17;200
105168;Hemorrhage - Medium - Innate +18;200
105169;Hemorrhage - Medium - Innate +19;200
105170;Hemorrhage - Medium - Innate +20;200
105171;Hemorrhage - Medium - Innate +21;200
105172;Hemorrhage - Medium - Innate +22;200
105173;Hemorrhage - Medium - Innate +23;200
105174;Hemorrhage - Medium - Innate +24;200
105175;Hemorrhage - Medium - Innate +25;200
105200;Hemorrhage - High - Addition +0;100
105201;Hemorrhage - High - Addition +1;100
105202;Hemorrhage - High - Addition +2;100
105203;Hemorrhage - High - Addition +3;100
105204;Hemorrhage - High - Addition +4;100
105205;Hemorrhage - High - Addition +5;100
105206;Hemorrhage - High - Addition +6;100
105207;Hemorrhage - High - Addition +7;100
105208;Hemorrhage - High - Addition +8;100
105209;Hemorrhage - High - Addition +9;100
105210;Hemorrhage - High - Addition +10;100
105211;Hemorrhage - High - Addition +11;100
105212;Hemorrhage - High - Addition +12;100
105213;Hemorrhage - High - Addition +13;100
105214;Hemorrhage - High - Addition +14;100
105215;Hemorrhage - High - Addition +15;100
105216;Hemorrhage - High - Addition +16;100
105217;Hemorrhage - High - Addition +17;100
105218;Hemorrhage - High - Addition +18;100
105219;Hemorrhage - High - Addition +19;100
105220;Hemorrhage - High - Addition +20;100
105221;Hemorrhage - High - Addition +21;100
105222;Hemorrhage - High - Addition +22;100
105223;Hemorrhage - High - Addition +23;100
105224;Hemorrhage - High - Addition +24;100
105225;Hemorrhage - High - Addition +25;100
105250;Hemorrhage - High - Innate +0;200
105251;Hemorrhage - High - Innate +1;200
105252;Hemorrhage - High - Innate +2;200
105253;Hemorrhage - High - Innate +3;200
105254;Hemorrhage - High - Innate +4;200
105255;Hemorrhage - High - Innate +5;200
105256;Hemorrhage - High - Innate +6;200
105257;Hemorrhage - High - Innate +7;200
105258;Hemorrhage - High - Innate +8;200
105259;Hemorrhage - High - Innate +9;200
105260;Hemorrhage - High - Innate +10;200
105261;Hemorrhage - High - Innate +11;200
105262;Hemorrhage - High - Innate +12;200
105263;Hemorrhage - High - Innate +13;200
105264;Hemorrhage - High - Innate +14;200
105265;Hemorrhage - High - Innate +15;200
105266;Hemorrhage - High - Innate +16;200
105267;Hemorrhage - High - Innate +17;200
105268;Hemorrhage - High - Innate +18;200
105269;Hemorrhage - High - Innate +19;200
105270;Hemorrhage - High - Innate +20;200
105271;Hemorrhage - High - Innate +21;200
105272;Hemorrhage - High - Innate +22;200
105273;Hemorrhage - High - Innate +23;200
105274;Hemorrhage - High - Innate +24;200
105275;Hemorrhage - High - Innate +25;200
106000;Poison - Low - Addition +0;7
106001;Poison - Low - Addition +1;7
106002;Poison - Low - Addition +2;7
106003;Poison - Low - Addition +3;7
106004;Poison - Low - Addition +4;7
106005;Poison - Low - Addition +5;7
106006;Poison - Low - Addition +6;7
106007;Poison - Low - Addition +7;7
106008;Poison - Low - Addition +8;7
106009;Poison - Low - Addition +9;7
106010;Poison - Low - Addition +10;7
106011;Poison - Low - Addition +11;7
106012;Poison - Low - Addition +12;7
106013;Poison - Low - Addition +13;7
106014;Poison - Low - Addition +14;7
106015;Poison - Low - Addition +15;7
106016;Poison - Low - Addition +16;7
106017;Poison - Low - Addition +17;7
106018;Poison - Low - Addition +18;7
106019;Poison - Low - Addition +19;7
106020;Poison - Low - Addition +20;7
106021;Poison - Low - Addition +21;7
106022;Poison - Low - Addition +22;7
106023;Poison - Low - Addition +23;7
106024;Poison - Low - Addition +24;7
106025;Poison - Low - Addition +25;7
106050;Poison - Low - Innate +0;14
106051;Poison - Low - Innate +1;14
106052;Poison - Low - Innate +2;14
106053;Poison - Low - Innate +3;14
106054;Poison - Low - Innate +4;14
106055;Poison - Low - Innate +5;14
106056;Poison - Low - Innate +6;14
106057;Poison - Low - Innate +7;14
106058;Poison - Low - Innate +8;14
106059;Poison - Low - Innate +9;14
106060;Poison - Low - Innate +10;14
106061;Poison - Low - Innate +11;14
106062;Poison - Low - Innate +12;14
106063;Poison - Low - Innate +13;14
106064;Poison - Low - Innate +14;14
106065;Poison - Low - Innate +15;14
106066;Poison - Low - Innate +16;14
106067;Poison - Low - Innate +17;14
106068;Poison - Low - Innate +18;14
106069;Poison - Low - Innate +19;14
106070;Poison - Low - Innate +20;14
106071;Poison - Low - Innate +21;14
106072;Poison - Low - Innate +22;14
106073;Poison - Low - Innate +23;14
106074;Poison - Low - Innate +24;14
106075;Poison - Low - Innate +25;14
106100;Poison - Medium - Addition +0;7
106101;Poison - Medium - Addition +1;7
106102;Poison - Medium - Addition +2;7
106103;Poison - Medium - Addition +3;7
106104;Poison - Medium - Addition +4;7
106105;Poison - Medium - Addition +5;7
106106;Poison - Medium - Addition +6;7
106107;Poison - Medium - Addition +7;7
106108;Poison - Medium - Addition +8;7
106109;Poison - Medium - Addition +9;7
106110;Poison - Medium - Addition +10;7
106111;Poison - Medium - Addition +11;7
106112;Poison - Medium - Addition +12;7
106113;Poison - Medium - Addition +13;7
106114;Poison - Medium - Addition +14;7
106115;Poison - Medium - Addition +15;7
106116;Poison - Medium - Addition +16;7
106117;Poison - Medium - Addition +17;7
106118;Poison - Medium - Addition +18;7
106119;Poison - Medium - Addition +19;7
106120;Poison - Medium - Addition +20;7
106121;Poison - Medium - Addition +21;7
106122;Poison - Medium - Addition +22;7
106123;Poison - Medium - Addition +23;7
106124;Poison - Medium - Addition +24;7
106125;Poison - Medium - Addition +25;7
106150;Poison - Medium - Innate +0;14
106151;Poison - Medium - Innate +1;14
106152;Poison - Medium - Innate +2;14
106153;Poison - Medium - Innate +3;14
106154;Poison - Medium - Innate +4;14
106155;Poison - Medium - Innate +5;14
106156;Poison - Medium - Innate +6;14
106157;Poison - Medium - Innate +7;14
106158;Poison - Medium - Innate +8;14
106159;Poison - Medium - Innate +9;14
106160;Poison - Medium - Innate +10;14
106161;Poison - Medium - Innate +11;14
106162;Poison - Medium - Innate +12;14
106163;Poison - Medium - Innate +13;14
106164;Poison - Medium - Innate +14;14
106165;Poison - Medium - Innate +15;14
106166;Poison - Medium - Innate +16;14
106167;Poison - Medium - Innate +17;14
106168;Poison - Medium - Innate +18;14
106169;Poison - Medium - Innate +19;14
106170;Poison - Medium - Innate +20;14
106171;Poison - Medium - Innate +21;14
106172;Poison - Medium - Innate +22;14
106173;Poison - Medium - Innate +23;14
106174;Poison - Medium - Innate +24;14
106175;Poison - Medium - Innate +25;14
106200;Poison - High - Addition +0;7
106201;Poison - High - Addition +1;7
106202;Poison - High - Addition +2;7
106203;Poison - High - Addition +3;7
106204;Poison - High - Addition +4;7
106205;Poison - High - Addition +5;7
106206;Poison - High - Addition +6;7
106207;Poison - High - Addition +7;7
106208;Poison - High - Addition +8;7
106209;Poison - High - Addition +9;7
106210;Poison - High - Addition +10;7
106211;Poison - High - Addition +11;7
106212;Poison - High - Addition +12;7
106213;Poison - High - Addition +13;7
106214;Poison - High - Addition +14;7
106215;Poison - High - Addition +15;7
106216;Poison - High - Addition +16;7
106217;Poison - High - Addition +17;7
106218;Poison - High - Addition +18;7
106219;Poison - High - Addition +19;7
106220;Poison - High - Addition +20;7
106221;Poison - High - Addition +21;7
106222;Poison - High - Addition +22;7
106223;Poison - High - Addition +23;7
106224;Poison - High - Addition +24;7
106225;Poison - High - Addition +25;7
106250;Poison - High - Innate +0;14
106251;Poison - High - Innate +1;14
106252;Poison - High - Innate +2;14
106253;Poison - High - Innate +3;14
106254;Poison - High - Innate +4;14
106255;Poison - High - Innate +5;14
106256;Poison - High - Innate +6;14
106257;Poison - High - Innate +7;14
106258;Poison - High - Innate +8;14
106259;Poison - High - Innate +9;14
106260;Poison - High - Innate +10;14
106261;Poison - High - Innate +11;14
106262;Poison - High - Innate +12;14
106263;Poison - High - Innate +13;14
106264;Poison - High - Innate +14;14
106265;Poison - High - Innate +15;14
106266;Poison - High - Innate +16;14
106267;Poison - High - Innate +17;14
106268;Poison - High - Innate +18;14
106269;Poison - High - Innate +19;14
106270;Poison - High - Innate +20;14
106271;Poison - High - Innate +21;14
106272;Poison - High - Innate +22;14
106273;Poison - High - Innate +23;14
106274;Poison - High - Innate +24;14
106275;Poison - High - Innate +25;14
107000;Scarlet Rot - Low - Addition +0;15
107001;Scarlet Rot - Low - Addition +1;15
107002;Scarlet Rot - Low - Addition +2;15
107003;Scarlet Rot - Low - Addition +3;15
107004;Scarlet Rot - Low - Addition +4;15
107005;Scarlet Rot - Low - Addition +5;15
107006;Scarlet Rot - Low - Addition +6;15
107007;Scarlet Rot - Low - Addition +7;15
107008;Scarlet Rot - Low - Addition +8;15
107009;Scarlet Rot - Low - Addition +9;15
107010;Scarlet Rot - Low - Addition +10;15
107011;Scarlet Rot - Low - Addition +11;15
107012;Scarlet Rot - Low - Addition +12;15
107013;Scarlet Rot - Low - Addition +13;15
107014;Scarlet Rot - Low - Addition +14;15
107015;Scarlet Rot - Low - Addition +15;15
107016;Scarlet Rot - Low - Addition +16;15
107017;Scarlet Rot - Low - Addition +17;15
107018;Scarlet Rot - Low - Addition +18;15
107019;Scarlet Rot - Low - Addition +19;15
107020;Scarlet Rot - Low - Addition +20;15
107021;Scarlet Rot - Low - Addition +21;15
107022;Scarlet Rot - Low - Addition +22;15
107023;Scarlet Rot - Low - Addition +23;15
107024;Scarlet Rot - Low - Addition +24;15
107025;Scarlet Rot - Low - Addition +25;15
107050;Scarlet Rot - Low - Innate +0;15
107051;Scarlet Rot - Low - Innate +1;15
107052;Scarlet Rot - Low - Innate +2;15
107053;Scarlet Rot - Low - Innate +3;15
107054;Scarlet Rot - Low - Innate +4;15
107055;Scarlet Rot - Low - Innate +5;15
107056;Scarlet Rot - Low - Innate +6;15
107057;Scarlet Rot - Low - Innate +7;15
107058;Scarlet Rot - Low - Innate +8;15
107059;Scarlet Rot - Low - Innate +9;15
107060;Scarlet Rot - Low - Innate +10;15
107061;Scarlet Rot - Low - Innate +11;15
107062;Scarlet Rot - Low - Innate +12;15
107063;Scarlet Rot - Low - Innate +13;15
107064;Scarlet Rot - Low - Innate +14;15
107065;Scarlet Rot - Low - Innate +15;15
107066;Scarlet Rot - Low - Innate +16;15
107067;Scarlet Rot - Low - Innate +17;15
107068;Scarlet Rot - Low - Innate +18;15
107069;Scarlet Rot - Low - Innate +19;15
107070;Scarlet Rot - Low - Innate +20;15
107071;Scarlet Rot - Low - Innate +21;15
107072;Scarlet Rot - Low - Innate +22;15
107073;Scarlet Rot - Low - Innate +23;15
107074;Scarlet Rot - Low - Innate +24;15
107075;Scarlet Rot - Low - Innate +25;15
107100;Scarlet Rot - Medium - Addition +0;15
107101;Scarlet Rot - Medium - Addition +1;15
107102;Scarlet Rot - Medium - Addition +2;15
107103;Scarlet Rot - Medium - Addition +3;15
107104;Scarlet Rot - Medium - Addition +4;15
107105;Scarlet Rot - Medium - Addition +5;15
107106;Scarlet Rot - Medium - Addition +6;15
107107;Scarlet Rot - Medium - Addition +7;15
107108;Scarlet Rot - Medium - Addition +8;15
107109;Scarlet Rot - Medium - Addition +9;15
107110;Scarlet Rot - Medium - Addition +10;15
107111;Scarlet Rot - Medium - Addition +11;15
107112;Scarlet Rot - Medium - Addition +12;15
107113;Scarlet Rot - Medium - Addition +13;15
107114;Scarlet Rot - Medium - Addition +14;15
107115;Scarlet Rot - Medium - Addition +15;15
107116;Scarlet Rot - Medium - Addition +16;15
107117;Scarlet Rot - Medium - Addition +17;15
107118;Scarlet Rot - Medium - Addition +18;15
107119;Scarlet Rot - Medium - Addition +19;15
107120;Scarlet Rot - Medium - Addition +20;15
107121;Scarlet Rot - Medium - Addition +21;15
107122;Scarlet Rot - Medium - Addition +22;15
107123;Scarlet Rot - Medium - Addition +23;15
107124;Scarlet Rot - Medium - Addition +24;15
107125;Scarlet Rot - Medium - Addition +25;15
107150;Scarlet Rot - Medium - Innate +0;15
107151;Scarlet Rot - Medium - Innate +1;15
107152;Scarlet Rot - Medium - Innate +2;15
107153;Scarlet Rot - Medium - Innate +3;15
107154;Scarlet Rot - Medium - Innate +4;15
107155;Scarlet Rot - Medium - Innate +5;15
107156;Scarlet Rot - Medium - Innate +6;15
107157;Scarlet Rot - Medium - Innate +7;15
107158;Scarlet Rot - Medium - Innate +8;15
107159;Scarlet Rot - Medium - Innate +9;15
107160;Scarlet Rot - Medium - Innate +10;15
107161;Scarlet Rot - Medium - Innate +11;15
107162;Scarlet Rot - Medium - Innate +12;15
107163;Scarlet Rot - Medium - Innate +13;15
107164;Scarlet Rot - Medium - Innate +14;15
107165;Scarlet Rot - Medium - Innate +15;15
107166;Scarlet Rot - Medium - Innate +16;15
107167;Scarlet Rot - Medium - Innate +17;15
107168;Scarlet Rot - Medium - Innate +18;15
107169;Scarlet Rot - Medium - Innate +19;15
107170;Scarlet Rot - Medium - Innate +20;15
107171;Scarlet Rot - Medium - Innate +21;15
107172;Scarlet Rot - Medium - Innate +22;15
107173;Scarlet Rot - Medium - Innate +23;15
107174;Scarlet Rot - Medium - Innate +24;15
107175;Scarlet Rot - Medium - Innate +25;15
107200;Scarlet Rot - High - Addition +0;15
107201;Scarlet Rot - High - Addition +1;15
107202;Scarlet Rot - High - Addition +2;15
107203;Scarlet Rot - High - Addition +3;15
107204;Scarlet Rot - High - Addition +4;15
107205;Scarlet Rot - High - Addition +5;15
107206;Scarlet Rot - High - Addition +6;15
107207;Scarlet Rot - High - Addition +7;15
107208;Scarlet Rot - High - Addition +8;15
107209;Scarlet Rot - High - Addition +9;15
107210;Scarlet Rot - High - Addition +10;15
