Row ID;Row Name;disableParam_NT;srcAreaNo;srcGridXNo;srcGridZNo;srcPosX;srcPosY;srcPosZ;dstAreaNo;dstGridXNo;dstGridZNo;dstPosX;dstPosY;dstPosZ;isBasePoint
159;;1;30;15;0;0;0;0;60;48;36;0;0;0;1;
160;;1;30;15;0;0;0;0;60;49;36;-256;0;0;1;
161;;1;30;16;0;0;0;0;60;52;40;0;0;256;1;
162;;1;30;17;0;0;0;0;60;50;53;0;0;0;1;
163;;1;30;17;0;0;0;0;60;50;54;0;0;-256;1;
164;;1;30;18;0;0;0;0;60;50;53;0;0;0;1;
165;;1;30;18;0;0;0;0;60;50;54;0;0;-256;1;
166;;1;30;19;0;0;0;0;60;49;55;256;0;0;1;
167;;1;30;19;0;0;0;0;60;50;55;0;0;0;1;
168;;1;30;20;0;0;0;0;60;48;53;256;0;256;1;
169;;1;30;20;0;0;0;0;60;48;54;256;0;0;1;
170;;1;30;20;0;0;0;0;60;49;53;0;0;256;1;
171;;1;30;20;0;0;0;0;60;49;54;0;0;0;1;
172;;1;31;0;0;0;0;0;60;43;37;0;0;0;1;
173;;1;31;1;0;-106;-3;-43;60;44;34;-106;-3;-43;1;
174;;1;31;2;0;0;0;0;60;42;33;0;0;0;1;
175;;0;31;3;0;0;0;0;60;42;37;0;0;0;1;
176;;1;31;4;0;10;240;-35;60;39;40;10;240;-35;1;
177;;1;31;5;0;0;0;0;60;36;41;256;0;0;1;
178;;1;31;5;0;0;0;0;60;37;41;0;0;0;1;
179;;1;31;6;0;74;240;118;60;34;45;74;240;118;1;
180;;1;31;6;0;74;240;118;60;34;46;74;240;-138;1;
181;;1;31;7;0;0;0;0;60;37;53;0;0;0;1;
182;;1;31;7;0;0;0;0;60;37;54;0;0;-256;1;
183;;1;31;9;0;0;0;0;60;37;55;0;0;0;1;
184;;1;31;10;0;0;0;0;60;51;40;0;0;0;1;
185;;1;31;11;0;0;0;0;60;50;39;0;0;0;1;
186;;1;31;12;0;0;0;0;60;50;56;0;0;0;1;
187;;0;31;15;0;0;0;0;60;41;35;0;0;256;1;
188;;0;31;15;0;0;0;0;60;41;36;0;0;0;1;
189;;0;31;17;0;0;0;0;60;43;39;0;0;0;1;
190;;1;31;18;0;0;0;0;60;41;51;0;0;0;1;
191;;1;31;18;0;0;0;0;32;5;0;0;0;-256;1;
192;;1;31;19;0;0;0;0;60;37;52;0;0;0;1;
193;;1;31;20;0;0;0;0;60;48;39;0;0;0;1;
194;;1;31;20;0;0;0;0;60;49;39;-256;0;0;1;
195;;1;31;21;0;-256;0;0;60;46;38;0;0;0;1;
196;;1;31;21;0;0;0;0;60;47;38;0;0;0;1;
197;;1;31;22;0;0;0;0;60;53;56;0;0;0;1;
198;;1;31;22;0;0;0;0;60;53;57;0;0;-256;1;
199;;1;32;0;0;36;28;-68;60;43;33;36;28;-68;1;
200;;0;32;1;0;127;69;-8;60;42;37;127;69;-8;1;
201;;0;32;1;0;127;69;-8;60;43;37;-129;69;-8;1;
202;;1;32;2;0;-112;244;26;60;36;47;144;244;26;1;
203;;1;32;2;0;-112;244;26;60;37;47;-112;244;26;1;
204;;1;32;4;0;0;0;0;60;38;52;256;0;256;1;
205;;1;32;4;0;0;0;0;60;38;53;256;0;0;1;
206;;1;32;4;0;0;0;0;60;39;52;0;0;256;1;
207;;1;32;4;0;0;0;0;60;39;53;0;0;0;1;
208;;1;32;5;0;0;0;0;60;41;52;0;0;0;1;
209;;1;32;7;0;0;0;0;60;46;39;0;0;0;1;
210;;1;32;7;0;0;0;0;60;46;40;0;0;-256;1;
211;;1;32;7;0;0;0;0;60;47;39;-256;0;0;1;
212;;1;32;8;0;0;0;0;60;49;39;0;0;0;1;
213;;1;32;11;0;0;0;0;60;47;55;0;0;0;1;
214;;1;34;10;0;124.617;-265.608;26.331;60;45;36;-1024;8;512;1;
215;;1;34;11;0;0;0;0;60;39;44;-26.6;400.5;38.3;1;
216;;1;34;12;0;0;0;0;60;43;50;0;0;0;1;
217;;1;34;13;0;0;0;0;60;49;41;0;0;0;1;
218;;1;34;13;0;512;0;-512;60;51;39;0;0;0;1;
219;;1;34;14;0;0;0;0;60;47;51;-495.321;1085.5;135.436;1;
220;;1;34;15;0;22;-272;82;60;51;46;0;0;0;1;
221;;1;34;16;0;0;0;0;60;39;44;-26.6;400.5;38.3;1;
222;;1;37;0;0;130.4;-13.36;76.8;37;2;0;130.4;-13.36;76.8;1;
223;;1;37;0;0;49.69;-43.037;149.906;70;40;49;-0.455;266.321;185.292;1;
224;;1;37;0;0;49.69;-43.037;149.906;70;40;50;-0.455;266.321;-70.708;1;
225;;1;37;0;0;49.69;-43.037;149.906;70;40;51;-0.455;266.321;-326.708;1;
226;;1;37;0;0;49.69;-43.037;149.906;70;41;50;-256.455;266.321;-70.708;1;
227;;1;37;1;0;-104.23;4.51;63.12;37;2;0;-104.23;4.51;63.12;1;
228;;1;37;1;0;-126.63;-0.45;93.45;70;39;50;99.12;297.96;-96.94;1;
229;;1;37;2;0;-107.27;1.83;-26.2;37;3;0;-107.27;1.83;-27.01323;1;
230;;1;37;3;0;-110.95;1.79;-82.54799;70;39;49;74.82;392.35;-28.19;1;
231;;1;38;10;0;0;0;-416;38;11;0;0;0;256;1;
232;;1;38;11;0;0;0;-160;38;12;0;0;0;256;1;
233;;1;39;0;0;384;0;0;70;50;51;-53.76;27.572;-10.122;1;
234;;1;39;20;0;121;482;-1520;60;37;50;169.8;647.6;-103.4;1;
235;;1;39;20;0;121;482;-1520;60;37;51;169.8;647.6;-359.4;1;
236;;1;39;20;0;121;482;-1520;60;38;50;-86.2;647.6;-103.4;1;
