Row ID;Row Name;Weather SFX ID;Wind SFX ID;Ground Hit SFX ID;Sound ID;Wet Time;GPARAM ID;Next Weather Lot - Min Duration;Next Weather Lot - Max Duration;Wet SpEffect [0];Wet SpEffect [1];Wet SpEffect [2];Wet SpEffect [3];Wet SpEffect [4];Weather SFX - Indoors Only - SFX ID;Weather SFX - Outdoors Only - SFX ID;AI Sight Rate;Overwrite Weight Valuue in Distant View Camera
4110;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
4111;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
4140;;806120;808006;-1;-1;20;694;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.3
4201;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
4210;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
4211;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
4220;;806100;808006;1004010;806100;20;0;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;0.3
4221;;806100;808006;1004010;806100;20;0;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
4230;;806130;808004;1004010;806130;20;0;2400;5200;4652;4602;-1;-1;-1;-1;806132;0.8;0.3
4231;;-1;808004;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.3
4240;;806120;808006;-1;-1;20;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;0.3
4241;;806121;808006;-1;-1;20;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;0.9;0.3
4250;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;0.9;0.3
4251;;-1;808006;-1;-1;-1;0;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
4252;;806100;808006;1004010;806100;20;0;3600;7200;4650;4600;-1;-1;-1;-1;-1;0.8;0.3
4260;;-1;808004;-1;-1;-1;0;2400;5200;-1;-1;-1;-1;-1;-1;-1;1;-1
100030;;806130;808004;1004010;806130;20;0;2400;5200;4652;4602;-1;-1;-1;-1;806132;0.8;-1
100031;;-1;808007;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
110020;;806100;808006;1004010;806100;20;115;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;0.3
110021;;806100;808006;1004010;806100;20;116;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
110521;;806100;808006;1004010;806100;20;116;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
111001;;811115;808006;-1;-1;-1;112;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
111060;;-1;808006;-1;-1;-1;111;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
117111;;-1;808006;-1;-1;-1;119;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
120311;;-1;808006;-1;-1;-1;120;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
130001;;-1;808006;-1;-1;-1;130;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
130010;;-1;808006;-1;-1;-1;130;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
130011;;-1;808006;-1;-1;-1;130;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
130030;;806130;808004;1004010;806130;20;131;2400;5200;4652;4602;-1;-1;-1;-1;806132;0.8;0.3
130060;;-1;808006;-1;-1;-1;130;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
140001;;-1;808006;-1;-1;-1;140;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
140020;;806100;808006;1004010;806100;20;80;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;-1
150040;;806120;808006;-1;-1;20;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
341021;;806100;808006;1004010;806100;20;148;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
341051;;-1;808006;-1;-1;-1;149;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
341121;;806100;808006;1004010;806100;20;148;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
341151;;-1;808006;-1;-1;-1;149;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
341251;;-1;808006;-1;-1;-1;149;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
341351;;-1;808006;-1;-1;-1;149;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
341421;;806100;808006;1004010;806100;20;116;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
341450;;-1;808006;-1;-1;-1;118;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
341451;;-1;808006;-1;-1;-1;117;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
341501;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
341510;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
341511;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
341520;;806100;808006;1004010;806100;20;0;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;0.3
341521;;806100;808006;1004010;806100;20;0;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;0.3
341550;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;0.9;0.3
341551;;-1;808006;-1;-1;-1;0;2400;5200;-1;-1;-1;-1;-1;-1;-1;0.8;0.3
392010;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
392011;;-1;808006;-1;-1;-1;0;3600;7200;-1;-1;-1;-1;-1;-1;-1;1;-1
392020;;806100;808006;1004010;806100;20;0;3600;7200;4650;4600;-1;-1;-1;-1;-1;1;-1
392021;;806100;808006;1004010;806100;20;0;2400;5200;4651;4601;-1;-1;-1;-1;-1;0.9;-1
392030;;806130;808004;1004010;806130;20;0;2400;5200;4652;4602;-1;-1;-1;-1;806132;0.8;-1
