Row ID;Row Name;Disable Param - Network Test;Source Map Area;Source Map Block;Source Map Region;Source Map Coordinate: X;Source Map Coordinate: Y;Source Map Coordinate: Z;Destination Map Area;Destination Map Block;Destination Map Region;Destination Map Coordinate: X;Destination Map Coordinate: Y;Destination Map Coordinate: Z;Is Reference Connection Point
122;;True;12;2;0;1271.37;-809.288;1135.411;12;8;0;1271.37;-809.288;1135.411;True
123;;True;12;2;0;1192.549;-611.833;1637.627;12;9;0;1192.549;-611.833;1637.627;True
124;;True;12;3;0;672.648;-397.374;228.076;35;0;0;1007.321;-1087.521;632.564;True
125;;True;12;4;0;0;0;0;60;34;41;0;0;0;True
126;;True;12;5;0;0;0;0;60;51;38;-2000;370;-1250;True
127;;True;12;7;0;599.083;-494.007;975.002;60;45;36;-40.917;-64.378;79.001;True
128;;True;12;7;0;736.052;-402.611;1164.386;60;45;37;96.052;27.018;12.385;True
129;;True;13;0;0;0;0;0;60;54;53;0;0;0;True
130;;True;14;0;0;0;0;0;60;35;45;-112.058;310.577;194.278;True
131;;True;14;0;0;0;0;0;60;35;46;-112.058;310.577;-61.722;True
132;;True;14;0;0;-256;0;-256;31;6;0;-112.058;310.577;-61.722;True
133;;True;15;0;0;0;0;0;60;48;57;0;0;0;False
134;;True;16;0;0;-10.16;-1.171;15.894;60;36;53;1.742;977.781;125.753;True
135;;True;16;0;0;-10.16;-1.171;15.894;60;36;54;1.742;977.781;-130.247;True
136;;True;16;0;0;244.193;-978.823;-365.855;60;37;52;0;0;0;True
137;;True;18;0;0;-1;-1;2;60;42;35;146;15;156;True
138;;True;18;0;0;-1;-1;2;60;42;36;146;15;-100;True
139;;True;30;0;0;-95;56;74;60;43;33;-95;56;74;True
140;;True;30;0;0;-95;56;74;60;43;34;-95;56;-182;True
141;;True;30;1;0;-59;38.5;-69;60;45;34;-59;38.5;-69;True
142;;False;30;2;0;0;0;0;60;41;37;0;0;0;True
143;;True;30;3;0;0;0;0;60;33;43;0;0;0;True
144;;False;30;4;0;86;67;62;60;43;38;86;67;62;True
145;;False;30;4;0;86;67;62;60;44;38;-170;67;62;True
146;;True;30;5;0;-73;427;112;60;39;48;-73;427;112;True
147;;True;30;6;0;0;0;0;60;39;41;0;0;0;True
148;;True;30;7;0;0;0;0;60;37;52;256;0;0;True
149;;True;30;7;0;0;0;0;60;38;52;0;0;0;True
150;;True;30;8;0;0;0;0;60;40;52;0;0;0;True
151;;True;30;9;0;0;0;0;60;37;53;0;0;0;True
152;;True;30;10;0;0;0;0;60;45;51;0;0;0;True
153;;True;30;10;0;0;0;0;60;45;52;0;0;-256;True
154;;True;30;11;0;0;0;0;60;43;39;0;0;0;True
155;;True;30;12;0;0;0;0;60;36;51;0;0;0;True
156;;True;30;13;0;0;0;0;60;45;52;0;0;0;True
157;;True;30;14;0;0;0;0;60;47;40;0;0;0;True
158;;True;30;14;0;0;0;0;60;47;41;0;0;-256;True
159;;True;30;15;0;0;0;0;60;48;36;0;0;0;True
160;;True;30;15;0;0;0;0;60;49;36;-256;0;0;True
161;;True;30;16;0;0;0;0;60;52;40;0;0;256;True
162;;True;30;17;0;0;0;0;60;50;53;0;0;0;True
163;;True;30;17;0;0;0;0;60;50;54;0;0;-256;True
164;;True;30;18;0;0;0;0;60;50;53;0;0;0;True
165;;True;30;18;0;0;0;0;60;50;54;0;0;-256;True
166;;True;30;19;0;0;0;0;60;49;55;256;0;0;True
167;;True;30;19;0;0;0;0;60;50;55;0;0;0;True
168;;True;30;20;0;0;0;0;60;48;53;256;0;256;True
169;;True;30;20;0;0;0;0;60;48;54;256;0;0;True
170;;True;30;20;0;0;0;0;60;49;53;0;0;256;True
171;;True;30;20;0;0;0;0;60;49;54;0;0;0;True
172;;True;31;0;0;0;0;0;60;43;37;0;0;0;True
173;;True;31;1;0;-106;-3;-43;60;44;34;-106;-3;-43;True
174;;True;31;2;0;0;0;0;60;42;33;0;0;0;True
175;;False;31;3;0;0;0;0;60;42;37;0;0;0;True
176;;True;31;4;0;10;240;-35;60;39;40;10;240;-35;True
177;;True;31;5;0;0;0;0;60;36;41;256;0;0;True
178;;True;31;5;0;0;0;0;60;37;41;0;0;0;True
179;;True;31;6;0;74;240;118;60;34;45;74;240;118;True
180;;True;31;6;0;74;240;118;60;34;46;74;240;-138;True
181;;True;31;7;0;0;0;0;60;37;53;0;0;0;True
182;;True;31;7;0;0;0;0;60;37;54;0;0;-256;True
183;;True;31;9;0;0;0;0;60;37;55;0;0;0;True
184;;True;31;10;0;0;0;0;60;51;40;0;0;0;True
185;;True;31;11;0;0;0;0;60;50;39;0;0;0;True
186;;True;31;12;0;0;0;0;60;50;56;0;0;0;True
187;;False;31;15;0;0;0;0;60;41;35;0;0;256;True
188;;False;31;15;0;0;0;0;60;41;36;0;0;0;True
189;;False;31;17;0;0;0;0;60;43;39;0;0;0;True
190;;True;31;18;0;0;0;0;60;41;51;0;0;0;True
191;;True;31;18;0;0;0;0;32;5;0;0;0;-256;True
192;;True;31;19;0;0;0;0;60;37;52;0;0;0;True
193;;True;31;20;0;0;0;0;60;48;39;0;0;0;True
194;;True;31;20;0;0;0;0;60;49;39;-256;0;0;True
195;;True;31;21;0;-256;0;0;60;46;38;0;0;0;True
196;;True;31;21;0;0;0;0;60;47;38;0;0;0;True
197;;True;31;22;0;0;0;0;60;53;56;0;0;0;True
198;;True;31;22;0;0;0;0;60;53;57;0;0;-256;True
199;;True;32;0;0;36;28;-68;60;43;33;36;28;-68;True
200;;False;32;1;0;127;69;-8;60;42;37;127;69;-8;True
201;;False;32;1;0;127;69;-8;60;43;37;-129;69;-8;True
202;;True;32;2;0;-112;244;26;60;36;47;144;244;26;True
203;;True;32;2;0;-112;244;26;60;37;47;-112;244;26;True
204;;True;32;4;0;0;0;0;60;38;52;256;0;256;True
205;;True;32;4;0;0;0;0;60;38;53;256;0;0;True
206;;True;32;4;0;0;0;0;60;39;52;0;0;256;True
207;;True;32;4;0;0;0;0;60;39;53;0;0;0;True
208;;True;32;5;0;0;0;0;60;41;52;0;0;0;True
209;;True;32;7;0;0;0;0;60;46;39;0;0;0;True
210;;True;32;7;0;0;0;0;60;46;40;0;0;-256;True
211;;True;32;7;0;0;0;0;60;47;39;-256;0;0;True
212;;True;32;8;0;0;0;0;60;49;39;0;0;0;True
213;;True;32;11;0;0;0;0;60;47;55;0;0;0;True
214;;True;34;10;0;124.617;-265.608;26.331;60;45;36;-1024;8;512;True
215;;True;34;11;0;0;0;0;60;39;44;-26.6;400.5;38.3;True
216;;True;34;12;0;0;0;0;60;43;50;0;0;0;True
217;;True;34;13;0;0;0;0;60;49;41;0;0;0;True
218;;True;34;13;0;512;0;-512;60;51;39;0;0;0;True
219;;True;34;14;0;0;0;0;60;47;51;-495.321;1085.5;135.436;True
220;;True;34;15;0;22;-272;82;60;51;46;0;0;0;True
221;;True;34;16;0;0;0;0;60;39;44;-26.6;400.5;38.3;True
222;;True;37;0;0;130.4;-13.36;76.8;37;2;0;130.4;-13.36;76.8;True
223;;True;37;0;0;49.69;-43.037;149.906;70;40;49;-0.455;266.321;185.292;True
224;;True;37;0;0;49.69;-43.037;149.906;70;40;50;-0.455;266.321;-70.708;True
225;;True;37;0;0;49.69;-43.037;149.906;70;40;51;-0.455;266.321;-326.708;True
226;;True;37;0;0;49.69;-43.037;149.906;70;41;50;-256.455;266.321;-70.708;True
227;;True;37;1;0;-104.23;4.51;63.12;37;2;0;-104.23;4.51;63.12;True
228;;True;37;1;0;-126.63;-0.45;93.45;70;39;50;99.12;297.96;-96.94;True
229;;True;37;2;0;-107.27;1.83;-26.2;37;3;0;-107.27;1.83;-27.01323;True
230;;True;37;3;0;-110.95;1.79;-82.54799;70;39;49;74.82;392.35;-28.19;True
231;;True;38;10;0;0;0;-416;38;11;0;0;0;256;True
232;;True;38;11;0;0;0;-160;38;12;0;0;0;256;True
233;;True;39;0;0;384;0;0;70;50;51;-53.76;27.572;-10.122;True
234;;True;39;20;0;121;482;-1520;60;37;50;169.8;647.6;-103.4;True
235;;True;39;20;0;121;482;-1520;60;37;51;169.8;647.6;-359.4;True
236;;True;39;20;0;121;482;-1520;60;38;50;-86.2;647.6;-103.4;True
