Row ID;Row Name;Rider - Chr ID;Mount - Chr ID;Ride Camera Param ID;Rider - Chr Animation ID;Mount - Chr Animation ID;Mount - Adjust Dummy Poly ID;Mount - Check Dummy Poly ID;Rider/Mount - Ride Angle Tolerance;Mount Distance;Mount Distance - Max Height;Mount Distance - Min Height;Ride Angle Tolerance - Min;Ride Angle Tolerance - Max
350081101;Skeleton (Curved Sword) <> Dragon-faced Flamethrower;3500;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
405040601;Kaiden Sellsword <> Horse (Thick Mane);4050;4060;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
405040602;Kaiden Sellsword <> Horse (Thick Mane);4050;4060;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
405040603;Kaiden Sellsword <> Horse (Thick Mane);4050;4060;-1;3;3;513;-1;60;3;0.5;0.65;0;140
435043601;Castle Knight <> Knight's Horse;4350;4360;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
435043602;Castle Knight <> Knight's Horse;4350;4360;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
435043603;Castle Knight <> Knight's Horse;4350;4360;-1;3;3;513;-1;60;3;0.5;0.65;0;140
435143611;Godrick Knight <> Godrick Knight's Horse;4351;4361;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
435143612;Godrick Knight <> Godrick Knight's Horse;4351;4361;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
435143613;Godrick Knight <> Godrick Knight's Horse;4351;4361;-1;3;3;513;-1;60;3;0.5;0.65;0;140
435243621;Cuckoo Knight <> Godrick Knight's Horse;4352;4362;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
435243622;Cuckoo Knight <> Godrick Knight's Horse;4352;4362;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
435243623;Cuckoo Knight <> Godrick Knight's Horse;4352;4362;-1;3;3;513;-1;60;3;0.5;0.65;0;140
435343631;Leyndell Knight <> Leyndell Knight's Horse;4353;4363;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
435343632;Leyndell Knight <> Leyndell Knight's Horse;4353;4363;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
435343633;Leyndell Knight <> Leyndell Knight's Horse;4353;4363;-1;3;3;513;-1;60;3;0.5;0.65;0;140
435443641;Redmane Knight <> Redmane Knight's Horse;4354;4364;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
435443642;Redmane Knight <> Redmane Knight's Horse;4354;4364;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
435443643;Redmane Knight <> Redmane Knight's Horse;4354;4364;-1;3;3;513;-1;60;3;0.5;0.65;0;140
435543651;Mausoleum Knight <> Mausoleum Knight's Horse;4355;4365;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
435543652;Mausoleum Knight <> Mausoleum Knight's Horse;4355;4365;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
435543653;Mausoleum Knight <> Mausoleum Knight's Horse;4355;4365;-1;3;3;513;-1;60;3;0.5;0.65;0;140
435643661;Haligtree Knight <> Haligtree Knight's Horse;4356;4366;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
435643662;Haligtree Knight <> Haligtree Knight's Horse;4356;4366;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
435643663;Haligtree Knight <> Haligtree Knight's Horse;4356;4366;-1;3;3;513;-1;60;3;0.5;0.65;0;140
435843681;;4358;4368;-1;1;1;511;-1;60;4;0.5;0.65;140;-140
435843682;;4358;4368;-1;2;2;512;-1;60;3;0.5;0.65;-140;0
435843683;;4358;4368;-1;3;3;513;-1;60;3;0.5;0.65;0;140
437081001;Foot Soldier <> Ballista;4370;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
437081011;Foot Soldier <> Giant Ballista;4370;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
437081101;Foot Soldier <> Dragon-faced Flamethrower;4370;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
437181001;Godrick Foot Soldier <> Ballista;4371;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
437181011;Godrick Foot Soldier <> Giant Ballista;4371;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
437181101;Godrick Foot Soldier <> Dragon-faced Flamethrower;4371;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
437281001;Raya Lucaria Foot Soldier <> Ballista;4372;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
437281011;Raya Lucaria Foot Soldier <> Giant Ballista;4372;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
437281101;Raya Lucaria Foot Soldier <> Dragon-faced Flamethrower;4372;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
437381001;Leyndell Foot Soldier <> Ballista;4373;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
437381011;Leyndell Foot Soldier <> Giant Ballista;4373;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
437381101;Leyndell Foot Soldier <> Dragon-faced Flamethrower;4373;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
437481001;Radahn Foot Soldier <> Ballista;4374;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
437481011;Radahn Foot Soldier <> Giant Ballista;4374;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
437481101;Radahn Foot Soldier <> Dragon-faced Flamethrower;4374;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
437581001;Mausoleum Foot Soldier <> Ballista;4375;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
437581011;Mausoleum Foot Soldier <> Giant Ballista;4375;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
437581101;Mausoleum Foot Soldier <> Dragon-faced Flamethrower;4375;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
437681001;Haligtree Foot Soldier <> Ballista;4376;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
437681011;Haligtree Foot Soldier <> Giant Ballista;4376;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
437681101;Haligtree Foot Soldier <> Dragon-faced Flamethrower;4376;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
437781001;Highwayman <> Ballista;4377;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
437781011;Highwayman <> Giant Ballista;4377;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
437781101;Highwayman <> Dragon-faced Flamethrower;4377;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
473047400;Starscourge Radahn <> Leonard;4730;4740;-1;2;2;512;-1;60;3;0.5;0.65;-30;30
473047401;Starscourge Radahn <> Leonard;4730;4740;-1;2;2;512;-1;60;3;0.5;0.65;150;-150
473047402;Starscourge Radahn <> Leonard;4730;4740;-1;2;2;512;-1;60;3;0.5;0.65;-150;-30
473047403;Starscourge Radahn <> Leonard;4730;4740;-1;2;2;512;-1;60;3;0.5;0.65;30;150
495149500;Godrick Torso <> Godrick the Grafted;4951;4950;-1;2;2;512;-1;60;3;0.5;0.65;-30;30
495149501;Godrick Torso <> Godrick the Grafted;4951;4950;-1;2;2;512;-1;60;3;0.5;0.65;150;-150
495149502;Godrick Torso <> Godrick the Grafted;4951;4950;-1;2;2;512;-1;60;3;0.5;0.65;-150;-30
495149503;Godrick Torso <> Godrick the Grafted;4951;4950;-1;2;2;512;-1;60;3;0.5;0.65;30;150
