Row ID;Row Name;AI Volume Rate;On Hit [1] - SpEffect ID;On Hit [2] - SpEffect ID;Foot Effect Height Type 0;Foot Effect Height Type 1;Foot Effect Direction Type 0;Foot Effect Direction Type 1;Floor Height Type 0;Floor Height  Type 1;Disable Fall Damage;Is Hardness for Sound Reverb;Hardness Type;On Hit [0] - NG+1 - SpEffect ID;On Hit [0] - NG+2 - SpEffect ID;On Hit [0] - NG+3 - SpEffect ID;On Hit [0] - NG+4 - SpEffect ID;On Hit [0] - NG+5 - SpEffect ID;On Hit [0] - NG+6 - SpEffect ID;On Hit [0] - NG+7 - SpEffect ID;On Hit [1] - NG+1 - SpEffect ID;On Hit [2] - NG+2 - SpEffect ID;On Hit [3] - NG+3 - SpEffect ID;On Hit [4] - NG+4 - SpEffect ID;On Hit [5] - NG+5 - SpEffect ID;On Hit [6] - NG+6 - SpEffect ID;On Hit [7] - NG+7 - SpEffect ID;Rain - Replace Material ID;Wetness [0] - SpEffect ID;Wetness [1] - SpEffect ID;Wetness [2] - SpEffect ID;Wetness [3] - SpEffect ID;Wetness [4] - SpEffect ID
25;;1;4100;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4003;4500;4520;4521;-1
26;;1;-1;-1;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4003;-1;-1;-1;-1
27;;1;4101;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4010;4501;4510;4512;-1
28;;1;-1;-1;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
29;;1;-1;-1;False;False;False;False;False;False;False;True;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
30;;1;4200;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
31;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
32;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
33;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
34;;1;-1;-1;False;False;False;False;False;False;False;True;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
35;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
36;;1.75;-1;-1;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
37;;1.75;-1;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
38;;1;4100;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
39;;1;4101;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
40;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
43;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
44;Rain Dirt;1.75;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
45;;1;-1;-1;False;False;False;False;False;False;False;True;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
46;Scarlet Swamp;1;-1;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4052;4500;4550;4551;-1
47;;1;4101;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4050;4501;4550;4552;-1
48;;1;-1;-1;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
49;;1;-1;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4054;4500;4550;4551;-1
