Row ID;Row Name;Disable Param - Network Test;Sheath Position Type;Is Skeleton Bind;Right Hand - Dummy Poly - Model [0];Left Hand - Dummy Poly - Model [0];Both Hand - Dummy Poly - Model [0];Left Sheath - Dummy Poly - Model [0];Right Sheath - Dummy Poly - Model [0];Right Hand - Dummy Poly - Model [1];Left Hand - Dummy Poly - Model [1];Both Hand - Dummy Poly - Model [1];Left Sheath - Dummy Poly - Model [1];Right Sheath - Dummy Poly - Model [1];Right Hand - Dummy Poly - Model [2];Left Hand - Dummy Poly - Model [2];Both Hand - Dummy Poly - Model [2];Left Sheath - Dummy Poly - Model [2];Right Sheath - Dummy Poly - Model [2];Right Hand - Dummy Poly - Model [3];Left Hand - Dummy Poly - Model [3];Both Hand - Dummy Poly - Model [3];Left Sheath - Dummy Poly - Model [3];Right Sheath - Dummy Poly - Model [3];Hidden Type - Model [0];Hidden Type - Model [1];Hidden Type - Model [2];Hidden Type - Model [3];Left Both-Hand - Dummy Poly - Model [0];Left Both-Hand - Dummy Poly - Model [1];Left Both-Hand - Dummy Poly - Model [2];Left Both-Hand - Dummy Poly - Model [3];Display Position - Right Hand - Model [0];Display Position - Left Hand - Model [0];Display Position - Right Both-hand - Model [0];Display Position - Left Both-Hand - Model [0];Display Position - Right Sheath - Model [0];Display Position - Left Sheath - Model [0];Display Position - Right Hand - Model [1];Display Position - Left Hand - Model [1];Display Position - Right Both-hand - Model [1];Display Position - Left Both-Hand - Model [1];Display Position - Right Sheath - Model [1];Display Position - Left Sheath - Model [1];Display Position - Right Hand - Model [2];Display Position - Left Hand - Model [2];Display Position - Right Both-hand - Model [2];Display Position - Left Both-Hand - Model [2];Display Position - Right Sheath - Model [2];Display Position - Left Sheath - Model [2];Display Position - Right Hand - Model [3];Display Position - Left Hand - Model [3];Display Position - Right Both-hand - Model [3];Display Position - Left Both-Hand - Model [3];Display Position - Right Sheath - Model [3];Display Position - Left Sheath - Model [3]
10;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;;False;0;False;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;;False;0;False;20;21;24;2031;2030;2030;2031;2030;2031;2030;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;2031;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
21;;False;2;False;20;21;24;2036;2035;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
22;;False;0;False;115;116;115;2063;2064;2118;2119;2117;2119;2118;30;31;30;31;30;62;61;62;61;62;0;2;1;1;115;2117;31;61;0;0;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3
23;;False;0;False;20;21;24;2031;2030;2030;2031;2030;2031;2030;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;2031;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
24;;False;3;False;20;21;16;2114;2113;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;16;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
25;;False;2;False;20;21;24;2036;2035;2035;2036;2035;2036;2035;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;2036;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
26;;False;2;False;20;21;24;2036;2035;35;36;35;36;35;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;36;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
27;;False;0;False;20;21;24;2031;2030;2030;2031;2030;2031;2030;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;2031;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
28;;False;0;False;20;21;24;2031;2030;2030;2031;2030;2031;2030;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;2031;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
29;;False;1;False;20;21;24;2070;2069;2069;2070;2069;2070;2069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;2070;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
30;;False;0;False;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
31;;False;0;False;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
32;;False;2;False;20;21;24;2036;2035;35;36;35;36;35;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;36;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
33;;False;0;False;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
34;;False;0;False;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
35;;False;2;False;20;21;24;2036;2035;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
36;;False;3;False;20;21;24;2038;2037;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
37;;False;3;False;20;21;24;2038;2037;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
38;;False;3;False;20;21;24;2038;2037;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
39;;False;0;False;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
40;;False;2;False;20;21;24;2036;2035;35;36;35;36;35;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;36;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
41;;False;0;False;20;21;24;2049;2050;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
42;;False;0;False;115;116;115;2067;2065;2066;2068;2117;2068;2066;30;31;30;31;30;62;61;62;61;62;0;2;1;1;115;2117;31;61;0;0;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3
43;;False;0;False;20;21;24;2052;2051;51;52;51;52;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;52;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
44;;False;1;False;18;19;21;2040;2040;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;21;31;-1;-1;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
45;;False;1;False;20;21;21;2040;2040;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;21;31;-1;-1;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
46;;False;1;False;20;21;24;2039;2041;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
47;;False;1;False;97;98;415;2034;2033;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;415;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
48;;False;1;False;22;23;25;2048;2047;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;25;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
49;;False;1;False;22;23;25;2048;2047;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;25;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
50;;False;3;False;29;28;24;2038;2037;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;24;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
51;;False;1;False;18;19;21;2040;2040;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;21;31;-1;-1;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
100;;False;0;False;20;21;24;2052;2051;20;21;24;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;24;24;-1;-1;0;1;0;0;3;3;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3
101;;False;0;False;20;21;20;2062;2061;2062;2061;21;2061;2062;30;31;30;31;30;62;61;62;61;62;0;2;1;1;20;21;31;61;0;0;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3
110;;False;0;False;115;116;115;-1;-1;-1;-1;2117;-1;-1;30;31;30;31;30;62;61;62;61;62;0;2;1;1;115;2117;31;61;0;0;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3
260;;False;2;False;20;21;20;2036;2035;35;36;21;2035;2036;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;2;0;0;20;21;-1;-1;0;1;0;0;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3
410;;False;0;True;0;-1;0;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;-1;0;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
480;;False;1;False;420;23;420;2048;2047;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;0;0;420;31;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
10000;;False;1;False;20;21;24;31;30;30;31;21;31;30;30;31;30;31;30;31;30;31;30;31;0;2;1;1;24;21;31;30;0;1;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3
