Row ID;Row Name;Replace Texture ID - By Material
600171003;;False
600171004;;False
600171100;;False
600171101;;False
600171102;;False
600171103;;False
600171104;;False
600172000;;False
600172001;;False
600172002;;False
600172003;;False
600172004;;False
600172100;;False
600172101;;False
600172102;;False
600172103;;False
600172104;;False
600173000;;False
600173001;;False
600173002;;False
600173003;;False
600173004;;False
600173100;;False
600173101;;False
600173102;;False
600173103;;False
600173104;;False
601109000;;False
601109001;;False
601109002;;False
601109003;;False
601109004;;False
601109100;;False
601109101;;False
601109102;;False
601109103;;False
601109104;;False
700109000;;False
700109001;;False
700109002;;False
700109003;;False
700109004;;False
700109100;;False
700109101;;False
700109102;;False
700109103;;False
700109104;;False
700110000;;False
700110001;;False
700110002;;False
700110003;;False
700110004;;False
700110100;;False
700110101;;False
700110102;;False
700110103;;False
700110104;;False
700111000;;False
700111001;;False
700111002;;False
700111003;;False
700111004;;False
700111100;;False
700111101;;False
700111102;;False
700111103;;False
700111104;;False
700170000;;False
700170001;;False
700170002;;False
700170003;;False
700170004;;False
700170100;;False
700170101;;False
700170102;;False
700170103;;False
700170104;;False
700171000;;False
700171001;;False
700171002;;False
700171003;;False
700171004;;False
700171100;;False
700171101;;False
700171102;;False
700171103;;False
700171104;;False
700172000;;False
700172001;;False
700172002;;False
700172003;;False
700172004;;False
700172100;;False
700172101;;False
700172102;;False
700172103;;False
700172104;;False
700173000;;False
700173001;;False
700173002;;False
700173003;;False
700173004;;False
700173100;;False
700173101;;False
700173102;;False
700173103;;False
700173104;;False
