Row ID;Row Name;Is Head Equipment
1500000;Knight Helm;True
1600000;Greathood;True
1610000;;True
1700000;Godrick Soldier Helm;True
1710000;Raya Lucarian Helm;True
1720000;Leyndell Soldier Helm;True
1730000;Radahn Soldier Helm;True
1750000;Haligtree Helm;True
1760000;Gelmir Knight Helm;True
1770000;Godrick Knight Helm;True
1780000;Cuckoo Knight Helm;True
1790000;Leyndell Knight Helm;True
1800000;Redmane Knight Helm;True
1820000;Haligtree Knight Helm;True
1830000;Foot Soldier Cap;True
1840000;Foot Soldier Helmet;True
1850000;Gilded Foot Soldier Cap;True
1860000;Foot Soldier Helm;True
1880000;Sacred Crown Helm;True
1890000;Omensmirk Mask;True
1900000;Ash-of-War Scarab;True
1901000;Incantation Scarab;True
1902000;Glintstone Scarab;True
1910000;Crimson Tear Scarab;True
1920000;Cerulean Tear Scarab;True
1930100;Deathbed Dress;True
1930300;Deathbed Smalls;True
1932100;;True
1940000;Fia's Hood;True
1940100;Fia's Robe;True
1941100;Fia's Robe (Altered);True
1950100;Millicent's Robe;True
1950300;Millicent's Boots;True
1960100;;True
1970100;Millicent's Tunic;True
1971100;;True
1980000;Highwayman Hood;True
1990000;High Page Hood;True
2000000;Rotten Duelist Helm;True
2000300;Rotten Duelist Greaves;True
2010000;Mushroom Crown;True
2020000;Black Dumpling;True
