Row ID;Row Name;Unk0;Logic ID;Battle Goal ID;Unk1;Unk2;Unk3;Unk4;Retreat Time after NPC Wall Collision;Goal ID - To Caution (Sound);Animation ID - Attack Cannot Move;Goal ID - To Find (Sight);Call Help - Action Animation ID;Call Help - Call Action ID;Distance - Sight;Distance - Listen;Listen - Sound Cut Distance;Distance - Sense;Retreat Home - Max Distance;Retreat Home - Distance;Retreat Home - Battle Distance;Non-Battle Act Life;Retreat Home - Look for Target Time;Retreat Home - Look for Target Distance;Target - Sight Forget Time;Target - Listen Forget Time;Battle - Start Distance;Call Help - My Peer ID;Call Help - Call Peer ID;Target System - Damage Effect Rate;Team Attack Effectivity;Sight - Angle X;Sight - Angle Y;State 0;State 1;Call Help - Valid Target Min Distance;Call Help - Valid Target Range;Call Help - Forget Time by Arrival;Call Help - Min Wait Time;Call Help - Max Wait Time;Goal Action - To Caution (Sound);Goal Action - To Find (Sight);Call Help - Reply Behavior Type;Ignore Navmesh;Skip Arrival Visibility Check;Think Attribute - Do Admirer;Navigation - Edge;Navigation - Large Space;Navigation - Ladder;Navigation - Hole;Navigation - Door;Navigation - Ignore Navmesh Wall;Navigation - Ordinary Edge;Navigation - Reserve;Sight Distance (Dark);Battle - Start Distance (Dark);Sight Distance (Pitch Dark);Battle - Start Distance (Pitch Dark);Platoon - Reply Time;Platoon - Reply Add Random Time;Sight - Back Offset Distance;Sight - Begin Distance;Target Arrival Distance;Point Arrival Distance;Change State Action - To Find;Change State Action - To Caution;Change State Action - To Battle;Goal Action - To Disappear;Disable Local Steering;Act Type On Failed Path;Interest Category;Goal Action - To Interest;Unk5;Listen - Angle X;Listen - Angle Y;Change State Action - To Interest;Change State Action - to Normal;Unk6;Unk7;Unk8;Unk11;Unk12;Unk13;Unk14;Unk15;Unk16;Unk17;Unk18;Unk19;Unk20;Unk21;Unk22;Unk23;Unk24;Unk25;Unk26;Unk27
1002000;;0;10000;11000;85196820;-1;5;8;0;8;-1;0.1;-1;-1;0;0;0;0;9999;9999;9999;1;7;12;0;16544;20;0;0;100;0;0;0;1;0;5;15;0;0;0;1;1;0;0;0;0;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;1;-1;0;65792;5;-1;0;0;467000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1003000;;0;10000;11000;85196820;-1;5;8;0;8;-1;0.1;-1;-1;0;0;0;0;9999;9999;9999;1;7;12;0;16544;20;0;0;100;0;0;0;1;0;5;15;0;0;0;1;1;0;0;0;0;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;1;-1;0;65792;5;-1;0;0;203100;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1004000;;0;10000;11000;68419604;-1;5;8;5;8;3000;0;0;0;20;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;25;60;50;1;0;0;0;0;0;0;0;128;0;0;0;1;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1004001;;0;10000;11000;68419604;-1;5;8;5;8;3000;0;0;0;15;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;25;60;50;1;0;0;0;0;0;0;0;128;0;0;0;1;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1005000;;0;10000;11000;68419604;-1;5;8;5;8;3000;0;0;0;18;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;25;60;50;1;0;0;0;0;0;0;0;128;0;0;0;1;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1200000;;0;10000;12000;83886080;-1;5;8;0;8;-1;0;0;0;250;0;0;0;9999;9999;9999;1;7;12;0;16448;0;0;0;100;0;90;180;1;0;0;0;0;0;0;0;128;0;1;0;0;False;True;False;False;False;False;False;False;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;-1;0;256;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1200100;;0;10000;12010;93716480;-1;0.001;0.001;0;0.001;-1;0;0;0;188;0;0;0;9999;9999;9999;1;7;12;4719;14979;188;0;0;100;0;90;180;1;0;0;0;0;0;0;0;128;0;1;0;0;False;True;False;False;False;False;False;False;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;-1;16842752;256;0.001;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1200199;;0;10000;-1;93716480;-1;1;1;0;9999;-1;0;0;0;200;0;0;0;9999;9999;9999;1;7;12;0;16256;150;0;0;100;0;90;180;1;0;0;0;0;0;0;0;128;0;1;0;0;False;True;False;False;False;False;False;False;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;-1;16842752;256;1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1300000;;0;11000;11000;68419604;-1;5;8;0;8;-1;0;0;0;0;0;0;0;9999;9999;9999;1;7;12;0;16448;20;0;0;100;0;0;0;1;0;0;0;0;0;0;0;128;0;0;0;0;False;False;False;False;False;False;False;False;5;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;-1;0;0;5;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
10005000;;0;10000;11000;87818250;-1;5;8;0;12;-1;0.1;0;0;15;0;0;0;9999;9999;9999;1;7;12;0;16544;10;0;0;100;0;60;40;1;0;0;0;0;0;0;0;128;0;1;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;-1;0;256;10;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20100000;Blaidd the Half-Wolf;0;10000;201000;68419594;-1;5;8;5;8;3000;0.1;-1;-1;30;0;0;0;75;50;6;1;7;12;0;16448;18;0;0;100;100;60;50;1;0;5;15;0;0;0;1;128;0;0;0;1;True;True;False;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;2;-1;33619968;131073;5;-1;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20108000;Blaidd the Half-Wolf;0;10000;201000;68419594;-1;5;8;5;8;3000;0.1;-1;-1;30;0;0;0;9999;9999;9999;1;7;12;0;16448;18;0;0;100;100;60;50;1;0;5;15;0;0;0;1;128;0;0;0;1;True;True;False;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;2;-1;33619968;131073;5;-1;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20108500;Baleful Shadow;0;10000;201000;68419594;-1;5;8;5;8;3000;0.1;-1;-1;30;0;0;0;75;50;6;1;7;12;0;16448;18;0;0;100;100;60;50;1;0;5;15;0;0;0;1;128;0;0;0;1;True;True;False;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;2;-1;33619968;131073;5;-1;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20109000;Blaidd the Half-Wolf;0;30000;201000;68419594;-1;5;8;5;9999;3000;0.1;-1;-1;30;0;0;9999;9999;9999;9999;1;7;12;15360;17948;18;0;0;100;100;60;50;1;0;5;15;0;0;0;1;128;0;0;0;1;True;True;False;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;2;-1;33619968;131073;9999;-1;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20109500;;0;10000;201000;67108864;-1;5;8;5;9999;3000;0.1;-1;-1;100;0;0;9999;9999;9999;9999;1;7;12;15360;17948;15;0;0;100;30;60;90;1;0;5;15;0;0;0;1;128;0;0;0;1;True;True;False;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;2;-1;131072;65537;9999;-1;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20300000;Rennala, Queen of the Full Moon;0;10000;203000;67108864;-1;5;8;0;500;-1;0.1;-1;-1;60;0;0;0;9999;9999;9999;1;7;12;0;16448;10;0;0;100;0;90;180;0;0;5;15;0;0;0;0;128;0;1;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;-1;33554432;131072;600;-1;16777728;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20300100;Rennala, Queen of the Full Moon;0;10000;11000;87818250;-1;5;8;0;12;-1;0.1;0;0;15;0;0;0;9999;9999;9999;1;7;12;0;16544;10;0;0;100;0;60;40;1;0;0;0;0;0;0;0;128;0;1;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;-1;0;256;10;-1;16777216;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20310000;Rennala, Queen of the Full Moon;0;203100;203100;67108864;-1;5;8;0;500;3013;0.1;-1;-1;60;0;0;0;9999;9999;9999;1;7;12;0;16448;10;0;0;100;0;90;180;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;-1;33554432;131072;600;3003;16777728;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20310100;Rennala, Queen of the Full Moon;0;10000;11000;87818250;-1;5;8;0;12;-1;0.1;0;0;15;0;0;0;9999;9999;9999;1;7;12;0;16544;10;0;0;100;0;60;40;1;0;0;0;0;0;0;0;128;0;1;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;-1;0;256;10;-1;16777216;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20400000;Rennala Student;0;204000;204000;67436554;-1;5;8;0;999;3000;0.1;-1;-1;100;0;0;0;75;50;6;1;7;12;-16384;17529;20;0;0;100;0;90;180;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;-1;33554432;131072;999;-1;0;0;203000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20410000;Rennala Student - Bug Form;0;10000;204100;67436552;18900;5;8;0;8;3000;0.1;-1;-1;12;0;0;0;85;30;12;1;7;12;0;16448;20;0;0;100;20;90;120;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;-1;33554432;131072;5;3004;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20500000;Ranni the Witch;0;10000;11000;67305475;-1;5;8;0;500;-1;0.1;-1;99999999;20;0;0;0;9999;9999;9999;1;7;12;0;16448;10;0;0;100;0;40;70;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;-1;0;0;600;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20600000;The Two Fingers;0;10000;11000;67305475;-1;5;8;0;500;-1;0.1;-1;99999999;20;0;0;0;9999;9999;9999;1;7;12;0;16448;10;0;0;100;0;40;70;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;-1;0;0;600;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21000000;Black Knife Assassin;0;10000;210000;68419600;-1;5;8;5;8;3018;0.1;0;0;24;0;0;0;100;30;20;1;7;12;0;16448;50;0;0;100;80;60;30;1;0;0;0;0;0;0;1;128;0;0;0;1;True;True;True;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;-1;33619968;131073;5;3017;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21000001;;0;10000;210000;67108876;-1;5;8;5;8;3018;0.1;0;0;8;0;0;0;100;30;20;1;7;12;0;16448;25;0;0;100;80;30;30;1;0;0;0;0;0;0;1;128;0;0;0;1;True;True;True;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;-1;33619968;131073;5;3017;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21000010;;0;10000;210000;68419604;-1;5;8;5;8;3018;0.1;0;0;100;0;0;0;100;30;20;1;7;12;0;16448;50;0;0;100;80;90;180;1;0;0;0;0;0;0;1;128;0;0;0;1;True;True;True;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;-1;33619968;131073;5;3017;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21000030;;0;10000;210000;68419600;-1;5;8;5;8;3018;0.1;0;0;24;0;0;0;40;30;20;1;7;12;0;16448;50;0;0;100;80;60;30;1;0;0;0;0;0;0;1;128;0;0;0;1;True;True;True;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;-1;33619968;131073;5;3017;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21000052;Black Knife Assassin;0;10000;210000;68419600;-1;5;8;5;8;3018;0.1;0;0;24;0;0;3;100;30;20;1;7;12;0;16448;50;0;0;100;80;60;30;1;0;0;0;0;0;0;1;128;0;0;0;1;True;True;True;False;True;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;-1;33619968;131073;5;3017;16843264;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21100000;Beast Clergyman;0;10000;211000;67108864;-1;5;8;0;500;3007;0.1;-1;-1;60;0;0;70;9999;9999;9999;1;7;12;0;16448;10;0;0;100;0;90;180;1;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;-1;33554432;131072;600;3003;16777728;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21101000;Beast Clergyman;0;10000;211010;67108864;-1;5;8;0;500;3001;0.1;-1;-1;60;0;0;70;9999;9999;9999;1;7;12;0;16448;10;0;0;100;0;90;180;1;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;-1;33554432;131072;600;-1;16777728;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21102000;Beast Clergyman;0;10000;211000;67108864;-1;5;8;0;500;3007;0.1;-1;-1;60;0;0;0;9999;9999;9999;1;7;12;0;16448;10;0;0;100;0;90;180;1;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;-1;33554432;131072;600;3003;16777728;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21200000;;0;10000;212000;67108864;-1;5;8;0;9999;3024;0.1;-1;-1;200;0;0;0;9999;9999;9999;1;7;12;15360;17948;10;0;0;100;0;90;180;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;-1;33554432;131328;9999;-1;16777728;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21201000;;0;10000;212000;67108864;-1;5;8;0;9999;3024;0.1;-1;-1;60;0;0;0;9999;9999;9999;1;7;12;15360;17948;10;0;0;100;0;90;180;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;-1;33554432;131328;9999;-1;16777728;0;212000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21201010;;0;10000;212010;67108864;-1;5;8;0;9999;3024;0.1;-1;-1;60;0;0;0;9999;9999;9999;1;7;12;15360;17948;10;0;0;100;0;90;180;0;0;5;15;0;0;0;0;128;0;0;0;0;True;True;False;False;False;False;False;False;5;0;35;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;-1;33554432;131328;9999;-1;16777728;0;212000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
