Row ID;Row Name;Rider Chr ID;Mount Chr ID;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15
435143612;Godrick Knight <> Godrick Knight's Horse;4351;4361;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
435143613;Godrick Knight <> Godrick Knight's Horse;4351;4361;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
435243621;Cuckoo Knight <> Godrick Knight's Horse;4352;4362;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
435243622;Cuckoo Knight <> Godrick Knight's Horse;4352;4362;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
435243623;Cuckoo Knight <> Godrick Knight's Horse;4352;4362;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
435343631;Leyndell Knight <> Leyndell Knight's Horse;4353;4363;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
435343632;Leyndell Knight <> Leyndell Knight's Horse;4353;4363;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
435343633;Leyndell Knight <> Leyndell Knight's Horse;4353;4363;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
435443641;Redmane Knight <> Redmane Knight's Horse;4354;4364;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
435443642;Redmane Knight <> Redmane Knight's Horse;4354;4364;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
435443643;Redmane Knight <> Redmane Knight's Horse;4354;4364;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
435543651;Mausoleum Knight <> Mausoleum Knight's Horse;4355;4365;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
435543652;Mausoleum Knight <> Mausoleum Knight's Horse;4355;4365;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
435543653;Mausoleum Knight <> Mausoleum Knight's Horse;4355;4365;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
435643661;Haligtree Knight <> Haligtree Knight's Horse;4356;4366;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
435643662;Haligtree Knight <> Haligtree Knight's Horse;4356;4366;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
435643663;Haligtree Knight <> Haligtree Knight's Horse;4356;4366;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
435843681;;4358;4368;-1;1;1;511;-1;60;4;0.5;0.65;140;-140;0;0;0
435843682;;4358;4368;-1;2;2;512;-1;60;3;0.5;0.65;-140;0;0;0;0
435843683;;4358;4368;-1;3;3;513;-1;60;3;0.5;0.65;0;140;0;0;0
437081001;Foot Soldier <> Ballista;4370;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437081011;Foot Soldier <> Giant Ballista;4370;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
437081101;Foot Soldier <> Dragon-faced Flamethrower;4370;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437181001;Godrick Foot Soldier <> Ballista;4371;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437181011;Godrick Foot Soldier <> Giant Ballista;4371;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
437181101;Godrick Foot Soldier <> Dragon-faced Flamethrower;4371;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437281001;Raya Lucaria Foot Soldier <> Ballista;4372;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437281011;Raya Lucaria Foot Soldier <> Giant Ballista;4372;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
437281101;Raya Lucaria Foot Soldier <> Dragon-faced Flamethrower;4372;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437381001;Leyndell Foot Soldier <> Ballista;4373;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437381011;Leyndell Foot Soldier <> Giant Ballista;4373;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
437381101;Leyndell Foot Soldier <> Dragon-faced Flamethrower;4373;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437481001;Radahn Foot Soldier <> Ballista;4374;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437481011;Radahn Foot Soldier <> Giant Ballista;4374;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
437481101;Radahn Foot Soldier <> Dragon-faced Flamethrower;4374;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437581001;Mausoleum Foot Soldier <> Ballista;4375;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437581011;Mausoleum Foot Soldier <> Giant Ballista;4375;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
437581101;Mausoleum Foot Soldier <> Dragon-faced Flamethrower;4375;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437681001;Haligtree Foot Soldier <> Ballista;4376;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437681011;Haligtree Foot Soldier <> Giant Ballista;4376;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
437681101;Haligtree Foot Soldier <> Dragon-faced Flamethrower;4376;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437781001;Highwayman <> Ballista;4377;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150;0;0;0
437781011;Highwayman <> Giant Ballista;4377;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150;0;0;0
437781101;Highwayman <> Dragon-faced Flamethrower;4377;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150;0;0;0
473047400;Starscourge Radahn <> Leonard;4730;4740;-1;2;2;512;-1;60;3;0.5;0.65;-30;30;0;0;0
473047401;Starscourge Radahn <> Leonard;4730;4740;-1;2;2;512;-1;60;3;0.5;0.65;150;-150;0;0;0
473047402;Starscourge Radahn <> Leonard;4730;4740;-1;2;2;512;-1;60;3;0.5;0.65;-150;-30;0;0;0
473047403;Starscourge Radahn <> Leonard;4730;4740;-1;2;2;512;-1;60;3;0.5;0.65;30;150;0;0;0
495149500;Godrick Torso <> Godrick the Grafted;4951;4950;-1;2;2;512;-1;60;3;0.5;0.65;-30;30;0;0;0
495149501;Godrick Torso <> Godrick the Grafted;4951;4950;-1;2;2;512;-1;60;3;0.5;0.65;150;-150;0;0;0
495149502;Godrick Torso <> Godrick the Grafted;4951;4950;-1;2;2;512;-1;60;3;0.5;0.65;-150;-30;0;0;0
495149503;Godrick Torso <> Godrick the Grafted;4951;4950;-1;2;2;512;-1;60;3;0.5;0.65;30;150;0;0;0
