Row ID;Row Name;Command ID;Text ID;Table ID;View Condition;Preview Mode;Menu Type;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5
145;;10;292025;0;0;0;2;-1;-1;-1;-1;0;0
146;;1;293160;3004;296150;0;2;-1;-1;-1;-1;0;0
147;;1;293161;3003;296152;0;2;-1;-1;-1;-1;0;0
148;;1;293162;3006;296154;0;2;-1;-1;-1;-1;0;0
149;;2;293163;3007;1401;0;2;-1;-1;-1;-1;0;0
150;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
151;;10;292030;0;0;0;2;-1;-1;-1;-1;0;0
152;;1;293166;3014;296158;0;2;-1;-1;-1;-1;0;0
153;;2;293167;3015;1441;0;2;-1;-1;-1;-1;0;0
154;;1;293168;3022;296160;0;2;-1;-1;-1;-1;0;0
155;;2;293169;3023;1461;0;2;-1;-1;-1;-1;0;0
156;;1;293170;3018;296162;0;2;-1;-1;-1;-1;0;0
157;;2;293171;3019;1461;0;2;-1;-1;-1;-1;0;0
158;;1;293164;3010;296156;0;2;-1;-1;-1;-1;0;0
159;;2;293165;3011;1421;0;2;-1;-1;-1;-1;0;0
160;;1;293172;3026;296164;0;2;-1;-1;-1;-1;0;0
161;;2;293173;3027;1481;0;2;-1;-1;-1;-1;0;0
162;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
163;;10;292040;0;0;0;2;-1;-1;-1;-1;0;0
164;;3;293180;1006;800;0;2;-1;-1;-1;-1;0;0
165;;2;293181;3034;1001;0;2;-1;-1;-1;-1;0;0
166;;10;293182;0;0;0;2;-1;-1;-1;-1;0;0
167;;1;294160;3031;296282;0;2;-1;-1;-1;293182;0;0
168;;1;294161;3030;296284;0;2;-1;-1;-1;293182;0;0
169;;1;294162;3032;296286;0;2;-1;-1;-1;293182;0;0
170;;1;294163;3033;296288;0;2;-1;-1;-1;293182;0;0
171;;4;294164;3039;1200;0;2;-1;-1;-1;293182;0;0
172;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
173;;3;293190;1005;900;0;2;-1;-1;-1;-1;0;0
174;;2;293191;3089;1001;0;2;-1;-1;-1;-1;0;0
175;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
176;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
177;;12;292050;0;0;0;2;-1;-1;-1;-1;0;0
178;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
179;;10;291022;0;0;0;1;-1;-1;-1;-1;0;0
180;;1;292060;2000;296100;0;1;-1;-1;-1;-1;0;0
181;;1;292061;2001;296102;0;1;-1;-1;-1;-1;0;0
182;;1;292062;2002;296104;0;1;-1;-1;-1;-1;0;0
183;;1;292063;2003;296106;0;1;-1;-1;-1;-1;0;0
184;;1;292064;2004;296108;0;1;-1;-1;-1;-1;0;0
185;;1;292070;3040;296110;0;1;-1;-1;-1;-1;0;0
186;;2;292071;3041;1201;0;1;-1;3068;299020;-1;0;0
187;;4;292072;1102;120;0;1;-1;-1;-1;-1;0;0
188;;4;292080;20001;1310;4;1;-1;-1;-1;-1;9421;0
189;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
190;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
191;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
192;;15;291030;0;0;0;1;-1;-1;-1;-1;0;0
193;;14;291031;0;0;0;1;-1;-1;-1;-1;0;0
194;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
195;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
196;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
197;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
198;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
199;;0;0;0;0;0;0;-1;-1;-1;-1;0;0
200;;99;291050;0;0;3;0;-1;-1;-1;-1;0;0
201;;99;291051;0;0;5;0;-1;-1;-1;-1;0;0
202;;99;291052;0;0;6;0;-1;-1;-1;-1;0;0
203;;11;0;0;0;0;0;-1;-1;-1;-1;0;0
