Row ID;Row Name;Team Type;Phantom Param ID 0;SpEffect ID 0;SpEffect ID 1;SpEffect ID 2;SpEffect ID 3;SpEffect ID 4;SpEffect ID 5;SpEffect ID 6;SpEffect ID 7;SpEffect ID 8;SpEffect ID 9;VFX ID 0;VFX ID 1;Stay Anim ID;Itemlot ID;SpEffect Condition;Display Team Name;Text ID;Team Type - Sub;Phantom Param ID 1;Phantom Param ID 2;Phantom Param ID 3;Effect ID 10;Effect ID 11;Effect ID 12;Effect ID 13;Unk1
11;;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1
12;;13;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1
13;;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63060;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1
14;;0;901;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;-1;0;1;0;0;901;901;901;-1;-1;-1;-1;901
15;Bloody Finger;16;60;4700;9721;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5430;0;2;331102;4;60;60;60;-1;-1;-1;-1;60
16;Recusant;16;60;4700;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5440;0;2;331104;3;60;60;60;-1;-1;-1;-1;60
17;Hunter;2;70;8800;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;5450;0;1;331111;0;70;70;70;8801;-1;-1;-1;61
18;Bloody Finger;16;60;4700;9721;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5430;0;2;331102;2;60;60;60;-1;-1;-1;-1;60
19;;2;61;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;5410;0;1;0;0;61;61;61;8801;-1;-1;-1;61
20;;16;60;4700;9721;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5430;0;2;0;4;60;60;60;-1;-1;-1;-1;60
21;;16;60;4700;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5440;0;2;0;3;60;60;60;-1;-1;-1;-1;60
22;;16;60;4700;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5440;0;2;0;2;60;60;60;-1;-1;-1;-1;60
23;;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1
10001;Hunter;2;61;8800;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;5550;0;1;331111;0;61;61;61;8801;-1;-1;-1;61
10002;Hunter;16;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;-1;0;2;0;0;81;81;81;-1;-1;-1;-1;81
20001;Furled Finger;2;85;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30021;30020;63020;5030;1;1;331121;0;85;85;85;-1;-1;-1;-1;85
20002;Furled Finger;16;86;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30031;30030;63020;5030;0;2;331122;0;86;86;86;-1;-1;-1;-1;86
30001;Duelist;31;88;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30041;30040;63010;5020;0;1;331131;0;88;88;88;-1;-1;-1;-1;88
30002;Duelist;32;88;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30051;30050;63010;5020;0;2;331132;0;88;88;88;-1;-1;-1;-1;88
40001;Bloody Finger;2;80;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30061;30060;63010;-1;0;1;331141;0;80;80;80;-1;-1;-1;-1;80
40002;Bloody Finger;16;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;-1;0;2;331142;0;81;81;81;-1;-1;-1;-1;81
50001;Recusant;2;80;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;5510;1;1;331101;0;80;80;80;-1;-1;-1;-1;80
50002;Recusant;16;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5530;0;2;331146;0;81;81;81;-1;-1;-1;-1;81
60001;Hunter;2;91;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;-1;0;1;0;0;91;91;91;-1;-1;-1;-1;91
60002;Hunter;17;91;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5580;0;2;331143;0;91;91;91;-1;-1;-1;-1;91
70001;Bloody Finger;2;91;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;-1;1;1;0;0;91;91;91;-1;-1;-1;-1;91
70002;Bloody Finger;18;91;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5600;0;2;331144;0;91;91;91;-1;-1;-1;-1;91
80001;Furled Finger;2;80;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;5510;1;1;331101;0;80;80;80;-1;-1;-1;-1;80
80002;Furled Finger;16;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5530;0;2;331102;0;81;81;81;-1;-1;-1;-1;81
90001;Hunter;2;82;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;5550;0;1;331112;0;82;82;82;-1;-1;-1;-1;82
90002;Hunter;16;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;-1;0;2;0;0;81;81;81;-1;-1;-1;-1;81
1000001;;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30003;0;0;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;61
1000002;;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30013;0;0;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;60
1000003;;0;920;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;-1;0;1;0;0;920;920;920;-1;-1;-1;-1;0
1000010;;0;922;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;-1;0;1;0;0;922;922;922;-1;-1;-1;-1;0
1000014;;0;921;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;-1;0;1;0;0;921;921;921;-1;-1;-1;-1;0
