Row ID;Row Name;disableParam_NT;msgId;voiceId;spEffectId0;motionId0;spEffectId1;motionId1;returnPos;reactionId;eventId;msgId_female;voiceId_female;lipSyncStart;lipSyncTime;timeout;talkAnimationId;isForceDisp
2005000;<blank>;0;20050000;20050000;-1;-1;-1;-1;0;-1;-1;20050000;20050000;-1;-1;-1;-1;0;
2005001;<blank>;0;20050010;20050010;-1;-1;-1;-1;0;-1;-1;20050010;20050010;-1;-1;-1;-1;0;
2005010;<panting>;0;20050100;20050100;-1;-1;-1;-1;0;-1;-1;20050100;20050100;-1;-1;-1;-1;0;
2005020;Ahh, truest of dragons.;0;20050200;20050200;-1;-1;-1;-1;0;-1;-1;20050200;20050200;-1;-1;-1;-1;0;
2005030;Lend me thy strength...;0;20050300;20050300;-1;-1;-1;-1;0;-1;-1;20050300;20050300;-1;-1;-1;-1;0;
2005040;Nnngh!;0;20050400;20050400;-1;-1;-1;-1;0;-1;-1;20050400;20050400;-1;-1;-1;-1;0;
2005050;<panting>;0;20050500;20050500;-1;-1;-1;-1;0;-1;-1;20050500;20050500;-1;-1;-1;-1;0;
2005060;Forefathers, one and all...;0;20050600;20050600;-1;-1;-1;-1;0;-1;-1;20050600;20050600;-1;-1;-1;-1;0;
2005080;Bear witness!;0;20050800;20050800;-1;-1;-1;-1;0;-1;-1;20050800;20050800;-1;-1;-1;-1;0;
2005900;<blank>;0;20059000;20059000;-1;-1;-1;-1;0;-1;-1;20059000;20059000;-1;-1;-1;-1;0;
2007000;It's been a long while, Morgott.;0;20070000;20070000;-1;-1;-1;-1;0;-1;-1;20070000;20070000;-1;-1;-1;-1;0;
2007001;;0;20070010;20070010;-1;-1;-1;-1;0;-1;-1;20070010;20070010;-1;-1;-1;-1;0;
2007010;Long and hard didst thou fight.;0;20070100;20070100;-1;-1;-1;-1;0;-1;-1;20070100;20070100;-1;-1;-1;-1;0;
2007011;;0;20070110;20070110;-1;-1;-1;-1;0;-1;-1;20070110;20070110;-1;-1;-1;-1;0;
2007020;Tarnished Warrior.;0;20070200;20070200;-1;-1;-1;-1;0;-1;-1;20070200;20070200;-1;-1;-1;-1;0;
2007021;Spurned by the grace of gold.;0;20070210;20070210;-1;-1;-1;-1;0;-1;-1;20070210;20070210;-1;-1;-1;-1;0;
2007030;Be assured, the Elden Ring;0;20070300;20070300;-1;-1;-1;-1;0;-1;-1;20070300;20070300;-1;-1;-1;-1;0;
2007040;resteth close at hand.;0;20070400;20070400;-1;-1;-1;-1;0;-1;-1;20070400;20070400;-1;-1;-1;-1;0;
2007050;Alas, I am returned.;0;20070500;20070500;-1;-1;-1;-1;0;-1;-1;20070500;20070500;-1;-1;-1;-1;0;
2007060;To be granted audience once more.;0;20070600;20070600;-1;-1;-1;-1;0;-1;-1;20070600;20070600;-1;-1;-1;-1;0;
2007061;;0;20070610;20070610;-1;-1;-1;-1;0;-1;-1;20070610;20070610;-1;-1;-1;-1;0;
2007070;Upon my name as Godfrey,;0;20070700;20070700;-1;-1;-1;-1;0;-1;-1;20070700;20070700;-1;-1;-1;-1;0;
2007080;The first Elden Lord!;0;20070800;20070800;-1;-1;-1;-1;0;-1;-1;20070800;20070800;-1;-1;-1;-1;0;
2007071;;0;20070710;20070710;-1;-1;-1;-1;0;-1;-1;20070710;20070710;-1;-1;-1;-1;0;
2007081;;0;20070810;20070810;-1;-1;-1;-1;0;-1;-1;20070810;20070810;-1;-1;-1;-1;0;
2007900;<blank>;0;20079000;20079000;-1;-1;-1;-1;0;-1;-1;20079000;20079000;-1;-1;-1;-1;0;
2008000;Nngh!;0;20080000;20080000;-1;-1;-1;-1;0;-1;-1;20080000;20080000;-1;-1;-1;-1;0;
2008010;That will be all.;0;20080100;20080100;-1;-1;-1;-1;0;-1;-1;20080100;20080100;-1;-1;-1;-1;0;
2008020;Thou didst me good service, Serosh.;0;20080200;20080200;-1;-1;-1;-1;0;-1;-1;20080200;20080200;-1;-1;-1;-1;0;
2008030;I've given thee courtesy enough.;0;20080300;20080300;-1;-1;-1;-1;0;-1;-1;20080300;20080300;-1;-1;-1;-1;0;
2008050;Rrraaargh!;0;20080500;20080500;-1;-1;-1;-1;0;-1;-1;20080500;20080500;-1;-1;-1;-1;0;
2008060;<exhales>;0;20080600;20080600;-1;-1;-1;-1;0;-1;-1;20080600;20080600;-1;-1;-1;-1;0;
2008070;Now I fight as Hoarah Loux!;0;20080700;20080700;-1;-1;-1;-1;0;-1;-1;20080700;20080700;-1;-1;-1;-1;0;
2008080;Warrior!;0;20080800;20080800;-1;-1;-1;-1;0;-1;-1;20080800;20080800;-1;-1;-1;-1;0;
2008900;<blank>;0;20089000;20089000;-1;-1;-1;-1;0;-1;-1;20089000;20089000;-1;-1;-1;-1;0;
2009900;<blank>;0;20099000;20099000;-1;-1;-1;-1;0;-1;-1;20099000;20099000;-1;-1;-1;-1;0;
2010900;<blank>;0;20109000;20109000;-1;-1;-1;-1;0;-1;-1;20109000;20109000;-1;-1;-1;-1;0;
2012900;<blank>;0;20129000;20129000;-1;-1;-1;-1;0;-1;-1;20129000;20129000;-1;-1;-1;-1;0;
2014000;Dearest Miquella.;0;20140000;20140000;-1;-1;-1;-1;0;-1;-1;20140000;20140000;-1;-1;-1;-1;0;
2014001;;0;20140010;20140010;-1;-1;-1;-1;0;-1;-1;20140010;20140010;-1;-1;-1;-1;0;
2014010;You must abide alone a while.;0;20140100;20140100;-1;-1;-1;-1;0;-1;-1;20140100;20140100;-1;-1;-1;-1;0;
2014520;Welcome, honoured guest.;0;20145200;20145200;-1;-1;-1;-1;0;-1;-1;20145200;20145200;-1;-1;-1;-1;0;
2014530;To the birthplace of our dynasty!;0;20145300;20145300;-1;-1;-1;-1;0;-1;-1;20145300;20145300;-1;-1;-1;-1;0;
2014900;<blank>;0;20149000;20149000;-1;-1;-1;-1;0;-1;-1;20149000;20149000;-1;-1;-1;-1;0;
2016900;<blank>;0;20169000;20169000;-1;-1;-1;-1;0;-1;-1;20169000;20169000;-1;-1;-1;-1;0;
2020900;<blank>;0;20209000;20209000;-1;-1;-1;-1;0;-1;-1;20209000;20209000;-1;-1;-1;-1;0;
2021000;Foul Tarnished.;0;20210000;20210000;-1;-1;-1;-1;0;-1;-1;20210000;20210000;-1;-1;-1;-1;0;
2021010;Graceless Tarnished.;0;20210100;20210100;-1;-1;-1;-1;0;-1;-1;20210100;20210100;-1;-1;-1;-1;0;
2021020;What is thy business with these thrones?;0;20210200;20210200;-1;-1;-1;-1;0;-1;-1;20210200;20210200;-1;-1;-1;-1;0;
2021030;Ahh...;0;20210300;20210300;-1;-1;-1;-1;0;-1;-1;20210300;20210300;-1;-1;-1;-1;0;
2021040;Godrick the Golden.;0;20210400;20210400;-1;-1;-1;-1;0;-1;-1;20210400;20210400;-1;-1;-1;-1;0;
2021050;The twin prodigies, Miquella and Malenia.;0;20210500;20210500;-1;-1;-1;-1;0;-1;-1;20210500;20210500;-1;-1;-1;-1;0;
2021060;General Radahn.;0;20210600;20210600;-1;-1;-1;-1;0;-1;-1;20210600;20210600;-1;-1;-1;-1;0;
2021070;Praetor Rykard.;0;20210700;20210700;-1;-1;-1;-1;0;-1;-1;20210700;20210700;-1;-1;-1;-1;0;
2021080;Lunar Princess Ranni.;0;20210800;20210800;-1;-1;-1;-1;0;-1;-1;20210800;20210800;-1;-1;-1;-1;0;
2021090;Wilful traitors, all.;0;20210900;20210900;-1;-1;-1;-1;0;-1;-1;20210900;20210900;-1;-1;-1;-1;0;
2021100;Thy kind are all of a piece.;0;20211000;20211000;-1;-1;-1;-1;0;-1;-1;20211000;20211000;-1;-1;-1;-1;0;
2021111;Pillagers. Emboldened by the flame of ambition.;0;20211110;20211110;-1;-1;-1;-1;0;-1;-1;20211110;20211110;-1;-1;-1;-1;0;
2021120;Ngh!;0;20211200;20211200;-1;-1;-1;-1;0;-1;-1;20211200;20211200;-1;-1;-1;-1;0;
2021130;Have it writ upon thy meagre grave:;0;20211300;20211300;-1;-1;-1;-1;0;-1;-1;20211300;20211300;-1;-1;-1;-1;0;
2021140;Felled by King Morgott! Last of all kings.;0;20211400;20211400;-1;-1;-1;-1;0;-1;-1;20211400;20211400;-1;-1;-1;-1;0;
2021900;<blank>;0;20219000;20219000;-1;-1;-1;-1;0;-1;-1;20219000;20219000;-1;-1;-1;-1;0;
2023000;<blank>;0;20230000;20230000;-1;-1;-1;-1;0;-1;-1;20230000;20230000;-1;-1;-1;-1;0;
2023010;O, Death.;0;20230100;20230100;-1;-1;-1;-1;0;-1;-1;20230100;20230100;-1;-1;-1;-1;0;
2023020;Become my blade, once more.;0;20230200;20230200;-1;-1;-1;-1;0;-1;-1;20230200;20230200;-1;-1;-1;-1;0;
2023030;<blank>;0;20230300;20230300;-1;-1;-1;-1;0;-1;-1;20230300;20230300;-1;-1;-1;-1;0;
2023040;<blank>;0;20230400;20230400;-1;-1;-1;-1;0;-1;-1;20230400;20230400;-1;-1;-1;-1;0;
2023050;<long exhalation>;0;20230500;20230500;-1;-1;-1;-1;0;-1;-1;20230500;20230500;-1;-1;-1;-1;0;
2023900;<blank>;0;20239000;20239000;-1;-1;-1;-1;0;-1;-1;20239000;20239000;-1;-1;-1;-1;0;
2024030;<children giggling>;0;20240300;20240300;-1;-1;-1;-1;0;-1;-1;20240300;20240300;-1;-1;-1;-1;0;
2024510;Hush, little culver.;0;20245100;20245100;-1;-1;-1;-1;0;-1;-1;20245100;20245100;-1;-1;-1;-1;0;
2024520;I'll soon birth thee anew, a sweeting fresh and pure...;0;20245200;20245200;-1;-1;-1;-1;0;-1;-1;20245200;20245200;-1;-1;-1;-1;0;
2024900;<blank>;0;20249000;20249000;-1;-1;-1;-1;0;-1;-1;20249000;20249000;-1;-1;-1;-1;0;
2025500;Ahh, my beloved...;0;20250000;20255000;-1;-1;-1;-1;0;-1;-1;20250000;20255000;-1;-1;-1;-1;0;
2025510;Have no fear, I will hold thee. Patience...;0;20255100;20255100;-1;-1;-1;-1;0;-1;-1;20255100;20255100;-1;-1;-1;-1;0;
2025520;Ye will be countless born, forever and ever.;0;20255200;20255200;-1;-1;-1;-1;0;-1;-1;20255200;20255200;-1;-1;-1;-1;0;
2025530;Upon my name as Ranni the Witch.;0;20255300;20255300;-1;-1;-1;-1;0;-1;-1;20255300;20255300;-1;-1;-1;-1;0;
2025541;Mother's rich slumber shall not be;0;20255410;20255410;-1;-1;-1;-1;0;-1;-1;20255410;20255410;-1;-1;-1;-1;0;
2025550;Foul trespasser.;0;20255500;20255500;-1;-1;-1;-1;0;-1;-1;20255500;20255500;-1;-1;-1;-1;0;
2025560;Send word far and wide.;0;20255600;20255600;-1;-1;-1;-1;0;-1;-1;20255600;20255600;-1;-1;-1;-1;0;
2025570;Of the last Queen of Caria,;0;20255700;20255700;-1;-1;-1;-1;0;-1;-1;20255700;20255700;-1;-1;-1;-1;0;
2025580;And the majesty of the night;0;20255800;20255800;-1;-1;-1;-1;0;-1;-1;20255800;20255800;-1;-1;-1;-1;0;
2025900;<blank>;0;20259000;20259000;-1;-1;-1;-1;0;-1;-1;20259000;20259000;-1;-1;-1;-1;0;
2026000;I dreamt for so long.;0;20260000;20260000;-1;-1;-1;-1;0;-1;-1;20260000;20260000;-1;-1;-1;-1;0;
2026010;My flesh was dull gold...and my blood, rotted.;0;20260100;20260100;-1;-1;-1;-1;0;-1;-1;20260100;20260100;-1;-1;-1;-1;0;
2026020;Corpse after corpse, left in my wake...;0;20260200;20260200;-1;-1;-1;-1;0;-1;-1;20260200;20260200;-1;-1;-1;-1;0;
2026030;As I awaited...his return.;0;20260300;20260300;-1;-1;-1;-1;0;-1;-1;20260300;20260300;-1;-1;-1;-1;0;
2026040;...Heed my words.;0;20260400;20260400;-1;-1;-1;-1;0;-1;-1;20260400;20260400;-1;-1;-1;-1;0;
2026050;I am Malenia.;0;20260500;20260500;-1;-1;-1;-1;0;-1;-1;20260500;20260500;-1;-1;-1;-1;0;
2026060;And I have never known defeat.;0;20260600;20260600;-1;-1;-1;-1;0;-1;-1;20260600;20260600;-1;-1;-1;-1;0;
2026900;<blank>;0;20269000;20269000;-1;-1;-1;-1;0;-1;-1;20269000;20269000;-1;-1;-1;-1;0;
2027500;Wait.;0;20275000;20275000;-1;-1;-1;-1;0;-1;-1;20275000;20275000;-1;-1;-1;-1;0;
2027510;The scarlet bloom flowers once more.;0;20275100;20275100;-1;-1;-1;-1;0;-1;-1;20275100;20275100;-1;-1;-1;-1;0;
2027520;You will witness true horror.;0;20275200;20275200;-1;-1;-1;-1;0;-1;-1;20275200;20275200;-1;-1;-1;-1;0;
2027530;Now, rot!;0;20275300;20275300;-1;-1;-1;-1;0;-1;-1;20275300;20275300;-1;-1;-1;-1;0;
2027900;<blank>;0;20279000;20279000;-1;-1;-1;-1;0;-1;-1;20279000;20279000;-1;-1;-1;-1;0;
2028900;<blank>;0;20289000;20289000;-1;-1;-1;-1;0;-1;-1;20289000;20289000;-1;-1;-1;-1;0;
2029000;Farewell, then.;0;20290000;20290000;-1;-1;-1;-1;0;-1;-1;20290000;20290000;-1;-1;-1;-1;0;
2029010;May your visit be fruitful.;0;20290100;20290100;-1;-1;-1;-1;0;-1;-1;20290100;20290100;-1;-1;-1;-1;0;
2029900;<blank>;0;20299000;20299000;-1;-1;-1;-1;0;-1;-1;20299000;20299000;-1;-1;-1;-1;0;
2030000;Hmm...;0;20300000;20300000;-1;-1;-1;-1;0;-1;-1;20300000;20300000;-1;-1;-1;-1;0;
2030010;Very well.;0;20300100;20300100;-1;-1;-1;-1;0;-1;-1;20300100;20300100;-1;-1;-1;-1;0;
2030020;You...;0;20300200;20300200;-1;-1;-1;-1;0;-1;-1;20300200;20300200;-1;-1;-1;-1;0;
2030031;Join the Serpent King, as family...;0;20300310;20300310;-1;-1;-1;-1;0;-1;-1;20300310;20300310;-1;-1;-1;-1;0;
2030041;Together, we will devour the very gods!;0;20300410;20300410;-1;-1;-1;-1;0;-1;-1;20300410;20300410;-1;-1;-1;-1;0;
2030900;<blank>;0;20309000;20309000;-1;-1;-1;-1;0;-1;-1;20309000;20309000;-1;-1;-1;-1;0;
2031900;<blank>;0;20319000;20319000;-1;-1;-1;-1;0;-1;-1;20319000;20319000;-1;-1;-1;-1;0;
2032900;<blank>;0;20329000;20329000;-1;-1;-1;-1;0;-1;-1;20329000;20329000;-1;-1;-1;-1;0;
2034900;<blank>;0;20349000;20349000;-1;-1;-1;-1;0;-1;-1;20349000;20349000;-1;-1;-1;-1;0;
2034910;<blank>;0;20349100;20349100;-1;-1;-1;-1;0;-1;-1;20349100;20349100;-1;-1;-1;-1;0;
2034920;<blank>;0;20349200;20349200;-1;-1;-1;-1;0;-1;-1;20349200;20349200;-1;-1;-1;-1;0;
2035900;<blank>;0;20359000;20359000;-1;-1;-1;-1;0;-1;-1;20359000;20359000;-1;-1;-1;-1;0;
2036900;<blank>;0;20369000;20369000;-1;-1;-1;-1;0;-1;-1;20369000;20369000;-1;-1;-1;-1;0;
2037900;<blank>;0;20379000;20379000;-1;-1;-1;-1;0;-1;-1;20379000;20379000;-1;-1;-1;-1;0;
2038900;<blank>;0;20389000;20389000;-1;-1;-1;-1;0;-1;-1;20389000;20389000;-1;-1;-1;-1;0;
2038910;<blank>;0;20389100;20389100;-1;-1;-1;-1;0;-1;-1;20389100;20389100;-1;-1;-1;-1;0;
2038920;<blank>;0;20389200;20389200;-1;-1;-1;-1;0;-1;-1;20389200;20389200;-1;-1;-1;-1;0;
2039000;<blank>;0;20390000;20390000;-1;-1;-1;-1;0;-1;-1;20390000;20390000;-1;-1;-1;-1;0;
2039010;<blank>;0;20390100;20390100;-1;-1;-1;-1;0;-1;-1;20390100;20390100;-1;-1;-1;-1;0;
2039020;<blank>;0;20390200;20390200;-1;-1;-1;-1;0;-1;-1;20390200;20390200;-1;-1;-1;-1;0;
2039030;<blank>;0;20390300;20390300;-1;-1;-1;-1;0;-1;-1;20390300;20390300;-1;-1;-1;-1;0;
2039040;<blank>;0;20390400;20390400;-1;-1;-1;-1;0;-1;-1;20390400;20390400;-1;-1;-1;-1;0;
2039101;Before we begin, allow me to paint you the full picture.;0;20391010;20391010;-1;-1;-1;-1;0;-1;-1;20391010;20391010;-1;-1;-1;-1;0;
2039100;General Radahn is cursed ever to wander.;0;20391000;20391000;-1;-1;-1;-1;0;-1;-1;20391000;20391000;-1;-1;-1;-1;0;
2039110;Eaten from the inside, by Malenia's scarlet rot, his wits are long gone.;0;20391100;20391100;-1;-1;-1;-1;0;-1;-1;20391100;20391100;-1;-1;-1;-1;0;
2039120;Now he gathers the corpses of former friends and foes alike, gorging on them, like a dog.;0;20391200;20391200;-1;-1;-1;-1;0;-1;-1;20391200;20391200;-1;-1;-1;-1;0;
2039130;Howling at the sky.;0;20391300;20391300;-1;-1;-1;-1;0;-1;-1;20391300;20391300;-1;-1;-1;-1;0;
2039900;;0;20399000;20399000;-1;-1;-1;-1;0;-1;-1;20399000;20399000;-1;-1;-1;-1;0;
2040900;<blank>;0;20409000;20409000;-1;-1;-1;-1;0;-1;-1;20409000;20409000;-1;-1;-1;-1;0;
2043000;O Erdtree, you shall burn.;0;20430000;20430000;-1;-1;-1;-1;0;-1;-1;20430000;20430000;-1;-1;-1;-1;0;
2043010;Burn, for the sake of the new Lord.;0;20430100;20430100;-1;-1;-1;-1;0;-1;-1;20430100;20430100;-1;-1;-1;-1;0;
2043020;Thank you. For guiding me here.;0;20430200;20430200;-1;-1;-1;-1;0;-1;-1;20430200;20430200;-1;-1;-1;-1;0;
2043030;The one who walks alongside flame,;0;20430300;20430300;-1;-1;-1;-1;0;-1;-1;20430300;20430300;-1;-1;-1;-1;0;
2043040;Shall one day meet the road of Destined Death.;0;20430400;20430400;-1;-1;-1;-1;0;-1;-1;20430400;20430400;-1;-1;-1;-1;0;
2043050;Good-bye.;0;20430500;20430500;-1;-1;-1;-1;0;-1;-1;20430500;20430500;-1;-1;-1;-1;0;
2043060;I hope you will become Lord. Lord of each and all.;0;20430600;20430600;-1;-1;-1;-1;0;-1;-1;20430600;20430600;-1;-1;-1;-1;0;
2043900;<blank>;0;20439000;20439000;-1;-1;-1;-1;0;-1;-1;20439000;20439000;-1;-1;-1;-1;0;
2043910;<blank>;0;20439200;20439200;-1;-1;-1;-1;0;-1;-1;20439200;20439200;-1;-1;-1;-1;0;
2045000;Aaargh! Aargh!;0;20450000;20450000;-1;-1;-1;-1;0;-1;-1;20450000;20450000;-1;-1;-1;-1;0;
2045010;<guttural moan>;0;20450100;20450100;-1;-1;-1;-1;0;-1;-1;20450100;20450100;-1;-1;-1;-1;0;
2045020;Nngghaa!;0;20450200;20450200;-1;-1;-1;-1;0;-1;-1;20450200;20450200;-1;-1;-1;-1;0;
2045030;Argh!;0;20450300;20450300;-1;-1;-1;-1;0;-1;-1;20450300;20450300;-1;-1;-1;-1;0;
2045040;<great howl>;0;20450400;20450400;-1;-1;-1;-1;0;-1;-1;20450400;20450400;-1;-1;-1;-1;0;
2045900;<blank>;0;20459000;20459000;-1;-1;-1;-1;0;-1;-1;20459000;20459000;-1;-1;-1;-1;0;
2047900;<blank>;0;20479000;20479000;-1;-1;-1;-1;0;-1;-1;20479000;20479000;-1;-1;-1;-1;0;
2048000;Now wilt ye serve, each and all.;0;20480000;20480000;-1;-1;-1;-1;0;-1;-1;20480000;20480000;-1;-1;-1;-1;0;
2048001;The Elden Lord is crowned.;0;20480010;20480010;-1;-1;-1;-1;0;-1;-1;20480010;20480010;-1;-1;-1;-1;0;
2048010;The new Elden Lord,;0;20480100;20480100;-1;-1;-1;-1;0;-1;-1;20480100;20480100;-1;-1;-1;-1;0;
2048011;And so beginneth the age of fracture...;0;20480110;20480110;-1;-1;-1;-1;0;-1;-1;20480110;20480110;-1;-1;-1;-1;0;
2048100;The fallen leaves tell a story.;0;20481000;20481000;-1;-1;-1;-1;0;-1;-1;20481000;20481000;-1;-1;-1;-1;0;
2048110;Of how a Tarnished, of no renown, became Elden Lord.;0;20481100;20481100;-1;-1;-1;-1;0;-1;-1;20481100;20481100;-1;-1;-1;-1;0;
2048200;The fallen leaves tell a story.;0;20482000;20482000;-1;-1;-1;-1;0;-1;-1;20482000;20482000;-1;-1;-1;-1;0;
2048201;The fallen leaves tell a story.;0;20482000;20482010;-1;-1;-1;-1;0;-1;-1;20482000;20482010;-1;-1;-1;-1;0;
2048202;The fallen leaves tell a story.;0;20482000;20482020;-1;-1;-1;-1;0;-1;-1;20482000;20482020;-1;-1;-1;-1;0;
2048210;Of how a Tarnished became Elden Lord.;0;20482100;20482100;-1;-1;-1;-1;0;-1;-1;20482100;20482100;-1;-1;-1;-1;0;
2048211;Of how a Tarnished became Elden Lord.;0;20482100;20482110;-1;-1;-1;-1;0;-1;-1;20482100;20482110;-1;-1;-1;-1;0;
2048212;Of how a Tarnished became Elden Lord.;0;20482100;20482120;-1;-1;-1;-1;0;-1;-1;20482100;20482120;-1;-1;-1;-1;0;
2048220;In our home, across the fog, the Lands Between.;0;20482200;20482200;-1;-1;-1;-1;0;-1;-1;20482200;20482200;-1;-1;-1;-1;0;
2048221;In our home, across the fog, the Lands Between.;0;20482200;20482210;-1;-1;-1;-1;0;-1;-1;20482200;20482210;-1;-1;-1;-1;0;
2048222;In our home, across the fog, the Lands Between.;0;20482200;20482220;-1;-1;-1;-1;0;-1;-1;20482200;20482220;-1;-1;-1;-1;0;
2048300;Our seed will look back upon us, and recall.;0;20483000;20483000;-1;-1;-1;-1;0;-1;-1;20483000;20483000;-1;-1;-1;-1;0;
2048310;An Age of Fracture.;0;20483100;20483100;-1;-1;-1;-1;0;-1;-1;20483100;20483100;-1;-1;-1;-1;0;
2048400;Our seed will look back upon us, and recall.;0;20484000;20484000;-1;-1;-1;-1;0;-1;-1;20484000;20484000;-1;-1;-1;-1;0;
