Row ID;Row Name;disableParam_NT;mapRegionId
60425500;;1;20;
60434900;;1;20;
60435000;;1;20;
60435100;;1;20;
60435200;;1;20;
60435300;;1;20;
60435400;;1;20;
60435500;;1;20;
60444900;;1;20;
60445000;;1;20;
60445100;;1;20;
60445200;;1;20;
60445300;;1;20;
60445400;;1;20;
60445500;;1;20;
60454900;;1;20;
60455000;;1;20;
60455100;;1;20;
60455200;;1;20;
60455300;;1;20;
60455400;;1;20;
60455500;;1;20;
60464900;;1;20;
60465000;;1;21;
60465100;;1;20;
60465200;;1;20;
60465300;;1;20;
60465500;;1;41;
60465600;;1;41;
60465700;;1;41;
60465800;;1;41;
60473600;;1;30;
60473700;;1;30;
60473800;;1;30;
60473900;;1;30;
60474200;;1;30;
60474900;;1;20;
60475000;;1;20;
60475100;;1;42;
60475400;;1;41;
60475500;;1;41;
60475600;;1;41;
60475700;;1;41;
60475800;;1;41;
60485000;;1;42;
60485100;;1;42;
60485200;;1;42;
60485300;;1;41;
60485400;;1;41;
60485500;;1;41;
60485600;;1;41;
60485700;;1;41;
60485800;;1;41;
60495000;;1;42;
60495100;;1;42;
60495200;;1;42;
60495300;;1;40;
60495400;;1;41;
60495500;;1;41;
60495600;;1;41;
60495700;;1;41;
60495800;;1;41;
60505000;;1;42;
60505200;;1;40;
60505300;;1;40;
60505400;;1;40;
60505500;;1;40;
60505600;;1;40;
60505700;;1;40;
60505800;;1;41;
60515200;;1;40;
60515300;;1;40;
60515400;;1;40;
60515500;;1;40;
60515600;;1;40;
60515700;;1;40;
60515800;;1;40;
60523800;;1;31;
60523900;;1;31;
60524000;;1;31;
60525200;;1;40;
60525300;;1;40;
60525400;;1;40;
60525500;;1;40;
60525600;;1;40;
60525700;;1;40;
60525800;;1;40;
60533700;;1;31;
60533800;;1;31;
60533900;;1;31;
60535200;;1;40;
60535300;;1;40;
60535400;;1;40;
60535500;;1;40;
60535600;;1;40;
60535700;;1;40;
60535800;;1;40;
60545200;;1;40;
60545300;;1;40;
60545400;;1;40;
60545500;;1;40;
60545600;;1;40;
60545700;;1;40;
60545800;;1;40;
60555500;;1;40;
60555600;;1;40;
60555700;;1;40;
