Row ID;Row Name;regionType;category;dummyPoly1;dummyPoly2;radius;angle;depth;width;height;baseHeightOffset;angleCheckType;allowAngle;spotDummyPoly;textBoxType;isInvalidForRide;isGrayoutForRide;isInvalidForCrouching;isGrayoutForCrouching;textId;invalidFlag;grayoutFlag;overrideActionButtonIdForRide;execInvalidTime
7101;Open;0;5;101;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3100;0;0;-1;3;
7102;Open;0;5;100;-1;1.2;90;0;0;1.5;-1;0;90;-1;0;0;1;0;1;3100;0;0;-1;3;
7110;Close;0;5;100;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3101;0;0;-1;3;
7200;Open;0;5;100;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3100;201;0;-1;3;
7201;Open;0;5;101;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3100;201;0;-1;3;
7202;Open;0;5;100;-1;1.2;90;0;0;1.5;-1;0;90;-1;0;0;1;0;1;3100;201;0;-1;3;
7210;Close;0;5;100;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3101;201;0;-1;3;
7220;Open;0;5;100;-1;1.2;90;0;0;1.25;-0.5;0;90;-1;0;0;1;0;1;3100;201;0;-1;3;
7300;Open;0;5;100;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3100;202;0;-1;3;
7301;Open;0;5;101;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3100;202;0;-1;3;
7320;Open;0;5;100;-1;1.2;90;0;0;1.25;-0.5;0;90;-1;0;0;1;0;1;3100;202;0;-1;3;
7800;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2800;0;0;-1;0;
7810;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2810;0;0;7860;0;
7811;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2811;0;0;7861;0;
7812;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2812;0;0;7862;0;
7813;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2813;0;0;7863;0;
7814;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2814;0;0;7864;0;
7815;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2815;0;0;7865;0;
7816;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2816;0;0;7866;0;
7817;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2817;0;0;7867;0;
7818;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2818;0;0;7868;0;
7819;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2819;0;0;7869;0;
7820;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2820;0;0;7870;0;
7821;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2821;0;0;7871;0;
7822;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2822;0;0;7872;0;
7823;Acquire materials;0;2;-1;-1;2.5;180;0;0;2.75;-2;0;180;-1;0;0;0;0;0;2823;0;0;7873;0;
7824;Acquire materials;0;2;-1;-1;2.5;180;0;0;2.75;-2;0;180;-1;0;0;0;0;0;2824;0;0;7874;0;
7825;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2825;0;0;7875;0;
7826;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2826;0;0;7876;0;
7827;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2827;0;0;7877;0;
7828;Acquire materials;0;2;-1;-1;2.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2828;0;0;7878;0;
7850;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2810;0;0;-1;0;
7860;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2810;0;0;-1;0;
7861;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2811;0;0;-1;0;
7862;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2812;0;0;-1;0;
7863;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2813;0;0;-1;0;
7864;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2814;0;0;-1;0;
7865;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2815;0;0;-1;0;
7866;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2816;0;0;-1;0;
7867;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2817;0;0;-1;0;
7868;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2818;0;0;-1;0;
7869;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2819;0;0;-1;0;
7870;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2820;0;0;-1;0;
7871;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2821;0;0;-1;0;
7872;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2822;0;0;-1;0;
7873;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.75;-2;0;180;-1;0;0;0;0;0;2823;0;0;-1;0;
7874;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.75;-2;0;180;-1;0;0;0;0;0;2824;0;0;-1;0;
7875;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2825;0;0;-1;0;
7876;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2826;0;0;-1;0;
7877;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2827;0;0;-1;0;
7878;Acquire materials;0;2;-1;-1;3.8;180;0;0;2.5;-1;0;180;-1;0;0;0;0;0;2828;0;0;-1;0;
8000;Open;1;5;100;-1;0;180;1.1;0.7;1;-0.25;0;60;-1;0;0;1;0;1;3100;201;0;-1;3;
8100;Open;0;5;-1;-1;1.5;180;0;0;1;-0.25;0;180;-1;0;0;1;0;1;3100;0;0;-1;3;
8200;Pull lever;0;5;-1;-1;1.5;180;0;0;1;-0.25;0;180;-1;0;0;1;0;1;3000;0;0;-1;3;
8300;Pull lever;0;5;190;-1;1.5;90;0;0;2;-0.8;0;180;193;0;0;1;0;1;3000;0;0;-1;3;
8301;Pull lever;0;5;192;-1;1.5;90;0;0;2;-0.8;0;180;193;0;0;1;0;1;3000;0;0;-1;3;
8302;Pull lever;0;5;102;-1;1.5;90;0;0;1;-1;0;60;104;0;0;1;0;1;3000;0;0;-1;3;
8310;Pull lever;0;5;190;-1;1.5;90;0;0;2;-0.8;0;90;191;0;0;1;0;1;3000;0;0;-1;3;
8320;Pull lever;0;5;192;-1;1.5;90;0;0;2;-0.8;0;60;191;0;0;1;0;1;3000;0;0;-1;3;
8400;Pull lever;0;5;190;-1;1.5;90;0;0;2;-0.8;0;180;193;0;0;1;0;1;3000;201;0;-1;3;
8401;Pull lever;0;5;192;-1;1.5;90;0;0;2;-0.8;0;180;193;0;0;1;0;1;3000;201;0;-1;3;
8402;Pull lever;0;5;102;-1;1.5;90;0;0;1.5;-1.5;0;60;104;0;0;1;0;1;3000;201;0;-1;3;
8403;Push lever;0;5;102;-1;1.5;90;0;0;1.5;-1.5;0;90;104;0;0;1;0;1;3010;201;0;-1;3;
8420;Pull lever;0;5;192;-1;1.5;90;0;0;2;-0.8;0;60;191;0;0;1;0;1;3000;201;0;-1;3;
8501;Pull lever;0;5;192;-1;1.5;90;0;0;2;-0.8;0;180;193;0;0;1;0;1;3000;6001;0;-1;3;
8920;Open;0;5;101;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3100;0;0;-1;3;
9000;Examine;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9051;Invade White Mask Varré's world;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9051;0;0;-1;3;
9052;Invade Old Knight Istvan's world;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9052;0;0;-1;3;
9053;Invade Rileigh the Idle's world;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9053;0;0;-1;3;
9054;Invade Juno Hoslow, Knight of Blood's world;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9054;0;0;-1;3;
9055;Invade Vargram the Raging Wolf's world;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9055;0;0;-1;3;
9056;Invade Great Horned Tragoth's world;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9056;0;0;-1;3;
9057;Be summoned to assist Yura, Hunter of Bloody Fingers;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9057;0;0;-1;3;
9058;Be summoned to assist Sorceress Sellen;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9058;0;0;-1;3;
9059;Be summoned to challenge Sorceress Sellen;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9059;0;0;-1;3;
9060;Be summoned to assist Millicent;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9060;0;0;-1;3;
9061;Be summoned to challenge Millicent;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9061;0;0;-1;3;
9070;Touch cooperative sign;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9070;0;0;-1;3;
9071;Touch invasion sign;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9071;0;0;-1;3;
9080;Restore the power of the Great Rune;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9080;0;0;-1;3;
9081;Restore the power of the Great Rune;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9081;0;0;-1;3;
9082;Restore the power of the Great Rune;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9082;0;0;-1;3;
9083;Restore the power of the Great Rune;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9083;0;0;-1;3;
9084;Restore the power of the Great Rune;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9084;0;0;-1;3;
9085;Restore the power of the Great Rune;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9085;0;0;-1;3;
9100;Touch;0;5;-1;-1;1.5;180;0;0;5;-0.25;0;180;-1;0;0;1;0;1;9100;0;0;-1;3;
9110;Examine;0;5;-1;-1;1.5;180;0;0;5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9120;Open;1;5;100;-1;0;180;1.1;0.7;1;-0.25;0;60;-1;0;0;1;0;1;3100;0;0;-1;3;
9140;Examine;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9190;Examine;0;5;101;-1;1.5;180;0;0;5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9200;Kick ladder;0;5;194;-1;1.5;90;0;0;5;-0.25;0;180;-1;0;0;1;0;1;3310;0;0;-1;3;
9210;Examine;0;5;100;-1;1.5;90;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9210;0;0;-1;3;
9220;Examine;0;5;191;-1;0.8;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9230;Examine;0;5;100;-1;1.5;180;0;0;1.5;-0.5;0;180;-1;0;0;1;0;1;1000;201;0;-1;3;
9240;Stargaze;0;5;-1;-1;3;180;0;0;1.5;-0.5;0;180;-1;0;0;1;0;1;9240;0;0;-1;3;
9250;;0;5;-1;-1;1.5;180;0;0;1.5;-0.5;0;180;-1;0;0;1;0;1;9250;0;0;-1;3;
9260;Examine;0;5;-1;-1;1.8;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9270;Use Birdseye Telescope;0;5;101;-1;1.8;45;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;9270;0;0;-1;3;
9280;Examine;0;5;-1;-1;1;180;0;0;1.5;-0.5;1;180;-1;0;0;1;0;1;1000;201;0;-1;3;
