Row ID;Row Name;lerpMode;h;s1;v1;s2;v2;s3;v3
1443;;1;60;0.8;1;0.1;1;0.8;0.1;
1444;;1;90;0.8;1;0.1;1;0.8;0.1;
1445;;1;120;0.8;1;0.1;1;0.8;0.1;
1446;;1;150;0.8;1;0.1;1;0.8;0.1;
1447;;1;180;0.8;1;0.1;1;0.8;0.1;
1448;;1;210;0.8;1;0.1;1;0.8;0.1;
1449;;1;240;0.8;1;0.1;1;0.8;0.1;
1450;;1;270;0.8;1;0.1;1;0.8;0.1;
1451;;1;300;0.8;1;0.1;1;0.8;0.1;
1452;;1;330;0.8;1;0.1;1;0.8;0.1;
1453;;2;0;0;1;0;0;1;1;
1461;;1;0;0.8;1;0.1;1;0.8;0.1;
1462;;1;30;0.8;1;0.1;1;0.8;0.1;
1463;;1;60;0.8;1;0.1;1;0.8;0.1;
1464;;1;90;0.8;1;0.1;1;0.8;0.1;
1465;;1;120;0.8;1;0.1;1;0.8;0.1;
1466;;1;150;0.8;1;0.1;1;0.8;0.1;
1467;;1;180;0.8;1;0.1;1;0.8;0.1;
1468;;1;210;0.8;1;0.1;1;0.8;0.1;
1469;;1;240;0.8;1;0.1;1;0.8;0.1;
1470;;1;270;0.8;1;0.1;1;0.8;0.1;
1471;;1;300;0.8;1;0.1;1;0.8;0.1;
1472;;1;330;0.8;1;0.1;1;0.8;0.1;
1473;;2;0;0;1;0;0;1;1;
1481;;1;0;0.8;1;0.1;1;0.8;0.1;
1482;;1;30;0.8;1;0.1;1;0.8;0.1;
1483;;1;60;0.8;1;0.1;1;0.8;0.1;
1484;;1;90;0.8;1;0.1;1;0.8;0.1;
1485;;1;120;0.8;1;0.1;1;0.8;0.1;
1486;;1;150;0.8;1;0.1;1;0.8;0.1;
1487;;1;180;0.8;1;0.1;1;0.8;0.1;
1488;;1;210;0.8;1;0.1;1;0.8;0.1;
1489;;1;240;0.8;1;0.1;1;0.8;0.1;
1490;;1;270;0.8;1;0.1;1;0.8;0.1;
1491;;1;300;0.8;1;0.1;1;0.8;0.1;
1492;;1;330;0.8;1;0.1;1;0.8;0.1;
1493;;2;0;0;1;0;0;1;1;
