Row ID,Row Name,Unk18,Unk18
1800010,,0,0
1800090,,0,18000800
1900000,,0,0
1900001,,0,19000800
3000000,,0,0
3000001,,0,30000800
3001000,,0,0
3001001,,0,30010800
3002000,,0,0
3002001,,0,30020800
3003000,,0,0
3003001,,0,30030800
3004000,,0,0
3004001,,0,30040800
3005000,,0,0
3005001,,0,30050800
3005010,,0,0
3006000,,0,0
3006001,,0,30060800
3007000,,0,0
3007001,,0,30070800
3008000,,0,0
3008001,,0,30080800
3008002,,0,30080800
3008003,,0,30080800
3009000,,0,0
3009001,,0,30090800
3009002,,0,30090800
3009003,,0,30090800
3009004,,0,30090800
3010000,,0,0
3010001,,0,30100800
3010002,,0,30100800
3010003,,0,30100800
3011000,,0,0
3011001,,0,30110800
3012000,,0,0
3012001,,0,30120800
3013000,,0,0
3013001,,0,30130800
3013090,,0,0
3013091,,0,0
3014000,,0,0
3014001,,0,30140800
3015000,,0,0
3015001,,0,30150800
3016000,,0,0
3016001,,0,30160800
3016002,,0,30160800
3016003,,0,30160800
3017000,,0,0
3017001,,0,30170800
3017002,,0,30170800
3017003,,0,30170800
3017004,,0,30170800
3017005,,0,30170800
3018000,,0,0
3018001,,0,30180800
3018002,,0,30180800
3018003,,0,30180800
3018004,,0,30180800
3019000,,0,0
3019001,,0,30190800
3020000,,0,0
3020001,,0,30200800
3020002,,0,30200800
3020003,,0,30200800
3020004,,0,30200800
3100000,,0,0
3100001,,0,31000800
3101000,,0,0
3101001,,0,31010800
3102000,,0,0
3102001,,0,31020800
3103000,,0,0
3103001,,0,31030800
3104000,,0,0
3104001,,0,31040800
3105000,,0,0
3105001,,0,31050800
3105002,,0,31050800
3105003,,0,31050800
3105090,,0,0
3106000,,0,0
3106001,,0,31060800
3106002,,0,31060800
3106090,,0,0
3107000,,0,0
3107001,,0,31070800
3107002,,0,31070800
3107003,,0,31070800
3107004,,0,31070800
3109000,,0,0
3109001,,0,31090800
3110000,,0,0
3110001,,0,31100800
3110002,,0,31100800
3111000,,0,0
3111001,,0,31110800
3111002,,0,31110800
3112000,,0,0
3112001,,0,31120800
3112002,,0,31120800
3112003,,0,31120800
3115000,,0,0
3115001,,0,31150800
3115090,,0,0
3117000,,0,0
3117001,,0,31170800
3117002,,0,31170800
3117003,,0,31170800
3117004,,0,31170800
3118000,,0,0
3118001,,0,31180800
3119000,,0,0
3119001,,0,31190800
3119010,,0,0
3120000,,0,0
3120001,,0,31200800
3120002,,0,31200800
3121000,,0,0
3121001,,0,31210800
3121002,,0,31210800
3121090,,0,0
3122000,,0,0
3122001,,0,31220800
3200000,,0,0
3200001,,0,32000800
3201000,,0,0
3201001,,37,32010800
3202000,,0,0
3202001,,47,32020800
3204000,,0,0
3204001,,53,32010800
3205000,,0,0
3205001,,0,32050800
3207000,,0,0
3207001,,39,32070800
3207002,,0,32070800
3207003,,0,32070800
3207090,,0,0
3208000,,0,0
3208001,,0,32080800
3211000,,0,0
3211001,,55,32110800
3211002,,0,32110800
3410000,,0,0
3410001,,0,34100800
3410002,,0,34100800
3410003,,0,34100800
3410004,,0,34100800
3410090,,0,0
3411000,,0,0
3411001,,0,34110800
3411002,,0,34110800
3411003,,0,34110800
3411004,,0,34110800
3411005,,0,34110800
3411006,,0,34110800
3411007,,0,34110800
3411090,,0,0
3412000,,0,0
3412001,,0,34120800
3412002,,0,34120800
3412003,,0,34120800
3412010,,0,0
3412011,,50,34120800
3412012,,0,34120800
3412013,,0,34120800
3412090,,0,0
3413003,,0,34130800
3413010,,0,0
3413011,,0,34130800
3413012,,0,34130800
3413013,,0,34130800
3413090,,0,0
3413091,,0,0
3414000,,0,0
3414001,,0,0
3414002,,0,0
3414010,,0,0
3414011,,0,0
3414012,,0,0
3414013,,0,0
3414014,,0,0
3415090,,0,0
3500000,,0,0
3500001,,0,35000800
3500002,,0,35000800
3500003,,0,35000800
3500004,,0,35000800
3500005,,0,35000800
3500006,,0,35000800
3500007,,0,35000800
3500008,,0,35000800
3500009,,0,35000800
3500010,,0,0
3500011,,0,35000850
3500090,,0,0
3500091,,0,0
3500092,,0,0
3920000,,0,0
3920001,,0,39200800
3920002,,0,39200800
3920003,,0,39200800
3920004,,0,39200800
6000000,,0,0
6100000,,37,1042360800
6100001,,36,1042360800
6100002,,36,1042360800
6100003,,37,1042360800
6100004,,39,1042360800
6100010,,0,0
6100090,,0,0
6101000,,38,1042360800
6101010,,0,0
6102000,,33,1043330800
6102001,,31,1043300800
6102002,,33,1045390800
6102020,,0,0
6200000,,45,1038480800
6200001,,40,1038480800
6200002,,43,1038480800
6200003,,46,1038480800
6200004,,47,1038480800
6200005,,48,1038480800
6200006,,47,1038480800
6200007,,50,1038480800
6200008,,50,1038480800
6200010,,0,0
6200020,,0,0
6200090,,0,0
6201000,,48,1038480800
6202000,,41,1034420800
6300000,,51,1037510800
6300001,,0,1037510800
6300002,,51,1037510800
6300003,,53,1037510800
6300004,,54,1037510800
6300005,,52,1037510800
6300010,,0,0
6300020,,0,0
6300030,,0,0
6300040,,0,0
6301000,,52,1045520800
6301090,,0,0
6302000,,54,1037540810
6302001,,54,1037540810
6302002,,53,1037540810
6400000,,39,1047400800
6400001,,37,1047400800
6400002,,36,1047400800
6400003,,38,1047400800
6400010,,0,0
6400020,,0,0
6400030,,0,0
6400040,,0,0
6400090,,0,0
6401000,,38,1049380800
6402000,,40,1051400800
6402001,,43,1051400800
6500000,,51,1049520800
6500001,,0,1049520800
6500010,,0,1049520800
6500090,,0,0
6501000,,53,1050570800
6501001,,57,1050570800
6501002,,57,1050570800
6501003,,57,1050570800
6501010,,0,1050570800
6502000,,54,1052520800
6502010,,0,1052520800
6503000,,56,1050560800
