Row ID,Row Name,Bonus Souls - Singleplayer,Sub - Bonus Souls - Singleplayer
32010800,[Limgrave Tunnels] Stonedigger Troll,1800,0
32020800,[Raya Lucaria Crystal Tunnel] Crystalian (Ringblade),3000,0
32040800,[Old Altus Tunnel] Stonedigger Troll,9600,0
32050800,[Altus Tunnel] Stonedigger Troll,9000,0
32050801,[Altus Tunnel] ,0,0
32070800,[Gael Tunnel] Magma Wyrm,7500,0
32080800,[Sellia Crystal Tunnel] Fallingstar Beast,7600,0
32110800,[Yelough Anix Tunnel] Astel, Stars of Darkness,120000,0
34120800,[Divine Tower of West Altus] Onyx Lord,16000,0
34130800,[Divine Tower of Caelid] Godskin Apostle,94000,0
34140850,[Divine Tower of East Altus],29000,0
35000800,[Subterranean Shunning-Grounds] ,100000,0
35000850,[Subterranean Shunning-Grounds] ,30000,0
39200800,[Ruin-Strewn Precipice] ,24000,0
1033420800,,80000,0
1033430800,,5800,0
1033450800,,4600,0
1034420800,,120000,0
1034450800,,14000,0
1034480800,,3100,0
1034500800,,12000,0
1035420800,,4900,0
1035500800,,10000,0
1035530800,,19000,0
1036450340,,7800,0
1036480340,,5600,0
1036500800,,3600,0
1036540800,,21000,0
1037420340,,6600,0
1037460800,,6000,0
1037510800,,60000,0
1037530800,,13000,0
1037540810,,18000,0
1038410800,,3800,0
1038480800,,5800,0
1038510800,,8500,0
1038520340,,14000,0
1039430340,,5600,0
1039440800,,4700,0
1039500800,,26000,0
1039510800,,10000,0
1039540800,,24000,0
1040520800,,10800,0
1040530800,,8800,0
1041500800,,11000,0
1041510800,,20000,0
1041520800,,60000,0
1041530800,,10000,0
1042330800,,5400,0
1042360800,,3200,0
1042370800,,2100,0
1042380800,,2800,0
1042380850,,2700,0
1042550800,,14000,0
1043300800,,3800,0
1043330800,,3600,0
1043360800,,5000,0
1043370340,,2400,0
1043530800,,20000,0
1044320340,,3900,0
1044320342,,3400,0
1044350800,,1900,0
1044360800,,1100,0
1044530800,,29000,0
1045390800,,2400,0
1045520800,,50000,0
1047400800,,9600,0
1048370800,,38000,0
1048400800,,6300,0
1048410800,,50000,0
1048510800,,36000,0
1048570800,,220000,0
1049370800,,8500,0
1049370850,,15000,0
1049380800,,12000,0
1049390800,,6400,0
1049390850,,7800,0
1049520800,,60000,0
1050560800,,180000,0
1050570800,,77000,0
1050570850,,160000,0
1051360800,,16000,0
1051400800,,91000,0
1051430800,,88000,0
1051570800,,90000,0
1052380800,,70000,0
1052410800,,80000,0
1052410850,,42000,0
1052520800,,180000,0
1052560800,,70000,0
1053560800,,75000,0
1054560800,,100000,0
1248550800,,84000,0
