Row ID;Row Name;Unk1;Unk1;Unk1;Unknown
1202072;;-234527847;1796338350;-1046167294;8
1202073;;709236336;673106065;1107474438;11
1202074;;121153813;1991989405;1242571464;4
1202075;;336943409;-1509414112;-2091086197;3
1202076;;-1672359663;-1385692084;394320794;7
1202077;;-1068384063;-710364088;548221645;0
1202078;;323057686;-1260121625;961893648;14
1202079;;1689131041;1419314474;896114789;10
1202080;;-1985675098;349236345;1254273509;0
1202081;;1915270324;455117580;-1268841326;11
1202082;;-1044130670;42353059;677654181;4
1202083;;-1248321814;-804611984;900950996;1
1202084;;-938859062;155466130;1237993577;0
1202085;;1277888014;-1594424303;-834009736;8
1202086;;-1919925460;1212067776;1009392944;10
1202087;;584197705;1745166874;-2113514686;12
1202088;;1352969288;-1855630461;-443460586;2
1202089;;736815365;1241646150;1519927835;5
1202090;;522486470;54748725;-2143976404;5
1202091;;-2078111934;758411532;815454982;2
1202092;;614279196;1242023025;-289963672;13
1202093;;-230346974;-492681662;1365473604;2
1202094;;-758476779;-855193326;1121329785;11
1202095;;771764454;-528376986;351044816;9
1202096;;23754404;375980419;-60537434;1
1202097;;-97371624;-1731709944;-1988335611;0
1202098;;951632325;1194427316;-1064644544;14
1202099;;189088809;1460928633;-2021340519;7
1202100;;94111782;-950057078;-1673841149;2
1202101;;407393994;-1738206120;-1341913973;0
1202102;;-2069525382;43700397;1229005188;6
1202103;;20805009;-1330638969;690036273;8
1202104;;1049788937;1095809745;866453428;9
1202105;;-1492838495;605591938;1242112603;5
1202106;;-768520103;-1847300924;64682406;4
1202107;;1770146162;688532491;638779747;8
1202108;;1550559636;940124196;-2079285624;14
1202109;;-1044331954;482550325;172541054;4
1202110;;1096198529;586084984;1962948632;1
9902000;;1100920842;1955193926;1209671969;1
9902001;;-1438563279;-2147083751;123734208;2
9902002;;337642436;191889824;-1333406178;12
603340000;;-1790555218;567098147;-393035860;9
603340001;;1806807249;1582488735;1471159752;6
603340002;;-1407398302;-995220232;156189299;15
603340003;;1391146269;-1154366652;-1234313193;0
603340004;;1059138970;63823270;1768534619;14
603340005;;1453218673;2035774025;-652323423;10
603340006;;-916266483;-994530415;378572556;1
603340007;;-1596091162;-1105066882;-1494783754;5
603340008;;637029022;1506862120;412000754;15
603340009;;-637029023;-1506862121;-412000755;0
603340010;;257427540;174334663;336743032;14
603340011;;-2079627694;-1257762438;-2003790334;5
603340012;;537143593;-1736440812;-1549712958;8
603340013;;1381307653;1687665672;1611145524;3
603340014;;1621262498;22662049;107416585;0
603340015;;-1717513592;1109540864;1498198149;0
603341000;;-2144055558;-67772169;-1252829601;9
603341001;;-294276855;1561000890;-1059931763;7
603341002;;1542153706;1193497325;149862576;5
603341003;;2010546021;-956582629;1810189783;15
603341004;;-169297386;932973894;-685928854;8
603341005;;1015781821;-1471214076;-12589076;6
603341006;;-1960851753;-1191903239;1051226931;10
603341007;;-2128839606;1222199474;1910548038;0
603341008;;1346407329;-1496971699;-1474808398;5
603341009;;1687751830;310660098;5194361;10
603341010;;-734783700;1560413088;1275274641;6
603341011;;891560026;3794517;-1962880697;3
603341012;;-1682734444;-484699862;297715849;0
603341013;;709482773;-1130262519;1918963222;15
603341014;;130179433;53210583;-1395355036;0
603341015;;705406593;-868074648;377706504;13
603341016;;-924430238;829730964;-952358488;8
603341017;;297074074;-1464286789;163056266;2
603341018;;-297074075;1464286788;-163056267;13
603341019;;7638026;-1542827848;1209598272;9
603341020;;816919065;493889217;10490383;1
603341021;;193200980;1615965973;935339208;6
603341022;;-1005897567;413419776;-1995994829;4
603341023;;-720878334;-2088533942;105274016;8
603341024;;709017828;1108086822;-264707052;2
603341025;;10567680;67108864;36864;11
603341026;;1127012697;1052736432;1494438076;10
603341027;;-1127012698;-1052736433;-1494438077;5
603342000;;-1;-1;-1;15
603342001;;-1;-1;-1;15
603342002;;-1;-1;-1;15
603342003;;-1;-1;-1;15
603342004;;-1481777482;-611337039;2094922902;9
603342005;;1591198927;553252730;-1145580179;15
603342006;;-184960194;-1099530273;1337716601;2
603342007;;-616665129;-673591962;-445508873;6
603342008;;-311756439;2101312239;-1286636629;13
603342009;;1003960313;-270105699;-554913826;15
603342010;;-23610449;2120138719;-1627417602;10
603342011;;-411109923;-806361601;2080374685;13
603342012;;2079977335;-38053250;-135528461;15
603342013;;-1108385797;-134217733;-274862593;7
603342014;;-536871170;-1141506139;-42566033;15
603342015;;985482601;-377291595;1969926358;2
603342016;;281959478;1048686477;-840611877;13
603342017;;-815121167;1140409088;-1365959606;5
603342018;;-313417442;-1642720938;733398561;7
603342019;;-1416330318;-1119947174;383532900;3
603342020;;371694217;619617515;-95250250;14
603342021;;1086875597;-1050588817;-1878269543;8
603342022;;-181142970;1381835440;1093233453;8
603342023;;-1390408620;313409835;1543512084;15
603342024;;-2134294423;1901109308;547586243;1
603342025;;1422987656;1747667776;7870248;4
603342026;;1092913826;205526660;730104136;0
603342027;;973239301;-2062446463;-1856669644;0
603342028;;35562258;-2105267118;-972403069;10
603342029;;-871721439;1770299608;1623459858;4
603342030;;50683922;305726756;-1691757396;8
603342031;;821037516;-2076026365;68297537;3
603343000;;187181554;403964784;1633956241;0
603343001;;-983024174;537061024;-325546207;7
603343002;;1284423720;-1582430011;-1193523517;11
603343003;;-1604887899;-658388209;1151411603;0
603343004;;-1891547891;1800092056;1008100654;14
603343005;;548439369;381196398;422492252;4
603343006;;1596727336;-970398438;-1039562172;5
603343007;;1879150097;-207141695;47268000;0
603343008;;278123094;206901815;-2094835124;8
603343009;;-1294585210;89142272;390238266;11
603343010;;839156808;17432649;303048016;8
603343011;;-1073215340;341845424;-1474150398;5
603343012;;4350721;-1970989054;1161857540;0
603343013;;229707810;1611710980;9244841;2
603343014;;1777886374;-220934991;1980563853;5
603343015;;-1324446351;-1536444608;-858228940;1
603343016;;-313170967;1915470478;1704184301;12
603343017;;-2067448882;442316156;-1152737782;12
603343018;;-1763060527;-573075293;-1729332893;10
603343019;;319998745;159677055;1647670427;10
603343020;;2116760606;-1481110633;-1657296176;7
603343021;;1253480998;1294101832;65177206;3
603343022;;-1412124231;-1182717450;161707523;6
603343023;;1349471974;1216205335;886452144;4
603343024;;-1222505387;644013289;-682835875;11
603343025;;1285157642;-677501176;-365323794;9
603343026;;1620689261;-1080163833;1093388908;3
603343027;;-1620288346;1618042320;-1262662381;12
603343028;;-1895385198;1103756024;-816564998;1
603343029;;1894984281;-1641634513;985838469;14
603343030;;1736439413;-142623249;-285216833;14
603343031;;-1091125281;-624065;2139092186;15
603343032;;-608207377;-266252;-1143645203;1
603343033;;-34874437;2109732827;-5324937;15
603343034;;-2232322;-1966219265;-704905217;15
603344000;;1512036510;-714058466;919551033;8
603344001;;-1460268683;847750099;-1856329052;3
603344002;;1429070130;-392472916;-968360123;7
603344003;;-1513848530;-948003585;-634909101;9
603344004;;-1123387790;462195520;624432062;14
603344005;;1139822529;729571635;1839297002;5
603344006;;-1373393267;1950432361;-896220089;2
603344007;;1389969097;-1935414652;972538264;12
603344008;;-68354065;-1084037;-78717094;15
603344009;;-1239679493;-787529;2147483647;11
603344010;;2146950781;-430006531;-402822209;12
603344011;;-570432553;968884175;-786699;7
603344012;;-268484674;-537006082;-1665157649;15
603344013;;261914566;-1912603717;-1849426065;13
603344014;;-1283539221;-472952870;-817918569;7
603344015;;-37380354;2125635447;2043751327;15
603344016;;-75513387;-134385593;2004841202;10
603344017;;1689513277;990949357;-1359020056;12
603344018;;-554994885;-596642628;-22227843;3
603344019;;1028;262280;-1979677952;0
603345000;;1565105466;-1102938283;1813681159;7
603345001;;996632357;-384250400;1324374771;14
603345002;;-1633497638;-174216493;-1109100886;0
603345003;;-447497594;-1565780625;-1480856227;3
603345004;;-272876853;1139511482;-804812874;13
603345005;;278884605;519535167;-210802359;9
603345006;;-486750347;1568139148;467516412;14
603345007;;137260145;-1535893077;1174982403;14
603345008;;-1170096855;1619069408;-1645899029;3
603345009;;1467139217;-891301808;-2084498405;14
603345010;;-533875898;1426142743;563817556;9
603345011;;57971405;1814493116;-630524172;1
603345012;;-1400693482;305007301;1747898721;6
603345013;;-724817246;-1412375010;305553678;12
603345014;;764494040;529149280;-65992052;0
603345015;;1402618670;-1854291957;634661296;1
603345016;;-1350604803;1937735070;2011036542;14
603345017;;-4980873;-805568649;-1115758641;9
603345018;;1593825775;-140547;-85235713;15
603345019;;-35864578;-6836225;-525061;7
603345020;;-202375525;-1125189653;-809517131;15
603345021;;-841804851;954423482;409032045;3
603345022;;841804850;-954423483;-409032046;12
603346000;;935422346;1241805504;-1755839323;9
603346001;;-1540499171;581147138;1251011138;2
603346002;;403873318;-1181948133;-599105524;1
603346003;;2046035205;-701248338;44110745;13
603346004;;74085498;399804741;-384497341;2
603346005;;-1030738342;1632317620;1884143921;14
603346006;;1594114785;1832725533;564836088;14
603346007;;-2088009083;-1671425544;-1095262930;4
603346008;;-394284560;-2133178525;90603222;1
603346009;;-604000548;-352390657;2013960792;11
603346010;;-336398753;-171503850;-1141511297;15
603346011;;-863693845;1866462953;1207825847;4
603346012;;-149042754;1594215983;-1367917330;12
603346013;;879689635;-1778680361;-678502515;11
603346014;;1073446261;-1158104072;-33855501;7
603346015;;1489212537;464472956;-1866222268;9
603346016;;-1489212538;-464472957;1866222267;6
603347000;;538095140;1078397003;-2098647428;4
603347001;;337543302;545482001;1115735214;0
603347002;;289705256;-1986236158;-385611504;2
603347003;;-887001960;-2145383196;757769289;1
603347004;;780214609;-1439167976;1410955396;13
603347005;;-1877838767;391676836;-2136670175;7
603347006;;32264741;673952358;274670946;12
603347007;;-388398910;1422151749;-99609838;2
603347008;;329909030;1394837928;51401349;8
603347009;;1143019722;-288074216;493001427;0
603347010;;-297512167;352363667;617005320;11
603347011;;1731833078;-1631916065;-310476846;7
603347012;;-180887600;-85752961;1006089727;11
603347013;;-20169795;-75628577;-559096649;6
603347014;;-1411418417;2113672361;-648545528;9
603347015;;-538783941;-946864992;647750655;12
603347016;;419426671;626490230;-135721363;15
603347017;;-1675740266;-441215747;-1249685140;8
603347018;;1675740265;441215746;1249685139;7
603347019;;1661172910;1917094421;392321615;6
603347020;;1310760980;-1337970548;1904238980;0
603347021;;-2003760095;1260650504;424673410;6
603347022;;839943464;559248;-2077949436;8
603347023;;562496017;2099283;643874825;0
603347024;;20992522;47240449;136090146;0
603347025;;-2146799424;1159528996;33762625;4
603347026;;1346896066;-1207746046;-1065214896;3
603347027;;69470468;75638112;524344;9
603348000;;-1340042990;201949896;503959552;2
603348001;;1162497089;1652846853;-525202440;4
603348002;;177545900;-1854796750;21242887;9
603348003;;2382882;-1203615978;640845930;4
603348004;;314770001;1085343969;1489002640;10
603348005;;-317152884;118272008;-2129848571;1
603441000;;-1410023468;-1396741249;-167924015;15
603441001;;-951173730;-1103315029;-1110477025;15
603441002;;-1793887257;1405607103;1314380271;6
603441003;;2063320301;-545591866;-470225283;12
603441004;;-17834117;1909805661;-618496018;3
603441005;;2109598267;-269764624;1052742066;9
603441006;;-1;-1;-1;15
603441007;;-1;-1;-1;15
603441008;;-1;-1;-1;15
603441009;;-1;-1;-1;15
603441010;;1014880721;382535810;1248594402;12
603441011;;-1014880722;-382535811;-1248594403;3
603441012;;-2113534956;596914403;1216354348;11
603441013;;134346849;-1872606184;-1558755439;0
603441014;;1979188106;1275691780;342401090;4
603441015;;-835644655;893956098;167787009;7
603441016;;553790504;1252265885;338870434;0
603441017;;281854150;-2146221984;-506657444;8
603441018;;-1384562411;406240133;2006779728;9
603441019;;439393514;-849245437;-1922581792;8
603441020;;-1041837847;176503276;-322677543;6
603441021;;1418101578;-1712791900;406489991;3
603441022;;1540261076;-426016234;-2113795793;5
603441023;;-1608176103;395211851;1026080256;10
603441024;;-950911486;1612734648;1128493119;5
603441025;;546929573;1968637274;-1331936942;12
603441026;;1040802102;-1571273615;1123148972;2
603441027;;-1074827266;-270565913;-71567106;15
603441028;;1803287917;-1149256961;2013200381;11
603441029;;-539495493;-4728898;-1107314825;6
603441030;;-151134465;-721555457;-815267957;15
603441031;;-37830697;2146107225;-19050497;13
603441032;;280186113;364402688;135086660;2
603441033;;1744974404;-968833499;1908604982;1
603441034;;546318628;1210384681;-1959611120;0
603441035;;-1824209774;952607106;-730830719;12
603441036;;1160286745;572003932;612667275;4
603441037;;-1907556118;-2130564910;34082920;11
603441038;;-946270023;-1366791349;-1014373018;4
603441039;;946270022;1366791348;1014373017;11
603441040;;536870976;2101253;67502080;0
603442000;;934577366;455565903;-1884536313;4
603442001;;-9979109;-191153021;-108319301;10
603442002;;1381694449;1056559912;970169684;13
603442003;;-1996994631;1473551832;-676955477;9
603442004;;-91268890;-1577957385;1650321262;15
603442005;;637398094;-915411148;611950544;2
603442006;;-855427283;-301156097;-562630403;7
603442007;;390964010;665209186;2101400508;0
603442008;;-390964011;-665209187;-2101400509;15
603442009;;162579754;-1566935014;-2120253373;11
603442010;;50926504;-465534352;-1591696440;0
603442011;;-1182465646;1478889154;46139722;0
603442012;;538354484;1275126917;771767462;10
603442013;;-866203631;-1877124592;-2123867903;4
603442014;;621679298;1032970668;269714100;6
603442015;;-731891642;61473824;1688028468;0
603442016;;-2108679092;627572999;1914729483;1
603442017;;1122575433;1124811;214315601;10
603442018;;2090912773;46567945;-547108180;5
603442019;;302211761;-614132364;1478231056;13
603442020;;386762796;312289542;1815740497;7
603442021;;-1139632379;83888644;1163682818;2
603442022;;941641606;235103394;415425964;1
603442023;;1134936264;1810367020;845689669;0
603442024;;1113588337;-1059876616;-1809495904;9
603442025;;75543728;-2135130022;60001242;12
603442026;;-1995282799;-836973439;2000726578;1
603442027;;275327062;-1272724720;-2146692024;14
603442028;;-271429366;2034251937;570573192;10
603442029;;1624052009;822482757;-914022891;0
603442030;;-2145507262;6321499;-2001629145;4
603442031;;32776;-2146434032;8388624;2
603442032;;136864353;-1868422781;1263294472;10
603442033;;-2050912892;760747088;3245408;1
603442034;;1914048538;1107675692;-1266539881;4
603442035;;177238041;1227100241;67250444;0
603442036;;1818369345;706029669;1087230080;4
603442037;;1092198788;-1522397422;-2146380239;8
603442038;;-1314765270;1342759426;-369029948;7
603442039;;-2079487454;-2030321496;1000866171;1
603442040;;306446548;276829580;360063490;10
603443000;;336154953;1428357272;695632420;8
603443001;;436242986;1613107398;-1660673912;0
603443002;;1092822020;-1002174696;-1207958240;0
603443003;;1007362081;-2137748972;1091182627;2
603443004;;-967553532;3753601;6298134;7
603443005;;-2143230942;332038401;38634000;4
603443006;;553654033;-1149226719;-528416638;8
603443007;;1221892236;671164520;210044123;12
603443008;;-860878606;106508391;-1841722304;10
603443009;;328348049;153143304;76562780;6
603443010;;-2127789486;1610890898;1077080192;1
603443011;;581452160;236602404;864190285;1
603443012;;541524044;-1866415806;1179146529;1
603443013;;1120256150;157352002;1237905157;15
603443014;;503854913;-1316470968;-1944906671;0
603443015;;832045137;1611133472;873943042;0
603443016;;-1602870908;41566395;-2136470878;0
603443017;;-922580438;-561773548;1375773100;10
603443018;;69295144;68192645;593756248;5
603443019;;-452634364;16974218;537952551;0
603443020;;-1604793335;1409357061;212425232;8
603443021;;480424513;-969924031;-284491528;0
603443022;;17245368;680315488;12758208;7
603443023;;449314998;-1286806470;-1838930929;6
603443024;;1110442818;150083732;1360286464;9
603443025;;-534171323;378235064;1401643716;14
603443026;;973458488;-2119683066;1950663745;7
603443027;;257032874;-800826427;-1458521282;9
603443028;;14603781;1798341211;-1939207752;0
603443029;;-710923822;743933216;45421571;0
603443030;;16842752;1073745944;805306442;0
603444000;;-2034155263;-2070887804;1078990921;0
603444001;;-1593487736;1208491040;1074016794;0
603444002;;16912650;83959874;21111009;10
603444003;;409993314;573190162;25693200;3
603444004;;282118016;-1028585447;-1610569972;14
603444005;;1073899569;1660945196;-1809757774;8
603444006;;-2012445612;268838209;612369454;4
603444007;;1277698628;134895664;285264144;0
603444008;;-1601173328;537150913;144908675;3
603444009;;520097802;1214874122;508101249;0
603444010;;1613365268;860225553;-2147450876;1
603444011;;1134704002;-2076082034;170197056;0
603444012;;806682697;-1803549532;-266420156;12
603444013;;38576161;276070656;1322390528;4
603444014;;67213828;160463424;591155744;1
603444015;;134221826;41;68157458;2
603444016;;1647398180;-1937432319;273777154;8
603444017;;92904034;70946889;287635529;5
603444018;;2030084681;-1068996462;1317472093;1
603444019;;306602001;943736342;-495427422;0
603444020;;-2131226476;1402150624;-2063067900;6
603444021;;-1945762422;589594924;679610544;10
603445000;;-501051324;606080514;141039321;0
603445001;;165233178;148968722;-1463492342;1
603445002;;-2077695711;9961788;943040544;9
603445003;;71438416;91491;-431972350;1
603445004;;269748610;-763170816;1286490145;0
603445005;;537175812;1196705920;-1879045819;12
603445006;;346556454;710092969;-1879023616;6
603445007;;-486451200;674759372;52040224;6
603445008;;1090978328;1678557920;26349822;0
603445009;;1421872161;272827141;67444225;0
603445010;;706217113;-2127952876;39862722;8
603445011;;-2007948126;25464832;856883228;13
603445012;;287478348;-1878779816;1098909188;2
603445013;;176447937;-553607165;1141474704;2
603445014;;1318920;-2147483646;16777216;0
603445015;;1360610068;-1269890924;185244436;8
603445016;;-2010742014;430358592;805937253;7
603445017;;-1979409272;1074830607;-993897470;0
603445018;;1689265253;1249928762;419709624;3
603445019;;852189322;67703585;-1070267006;0
603445020;;88086641;-1552930624;653273161;12
603446000;;1936695166;-939648593;-25536529;9
603446001;;-807734389;2020077556;899526133;14
603446002;;-1128960779;-1080428965;-873989606;7
603446003;;1687364394;244937682;1290754701;12
603446004;;46764776;1896089266;-1806351238;3
603446005;;740576585;2040367429;1412993796;8
603446006;;2049723538;886237837;-1690129502;9
603446007;;-648848734;235377801;-2108562087;5
603446008;;-1748654891;-1708123790;-1415144806;10
603446009;;-1925787635;-1049860296;595599671;7
603446010;;-1295468747;-2022973436;2089772128;2
603446011;;1094330710;-522052497;1631067333;4
603446012;;345090441;1109750536;-2012184354;0
603446013;;-1452927998;428476656;2001473312;15
603446014;;1107837556;-1538227193;10711041;0
603446015;;1356091794;1721782802;82483329;0
603446016;;218204265;139961484;1224802928;2
603446017;;-1574296060;-1861744287;-1307286258;13
603447000;;832703076;536872320;286458051;9
603447001;;-1048506868;24478020;591418897;0
603447002;;1083224114;268446178;-2013211640;0
603447003;;-2108153564;67932202;272140288;0
603447004;;138478737;-1295628268;1151861156;10
603447005;;-2130427707;-2105392941;675981858;8
603447006;;371196498;-1023323136;220217044;2
603447007;;975262984;685912720;885133589;4
603447008;;206622978;1208592907;270450;0
603447009;;611065888;748685317;-2105245560;2
603447010;;1083810184;357606465;68232459;5
603447011;;739122706;-1945284568;-914030548;5
603447012;;-2130261823;1125123628;1382697024;5
603447013;;1375862793;1345979152;-501923072;10
603447014;;-2013001724;100928000;0;0
603447015;;779242650;-64857714;1228556721;1
603447016;;-779242651;64857713;-1228556722;14
603447017;;1234583990;1558267767;174078429;4
603447018;;-1234583991;-1558267768;-174078430;11
603447019;;637555906;517018720;708592264;1
603447020;;1270513697;558638466;233632;14
603447021;;143159057;-937916148;1167861808;6
603447022;;-2130431342;-1574739248;272747778;0
603447023;;811829324;1426080279;-1832775083;9
603447024;;-732626644;10917929;-316660401;0
603447025;;-1507510927;-389675162;331059122;9
603447026;;1348487430;1226310162;-1009242624;5
603447027;;186163305;1350598788;843734029;8
603447028;;-1051037312;638369864;815009118;0
603447029;;113550788;-2146169616;-2147213178;15
603447030;;1078030858;1116444;1185091649;5
603447031;;1209729052;-2006432852;1959805108;2
603447032;;85252241;1686818900;478168929;8
603447033;;1496336908;411174275;941908482;0
603447034;;347098386;1142037040;692621500;6
603447035;;620824352;329647328;-2133615616;4
603447036;;612901298;-1073713083;607150954;1
603447037;;-400551291;14788739;1140921360;11
603447038;;979146274;-770163123;-1894382549;2
603447039;;-1673394110;685804936;-1054275298;8
603447040;;-1591039948;623196690;1612483156;4
603447041;;279250008;1431520043;143429955;0
603447042;;1109443269;773407873;38003137;2
603447043;;1377080330;638443522;-1989984256;5
603447044;;-1987916535;406979080;1063804941;9
603447045;;-1945425212;-2127818719;-2147306592;4
603447046;;298123369;-1291376539;1342439601;2
603447047;;-1568206815;-1812859630;84156416;0
603447048;;583664274;257995032;-903767352;10
603448000;;-1712457447;-1536822741;-894960038;5
603448001;;2085173165;1602172215;-1259061643;6
603448002;;-1140623123;-606450721;-643874399;8
603448003;;-73508137;1306173424;1293035455;2
603448004;;49530474;-1248572193;1063879119;13
603448005;;-415461482;1789508616;-162989968;15
603448006;;1207346546;-1306008604;603971470;11
603448007;;-144825002;-1347102739;1098612666;10
603448008;;-943884331;-1006902990;243137805;15
603448009;;-85205013;-51455089;-1274027;13
603448010;;-1633306439;2144173277;-137111298;4
603448011;;2044459966;-1101549706;-1094815001;7
603448012;;762760815;1362837243;-108550149;11
603448013;;1667730909;2000057026;-430704647;14
603448014;;-347333894;241999419;-1704534636;1
603448015;;478737958;-843194369;-1649853719;5
603448016;;-135032011;-1328954030;1897803434;11
603448017;;1690068438;1978132653;1860036879;3
603448018;;-1638405207;-1416480483;-1650224266;12
603448019;;-1715766197;-631560220;1677476951;14
603448020;;-1049875348;11544612;193668468;6
603448021;;713054353;-645843694;1863368747;1
603448022;;764478217;644530176;268485533;0
603448023;;-770998010;1449005760;547627520;14
603448024;;272803408;-2013198803;-1872356288;1
603448025;;70537378;553961947;-1000793982;8
603449000;;1971057011;859275260;536535023;8
603449001;;-1576388611;-379652433;-8940577;13
603449002;;-1612321067;-553789837;-438472412;6
603449003;;1268211598;-1477792873;-1216188609;7
603449004;;-33625682;2089409915;1219346129;11
603449005;;-16933253;-537450036;-92279558;15
603449006;;1763405707;-570674184;348502803;15
603449007;;-18547323;1931992923;-372290088;10
603449008;;65640318;1490242621;1463469695;2
603449009;;-1782687110;-1370625562;-88719706;5
603449010;;-27811595;-1480935801;-1350962707;13
603449011;;550289612;1178944258;1615860243;1
603449012;;1509979554;216026696;-561916864;6
603449013;;1427182354;-1861180268;-2146041808;0
603449014;;652871689;865087667;329844174;8
603449015;;-1994348508;-2146498483;4729513;6
603449016;;-2145974703;1747620128;757524740;9
603449017;;701596296;-1722776944;586756290;0
603449018;;-1861343919;-1433991932;1090781213;0
603449019;;243292358;2169858;100847392;1
603449020;;-1005299190;1619026473;-1655438448;12
603449021;;1378582836;124438612;-794091479;7
603449022;;543171617;1411133931;671145030;10
603449023;;22022732;1890431749;806170648;4
603449024;;-1467289327;-2130574160;1243743715;10
603449025;;1445266594;240142410;-2049914364;1
603450000;;-411175066;-1224895670;-1118851281;9
603450001;;-611090951;-23933444;2076202748;14
603450002;;-423112809;1203076477;247331721;15
603450003;;-1115779845;1340014263;-121704993;7
603450004;;1606056782;-1183860045;-679479566;13
603450005;;955101885;-110401585;-403498633;2
603450006;;572795137;135506817;1085364620;9
603450007;;-2078601134;355206246;-1140187117;6
603450008;;1505805996;-490713064;54822496;0
603450009;;310658774;801729183;-1757002749;2
603450010;;1318262378;-1339893848;344668640;15
603450011;;-1578901334;333064558;1214514172;13
603450012;;-441646031;-1781680957;1164229655;9
603450013;;1427868780;-2011144947;-1422205280;1
603450014;;503871749;-46906543;1775732066;0
603450015;;175422354;1248726704;-1030114548;6
603450016;;-1472162931;1712697462;-1128709923;14
603450017;;-243373743;1083408384;838887963;0
603451000;;-672513579;-1162570563;550000014;10
603451001;;672513578;1162570562;-550000015;5
603451002;;677582021;-1031261549;-1603665524;0
603451003;;1115709496;1028656196;1308715075;14
603451004;;-1793291518;2605352;294950448;1
603451005;;-427247387;-71145146;578304751;14
603451006;;-561306798;343143352;-32652014;1
603451007;;561368237;-510852027;26716761;1
603451008;;427185946;238853819;-572369500;14
603541000;;1220854824;-1811900383;705235058;0
603541001;;-1784669646;-1727528882;1930433479;9
603541002;;-795147734;1230374944;1958087948;13
603541003;;676172945;-1161281450;-1824235384;7
603541004;;1110652293;1117266824;2814618;4
603541005;;611320597;1130396688;12818713;2
603541006;;386640206;539448065;203476064;14
603541007;;1663443989;1032652437;1368622176;0
603541008;;-1341634336;-428620830;-1882979819;8
603541009;;-1903888062;76791054;-870551165;1
603541010;;156254920;2401529;-1603721692;2
