Row ID;Row Name;isInvalidForCrouching
9071;Touch invasion sign;0
9080;Restore the power of the Great Rune;0
9081;Restore the power of the Great Rune;0
9082;Restore the power of the Great Rune;0
9083;Restore the power of the Great Rune;0
9084;Restore the power of the Great Rune;0
9085;Restore the power of the Great Rune;0
9100;Touch;0
9110;Examine;0
9120;Open;0
9140;Examine;0
9190;Examine;0
9200;Kick ladder;0
9210;Examine;0
9220;Examine;0
9230;Examine;0
9240;Stargaze;0
9250;;0
9260;Examine;0
9270;Use Birdseye Telescope;0
9280;Examine;0
9290;Return to entrance;0
9300;Examine;0
9310;Examine;0
9320;Examine;0
9330;Examine;0
9500;Touch wall of thorns;0
9501;Touch golden light;0
9503;Examine seal;0
9504;Examine;0
9505;Examine seal;0
9506;Examine seal;0
9519;Examine;0
9520;Light flame;0
9521;Touch phantom;0
9522;Examine seal;0
9523;Examine;0
9524;Light flame;0
9525;Touch horned remains;0
9526;Go back;0
9527;Examine;0
9528;Light flame;0
9529;Examine seal;0
9530;Examine seal;0
9531;Examine;0
9532;Pillage corpse;0
9533;Examine;0
9540;Summon Castellan Jerren;0
9541;Summon Blaidd the Half-Wolf;0
9542;Summon Alexander, Warrior Jar;0
9543;Summon Great Horned Tragoth;0
9544;Summon Okina;0
9545;Summon Finger Maiden Therolina;0
9546;Summon Lionel the Lionhearted;0
9547;Summon Patches;0
9550;Examine;0
9600;Become the Elden Lord;0
9610;Summon Ranni;0
9620;Become the Lord of Frenzied Flame;0
9630;Wear ring;0
9640;Open door;0
9650;;0
9660;;0
9700;Hoist medallion;0
9701;Hoist secret medallion;0
9710;Rest in coffin;0
9711;Rest in coffin;0
9720;Examine pedestal;0
9721;Remove inverted statue;0
9730;Open door;0
9740;Lie down;0
9750;;0
9980;Examine;0
9999;Examine;0
10000;Traverse the mist;0
10001;Traverse the mist;0
10010;Traverse the mist;0
30000;;0
32270;;0
33180;;0
33181;;0
33950;;0
34220;;0
34280;;0
34420;;0
34490;;0
34500;;0
34550;;0
34560;;0
34630;;0
