Row ID;Row Name;Disable Param - Network Test;Model Memory Type;Texture Memory Type;Camera Dither Fade ID;Send Report - Animation Memory Size MB
4430;Abnormal Stone Cluster;False;2;2;101;12
4440;Fungal Pod;False;3;3;101;12
4441;Giant Fungal Pod;False;3;3;120;12
4442;Giant Rotten Pod;False;3;3;120;12
4450;Walking Mausoleum;False;5;5;-1;12
4460;Flamethrower Tank;False;4;4;120;12
4470;Ghiza Torturer;False;3;3;110;12
4480;Giant Miranda Sprout;False;3;3;110;12
4481;Miranda Sprout;False;2;2;101;12
4482;Giant Miranda Sprout;False;3;3;110;12
4483;Miranda Sprout;False;2;2;101;12
4490;Living Pot - Large;False;3;3;110;12
4491;Living Pot - Small;False;3;3;101;12
4492;Living Pot - Huge;False;7;7;120;12
4500;Dragon;False;5;5;120;12
4501;Dragon;False;5;5;120;12
4502;Dragon (Blade in Mouth);False;5;5;120;12
4503;Dragon;False;5;5;120;12
4504;Lesser Elder Dragon;False;5;5;120;12
4505;Elder Dragon Greyoll;False;5;5;120;12
4510;Ancient Dragon;False;5;5;120;12
4511;Lichdragon Fortissax;False;5;5;120;12
4520;Dragonlord Placidusax;False;5;5;120;12
4550;Monstrous Dog;False;3;3;110;12
4560;Monstrous Crow;False;3;3;110;12
4561;Monstrous Crow;False;3;3;110;12
4570;Large Wormface;False;4;4;110;12
4580;Large Wormface;False;4;4;120;12
4600;Troll Knight (Blade);False;4;4;120;12
4601;Armored Troll Knight (Blade);False;4;4;120;12
4602;Troll Knight;False;4;4;120;12
4603;Troll Knight (Club);False;4;4;120;12
4604;Troll Knight (Covered Face, Club and Book);False;4;4;120;12
4620;Astel, Stars of Darkness;False;6;6;120;12
4630;Runebear;False;4;3;120;12
4640;Ulcerated Tree Spirit;False;4;4;120;12
4650;Dragonkin Soldier;False;4;4;120;12
4660;Golem;False;5;5;120;12
4670;Ancestor Spirit;False;4;4;120;12
4680;Falling-star Beast;False;4;4;120;12
4690;Grafted Scion;False;4;4;110;12
4710;God-Devouring Serpent / Rykard, Lord of Blasphemy;False;6;6;120;12
4711;Writhing Mass;False;4;6;110;12
4720;Bestial Knight (Greataxe);False;5;5;110;12
4721;Bare-chested Champion;False;1;1;110;12
4730;Starscourge Radahn;False;5;5;120;12
4750;Godrick the Grafted;False;5;5;110;12
4751;Godrick (Head and Torso);False;3;5;101;12
4760;Fire Giant;False;7;7;120;12
4770;Gargoyle;False;5;5;110;12
4800;Mohg, The Omen;False;4;4;110;12
4801;Mohg, The Omen - Dead;False;3;3;101;12
4810;Erdtree Avatar;False;4;4;110;12
4811;Erdtree Avatar;False;4;4;110;12
4820;Omenkiller;False;3;3;101;12
4910;Magma Wyrm;False;4;4;120;12
4911;Magma Wyrm (Standing);False;5;5;120;12
4950;Tibia Mariner;False;3;3;101;12
4960;Giant Skeleton Torso;False;4;4;120;12
4980;Death Rite Bird;False;5;5;110;12
6001;Hawk;False;2;2;101;1.5
6010;Deer;False;2;2;101;1.5
6031;Bear;False;2;2;101;1.5
6040;Owl;False;2;2;101;1.5
6050;Boar;False;2;2;101;1.5
6060;Goat;False;2;2;101;1.5
6070;Gull;False;2;2;101;1.5
6072;Gull;False;2;2;101;1.5
6080;Dragonfly;False;2;2;101;1.5
6081;Dragonfly;False;2;2;101;1.5
6082;Dragonfly;False;2;2;101;1.5
6090;Turtle;False;2;2;101;1.5
6091;Turtle Pope;False;4;4;110;1.5
6100;Rabbitgaroo;False;2;2;101;1.5
7000;Fallen Hawk Soldier;False;2;2;101;12
7100;White Mask Assailant;False;2;2;101;12
8000;Torrent;False;3;3;101;12
8100;Ballista;False;3;7;2;12
8101;Giant Ballista;False;3;7;2;12
8110;Dragon-faced Flamethrower;False;3;7;2;12
8120;Merciless Chariot;False;5;7;1;12
