Row ID;Row Name;Random Slot [0];Random Slot [1];Random Slot [2];Random Slot [3];Random Slot [4];Random Slot [5];Random Slot [6];Random Slot [7];Random Slot [8];Random Slot [9];Random Slot [10];Random Slot [11];Random Slot [12]
1202059;;204;57;156;224;130;149;58;182;112;20;80;134;2
1202060;;132;97;33;135;94;168;2;172;122;76;169;174;6
1202061;;49;148;68;10;134;91;241;9;141;115;208;123;2
1202062;;26;80;76;102;26;24;100;67;28;40;81;141;6
1202063;;165;38;11;138;114;74;112;73;74;10;41;242;12
1202064;;102;128;233;34;168;45;130;50;1;209;126;86;8
1202065;;38;132;159;1;134;47;137;160;52;182;8;209;9
1202066;;178;73;200;100;161;49;155;19;131;123;98;56;2
1202067;;89;46;28;61;53;196;96;137;36;38;128;38;1
1202068;;105;68;53;88;153;227;2;86;165;131;60;130;4
1202069;;165;223;24;101;64;150;93;70;32;129;204;56;1
1202070;;82;34;130;134;89;0;66;187;11;4;167;101;13
1202071;;106;11;94;32;68;210;209;135;33;168;33;148;5
1202072;;153;99;5;242;174;242;17;107;2;193;164;193;8
1202073;;112;22;70;42;145;200;30;40;6;184;2;66;11
1202074;;21;169;56;7;157;88;187;118;200;34;16;74;4
1202075;;49;89;21;20;32;43;8;166;139;142;92;131;3
1202076;;17;209;81;156;76;4;104;173;154;219;128;23;7
1202077;;193;192;81;192;72;180;168;213;205;50;173;32;0
1202078;;22;120;65;19;231;17;228;180;16;85;85;57;14
1202079;;33;24;174;100;42;5;153;84;101;160;105;53;10
1202080;;166;0;165;137;121;236;208;20;229;177;194;74;0
1202081;;180;180;40;114;12;139;32;27;146;4;95;180;11
1202082;;146;212;195;193;163;65;134;2;165;46;100;40;4
1202083;;234;30;152;181;112;152;10;208;212;107;179;53;1
1202084;;202;37;10;200;146;57;68;9;105;72;202;73;0
1202085;;14;6;43;76;17;4;247;160;120;5;74;206;8
1202086;;44;67;144;141;192;175;62;72;48;29;42;60;10
1202087;;73;38;210;34;26;34;5;104;66;83;6;130;12
1202088;;72;172;164;80;131;83;101;145;22;84;145;229;2
1202089;;5;233;234;43;70;4;2;74;27;66;152;90;5
1202090;;198;130;36;31;53;102;67;3;44;132;53;128;5
1202091;;66;135;34;132;12;113;52;45;6;219;154;48;2
1202092;;28;40;157;36;113;196;7;74;104;129;183;238;13
1202093;;34;47;69;242;66;70;162;226;68;121;99;81;2
1202094;;21;144;202;210;18;201;6;205;121;34;214;66;11
1202095;;230;48;0;46;102;155;129;224;208;132;236;20;9
1202096;;164;118;106;1;131;1;105;22;166;69;100;252;1
1202097;;24;58;50;250;8;52;200;152;5;104;124;137;0
1202098;;197;193;184;56;180;131;49;71;64;208;138;192;14
1202099;;41;68;69;11;121;0;20;87;153;202;132;135;7
1202100;;38;8;156;5;138;71;95;199;3;54;59;156;2
1202101;;202;86;72;24;88;20;101;152;139;4;4;176;0
1202102;;122;140;165;132;173;208;154;2;132;33;65;73;6
1202103;;145;117;61;1;135;15;176;176;49;30;33;41;8
1202104;;9;130;146;62;209;186;80;65;180;7;165;51;9
1202105;;161;23;5;167;130;153;24;36;91;34;9;74;5
1202106;;89;80;49;210;196;108;228;145;166;249;218;3;4
1202107;;114;73;130;105;11;44;10;41;99;1;19;38;8
1202108;;148;169;107;92;36;40;9;56;136;158;16;132;14
1202109;;78;194;192;193;53;34;195;28;126;196;72;10;4
1202110;;129;169;86;65;120;242;238;34;24;56;0;117;1
9902000;;10;184;158;65;70;228;137;116;33;33;26;72;1
9902001;;49;68;65;170;25;26;6;128;192;8;96;7;2
9902002;;196;3;32;20;160;1;112;11;30;214;133;176;12
603340000;;174;75;70;149;35;59;205;33;172;191;146;232;9
603340001;;209;176;177;107;159;220;82;94;200;29;176;87;6
603340002;;98;206;28;172;248;36;174;196;115;66;79;9;15
603340003;;29;53;235;82;68;195;49;187;23;224;109;182;0
603340004;;154;45;33;63;166;221;205;3;91;178;105;105;14
603340005;;113;91;158;86;73;114;87;121;161;85;30;217;10
603340006;;13;226;98;201;145;171;184;196;12;143;144;22;1
603340007;;230;148;221;160;126;4;34;190;246;104;231;166;5
603340008;;158;74;248;37;40;228;208;89;242;161;142;24;15
603340009;;97;181;7;218;215;27;47;166;13;94;113;231;0
603340010;;84;8;88;15;199;34;100;10;120;74;18;20;14
603340011;;82;102;11;132;122;17;8;181;2;150;144;136;5
603340012;;41;41;4;32;20;4;128;152;194;65;161;163;8
603340013;;5;21;85;82;8;188;151;100;52;33;8;96;3
603340014;;162;128;162;96;161;203;89;1;9;12;103;6;0
603340015;;136;210;160;153;0;64;34;66;133;176;76;89;0
603341000;;250;78;52;128;247;224;245;251;95;86;83;181;9
603341001;;9;177;117;238;186;251;10;93;141;185;210;192;7
603341002;;234;101;235;91;237;82;35;71;176;184;238;8;5
603341003;;101;127;214;119;27;181;251;198;215;77;229;107;15
603341004;;22;186;232;245;70;13;156;55;106;142;29;215;8
603341005;;189;153;139;60;4;14;79;168;236;231;63;255;6
603341006;;215;198;31;139;249;255;244;184;51;115;168;62;10
603341007;;74;124;28;129;178;72;217;72;70;166;224;113;0
603341008;;161;139;64;80;77;6;198;166;178;53;24;168;5
603341009;;150;12;153;100;2;76;132;18;121;66;79;0;10
603341010;;44;23;52;212;160;3;2;93;145;37;3;76;6
603341011;;90;32;36;53;85;230;57;0;71;209;0;139;3
603341012;;148;130;179;155;42;17;28;227;137;200;190;17;0
603341013;;21;217;73;42;9;144;161;188;22;14;97;114;15
603341014;;105;97;194;7;215;237;43;3;100;146;212;172;0
603341015;;129;166;11;42;104;59;66;204;8;88;131;22;13
603341016;;98;80;230;200;148;176;116;49;168;41;60;199;8
603341017;;154;253;180;17;187;193;184;168;138;10;184;9;2
603341018;;101;2;75;238;68;62;71;87;117;245;71;246;13
603341019;;10;140;116;0;184;80;10;164;64;1;25;72;9
603341020;;25;50;177;48;193;38;112;29;15;18;160;0;1
603341021;;84;3;132;11;21;175;81;96;200;36;192;55;6
603341022;;161;56;11;196;0;73;164;24;51;137;7;137;4
603341023;;2;69;8;213;74;128;131;131;160;90;70;6;8
603341024;;228;192;66;42;38;16;12;66;20;228;56;240;2
603341025;;0;64;161;0;0;0;0;4;0;144;0;0;11
603341026;;89;217;44;67;176;123;191;62;188;80;19;89;10
603341027;;166;38;211;188;79;132;64;193;67;175;236;166;5
603342000;;255;255;255;255;255;255;255;255;255;255;255;255;15
603342001;;255;255;255;255;255;255;255;255;255;255;255;255;15
603342002;;255;255;255;255;255;255;255;255;255;255;255;255;15
603342003;;255;255;255;255;255;255;255;255;255;255;255;255;15
603342004;;182;222;173;167;177;188;143;219;150;252;221;124;9
603342005;;207;196;215;94;122;247;249;32;109;213;183;187;15
603342006;;62;187;249;244;223;127;118;190;121;239;187;79;2
603342007;;215;111;62;219;102;205;217;215;247;18;114;229;6
603342008;;105;249;106;237;239;122;63;125;171;123;79;179;13
603342009;;249;55;215;59;157;131;230;239;222;175;236;222;15
603342010;;175;187;151;254;223;191;94;126;254;147;255;158;10
603342011;;221;245;126;231;255;229;239;207;157;255;255;123;13
603342012;;119;239;249;123;126;90;187;253;243;255;235;247;15
603342013;;251;95;239;189;251;255;255;247;255;237;157;239;7
603342014;;254;254;255;223;165;255;245;187;111;126;118;253;15
603342015;;105;69;189;58;181;252;130;233;214;176;106;117;2
603342016;;54;92;206;16;141;175;129;62;219;71;229;205;13
603342017;;241;60;106;207;0;67;249;67;74;28;149;174;5
603342018;;30;161;81;237;86;17;22;158;33;198;182;43;7
603342019;;178;131;148;171;90;246;62;189;100;63;220;22;3
603342020;;137;154;39;22;235;156;238;36;182;152;82;250;14
603342021;;205;103;200;64;111;73;97;193;153;225;11;144;8
603342022;;70;250;51;245;176;34;93;82;45;107;41;65;8
603342023;;84;12;32;173;43;65;174;18;20;32;0;92;15
603342024;;105;64;201;128;60;160;80;113;195;128;163;32;1
603342025;;136;17;209;84;64;75;43;104;40;23;120;0;4
603342026;;162;138;36;65;132;22;64;12;72;129;132;43;0
603342027;;5;116;2;58;129;144;17;133;52;120;85;145;0
603342028;;18;163;30;2;82;44;132;130;131;78;10;198;10
603342029;;33;150;10;204;216;160;132;105;18;8;196;96;4
603342030;;18;96;5;3;36;5;57;18;172;212;41;155;8
603342031;;204;9;240;48;3;90;66;132;65;35;18;4;3
603343000;;242;41;40;11;112;3;20;24;145;49;100;97;0
603343001;;210;61;104;197;160;230;2;32;33;143;152;236;7
603343002;;40;192;142;76;197;8;174;161;195;70;220;184;11
603343003;;165;90;87;160;15;203;193;216;147;37;161;68;0
603343004;;13;69;65;143;152;57;75;107;46;101;22;60;14
603343005;;73;133;176;32;110;152;184;22;92;184;46;25;4
603343006;;40;32;44;95;26;229;40;198;68;138;9;194;5
603343007;;17;142;1;112;193;68;167;243;160;64;209;2;0
603343008;;86;210;147;16;55;18;85;12;76;90;35;131;8
603343009;;134;50;214;178;0;52;80;5;58;144;66;23;11
603343010;;72;132;4;50;73;0;10;1;80;37;16;18;8
603343011;;148;8;8;192;176;37;96;20;2;64;34;168;5
603343012;;1;99;66;0;2;24;133;138;4;138;64;69;0
603343013;;34;16;177;13;4;194;16;96;169;16;141;0;2
603343014;;166;100;248;105;177;204;212;242;141;1;13;118;5
603343015;;113;141;14;177;64;183;107;164;52;119;216;204;1
603343016;;233;99;85;237;142;194;43;114;237;201;147;101;12
603343017;;206;59;197;132;124;53;93;26;10;158;74;187;12
603343018;;209;212;233;150;163;144;215;221;99;121;236;152;10
603343019;;25;203;18;19;127;122;132;9;155;116;53;98;10
603343020;;30;52;43;126;151;11;184;167;208;170;55;157;7
603343021;;38;154;182;74;72;109;34;77;118;134;226;3;3
603343022;;185;177;212;171;246;41;129;185;3;118;163;9;6
603343023;;230;78;111;80;23;210;125;72;176;47;214;52;4
603343024;;85;12;34;183;233;220;98;38;93;192;76;215;11
603343025;;10;243;153;76;8;39;158;215;238;153;57;234;9
603343026;;109;193;153;96;7;2;158;191;108;202;43;65;3
603343027;;166;92;108;159;208;93;113;96;19;77;189;180;12
603343028;;146;183;6;143;248;250;201;65;250;52;84;207;1
603343029;;89;42;243;112;47;165;38;158;133;179;194;58;14
603343030;;117;246;127;103;239;189;127;247;191;239;255;238;14
603343031;;223;191;246;190;63;122;246;255;218;244;127;127;15
603343032;;239;125;191;219;244;239;251;255;237;91;213;187;1
603343033;;187;219;235;253;219;247;191;125;119;191;174;255;15
603343034;;254;239;221;255;255;223;205;138;255;255;251;213;15
603344000;;158;216;31;90;30;85;112;213;57;60;207;54;8
603344001;;117;17;246;168;211;163;135;50;164;170;90;145;3
603344002;;50;225;45;85;172;86;155;232;69;255;71;198;7
603344003;;46;129;196;165;255;156;126;199;83;14;40;218;9
603344004;;114;118;10;189;64;139;140;27;190;19;56;37;14
603344005;;193;79;240;67;51;97;124;43;234;113;161;109;5
603344006;;141;174;35;174;105;60;65;116;71;196;148;202;2
603344007;;201;62;217;82;132;234;163;140;152;193;247;57;12
603344008;;239;255;236;251;123;117;239;255;90;223;78;251;15
603344009;;251;253;27;182;183;251;243;255;255;255;255;127;11
603344010;;125;222;247;127;253;158;94;230;191;107;253;231;12
603344011;;215;227;255;221;207;255;191;57;245;254;243;255;7
603344012;;190;63;255;239;254;239;253;223;239;181;191;156;15
603344013;;198;127;156;15;187;251;255;141;111;255;195;145;13
603344014;;235;190;126;179;218;79;207;227;151;141;63;207;7
603344015;;254;158;197;253;119;159;178;126;159;43;209;121;15
603344016;;213;193;127;251;71;112;253;247;242;114;127;119;10
603344017;;61;237;179;100;237;175;16;59;232;255;254;174;12
603344018;;59;115;235;222;188;244;111;220;125;212;172;254;3
603344019;;4;4;0;0;136;0;4;0;0;131;0;138;0
603345000;;58;157;73;93;85;127;66;190;7;148;26;108;7
603345001;;37;103;103;59;224;205;24;233;243;90;240;78;14
603345002;;218;205;162;158;211;170;157;245;170;118;228;189;0
603345003;;134;186;83;229;111;21;172;162;93;237;187;167;3
603345004;;203;58;188;239;186;144;235;67;182;135;7;208;13
603345005;;253;112;159;16;63;122;247;30;73;105;111;243;9
603345006;;117;199;252;226;140;231;119;93;252;187;221;27;14
603345007;;113;108;46;8;171;33;116;164;3;207;8;70;14
603345008;;41;189;65;186;224;9;129;96;235;146;229;157;3
603345009;;145;196;114;87;80;208;223;202;27;20;193;131;14
603345010;;70;179;45;224;23;54;1;85;84;44;155;33;9
603345011;;205;146;116;3;188;247;38;108;244;246;106;218;1
603345012;;22;29;131;172;197;10;46;18;97;209;46;104;6
603345013;;162;42;204;212;30;222;208;171;14;97;54;18;12
603345014;;216;64;145;45;96;45;138;31;140;10;17;252;0
603345015;;46;67;154;83;11;192;121;145;176;41;212;37;1
603345016;;253;103;127;175;158;125;127;115;126;251;221;119;14
603345017;;119;255;179;255;119;255;251;207;207;223;126;189;9
603345018;;239;217;255;94;253;218;253;255;255;103;235;250;15
603345019;;254;191;220;253;255;175;151;255;251;252;247;255;7
603345020;;155;254;239;243;235;247;238;188;181;191;191;207;15
603345021;;205;19;211;205;186;88;227;56;109;85;97;24;3
603345022;;50;236;44;50;69;167;28;199;146;170;158;231;12
603346000;;138;105;193;55;192;114;4;74;165;4;88;151;9
603346001;;29;217;45;164;2;154;163;34;66;234;144;74;2
603346002;;38;158;18;24;27;231;140;185;12;96;74;220;1
603346003;;5;5;244;121;174;204;51;214;153;19;161;2;13
603346004;;122;116;106;4;69;137;212;23;67;9;21;233;2
603346005;;90;46;144;194;180;48;75;97;49;193;77;112;14
603346006;;225;66;4;95;29;44;61;109;248;182;170;33;14
603346007;;133;130;139;131;248;17;96;156;46;157;183;190;4
603346008;;240;177;127;232;99;71;218;128;214;126;102;5;1
603346009;;220;174;255;219;255;241;254;234;88;154;10;120;11
603346010;;95;246;242;235;22;15;199;245;127;235;245;187;15
603346011;;235;19;133;204;233;246;63;111;183;245;253;71;4
603346012;;190;201;29;247;47;206;5;95;238;60;119;174;12
603346013;;163;255;110;52;215;125;251;149;141;223;142;215;11
603346014;;117;125;251;63;248;187;248;186;243;103;251;253;7
603346015;;121;148;195;88;124;75;175;27;68;181;195;144;9
603346016;;134;107;60;167;131;180;80;228;187;74;60;111;6
603347000;;36;174;18;32;75;8;71;64;124;46;233;130;4
603347001;;134;128;30;20;17;101;131;32;174;196;128;66;0
603347002;;40;141;68;17;2;113;156;137;16;9;4;233;2
603347003;;152;108;33;203;228;12;32;128;73;164;42;45;1
603347004;;81;33;129;46;24;10;56;170;132;120;25;84;13
603347005;;81;116;18;144;164;131;88;23;33;0;165;128;7
603347006;;37;82;236;1;102;178;43;40;98;37;95;16;12
603347007;;194;128;217;232;69;80;196;84;18;19;16;250;2
603347008;;38;3;170;19;168;137;35;83;133;82;16;3;8
603347009;;202;24;33;68;24;86;212;238;211;154;98;29;0
603347010;;25;83;68;238;147;164;0;21;8;193;198;36;11
603347011;;246;172;57;103;223;239;186;158;210;127;126;237;7
603347012;;208;223;55;245;127;131;227;250;255;181;247;59;11
603347013;;189;59;204;254;223;255;125;251;183;220;172;222;6
603347014;;207;118;223;171;169;20;252;125;8;251;87;217;9
603347015;;59;207;226;223;160;252;143;199;255;227;155;38;12
603347016;;111;241;255;24;118;123;87;37;109;14;233;247;15
603347017;;150;59;30;156;253;148;179;229;108;81;131;181;8
603347018;;105;196;225;99;2;107;76;26;147;174;124;74;7
603347019;;174;124;3;99;21;138;68;114;79;90;98;23;6
603347020;;20;160;32;78;140;48;64;176;132;97;128;113;0
603347021;;33;12;145;136;8;0;36;75;130;0;80;25;6
603347022;;40;133;16;50;144;136;8;0;4;2;37;132;8
603347023;;17;2;135;33;83;8;32;0;9;192;96;38;0
603347024;;10;82;64;1;1;213;208;2;34;146;28;8;0
603347025;;192;112;10;128;36;2;29;69;65;45;3;2;4
603347026;;194;0;72;80;2;66;3;184;80;28;130;192;3
603347027;;4;9;36;4;96;37;130;4;56;0;8;0;9
603348000;;18;145;32;176;200;130;9;12;0;208;9;30;2
603348001;;65;76;74;69;5;113;132;98;248;11;178;224;4
603348002;;172;34;149;10;50;12;114;145;7;36;68;1;9
603348003;;34;92;36;0;22;71;66;184;106;136;50;38;4
603348004;;81;2;195;18;225;8;177;64;144;96;192;88;10
603348005;;140;161;24;237;8;176;12;7;5;23;13;129;1
603441000;;212;191;244;171;127;107;191;172;209;174;253;245;15
603441001;;158;61;78;199;171;191;60;190;31;119;207;189;15
603441002;;231;115;19;149;191;220;199;83;239;217;87;78;6
603441003;;237;196;251;122;198;237;122;223;125;238;248;227;12
603441004;;123;223;239;254;93;82;213;113;238;127;34;219;3
603441005;;59;234;189;125;240;183;235;239;178;145;191;62;9
603441006;;255;255;255;255;255;255;255;255;255;255;255;255;15
603441007;;255;255;255;255;255;255;255;255;255;255;255;255;15
603441008;;255;255;255;255;255;255;255;255;255;255;255;255;15
603441009;;255;255;255;255;255;255;255;255;255;255;255;255;15
603441010;;209;217;125;60;130;8;205;22;226;9;108;74;12
603441011;;46;38;130;195;125;247;50;233;29;246;147;181;3
603441012;;20;4;6;130;227;48;148;35;44;24;128;72;11
603441013;;97;248;1;8;24;76;98;144;145;71;23;163;0
603441014;;138;3;248;117;4;131;9;76;66;160;104;20;4
603441015;;17;19;49;206;2;176;72;53;1;58;0;10;7
603441016;;40;44;2;33;157;15;164;74;162;192;50;20;0
603441017;;198;192;204;16;96;64;19;128;92;5;205;225;8
603441018;;21;65;121;173;133;187;54;24;80;7;157;119;9
603441019;;234;156;48;26;3;139;97;205;224;186;103;141;8
603441020;;233;208;230;193;236;57;133;10;217;84;196;236;6
603441021;;74;131;134;84;164;222;232;153;135;139;58;24;3
603441022;;212;132;206;91;22;130;155;230;47;9;2;130;5
603441023;;25;46;37;160;75;116;142;23;0;190;40;61;10
603441024;;2;62;82;199;184;96;32;96;63;112;67;67;5
603441025;;165;123;153;32;90;5;87;117;82;65;156;176;12
603441026;;54;97;9;62;113;68;88;162;172;228;241;66;2
603441027;;254;111;239;191;231;125;223;239;254;248;187;251;15
603441028;;109;253;123;107;255;186;127;187;253;255;254;119;11
603441029;;187;243;215;223;190;215;183;255;119;183;255;189;6
603441030;;255;222;253;246;255;239;253;212;139;255;103;207;15
603441031;;215;191;190;253;89;255;234;127;255;79;221;254;13
603441032;;1;77;179;16;0;88;184;21;68;66;13;8;2
603441033;;68;50;2;104;37;198;64;198;54;0;195;113;1
603441034;;36;41;144;32;41;1;37;72;16;181;50;139;0
603441035;;146;196;68;147;130;161;199;56;129;104;112;212;12
603441036;;25;146;40;69;92;22;24;34;139;143;132;36;4
603441037;;234;0;77;142;210;40;2;129;104;16;8;2;11
603441038;;185;16;153;199;75;107;136;174;102;229;137;195;4
603441039;;70;239;102;56;180;148;119;81;153;26;118;60;11
603441040;;64;0;0;32;5;16;32;0;0;0;6;4;0
603442000;;214;132;180;55;79;98;39;27;7;66;172;143;4
603442001;;27;187;103;255;131;60;155;244;187;45;139;249;10
603442002;;241;251;90;82;40;211;249;62;84;157;211;57;13
603442003;;185;71;248;136;216;157;212;87;171;122;166;215;9
603442004;;230;88;143;250;247;71;242;161;110;231;93;98;15
603442005;;78;236;253;37;52;239;111;201;208;159;121;36;2
603442006;;45;55;3;205;255;184;12;238;253;240;118;222;7
603442007;;42;163;77;23;98;73;166;39;188;211;64;125;0
603442008;;213;92;178;232;157;182;89;216;67;44;191;130;15
603442009;;42;197;176;9;26;120;154;162;67;128;159;129;11
603442010;;168;19;9;3;112;130;64;228;200;163;32;161;0
603442011;;146;1;133;185;194;14;38;88;74;9;192;2;0
603442012;;52;163;22;32;133;228;0;76;166;60;0;46;10
603442013;;17;200;94;204;16;90;29;144;1;89;104;129;4
603442014;;194;18;14;37;172;225;145;61;180;130;19;16;6
603442015;;70;56;96;212;32;4;170;3;52;69;157;100;0
603442016;;76;28;80;130;7;1;104;37;11;116;32;114;1
603442017;;73;36;233;66;203;41;17;0;81;50;198;12;10
603442018;;5;204;160;124;9;146;198;2;172;202;99;223;5
603442019;;177;98;3;18;116;21;101;219;16;4;28;88;13
603442020;;44;136;13;23;6;41;157;18;81;0;58;108;7
603442021;;5;151;18;188;4;10;0;5;2;100;92;69;2
603442022;;134;79;32;56;162;100;3;14;172;229;194;24;1
603442023;;200;192;165;67;44;2;232;107;69;51;104;50;0
603442024;;113;2;96;66;248;144;211;192;160;72;37;148;9
603442025;;176;180;128;4;90;128;188;128;218;139;147;3;12
603442026;;145;102;18;137;129;204;28;206;50;170;64;119;1
603442027;;86;40;105;16;16;195;35;180;72;20;12;128;14
603442028;;10;81;210;239;161;56;64;121;136;65;2;34;10
603442029;;41;17;205;96;69;23;6;49;21;30;133;201;0
603442030;;66;40;30;128;91;117;96;0;39;144;177;136;4
603442031;;8;128;0;0;16;4;16;128;16;0;128;0;2
603442032;;97;98;40;8;131;33;162;144;8;88;76;75;10
603442033;;132;141;193;133;80;20;88;45;96;133;49;0;1
603442034;;26;16;22;114;44;202;5;66;151;34;130;180;4
603442035;;25;112;144;10;81;16;36;73;12;41;2;4;0
603442036;;65;29;98;108;101;40;21;42;128;208;205;64;4
603442037;;132;161;25;65;18;15;66;165;49;214;16;128;8
603442038;;42;70;162;177;2;226;8;80;196;12;1;234;7
603442039;;34;138;13;132;168;192;251;134;123;1;168;59;1
603442040;;212;0;68;18;140;21;128;16;2;34;118;21;10
603443000;;73;81;9;20;152;0;35;85;36;130;118;41;8
603443001;;42;138;0;26;198;16;38;96;136;32;4;157;0
603443002;;4;36;35;65;24;7;68;196;32;5;0;184;0
603443003;;33;32;11;60;20;138;148;128;35;32;10;65;2
603443004;;4;78;84;198;129;70;57;0;22;26;96;0;7
603443005;;34;228;64;128;1;129;202;19;16;130;77;2;4
603443006;;17;23;0;33;33;49;128;187;130;0;129;224;8
603443007;;140;152;212;72;104;40;1;40;219;4;133;12;12
603443008;;242;8;176;204;103;48;89;6;64;140;57;146;10
603443009;;145;49;146;19;8;200;32;9;92;65;144;4;6
603443010;;82;130;44;129;146;62;4;96;128;240;50;64;1
603443011;;128;65;168;34;36;68;26;14;77;127;130;51;1
603443012;;76;0;71;32;66;193;192;144;33;89;72;70;1
603443013;;150;192;197;66;66;0;97;9;5;239;200;73;15
603443014;;65;55;8;30;72;63;136;177;81;20;19;140;0
603443015;;81;0;152;49;32;242;7;96;2;80;23;52;0
603443016;;132;33;118;160;187;64;122;2;162;10;168;128;0
603443017;;42;138;2;201;20;4;132;222;172;161;0;82;10
603443018;;40;92;33;4;133;137;16;4;88;0;100;35;5
603443019;;4;89;5;229;138;1;3;1;39;129;16;32;0
603443020;;9;204;88;160;5;21;1;84;16;90;169;12;8
603443021;;65;178;162;28;65;34;48;198;248;0;11;239;0
603443022;;184;36;7;1;96;202;140;40;192;172;194;0;7
603443023;;182;0;200;26;58;228;76;179;15;36;100;146;6
603443024;;66;3;48;66;148;24;242;8;0;83;20;81;9
603443025;;69;49;41;224;184;104;139;22;196;98;139;83;14
603443026;;56;204;5;58;6;52;168;129;65;196;68;116;7
603443027;;170;2;82;15;197;91;68;208;62;187;16;169;9
603443028;;5;214;222;0;91;130;48;107;184;9;106;140;0
603443029;;210;41;160;213;32;133;87;44;3;20;181;2;0
603443030;;0;0;1;1;24;16;0;64;74;0;0;48;0
