Row ID,Row Name,Message Type 0,Message Type 1,Message Type 2,Message Type 3,Message ID 0,Message ID 1,Message ID 2,Message ID 3,Message ID 4,Message ID 5,Message ID 6,Message ID 7,Message ID 8,Message ID 9,Message ID 10,Message ID 11,Message ID 12,Message ID 13,Message ID 14,Message ID 15,Message ID 16,Message ID 17,Message ID 18,Message ID 19,Message ID 20,Message ID 21,Message ID 22,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11
210,,3,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2610304,-1,-1,-1,-1,-1,2610308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
211,,0,0,1,0,2611000,2611001,2611002,-1,2611100,2611101,2611102,2611200,2611201,2611202,-1,2611304,-1,2611306,2611307,2611105,2611205,2611308,2611409,2611410,2611411,2611412,-1,2611210,-1,-1,-1,-1,0,0,0,0,0,0,0
212,,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2612304,-1,-1,-1,-1,-1,2612308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
213,,0,0,1,0,2611010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
220,,3,0,0,0,-1,-1,2614002,-1,-1,-1,2614102,-1,-1,2614202,-1,2670304,-1,-1,-1,-1,-1,2670308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
221,,0,0,1,0,-1,-1,2615002,-1,-1,-1,2615102,-1,-1,2615202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
222,,2,0,0,0,-1,-1,2616002,-1,-1,-1,2616102,-1,-1,2616202,-1,2672304,-1,-1,-1,-1,-1,2672308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
223,,2,0,0,0,-1,-1,-1,-1,2661210,-1,-1,2661220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2661225,-1,-1,-1,-1,0,0,0,0,0,0,0
230,,3,0,1,0,2620000,2620001,2620002,-1,2620100,2620101,2620102,2620200,2620201,2620202,-1,2620304,-1,2620306,2620307,2620105,2620205,2620308,-1,-1,-1,-1,-1,2620210,2620010,2620220,2620230,2620240,0,0,0,0,0,0,0
231,,0,0,1,0,2621000,2621001,2621002,-1,2621100,2621101,2621102,2621200,2621201,2621202,-1,2621304,-1,2621306,2621307,2621105,2621205,2621308,2621409,2621410,2621411,2621412,-1,2621210,-1,-1,-1,-1,0,0,0,0,0,0,0
232,,2,0,0,0,2622000,2622001,2622002,-1,2622100,2622101,2622102,2622200,2622201,2622202,-1,2622304,-1,2622306,2622307,2622105,2622205,2622308,-1,-1,-1,-1,-1,2622210,2622010,2622220,2622230,2622240,0,0,0,0,0,0,0
233,,0,0,1,0,2692000,2692001,2692002,-1,2692100,2692101,2692102,2692200,2692201,2692202,-1,2692304,-1,2692306,2692307,-1,-1,2692308,-1,-1,-1,-1,-1,2692210,-1,-1,-1,-1,0,0,0,0,0,0,0
234,,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,2712200,2712201,2712202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2712210,-1,2712220,2712230,2712240,0,0,0,0,0,0,0
240,,3,0,1,0,2630000,2630001,2630002,-1,2630100,2630101,2630102,2630200,2630201,2630202,-1,2630304,-1,2630306,2630307,2630105,2630205,2630308,-1,-1,-1,-1,-1,2630210,2630010,2630220,2630230,2630240,0,0,0,0,0,0,0
241,,0,0,1,0,2631000,2631001,2631002,-1,2631100,2631101,2631102,2631200,2631201,2631202,-1,2631304,-1,2631306,2631307,2631105,2631205,2631308,2631409,2631410,2631411,2631412,-1,2631210,-1,-1,-1,-1,0,0,0,0,0,0,0
242,,2,0,0,0,2632000,2632001,2632002,-1,2632100,2632101,2632102,2632200,2632201,2632202,-1,2632304,-1,2632306,2632307,2632105,2632205,2632308,-1,-1,-1,-1,-1,2632210,2632010,2632220,2632230,2632240,0,0,0,0,0,0,0
244,,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,2722200,2722201,2722202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2722210,-1,2722220,2722230,2722240,0,0,0,0,0,0,0
250,,3,0,1,0,2640000,2640001,-1,-1,2640305,-1,-1,-1,-1,-1,-1,2640304,-1,-1,-1,-1,-1,2640308,-1,-1,-1,-1,-1,-1,2640010,-1,-1,-1,0,0,0,0,0,0,0
251,,0,0,1,0,2641000,2641001,-1,-1,2641305,-1,-1,-1,-1,-1,-1,2641304,-1,-1,-1,-1,-1,2641308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
252,,2,0,0,0,2642000,2642001,-1,-1,2642305,-1,-1,-1,-1,-1,-1,2642304,-1,-1,-1,-1,-1,2642308,-1,-1,-1,-1,-1,-1,2642010,-1,-1,-1,0,0,0,0,0,0,0
260,,0,0,1,0,2651000,2651001,2651002,-1,-1,-1,-1,-1,-1,-1,-1,2651304,-1,-1,-1,-1,-1,2651308,2651409,2651410,2651411,2651412,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
261,,2,0,0,0,2661000,2661001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
262,,0,0,1,0,-1,-1,2661002,-1,2661100,2661101,2661102,2661200,2661201,2661202,-1,2661304,-1,2661306,2661307,2661105,2661205,2661308,-1,-1,-1,-1,-1,2661205,-1,-1,-1,-1,0,0,0,0,0,0,0
265,,0,0,0,0,-1,-1,-1,-1,2681100,2681101,2681102,-1,-1,-1,-1,-1,-1,-1,-1,2681100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
270,,3,0,1,0,2630000,2630001,2630002,-1,2630100,2630101,2630102,2630200,2630201,2630202,-1,2630304,-1,2630306,2630307,2630105,2630205,2630308,-1,-1,-1,-1,2700413,2630210,2630010,2630220,2630230,2630240,0,0,0,0,0,0,0
271,,0,0,1,0,2701000,2701001,2701002,-1,2701100,2701101,2701102,2701200,2701201,2701202,-1,2701304,-1,2701306,2701307,2701105,2701205,2701308,-1,-1,-1,-1,2701313,2701210,-1,-1,-1,-1,0,0,0,0,0,0,0
272,,2,0,0,0,2632000,2632001,2632002,-1,2632100,2632101,2632102,2632200,2632201,2632202,-1,2632304,-1,2632306,2632307,2632105,2632205,2632308,-1,-1,-1,-1,2702413,2632210,2632010,2632220,2632230,2632240,0,0,0,0,0,0,0
273,,0,0,1,0,2741000,2741001,2741002,-1,2741100,2741101,2741102,2741200,2741201,2741202,-1,2741304,-1,2741306,2741307,2741100,2741200,2741308,-1,-1,-1,-1,-1,2741210,-1,-1,-1,-1,0,0,0,0,0,0,0
300,,0,0,0,0,2910001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2910003,-1,-1,-1,-1,-1,2910003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
301,,0,0,1,0,2911001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2911003,-1,-1,-1,-1,-1,2911003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
302,,0,0,1,0,2912001,-1,-1,-1,2912002,-1,-1,2912002,-1,-1,-1,2912003,-1,-1,-1,-1,-1,2912003,-1,-1,-1,-1,-1,2912002,-1,-1,-1,-1,0,0,0,0,0,0,0
303,,0,0,1,0,2912101,-1,-1,-1,2912102,-1,-1,2912102,-1,-1,-1,2912103,-1,-1,-1,-1,-1,2912103,-1,-1,-1,-1,-1,2912102,-1,-1,-1,-1,0,0,0,0,0,0,0
310,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2530000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2530000,-1,-1,-1,-1,0,0,0,0,0,0,0
999,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
