Row ID,Row Name,Damage %: Physical,Damage %: Magic,Damage %: Fire,Damage %: Lightning,Damage %: Stamina,Damage %: Poise,Damage %: Poise Durability,Scaling %: STR,Scaling %: DEX,Scaling %: INT,Scaling %: FTH,Guard %: Physical,Guard %: Magic,Guard %: Fire,Guard %: Lightning,Guard %: Poison,Guard %: Blight,Guard %: Hemorrhage,Guard %: Curse,Guard %: Stability,Behavior Effect 1 Offset,Behavior Effect 2 Offset,Behavior Effect 3 Offset,Resident Effect 1 Offset,Resident Effect 2 Offset,Resident Effect 3 Offset,Material Set ID,Damage %: Dark,Guard %: Dark,Scaling %: LCK,Guard %: Stamina,Guard %: Frostbite,Infusion Cost %
11,,1.638,1.638,1.638,1.638,1.44,1,1,1.22,1.22,1.43,1.43,1,1,1,1,1,1,1,1,1.11,0,0,0,0,0,0,11,1.638,1,1.43,1,3,1
12,,1.696,1.696,1.696,1.696,1.48,1,1,1.24,1.24,1.46,1.46,1,1,1,1,1,1,1,1,1.12,0,0,0,0,0,0,12,1.696,1,1.46,1,3.2,1
13,,1.754,1.754,1.754,1.754,1.52,1,1,1.26,1.26,1.49,1.49,1,1,1,1,1,1,1,1,1.13,0,0,0,0,0,0,13,1.754,1,1.49,1,3.4,1
14,,1.812,1.812,1.812,1.812,1.56,1,1,1.28,1.28,1.52,1.52,1,1,1,1,1,1,1,1,1.14,0,0,0,0,0,0,14,1.812,1,1.52,1,3.6,1
15,,1.87,1.87,1.87,1.87,1.6,1,1,1.3,1.3,1.55,1.55,1,1,1,1,1,1,1,1,1.15,0,0,0,0,0,0,15,1.87,1,1.55,1,3.8,1
16,,1.928,1.928,1.928,1.928,1.64,1,1,1.32,1.32,1.58,1.58,1,1,1,1,1,1,1,1,1.16,0,0,0,0,0,0,16,1.928,1,1.58,1,4,1
17,,1.986,1.986,1.986,1.986,1.68,1,1,1.34,1.34,1.61,1.61,1,1,1,1,1,1,1,1,1.16,0,0,0,0,0,0,17,1.986,1,1.61,1,4.2,1
18,,2.044,2.044,2.044,2.044,1.72,1,1,1.36,1.36,1.64,1.64,1,1,1,1,1,1,1,1,1.17,0,0,0,0,0,0,18,2.044,1,1.64,1,4.4,1
19,,2.102,2.102,2.102,2.102,1.76,1,1,1.38,1.38,1.67,1.67,1,1,1,1,1,1,1,1,1.17,0,0,0,0,0,0,19,2.102,1,1.67,1,4.6,1
20,,2.16,2.16,2.16,2.16,1.8,1,1,1.4,1.4,1.7,1.7,1,1,1,1,1,1,1,1,1.18,0,0,0,0,0,0,20,2.16,1,1.7,1,4.8,1
21,,2.218,2.218,2.218,2.218,1.84,1,1,1.42,1.42,1.72,1.72,1,1,1,1,1,1,1,1,1.18,0,0,0,0,0,0,21,2.218,1,1.72,1,5,1
22,,2.276,2.276,2.276,2.276,1.88,1,1,1.44,1.44,1.74,1.74,1,1,1,1,1,1,1,1,1.18,0,0,0,0,0,0,22,2.276,1,1.74,1,5.2,1
23,,2.334,2.334,2.334,2.334,1.92,1,1,1.46,1.46,1.76,1.76,1,1,1,1,1,1,1,1,1.19,0,0,0,0,0,0,23,2.334,1,1.76,1,5.4,1
24,,2.392,2.392,2.392,2.392,1.96,1,1,1.48,1.48,1.78,1.78,1,1,1,1,1,1,1,1,1.19,0,0,0,0,0,0,24,2.392,1,1.78,1,5.6,1
25,,2.45,2.45,2.45,2.45,2,1,1,1.5,1.5,1.8,1.8,1,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,25,2.45,1,1.8,1,5.8,1
100,,0.95,0.95,0.95,0.95,1,1,1,1.8,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.95,1,1,1,1,1
101,,1.006,1.006,1.006,1.006,1.04,1,1,1.85,0,1.04,1.04,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,1,1.006,1,1.04,1,1,1
102,,1.062,1.062,1.062,1.062,1.08,1,1,1.9,0,1.08,1.08,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,2,1.062,1,1.08,1,1.2,1
103,,1.118,1.118,1.118,1.118,1.12,1,1,1.95,0,1.12,1.12,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,3,1.118,1,1.12,1,1.4,1
104,,1.174,1.174,1.174,1.174,1.16,1,1,2,0,1.16,1.16,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,4,1.174,1,1.16,1,1.6,1
105,,1.23,1.23,1.23,1.23,1.2,1,1,2.05,0,1.2,1.2,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,5,1.23,1,1.2,1,1.8,1
106,,1.286,1.286,1.286,1.286,1.24,1,1,2.1,0,1.24,1.24,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,6,1.286,1,1.24,1,2,1
107,,1.342,1.342,1.342,1.342,1.28,1,1,2.15,0,1.28,1.28,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,7,1.342,1,1.28,1,2.2,1
108,,1.398,1.398,1.398,1.398,1.32,1,1,2.2,0,1.32,1.32,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,8,1.398,1,1.32,1,2.4,1
109,,1.454,1.454,1.454,1.454,1.36,1,1,2.25,0,1.36,1.36,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,9,1.454,1,1.36,1,2.6,1
110,,1.51,1.51,1.51,1.51,1.4,1,1,2.3,0,1.4,1.4,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,10,1.51,1,1.4,1,2.8,1
111,,1.566,1.566,1.566,1.566,1.44,1,1,2.34,0,1.43,1.43,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,11,1.566,1,1.43,1,3,1
112,,1.622,1.622,1.622,1.622,1.48,1,1,2.38,0,1.46,1.46,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,12,1.622,1,1.46,1,3.2,1
113,,1.678,1.678,1.678,1.678,1.52,1,1,2.42,0,1.49,1.49,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,13,1.678,1,1.49,1,3.4,1
114,,1.734,1.734,1.734,1.734,1.56,1,1,2.46,0,1.52,1.52,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,14,1.734,1,1.52,1,3.6,1
115,,1.79,1.79,1.79,1.79,1.6,1,1,2.5,0,1.55,1.55,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,15,1.79,1,1.55,1,3.8,1
116,,1.846,1.846,1.846,1.846,1.64,1,1,2.54,0,1.58,1.58,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,16,1.846,1,1.58,1,4,1
117,,1.902,1.902,1.902,1.902,1.68,1,1,2.58,0,1.61,1.61,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,17,1.902,1,1.61,1,4.2,1
118,,1.958,1.958,1.958,1.958,1.72,1,1,2.62,0,1.64,1.64,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,18,1.958,1,1.64,1,4.4,1
119,,2.014,2.014,2.014,2.014,1.76,1,1,2.66,0,1.67,1.67,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,19,2.014,1,1.67,1,4.6,1
120,,2.07,2.07,2.07,2.07,1.8,1,1,2.7,0,1.7,1.7,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,20,2.07,1,1.7,1,4.8,1
121,,2.126,2.126,2.126,2.126,1.84,1,1,2.72,0,1.72,1.72,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,21,2.126,1,1.72,1,5,1
122,,2.182,2.182,2.182,2.182,1.88,1,1,2.74,0,1.74,1.74,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,22,2.182,1,1.74,1,5.2,1
123,,2.238,2.238,2.238,2.238,1.92,1,1,2.76,0,1.76,1.76,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,23,2.238,1,1.76,1,5.4,1
124,,2.294,2.294,2.294,2.294,1.96,1,1,2.78,0,1.78,1.78,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,24,2.294,1,1.78,1,5.6,1
125,,2.35,2.35,2.35,2.35,2,1,1,2.8,0,1.8,1.8,1,1,1,1,1,1,1,1,1.1,0,0,0,0,0,0,25,2.35,1,1.8,1,5.8,1
200,,0.95,0.95,0.95,0.95,1,1,1,0.5,1.8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.95,1,1,1,1,1
201,,1.006,1.006,1.006,1.006,1.04,1,1,0.53,1.85,1.04,1.04,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,1,1.006,1,1.04,1,1,1
202,,1.062,1.062,1.062,1.062,1.08,1,1,0.56,1.9,1.08,1.08,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,2,1.062,1,1.08,1,1.2,1
203,,1.118,1.118,1.118,1.118,1.12,1,1,0.59,1.95,1.12,1.12,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,3,1.118,1,1.12,1,1.4,1
204,,1.174,1.174,1.174,1.174,1.16,1,1,0.62,2,1.16,1.16,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,4,1.174,1,1.16,1,1.6,1
205,,1.23,1.23,1.23,1.23,1.2,1,1,0.65,2.05,1.2,1.2,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,5,1.23,1,1.2,1,1.8,1
206,,1.286,1.286,1.286,1.286,1.24,1,1,0.68,2.1,1.24,1.24,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,6,1.286,1,1.24,1,2,1
207,,1.342,1.342,1.342,1.342,1.28,1,1,0.71,2.15,1.28,1.28,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,7,1.342,1,1.28,1,2.2,1
208,,1.398,1.398,1.398,1.398,1.32,1,1,0.74,2.2,1.32,1.32,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,8,1.398,1,1.32,1,2.4,1
209,,1.454,1.454,1.454,1.454,1.36,1,1,0.77,2.25,1.36,1.36,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,9,1.454,1,1.36,1,2.6,1
210,,1.51,1.51,1.51,1.51,1.4,1,1,0.8,2.3,1.4,1.4,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,10,1.51,1,1.4,1,2.8,1
211,,1.566,1.566,1.566,1.566,1.44,1,1,0.82,2.34,1.43,1.43,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,11,1.566,1,1.43,1,3,1
212,,1.622,1.622,1.622,1.622,1.48,1,1,0.84,2.38,1.46,1.46,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,12,1.622,1,1.46,1,3.2,1
213,,1.678,1.678,1.678,1.678,1.52,1,1,0.86,2.42,1.49,1.49,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,13,1.678,1,1.49,1,3.4,1
214,,1.734,1.734,1.734,1.734,1.56,1,1,0.88,2.46,1.52,1.52,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,14,1.734,1,1.52,1,3.6,1
215,,1.79,1.79,1.79,1.79,1.6,1,1,0.9,2.5,1.55,1.55,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,15,1.79,1,1.55,1,3.8,1
216,,1.846,1.846,1.846,1.846,1.64,1,1,0.92,2.54,1.58,1.58,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,16,1.846,1,1.58,1,4,1
217,,1.902,1.902,1.902,1.902,1.68,1,1,0.94,2.58,1.61,1.61,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,17,1.902,1,1.61,1,4.2,1
218,,1.958,1.958,1.958,1.958,1.72,1,1,0.96,2.62,1.64,1.64,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,18,1.958,1,1.64,1,4.4,1
219,,2.014,2.014,2.014,2.014,1.76,1,1,0.98,2.66,1.67,1.67,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,19,2.014,1,1.67,1,4.6,1
220,,2.07,2.07,2.07,2.07,1.8,1,1,1,2.7,1.7,1.7,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,20,2.07,1,1.7,1,4.8,1
221,,2.126,2.126,2.126,2.126,1.84,1,1,1.06,2.72,1.72,1.72,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,21,2.126,1,1.72,1,5,1
222,,2.182,2.182,2.182,2.182,1.88,1,1,1.12,2.74,1.74,1.74,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,22,2.182,1,1.74,1,5.2,1
223,,2.238,2.238,2.238,2.238,1.92,1,1,1.18,2.76,1.76,1.76,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,23,2.238,1,1.76,1,5.4,1
224,,2.294,2.294,2.294,2.294,1.96,1,1,1.24,2.78,1.78,1.78,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,24,2.294,1,1.78,1,5.6,1
225,,2.35,2.35,2.35,2.35,2,1,1,1.3,2.8,1.8,1.8,1,1,1,1,1,1,1,1,1.1,0,0,0,0,0,0,25,2.35,1,1.8,1,5.8,1
300,,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.9,1,1,1,1,1
301,,0.946,0.946,0.946,0.946,1.04,1,1,1.05,1.05,1.04,1.04,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,1,0.946,1,1.04,1,1,1
302,,0.992,0.992,0.992,0.992,1.08,1,1,1.1,1.1,1.08,1.08,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,2,0.992,1,1.08,1,1.2,1
303,,1.038,1.038,1.038,1.038,1.12,1,1,1.15,1.15,1.12,1.12,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,3,1.038,1,1.12,1,1.4,1
304,,1.084,1.084,1.084,1.084,1.16,1,1,1.2,1.2,1.16,1.16,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,4,1.084,1,1.16,1,1.6,1
305,,1.13,1.13,1.13,1.13,1.2,1,1,1.25,1.25,1.2,1.2,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,5,1.13,1,1.2,1,1.8,1
306,,1.176,1.176,1.176,1.176,1.24,1,1,1.3,1.3,1.24,1.24,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,6,1.176,1,1.24,1,2,1
307,,1.222,1.222,1.222,1.222,1.28,1,1,1.35,1.35,1.28,1.28,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,7,1.222,1,1.28,1,2.2,1
308,,1.268,1.268,1.268,1.268,1.32,1,1,1.4,1.4,1.32,1.32,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,8,1.268,1,1.32,1,2.4,1
309,,1.314,1.314,1.314,1.314,1.36,1,1,1.45,1.45,1.36,1.36,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,9,1.314,1,1.36,1,2.6,1
310,,1.36,1.36,1.36,1.36,1.4,1,1,1.5,1.5,1.4,1.4,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,10,1.36,1,1.4,1,2.8,1
311,,1.406,1.406,1.406,1.406,1.44,1,1,1.53,1.53,1.43,1.43,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,11,1.406,1,1.43,1,3,1
312,,1.452,1.452,1.452,1.452,1.48,1,1,1.56,1.56,1.46,1.46,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,12,1.452,1,1.46,1,3.2,1
313,,1.498,1.498,1.498,1.498,1.52,1,1,1.59,1.59,1.49,1.49,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,13,1.498,1,1.49,1,3.4,1
314,,1.544,1.544,1.544,1.544,1.56,1,1,1.62,1.62,1.52,1.52,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,14,1.544,1,1.52,1,3.6,1
315,,1.59,1.59,1.59,1.59,1.6,1,1,1.65,1.65,1.55,1.55,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,15,1.59,1,1.55,1,3.8,1
316,,1.636,1.636,1.636,1.636,1.64,1,1,1.68,1.68,1.58,1.58,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,16,1.636,1,1.58,1,4,1
317,,1.682,1.682,1.682,1.682,1.68,1,1,1.71,1.71,1.61,1.61,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,17,1.682,1,1.61,1,4.2,1
318,,1.728,1.728,1.728,1.728,1.72,1,1,1.74,1.74,1.64,1.64,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,18,1.728,1,1.64,1,4.4,1
319,,1.774,1.774,1.774,1.774,1.76,1,1,1.77,1.77,1.67,1.67,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,19,1.774,1,1.67,1,4.6,1
320,,1.82,1.82,1.82,1.82,1.8,1,1,1.8,1.8,1.7,1.7,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,20,1.82,1,1.7,1,4.8,1
321,,1.866,1.866,1.866,1.866,1.84,1,1,1.82,1.82,1.72,1.72,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,21,1.866,1,1.72,1,5,1
322,,1.912,1.912,1.912,1.912,1.88,1,1,1.84,1.84,1.74,1.74,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,22,1.912,1,1.74,1,5.2,1
323,,1.958,1.958,1.958,1.958,1.92,1,1,1.86,1.86,1.76,1.76,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,23,1.958,1,1.76,1,5.4,1
324,,2.004,2.004,2.004,2.004,1.96,1,1,1.88,1.88,1.78,1.78,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,24,2.004,1,1.78,1,5.6,1
325,,2.05,2.05,2.05,2.05,2,1,1,1.9,1.9,1.8,1.8,1,1,1,1,1,1,1,1,1.1,0,0,0,0,0,0,25,2.05,1,1.8,1,5.8,1
400,,0.8,0.8,0.8,0.8,1,1,1,1.3,0.5,1,1,0.95,0.95,1.15,1.05,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,0.8,0.95,1,0.95,1,1
401,,0.836,0.836,0.836,0.836,1.04,1,1,1.34,0.53,1.04,1.04,0.95,0.95,1.15,1.05,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,1,0.836,0.95,1.04,0.95,1,1
402,,0.872,0.872,0.872,0.872,1.08,1,1,1.38,0.56,1.08,1.08,0.95,0.95,1.16,1.06,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,2,0.872,0.95,1.08,0.95,1.2,1
403,,0.908,0.908,0.908,0.908,1.12,1,1,1.42,0.59,1.12,1.12,0.95,0.95,1.16,1.06,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,3,0.908,0.95,1.12,0.95,1.4,1
404,,0.944,0.944,0.944,0.944,1.16,1,1,1.46,0.62,1.16,1.16,0.95,0.95,1.17,1.07,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,4,0.944,0.95,1.16,0.95,1.6,1
405,,0.98,0.98,0.98,0.98,1.2,1,1,1.5,0.65,1.2,1.2,0.95,0.95,1.17,1.07,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,5,0.98,0.95,1.2,0.95,1.8,1
406,,1.016,1.016,1.016,1.016,1.24,1,1,1.54,0.68,1.24,1.24,0.95,0.95,1.18,1.08,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,6,1.016,0.95,1.24,0.95,2,1
407,,1.052,1.052,1.052,1.052,1.28,1,1,1.58,0.71,1.28,1.28,0.95,0.95,1.18,1.08,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,7,1.052,0.95,1.28,0.95,2.2,1
408,,1.088,1.088,1.088,1.088,1.32,1,1,1.62,0.74,1.32,1.32,0.95,0.95,1.19,1.09,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,8,1.088,0.95,1.32,0.95,2.4,1
409,,1.124,1.124,1.124,1.124,1.36,1,1,1.66,0.77,1.36,1.36,0.95,0.95,1.19,1.09,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,9,1.124,0.95,1.36,0.95,2.6,1
410,,1.16,1.16,1.16,1.16,1.4,1,1,1.7,0.8,1.4,1.4,0.95,0.95,1.2,1.1,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,10,1.16,0.95,1.4,0.95,2.8,1
411,,1.196,1.196,1.196,1.196,1.44,1,1,1.73,0.83,1.43,1.43,0.95,0.95,1.2,1.1,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,11,1.196,0.95,1.43,0.95,3,1
412,,1.232,1.232,1.232,1.232,1.48,1,1,1.76,0.86,1.46,1.46,0.95,0.95,1.21,1.11,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,12,1.232,0.95,1.46,0.95,3.2,1
413,,1.268,1.268,1.268,1.268,1.52,1,1,1.79,0.89,1.49,1.49,0.95,0.95,1.21,1.11,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,13,1.268,0.95,1.49,0.95,3.4,1
414,,1.304,1.304,1.304,1.304,1.56,1,1,1.82,0.92,1.52,1.52,0.95,0.95,1.21,1.11,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,14,1.304,0.95,1.52,0.95,3.6,1
415,,1.34,1.34,1.34,1.34,1.6,1,1,1.85,0.95,1.55,1.55,0.95,0.95,1.22,1.12,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,15,1.34,0.95,1.55,0.95,3.8,1
416,,1.376,1.376,1.376,1.376,1.64,1,1,1.88,0.98,1.58,1.58,0.95,0.95,1.22,1.12,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,16,1.376,0.95,1.58,0.95,4,1
417,,1.412,1.412,1.412,1.412,1.68,1,1,1.91,1.01,1.61,1.61,0.95,0.95,1.22,1.12,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,17,1.412,0.95,1.61,0.95,4.2,1
418,,1.448,1.448,1.448,1.448,1.72,1,1,1.94,1.04,1.64,1.64,0.95,0.95,1.23,1.13,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,18,1.448,0.95,1.64,0.95,4.4,1
419,,1.484,1.484,1.484,1.484,1.76,1,1,1.97,1.07,1.67,1.67,0.95,0.95,1.23,1.13,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,19,1.484,0.95,1.67,0.95,4.6,1
420,,1.52,1.52,1.52,1.52,1.8,1,1,2,1.1,1.7,1.7,0.95,0.95,1.23,1.13,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,20,1.52,0.95,1.7,0.95,4.8,1
421,,1.556,1.556,1.556,1.556,1.84,1,1,2.02,1.12,1.72,1.72,0.95,0.95,1.24,1.14,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,21,1.556,0.95,1.72,0.95,5,1
422,,1.592,1.592,1.592,1.592,1.88,1,1,2.04,1.14,1.74,1.74,0.95,0.95,1.24,1.14,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,22,1.592,0.95,1.74,0.95,5.2,1
423,,1.628,1.628,1.628,1.628,1.92,1,1,2.06,1.16,1.76,1.76,0.95,0.95,1.24,1.14,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,23,1.628,0.95,1.76,0.95,5.4,1
424,,1.664,1.664,1.664,1.664,1.96,1,1,2.08,1.18,1.78,1.78,0.95,0.95,1.24,1.14,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,24,1.664,0.95,1.78,0.95,5.6,1
425,,1.7,1.7,1.7,1.7,2,1,1,2.1,1.2,1.8,1.8,0.95,0.95,1.25,1.15,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,25,1.7,0.95,1.8,0.95,5.8,1
500,,0.85,0.85,0.85,0.85,1,1,1,0.8,0.8,1,1,0.95,0.95,1.15,1.05,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,0.85,0.95,1,0.95,1,1
501,,0.894,0.894,0.894,0.894,1.04,1,1,0.85,0.85,1.08,1.07,0.95,0.95,1.15,1.05,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,1,0.894,0.95,1.04,0.95,1,1
502,,0.938,0.938,0.938,0.938,1.08,1,1,0.9,0.9,1.16,1.14,0.95,0.95,1.16,1.06,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,2,0.938,0.95,1.08,0.95,1.2,1
503,,0.982,0.982,0.982,0.982,1.12,1,1,0.95,0.95,1.24,1.21,0.95,0.95,1.16,1.06,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,3,0.982,0.95,1.12,0.95,1.4,1
504,,1.026,1.026,1.026,1.026,1.16,1,1,1,1,1.32,1.28,0.95,0.95,1.17,1.07,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,4,1.026,0.95,1.16,0.95,1.6,1
505,,1.07,1.07,1.07,1.07,1.2,1,1,1.05,1.05,1.4,1.35,0.95,0.95,1.17,1.07,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,5,1.07,0.95,1.2,0.95,1.8,1
