Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11
140,,1,30,-95,56,74,2239292,-95,56,-182,1,0,0
141,,1,286,-59,38.5,-69,2239804,-59,38.5,-69,1,0,0
142,,0,542,0,0,0,2435388,0,0,0,1,0,0
143,,1,798,0,0,0,2826556,0,0,0,1,0,0
144,,0,1054,86,67,62,2501436,86,67,62,1,0,0
145,,0,1054,86,67,62,2501692,-170,67,62,1,0,0
146,,1,1310,-73,427,112,3155772,-73,427,112,1,0,0
147,,1,1566,0,0,0,2697020,0,0,0,1,0,0
148,,1,1822,0,0,0,3417404,256,0,0,1,0,0
149,,1,1822,0,0,0,3417660,0,0,0,1,0,0
150,,1,2078,0,0,0,3418172,0,0,0,1,0,0
151,,1,2334,0,0,0,3482940,0,0,0,1,0,0
152,,1,2590,0,0,0,3353916,0,0,0,1,0,0
153,,1,2590,0,0,0,3419452,0,0,-256,1,0,0
154,,1,2846,0,0,0,2566972,0,0,0,1,0,0
155,,1,3102,0,0,0,3351612,0,0,0,1,0,0
156,,1,3358,0,0,0,3419452,0,0,0,1,0,0
157,,1,3614,0,0,0,2633532,0,0,0,1,0,0
158,,1,3614,0,0,0,2699068,0,0,-256,1,0,0
159,,1,3870,0,0,0,2371644,0,0,0,1,0,0
160,,1,3870,0,0,0,2371900,-256,0,0,1,0,0
161,,1,4126,0,0,0,2634812,0,0,256,1,0,0
162,,1,4382,0,0,0,3486268,0,0,0,1,0,0
163,,1,4382,0,0,0,3551804,0,0,-256,1,0,0
164,,1,4638,0,0,0,3486268,0,0,0,1,0,0
165,,1,4638,0,0,0,3551804,0,0,-256,1,0,0
166,,1,4894,0,0,0,3617084,256,0,0,1,0,0
167,,1,4894,0,0,0,3617340,0,0,0,1,0,0
168,,1,5150,0,0,0,3485756,256,0,256,1,0,0
169,,1,5150,0,0,0,3551292,256,0,0,1,0,0
170,,1,5150,0,0,0,3486012,0,0,256,1,0,0
171,,1,5150,0,0,0,3551548,0,0,0,1,0,0
172,,1,31,0,0,0,2435900,0,0,0,1,0,0
173,,1,287,-106,-3,-43,2239548,-106,-3,-43,1,0,0
174,,1,543,0,0,0,2173500,0,0,0,1,0,0
175,,0,799,0,0,0,2435644,0,0,0,1,0,0
176,,1,1055,10,240,-35,2631484,10,240,-35,1,0,0
177,,1,1311,0,0,0,2696252,256,0,0,1,0,0
178,,1,1311,0,0,0,2696508,0,0,0,1,0,0
179,,1,1567,74,240,118,2957884,74,240,118,1,0,0
180,,1,1567,74,240,118,3023420,74,240,-138,1,0,0
181,,1,1823,0,0,0,3482940,0,0,0,1,0,0
182,,1,1823,0,0,0,3548476,0,0,-256,1,0,0
183,,1,2335,0,0,0,3614012,0,0,0,1,0,0
184,,1,2591,0,0,0,2634556,0,0,0,1,0,0
185,,1,2847,0,0,0,2568764,0,0,0,1,0,0
186,,1,3103,0,0,0,3682876,0,0,0,1,0,0
187,,0,3871,0,0,0,2304316,0,0,256,1,0,0
188,,0,3871,0,0,0,2369852,0,0,0,1,0,0
189,,0,4383,0,0,0,2566972,0,0,0,1,0,0
190,,1,4639,0,0,0,3352892,0,0,0,1,0,0
191,,1,4639,0,0,0,1312,0,0,-256,1,0,0
192,,1,4895,0,0,0,3417404,0,0,0,1,0,0
193,,1,5151,0,0,0,2568252,0,0,0,1,0,0
194,,1,5151,0,0,0,2568508,-256,0,0,1,0,0
195,,1,5407,-256,0,0,2502204,0,0,0,1,0,0
196,,1,5407,0,0,0,2502460,0,0,0,1,0,0
197,,1,5663,0,0,0,3683644,0,0,0,1,0,0
198,,1,5663,0,0,0,3749180,0,0,-256,1,0,0
199,,1,32,36,28,-68,2173756,36,28,-68,1,0,0
200,,0,288,127,69,-8,2435644,127,69,-8,1,0,0
201,,0,288,127,69,-8,2435900,-129,69,-8,1,0,0
202,,1,544,-112,244,26,3089468,144,244,26,1,0,0
203,,1,544,-112,244,26,3089724,-112,244,26,1,0,0
204,,1,1056,0,0,0,3417660,256,0,256,1,0,0
205,,1,1056,0,0,0,3483196,256,0,0,1,0,0
206,,1,1056,0,0,0,3417916,0,0,256,1,0,0
207,,1,1056,0,0,0,3483452,0,0,0,1,0,0
208,,1,1312,0,0,0,3418428,0,0,0,1,0,0
209,,1,1824,0,0,0,2567740,0,0,0,1,0,0
210,,1,1824,0,0,0,2633276,0,0,-256,1,0,0
211,,1,1824,0,0,0,2567996,-256,0,0,1,0,0
212,,1,2080,0,0,0,2568508,0,0,0,1,0,0
213,,1,2848,0,0,0,3616572,0,0,0,1,0,0
214,,1,2594,124.617,-265.608,26.331,2370876,-1024,8,512,1,0,0
215,,1,2850,0,0,0,2893628,-26.6,400.5,38.3,1,0,0
216,,1,3106,0,0,0,3287868,0,0,0,1,0,0
217,,1,3362,0,0,0,2699580,0,0,0,1,0,0
218,,1,3362,512,0,-512,2569020,0,0,0,1,0,0
219,,1,3618,0,0,0,3354428,-495.321,1085.5,135.436,1,0,0
220,,1,3874,22,-272,82,3027772,0,0,0,1,0,0
221,,1,4130,0,0,0,2893628,-26.6,400.5,38.3,1,0,0
222,,1,37,130.4,-13.36,76.8,549,130.4,-13.36,76.8,1,0,0
223,,1,37,49.69,-43.037,149.906,3221574,-0.455,266.321,185.292,1,0,0
224,,1,37,49.69,-43.037,149.906,3287110,-0.455,266.321,-70.708,1,0,0
225,,1,37,49.69,-43.037,149.906,3352646,-0.455,266.321,-326.708,1,0,0
226,,1,37,49.69,-43.037,149.906,3287366,-256.455,266.321,-70.708,1,0,0
227,,1,293,-104.23,4.51,63.12,549,-104.23,4.51,63.12,1,0,0
228,,1,293,-126.63,-0.45,93.45,3286854,99.12,297.96,-96.94,1,0,0
229,,1,549,-107.27,1.83,-26.2,805,-107.27,1.83,-27.01323,1,0,0
230,,1,805,-110.95,1.79,-82.54799,3221318,74.82,392.35,-28.19,1,0,0
231,,1,2598,0,0,-416,2854,0,0,256,1,0,0
232,,1,2854,0,0,-160,3110,0,0,256,1,0,0
233,,1,39,384,0,0,3355206,-53.76,27.572,-10.122,1,0,0
234,,1,5159,121,482,-1520,3286332,169.8,647.6,-103.4,1,0,0
235,,1,5159,121,482,-1520,3351868,169.8,647.6,-359.4,1,0,0
236,,1,5159,121,482,-1520,3286588,-86.2,647.6,-103.4,1,0,0
