Row ID,Row Name,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1202048,,-30,-125,36,-120,-92,43,12,-37,65,88,23,-30
1202049,,-79,18,-104,52,3,53,69,19,38,6,80,-94
1202050,,93,48,40,23,-109,-51,-88,76,41,100,42,117
1202051,,80,-46,32,92,-28,117,-97,100,84,47,49,64
1202052,,5,-68,83,33,35,0,-91,-97,-118,77,72,32
1202053,,-118,110,-122,88,100,64,53,-64,-43,-63,7,-127
1202054,,112,25,114,-110,12,-56,-88,36,55,-74,-121,5
1202055,,90,0,34,-99,45,-93,10,-96,-32,-104,38,8
1202056,,6,-13,96,0,88,26,4,17,-64,-104,27,82
1202057,,-119,3,-43,-101,17,-92,76,72,26,96,-122,-99
1202058,,-119,-119,-93,-15,-61,86,-43,92,-53,64,-48,73
1202059,,-52,57,-100,-32,-126,-107,58,-74,112,20,80,-122
1202060,,-124,97,33,-121,94,-88,2,-84,122,76,-87,-82
1202061,,49,-108,68,10,-122,91,-15,9,-115,115,-48,123
1202062,,26,80,76,102,26,24,100,67,28,40,81,-115
1202063,,-91,38,11,-118,114,74,112,73,74,10,41,-14
1202064,,102,-128,-23,34,-88,45,-126,50,1,-47,126,86
1202065,,38,-124,-97,1,-122,47,-119,-96,52,-74,8,-47
1202066,,-78,73,-56,100,-95,49,-101,19,-125,123,98,56
1202067,,89,46,28,61,53,-60,96,-119,36,38,-128,38
1202068,,105,68,53,88,-103,-29,2,86,-91,-125,60,-126
1202069,,-91,-33,24,101,64,-106,93,70,32,-127,-52,56
1202070,,82,34,-126,-122,89,0,66,-69,11,4,-89,101
1202071,,106,11,94,32,68,-46,-47,-121,33,-88,33,-108
1202072,,-103,99,5,-14,-82,-14,17,107,2,-63,-92,-63
1202073,,112,22,70,42,-111,-56,30,40,6,-72,2,66
1202074,,21,-87,56,7,-99,88,-69,118,-56,34,16,74
1202075,,49,89,21,20,32,43,8,-90,-117,-114,92,-125
1202076,,17,-47,81,-100,76,4,104,-83,-102,-37,-128,23
1202077,,-63,-64,81,-64,72,-76,-88,-43,-51,50,-83,32
1202078,,22,120,65,19,-25,17,-28,-76,16,85,85,57
1202079,,33,24,-82,100,42,5,-103,84,101,-96,105,53
1202080,,-90,0,-91,-119,121,-20,-48,20,-27,-79,-62,74
1202081,,-76,-76,40,114,12,-117,32,27,-110,4,95,-76
1202082,,-110,-44,-61,-63,-93,65,-122,2,-91,46,100,40
1202083,,-22,30,-104,-75,112,-104,10,-48,-44,107,-77,53
1202084,,-54,37,10,-56,-110,57,68,9,105,72,-54,73
1202085,,14,6,43,76,17,4,-9,-96,120,5,74,-50
1202086,,44,67,-112,-115,-64,-81,62,72,48,29,42,60
1202087,,73,38,-46,34,26,34,5,104,66,83,6,-126
1202088,,72,-84,-92,80,-125,83,101,-111,22,84,-111,-27
1202089,,5,-23,-22,43,70,4,2,74,27,66,-104,90
1202090,,-58,-126,36,31,53,102,67,3,44,-124,53,-128
1202091,,66,-121,34,-124,12,113,52,45,6,-37,-102,48
1202092,,28,40,-99,36,113,-60,7,74,104,-127,-73,-18
1202093,,34,47,69,-14,66,70,-94,-30,68,121,99,81
1202094,,21,-112,-54,-46,18,-55,6,-51,121,34,-42,66
1202095,,-26,48,0,46,102,-101,-127,-32,-48,-124,-20,20
1202096,,-92,118,106,1,-125,1,105,22,-90,69,100,-4
1202097,,24,58,50,-6,8,52,-56,-104,5,104,124,-119
1202098,,-59,-63,-72,56,-76,-125,49,71,64,-48,-118,-64
1202099,,41,68,69,11,121,0,20,87,-103,-54,-124,-121
1202100,,38,8,-100,5,-118,71,95,-57,3,54,59,-100
1202101,,-54,86,72,24,88,20,101,-104,-117,4,4,-80
1202102,,122,-116,-91,-124,-83,-48,-102,2,-124,33,65,73
1202103,,-111,117,61,1,-121,15,-80,-80,49,30,33,41
1202104,,9,-126,-110,62,-47,-70,80,65,-76,7,-91,51
1202105,,-95,23,5,-89,-126,-103,24,36,91,34,9,74
1202106,,89,80,49,-46,-60,108,-28,-111,-90,-7,-38,3
1202107,,114,73,-126,105,11,44,10,41,99,1,19,38
1202108,,-108,-87,107,92,36,40,9,56,-120,-98,16,-124
1202109,,78,-62,-64,-63,53,34,-61,28,126,-60,72,10
1202110,,-127,-87,86,65,120,-14,-18,34,24,56,0,117
9902000,,10,-72,-98,65,70,-28,-119,116,33,33,26,72
9902001,,49,68,65,-86,25,26,6,-128,-64,8,96,7
9902002,,-60,3,32,20,-96,1,112,11,30,-42,-123,-80
603340000,,-82,75,70,-107,35,59,-51,33,-84,-65,-110,-24
603340001,,-47,-80,-79,107,-97,-36,82,94,-56,29,-80,87
603340002,,98,-50,28,-84,-8,36,-82,-60,115,66,79,9
603340003,,29,53,-21,82,68,-61,49,-69,23,-32,109,-74
603340004,,-102,45,33,63,-90,-35,-51,3,91,-78,105,105
603340005,,113,91,-98,86,73,114,87,121,-95,85,30,-39
603340006,,13,-30,98,-55,-111,-85,-72,-60,12,-113,-112,22
603340007,,-26,-108,-35,-96,126,4,34,-66,-10,104,-25,-90
603340008,,-98,74,-8,37,40,-28,-48,89,-14,-95,-114,24
603340009,,97,-75,7,-38,-41,27,47,-90,13,94,113,-25
603340010,,84,8,88,15,-57,34,100,10,120,74,18,20
603340011,,82,102,11,-124,122,17,8,-75,2,-106,-112,-120
603340012,,41,41,4,32,20,4,-128,-104,-62,65,-95,-93
603340013,,5,21,85,82,8,-68,-105,100,52,33,8,96
603340014,,-94,-128,-94,96,-95,-53,89,1,9,12,103,6
603340015,,-120,-46,-96,-103,0,64,34,66,-123,-80,76,89
603341000,,-6,78,52,-128,-9,-32,-11,-5,95,86,83,-75
603341001,,9,-79,117,-18,-70,-5,10,93,-115,-71,-46,-64
603341002,,-22,101,-21,91,-19,82,35,71,-80,-72,-18,8
603341003,,101,127,-42,119,27,-75,-5,-58,-41,77,-27,107
603341004,,22,-70,-24,-11,70,13,-100,55,106,-114,29,-41
603341005,,-67,-103,-117,60,4,14,79,-88,-20,-25,63,-1
603341006,,-41,-58,31,-117,-7,-1,-12,-72,51,115,-88,62
603341007,,74,124,28,-127,-78,72,-39,72,70,-90,-32,113
603341008,,-95,-117,64,80,77,6,-58,-90,-78,53,24,-88
603341009,,-106,12,-103,100,2,76,-124,18,121,66,79,0
603341010,,44,23,52,-44,-96,3,2,93,-111,37,3,76
603341011,,90,32,36,53,85,-26,57,0,71,-47,0,-117
603341012,,-108,-126,-77,-101,42,17,28,-29,-119,-56,-66,17
603341013,,21,-39,73,42,9,-112,-95,-68,22,14,97,114
603341014,,105,97,-62,7,-41,-19,43,3,100,-110,-44,-84
603341015,,-127,-90,11,42,104,59,66,-52,8,88,-125,22
603341016,,98,80,-26,-56,-108,-80,116,49,-88,41,60,-57
603341017,,-102,-3,-76,17,-69,-63,-72,-88,-118,10,-72,9
603341018,,101,2,75,-18,68,62,71,87,117,-11,71,-10
603341019,,10,-116,116,0,-72,80,10,-92,64,1,25,72
603341020,,25,50,-79,48,-63,38,112,29,15,18,-96,0
603341021,,84,3,-124,11,21,-81,81,96,-56,36,-64,55
603341022,,-95,56,11,-60,0,73,-92,24,51,-119,7,-119
603341023,,2,69,8,-43,74,-128,-125,-125,-96,90,70,6
603341024,,-28,-64,66,42,38,16,12,66,20,-28,56,-16
603341025,,0,64,-95,0,0,0,0,4,0,-112,0,0
603341026,,89,-39,44,67,-80,123,-65,62,-68,80,19,89
603341027,,-90,38,-45,-68,79,-124,64,-63,67,-81,-20,-90
603342000,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603342001,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603342002,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603342003,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603342004,,-74,-34,-83,-89,-79,-68,-113,-37,-106,-4,-35,124
603342005,,-49,-60,-41,94,122,-9,-7,32,109,-43,-73,-69
603342006,,62,-69,-7,-12,-33,127,118,-66,121,-17,-69,79
603342007,,-41,111,62,-37,102,-51,-39,-41,-9,18,114,-27
603342008,,105,-7,106,-19,-17,122,63,125,-85,123,79,-77
603342009,,-7,55,-41,59,-99,-125,-26,-17,-34,-81,-20,-34
603342010,,-81,-69,-105,-2,-33,-65,94,126,-2,-109,-1,-98
603342011,,-35,-11,126,-25,-1,-27,-17,-49,-99,-1,-1,123
603342012,,119,-17,-7,123,126,90,-69,-3,-13,-1,-21,-9
603342013,,-5,95,-17,-67,-5,-1,-1,-9,-1,-19,-99,-17
603342014,,-2,-2,-1,-33,-91,-1,-11,-69,111,126,118,-3
603342015,,105,69,-67,58,-75,-4,-126,-23,-42,-80,106,117
603342016,,54,92,-50,16,-115,-81,-127,62,-37,71,-27,-51
603342017,,-15,60,106,-49,0,67,-7,67,74,28,-107,-82
603342018,,30,-95,81,-19,86,17,22,-98,33,-58,-74,43
603342019,,-78,-125,-108,-85,90,-10,62,-67,100,63,-36,22
603342020,,-119,-102,39,22,-21,-100,-18,36,-74,-104,82,-6
603342021,,-51,103,-56,64,111,73,97,-63,-103,-31,11,-112
603342022,,70,-6,51,-11,-80,34,93,82,45,107,41,65
603342023,,84,12,32,-83,43,65,-82,18,20,32,0,92
603342024,,105,64,-55,-128,60,-96,80,113,-61,-128,-93,32
603342025,,-120,17,-47,84,64,75,43,104,40,23,120,0
603342026,,-94,-118,36,65,-124,22,64,12,72,-127,-124,43
603342027,,5,116,2,58,-127,-112,17,-123,52,120,85,-111
603342028,,18,-93,30,2,82,44,-124,-126,-125,78,10,-58
603342029,,33,-106,10,-52,-40,-96,-124,105,18,8,-60,96
603342030,,18,96,5,3,36,5,57,18,-84,-44,41,-101
603342031,,-52,9,-16,48,3,90,66,-124,65,35,18,4
603343000,,-14,41,40,11,112,3,20,24,-111,49,100,97
603343001,,-46,61,104,-59,-96,-26,2,32,33,-113,-104,-20
603343002,,40,-64,-114,76,-59,8,-82,-95,-61,70,-36,-72
603343003,,-91,90,87,-96,15,-53,-63,-40,-109,37,-95,68
603343004,,13,69,65,-113,-104,57,75,107,46,101,22,60
603343005,,73,-123,-80,32,110,-104,-72,22,92,-72,46,25
603343006,,40,32,44,95,26,-27,40,-58,68,-118,9,-62
603343007,,17,-114,1,112,-63,68,-89,-13,-96,64,-47,2
603343008,,86,-46,-109,16,55,18,85,12,76,90,35,-125
603343009,,-122,50,-42,-78,0,52,80,5,58,-112,66,23
603343010,,72,-124,4,50,73,0,10,1,80,37,16,18
603343011,,-108,8,8,-64,-80,37,96,20,2,64,34,-88
603343012,,1,99,66,0,2,24,-123,-118,4,-118,64,69
603343013,,34,16,-79,13,4,-62,16,96,-87,16,-115,0
603343014,,-90,100,-8,105,-79,-52,-44,-14,-115,1,13,118
603343015,,113,-115,14,-79,64,-73,107,-92,52,119,-40,-52
603343016,,-23,99,85,-19,-114,-62,43,114,-19,-55,-109,101
603343017,,-50,59,-59,-124,124,53,93,26,10,-98,74,-69
603343018,,-47,-44,-23,-106,-93,-112,-41,-35,99,121,-20,-104
603343019,,25,-53,18,19,127,122,-124,9,-101,116,53,98
603343020,,30,52,43,126,-105,11,-72,-89,-48,-86,55,-99
603343021,,38,-102,-74,74,72,109,34,77,118,-122,-30,3
603343022,,-71,-79,-44,-85,-10,41,-127,-71,3,118,-93,9
603343023,,-26,78,111,80,23,-46,125,72,-80,47,-42,52
603343024,,85,12,34,-73,-23,-36,98,38,93,-64,76,-41
603343025,,10,-13,-103,76,8,39,-98,-41,-18,-103,57,-22
603343026,,109,-63,-103,96,7,2,-98,-65,108,-54,43,65
603343027,,-90,92,108,-97,-48,93,113,96,19,77,-67,-76
603343028,,-110,-73,6,-113,-8,-6,-55,65,-6,52,84,-49
603343029,,89,42,-13,112,47,-91,38,-98,-123,-77,-62,58
603343030,,117,-10,127,103,-17,-67,127,-9,-65,-17,-1,-18
603343031,,-33,-65,-10,-66,63,122,-10,-1,-38,-12,127,127
603343032,,-17,125,-65,-37,-12,-17,-5,-1,-19,91,-43,-69
603343033,,-69,-37,-21,-3,-37,-9,-65,125,119,-65,-82,-1
603343034,,-2,-17,-35,-1,-1,-33,-51,-118,-1,-1,-5,-43
603344000,,-98,-40,31,90,30,85,112,-43,57,60,-49,54
603344001,,117,17,-10,-88,-45,-93,-121,50,-92,-86,90,-111
603344002,,50,-31,45,85,-84,86,-101,-24,69,-1,71,-58
603344003,,46,-127,-60,-91,-1,-100,126,-57,83,14,40,-38
603344004,,114,118,10,-67,64,-117,-116,27,-66,19,56,37
603344005,,-63,79,-16,67,51,97,124,43,-22,113,-95,109
603344006,,-115,-82,35,-82,105,60,65,116,71,-60,-108,-54
603344007,,-55,62,-39,82,-124,-22,-93,-116,-104,-63,-9,57
603344008,,-17,-1,-20,-5,123,117,-17,-1,90,-33,78,-5
603344009,,-5,-3,27,-74,-73,-5,-13,-1,-1,-1,-1,127
603344010,,125,-34,-9,127,-3,-98,94,-26,-65,107,-3,-25
603344011,,-41,-29,-1,-35,-49,-1,-65,57,-11,-2,-13,-1
603344012,,-66,63,-1,-17,-2,-17,-3,-33,-17,-75,-65,-100
603344013,,-58,127,-100,15,-69,-5,-1,-115,111,-1,-61,-111
603344014,,-21,-66,126,-77,-38,79,-49,-29,-105,-115,63,-49
603344015,,-2,-98,-59,-3,119,-97,-78,126,-97,43,-47,121
603344016,,-43,-63,127,-5,71,112,-3,-9,-14,114,127,119
603344017,,61,-19,-77,100,-19,-81,16,59,-24,-1,-2,-82
603344018,,59,115,-21,-34,-68,-12,111,-36,125,-44,-84,-2
603344019,,4,4,0,0,-120,0,4,0,0,-125,0,-118
603345000,,58,-99,73,93,85,127,66,-66,7,-108,26,108
603345001,,37,103,103,59,-32,-51,24,-23,-13,90,-16,78
603345002,,-38,-51,-94,-98,-45,-86,-99,-11,-86,118,-28,-67
603345003,,-122,-70,83,-27,111,21,-84,-94,93,-19,-69,-89
603345004,,-53,58,-68,-17,-70,-112,-21,67,-74,-121,7,-48
603345005,,-3,112,-97,16,63,122,-9,30,73,105,111,-13
603345006,,117,-57,-4,-30,-116,-25,119,93,-4,-69,-35,27
603345007,,113,108,46,8,-85,33,116,-92,3,-49,8,70
603345008,,41,-67,65,-70,-32,9,-127,96,-21,-110,-27,-99
603345009,,-111,-60,114,87,80,-48,-33,-54,27,20,-63,-125
603345010,,70,-77,45,-32,23,54,1,85,84,44,-101,33
603345011,,-51,-110,116,3,-68,-9,38,108,-12,-10,106,-38
603345012,,22,29,-125,-84,-59,10,46,18,97,-47,46,104
603345013,,-94,42,-52,-44,30,-34,-48,-85,14,97,54,18
603345014,,-40,64,-111,45,96,45,-118,31,-116,10,17,-4
603345015,,46,67,-102,83,11,-64,121,-111,-80,41,-44,37
603345016,,-3,103,127,-81,-98,125,127,115,126,-5,-35,119
603345017,,119,-1,-77,-1,119,-1,-5,-49,-49,-33,126,-67
603345018,,-17,-39,-1,94,-3,-38,-3,-1,-1,103,-21,-6
603345019,,-2,-65,-36,-3,-1,-81,-105,-1,-5,-4,-9,-1
603345020,,-101,-2,-17,-13,-21,-9,-18,-68,-75,-65,-65,-49
603345021,,-51,19,-45,-51,-70,88,-29,56,109,85,97,24
603345022,,50,-20,44,50,69,-89,28,-57,-110,-86,-98,-25
603346000,,-118,105,-63,55,-64,114,4,74,-91,4,88,-105
603346001,,29,-39,45,-92,2,-102,-93,34,66,-22,-112,74
603346002,,38,-98,18,24,27,-25,-116,-71,12,96,74,-36
603346003,,5,5,-12,121,-82,-52,51,-42,-103,19,-95,2
603346004,,122,116,106,4,69,-119,-44,23,67,9,21,-23
603346005,,90,46,-112,-62,-76,48,75,97,49,-63,77,112
603346006,,-31,66,4,95,29,44,61,109,-8,-74,-86,33
603346007,,-123,-126,-117,-125,-8,17,96,-100,46,-99,-73,-66
603346008,,-16,-79,127,-24,99,71,-38,-128,-42,126,102,5
603346009,,-36,-82,-1,-37,-1,-15,-2,-22,88,-102,10,120
603346010,,95,-10,-14,-21,22,15,-57,-11,127,-21,-11,-69
603346011,,-21,19,-123,-52,-23,-10,63,111,-73,-11,-3,71
603346012,,-66,-55,29,-9,47,-50,5,95,-18,60,119,-82
603346013,,-93,-1,110,52,-41,125,-5,-107,-115,-33,-114,-41
603346014,,117,125,-5,63,-8,-69,-8,-70,-13,103,-5,-3
603346015,,121,-108,-61,88,124,75,-81,27,68,-75,-61,-112
603346016,,-122,107,60,-89,-125,-76,80,-28,-69,74,60,111
603347000,,36,-82,18,32,75,8,71,64,124,46,-23,-126
603347001,,-122,-128,30,20,17,101,-125,32,-82,-60,-128,66
603347002,,40,-115,68,17,2,113,-100,-119,16,9,4,-23
603347003,,-104,108,33,-53,-28,12,32,-128,73,-92,42,45
603347004,,81,33,-127,46,24,10,56,-86,-124,120,25,84
603347005,,81,116,18,-112,-92,-125,88,23,33,0,-91,-128
603347006,,37,82,-20,1,102,-78,43,40,98,37,95,16
603347007,,-62,-128,-39,-24,69,80,-60,84,18,19,16,-6
603347008,,38,3,-86,19,-88,-119,35,83,-123,82,16,3
603347009,,-54,24,33,68,24,86,-44,-18,-45,-102,98,29
603347010,,25,83,68,-18,-109,-92,0,21,8,-63,-58,36
603347011,,-10,-84,57,103,-33,-17,-70,-98,-46,127,126,-19
603347012,,-48,-33,55,-11,127,-125,-29,-6,-1,-75,-9,59
603347013,,-67,59,-52,-2,-33,-1,125,-5,-73,-36,-84,-34
603347014,,-49,118,-33,-85,-87,20,-4,125,8,-5,87,-39
603347015,,59,-49,-30,-33,-96,-4,-113,-57,-1,-29,-101,38
603347016,,111,-15,-1,24,118,123,87,37,109,14,-23,-9
603347017,,-106,59,30,-100,-3,-108,-77,-27,108,81,-125,-75
603347018,,105,-60,-31,99,2,107,76,26,-109,-82,124,74
603347019,,-82,124,3,99,21,-118,68,114,79,90,98,23
603347020,,20,-96,32,78,-116,48,64,-80,-124,97,-128,113
603347021,,33,12,-111,-120,8,0,36,75,-126,0,80,25
603347022,,40,-123,16,50,-112,-120,8,0,4,2,37,-124
603347023,,17,2,-121,33,83,8,32,0,9,-64,96,38
603347024,,10,82,64,1,1,-43,-48,2,34,-110,28,8
603347025,,-64,112,10,-128,36,2,29,69,65,45,3,2
603347026,,-62,0,72,80,2,66,3,-72,80,28,-126,-64
603347027,,4,9,36,4,96,37,-126,4,56,0,8,0
603348000,,18,-111,32,-80,-56,-126,9,12,0,-48,9,30
603348001,,65,76,74,69,5,113,-124,98,-8,11,-78,-32
603348002,,-84,34,-107,10,50,12,114,-111,7,36,68,1
603348003,,34,92,36,0,22,71,66,-72,106,-120,50,38
603348004,,81,2,-61,18,-31,8,-79,64,-112,96,-64,88
603348005,,-116,-95,24,-19,8,-80,12,7,5,23,13,-127
603441000,,-44,-65,-12,-85,127,107,-65,-84,-47,-82,-3,-11
603441001,,-98,61,78,-57,-85,-65,60,-66,31,119,-49,-67
603441002,,-25,115,19,-107,-65,-36,-57,83,-17,-39,87,78
603441003,,-19,-60,-5,122,-58,-19,122,-33,125,-18,-8,-29
603441004,,123,-33,-17,-2,93,82,-43,113,-18,127,34,-37
603441005,,59,-22,-67,125,-16,-73,-21,-17,-78,-111,-65,62
603441006,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603441007,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603441008,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603441009,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
603441010,,-47,-39,125,60,-126,8,-51,22,-30,9,108,74
603441011,,46,38,-126,-61,125,-9,50,-23,29,-10,-109,-75
603441012,,20,4,6,-126,-29,48,-108,35,44,24,-128,72
603441013,,97,-8,1,8,24,76,98,-112,-111,71,23,-93
603441014,,-118,3,-8,117,4,-125,9,76,66,-96,104,20
603441015,,17,19,49,-50,2,-80,72,53,1,58,0,10
603441016,,40,44,2,33,-99,15,-92,74,-94,-64,50,20
603441017,,-58,-64,-52,16,96,64,19,-128,92,5,-51,-31
603441018,,21,65,121,-83,-123,-69,54,24,80,7,-99,119
603441019,,-22,-100,48,26,3,-117,97,-51,-32,-70,103,-115
603441020,,-23,-48,-26,-63,-20,57,-123,10,-39,84,-60,-20
603441021,,74,-125,-122,84,-92,-34,-24,-103,-121,-117,58,24
603441022,,-44,-124,-50,91,22,-126,-101,-26,47,9,2,-126
603441023,,25,46,37,-96,75,116,-114,23,0,-66,40,61
603441024,,2,62,82,-57,-72,96,32,96,63,112,67,67
603441025,,-91,123,-103,32,90,5,87,117,82,65,-100,-80
603441026,,54,97,9,62,113,68,88,-94,-84,-28,-15,66
603441027,,-2,111,-17,-65,-25,125,-33,-17,-2,-8,-69,-5
603441028,,109,-3,123,107,-1,-70,127,-69,-3,-1,-2,119
603441029,,-69,-13,-41,-33,-66,-41,-73,-1,119,-73,-1,-67
603441030,,-1,-34,-3,-10,-1,-17,-3,-44,-117,-1,103,-49
603441031,,-41,-65,-66,-3,89,-1,-22,127,-1,79,-35,-2
603441032,,1,77,-77,16,0,88,-72,21,68,66,13,8
603441033,,68,50,2,104,37,-58,64,-58,54,0,-61,113
603441034,,36,41,-112,32,41,1,37,72,16,-75,50,-117
603441035,,-110,-60,68,-109,-126,-95,-57,56,-127,104,112,-44
603441036,,25,-110,40,69,92,22,24,34,-117,-113,-124,36
603441037,,-22,0,77,-114,-46,40,2,-127,104,16,8,2
603441038,,-71,16,-103,-57,75,107,-120,-82,102,-27,-119,-61
603441039,,70,-17,102,56,-76,-108,119,81,-103,26,118,60
603441040,,64,0,0,32,5,16,32,0,0,0,6,4
603442000,,-42,-124,-76,55,79,98,39,27,7,66,-84,-113
603442001,,27,-69,103,-1,-125,60,-101,-12,-69,45,-117,-7
603442002,,-15,-5,90,82,40,-45,-7,62,84,-99,-45,57
603442003,,-71,71,-8,-120,-40,-99,-44,87,-85,122,-90,-41
603442004,,-26,88,-113,-6,-9,71,-14,-95,110,-25,93,98
603442005,,78,-20,-3,37,52,-17,111,-55,-48,-97,121,36
603442006,,45,55,3,-51,-1,-72,12,-18,-3,-16,118,-34
603442007,,42,-93,77,23,98,73,-90,39,-68,-45,64,125
603442008,,-43,92,-78,-24,-99,-74,89,-40,67,44,-65,-126
603442009,,42,-59,-80,9,26,120,-102,-94,67,-128,-97,-127
603442010,,-88,19,9,3,112,-126,64,-28,-56,-93,32,-95
603442011,,-110,1,-123,-71,-62,14,38,88,74,9,-64,2
603442012,,52,-93,22,32,-123,-28,0,76,-90,60,0,46
603442013,,17,-56,94,-52,16,90,29,-112,1,89,104,-127
603442014,,-62,18,14,37,-84,-31,-111,61,-76,-126,19,16
603442015,,70,56,96,-44,32,4,-86,3,52,69,-99,100
603442016,,76,28,80,-126,7,1,104,37,11,116,32,114
603442017,,73,36,-23,66,-53,41,17,0,81,50,-58,12
603442018,,5,-52,-96,124,9,-110,-58,2,-84,-54,99,-33
603442019,,-79,98,3,18,116,21,101,-37,16,4,28,88
603442020,,44,-120,13,23,6,41,-99,18,81,0,58,108
603442021,,5,-105,18,-68,4,10,0,5,2,100,92,69
603442022,,-122,79,32,56,-94,100,3,14,-84,-27,-62,24
603442023,,-56,-64,-91,67,44,2,-24,107,69,51,104,50
603442024,,113,2,96,66,-8,-112,-45,-64,-96,72,37,-108
603442025,,-80,-76,-128,4,90,-128,-68,-128,-38,-117,-109,3
603442026,,-111,102,18,-119,-127,-52,28,-50,50,-86,64,119
603442027,,86,40,105,16,16,-61,35,-76,72,20,12,-128
603442028,,10,81,-46,-17,-95,56,64,121,-120,65,2,34
