Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15,Unk16,Unk17,Unk18,Unk19,Unk20,Unk21,Unk22,Unk23
16000020,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000010,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000011,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000019,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000020,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000021,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000030,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000031,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000040,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000050,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000060,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000061,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000069,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000070,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000071,,1,720907,720907,720907,720907,720907,720907,720907,16842751,16843009,16843009,16843009,1,0,720907,720907,720907,720907,16843009,16843009,-65536,0,0,0
19000079,,1,720907,720907,720907,720907,720907,720907,720907,16842751,16843009,16843009,16843009,1,0,720907,720907,720907,720907,16843009,16843009,-65536,0,0,0
19000080,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
19000081,,1,720907,720907,720907,720907,720907,720907,720907,16842751,16843009,16843009,16843009,1,0,720907,720907,720907,720907,16843009,16843009,-65536,0,0,0
19000089,,1,720907,720907,720907,720907,720907,720907,720907,16842751,16843009,16843009,16843009,1,0,720907,720907,720907,720907,16843009,16843009,-65536,0,0,0
31000000,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
31000001,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
34110000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
34110001,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
34110010,,1,1376277,1376277,1376277,1376277,1376277,1376277,1376277,16908287,16843009,16843009,16843009,1,0,1376277,1376277,1376277,1376277,16843009,16843009,-65535,0,0,0
35000000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
35000010,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
35000020,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
60370000,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16842751,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60380000,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60380001,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16842751,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60380010,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16842751,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60380011,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60420000,,0,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60420001,,0,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60420002,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60420003,,0,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60420004,,0,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60420005,,0,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60420006,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60420007,,0,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60430000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60490000,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60490001,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16842751,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60490010,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16842751,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60490011,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60490020,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60490021,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60490030,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60490031,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65535,0,0,0
60500000,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16842751,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
60510000,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60510010,,1,65537,65537,65537,65537,65537,65537,65537,16842751,16843009,16843009,16843009,1,0,0,65537,65537,65537,16843009,16843009,-65536,0,0,0
60510011,,1,65537,65537,65537,65537,65537,65537,65537,16842751,16843009,16843009,16843009,1,0,0,65537,65537,65537,16843009,16843009,-65536,0,0,0
60520010,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65535,0,0,0
60540000,,1,720907,720907,720907,720907,720907,720907,720907,16842751,16843009,16843009,16843009,1,0,720907,720907,720907,720907,16843009,16843009,-65536,0,0,0
60540001,,1,720907,720907,720907,720907,720907,720907,720907,16842751,16843009,16843009,16843009,1,0,720907,720907,720907,720907,16843009,16843009,-65536,0,0,0
60540010,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
60540011,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
99990010,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
99990020,,1,65537,65537,65537,65537,65537,65537,65537,16842751,16843009,16843009,16843009,1,0,0,65537,65537,65537,16843009,16843009,-65536,0,0,0
99990030,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
99990040,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
