Row ID;Row Name;slot0;slot1;slot2;slot3;slot4;slot5;slot6;slot7;slot8;slot9;slot10;slot11;slot12;slot13;slot14;slot15;slot16;slot17;slot18;slot19;slot20;slot21;slot22;slot23;slot24;slot25;slot26;slot27;slot28;slot29;slot30;slot31;slot32;slot33;slot34;slot35;slot36;slot37;slot38;slot39;slot40;slot41;slot42;slot43;slot44;slot45;slot46;slot47;slot48;slot49;slot50;slot51;slot52;slot53;slot54;slot55;slot56;slot57;slot58;slot59;slot60;slot61;slot62;slot63;slot64;slot65;slot66;slot67;slot68;slot69;slot70;slot71;slot72;slot73;slot74;slot75;slot76;slot77;slot78;slot79;slot80;slot81;slot82;slot83;slot84;slot85;slot86;slot87;slot88;slot89;slot90;slot91;slot92;slot93;slot94;slot95;slot96;slot97;slot98;slot99
304;;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;
1202000;;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;
1202001;;0;1;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;
1202002;;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;1;0;
1202003;;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;
1202004;;1;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;
1202005;;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;
1202006;;0;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;
1202007;;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;
1202008;;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;
1202009;;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;1;0;
1202010;;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;
1202011;;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;1;
1202012;;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;
1202013;;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;
1202014;;0;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;0;1;1;0;0;
1202015;;0;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;
1202016;;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;
1202017;;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;
1202018;;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;
1202019;;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;
1202020;;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;1;0;
1202020;;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
1202021;;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;
1202022;;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;1;1;
1202023;;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;
1202024;;0;1;1;0;1;0;1;1;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;
1202025;;0;1;0;1;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;1;
1202026;;1;0;1;1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;0;
1202027;;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;
1202028;;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;
1202029;;0;1;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;1;
1202030;;0;0;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;
1202031;;1;0;0;1;0;1;1;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
1202032;;1;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0;
1202033;;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;
1202034;;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;
1202035;;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;
1202036;;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;
1202037;;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;
1202038;;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;
1202039;;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;
1202040;;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;
1202041;;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;1;
1202042;;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;
1202043;;0;1;1;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;
1202044;;1;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;
1202045;;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;
1202046;;0;1;0;0;0;1;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;1;1;0;
1202047;;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;
1202048;;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;
1202049;;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;
1202050;;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;0;0;
1202051;;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
