Row ID;Row Name;correctStrength
1080300;Scorpion's Stinger [Quality];118
1080400;Scorpion's Stinger [Fire];68
1080500;Scorpion's Stinger [Flame Art];22
1080600;Scorpion's Stinger [Lightning];22
1080700;Scorpion's Stinger [Sacred];22
1080800;Scorpion's Stinger [Magic];22
1080900;Scorpion's Stinger [Cold];86
1081000;Scorpion's Stinger [Poison];86
1081100;Scorpion's Stinger [Blood];86
1081200;Scorpion's Stinger [Occult];36
1090000;Great Knife;5
1090100;Great Knife [Heavy];54
1090200;Great Knife [Keen];17
1090300;Great Knife [Quality];62
1090400;Great Knife [Fire];46
1090500;Great Knife [Flame Art];4
1090600;Great Knife [Lightning];8
1090700;Great Knife [Sacred];4
1090800;Great Knife [Magic];4
1090900;Great Knife [Cold];4
1091000;Great Knife [Poison];4
1091100;Great Knife [Blood];4
1091200;Great Knife [Occult];4
1100000;Wakizashi;34
1100100;Wakizashi [Heavy];44
1100200;Wakizashi [Keen];7
1100300;Wakizashi [Quality];55
1100400;Wakizashi [Fire];34
1100500;Wakizashi [Flame Art];10
1100600;Wakizashi [Lightning];7
1100700;Wakizashi [Sacred];10
1100800;Wakizashi [Magic];10
1100900;Wakizashi [Cold];30
1101000;Wakizashi [Poison];32
1101100;Wakizashi [Blood];32
1101200;Wakizashi [Occult];13
1110000;Cinquedea;75
1110100;Cinquedea [Heavy];90
1110200;Cinquedea [Keen];37
1110300;Cinquedea [Quality];97
1110400;Cinquedea [Fire];56
1110500;Cinquedea [Flame Art];18
1110600;Cinquedea [Lightning];18
1110700;Cinquedea [Sacred];18
1110800;Cinquedea [Magic];18
1110900;Cinquedea [Cold];71
1111000;Cinquedea [Poison];71
1111100;Cinquedea [Blood];71
1111200;Cinquedea [Occult];30
1130000;Ivory Sickle;23
1130100;Ivory Sickle [Heavy];70
1130200;Ivory Sickle [Keen];29
1130300;Ivory Sickle [Quality];76
1130400;Ivory Sickle [Fire];44
1130500;Ivory Sickle [Flame Art];14
1130600;Ivory Sickle [Lightning];14
1130700;Ivory Sickle [Sacred];14
1130800;Ivory Sickle [Magic];14
1130900;Ivory Sickle [Cold];56
1131000;Ivory Sickle [Poison];56
1131100;Ivory Sickle [Blood];56
1131200;Ivory Sickle [Occult];23
1140000;Bloodstained Dagger;70
1140100;Bloodstained Dagger [Heavy];67
1140200;Bloodstained Dagger [Keen];13
1140300;Bloodstained Dagger [Quality];58
1140400;Bloodstained Dagger [Fire];43
1140500;Bloodstained Dagger [Flame Art];21
1140600;Bloodstained Dagger [Lightning];9
1140700;Bloodstained Dagger [Sacred];21
1140800;Bloodstained Dagger [Magic];21
1140900;Bloodstained Dagger [Cold];63
1141000;Bloodstained Dagger [Poison];66
1141100;Bloodstained Dagger [Blood];66
1141200;Bloodstained Dagger [Occult];28
1150000;Erdsteel Dagger;30
1150100;Erdsteel Dagger [Heavy];50
1150200;Erdsteel Dagger [Keen];9
1150300;Erdsteel Dagger [Quality];63
1150400;Erdsteel Dagger [Fire];41
1150500;Erdsteel Dagger [Flame Art];9
1150600;Erdsteel Dagger [Lightning];9
1150700;Erdsteel Dagger [Sacred];9
1150800;Erdsteel Dagger [Magic];9
1150900;Erdsteel Dagger [Cold];27
1151000;Erdsteel Dagger [Poison];28
1151100;Erdsteel Dagger [Blood];28
1151200;Erdsteel Dagger [Occult];12
1160000;Blade of Calling;33
1160100;Blade of Calling [Heavy];90
1160200;Blade of Calling [Keen];37
1160300;Blade of Calling [Quality];97
1160400;Blade of Calling [Fire];56
1160500;Blade of Calling [Flame Art];18
1160600;Blade of Calling [Lightning];18
1160700;Blade of Calling [Sacred];18
1160800;Blade of Calling [Magic];18
1160900;Blade of Calling [Cold];71
1161000;Blade of Calling [Poison];71
1161100;Blade of Calling [Blood];71
1161200;Blade of Calling [Occult];30
1190000;;35
1910000;;35
2000000;Longsword;50
2000100;Longsword [Heavy];48
2000200;Longsword [Keen];8
2000300;Longsword [Quality];56
2000400;Longsword [Fire];35
2000500;Longsword [Flame Art];10
2000600;Longsword [Lightning];8
2000700;Longsword [Sacred];10
2000800;Longsword [Magic];7
2000900;Longsword [Cold];45
2001000;Longsword [Poison];47
2001100;Longsword [Blood];47
2001200;Longsword [Occult];20
2010000;Short Sword;37
2010100;Short Sword [Heavy];47
2010200;Short Sword [Keen];8
2010300;Short Sword [Quality];55
2010400;Short Sword [Fire];37
2010500;Short Sword [Flame Art];7
2010600;Short Sword [Lightning];8
2010700;Short Sword [Sacred];7
2010800;Short Sword [Magic];5
2010900;Short Sword [Cold];33
2011000;Short Sword [Poison];35
2011100;Short Sword [Blood];35
2011200;Short Sword [Occult];14
2020000;Broadsword;55
2020100;Broadsword [Heavy];57
2020200;Broadsword [Keen];7
2020300;Broadsword [Quality];50
2020400;Broadsword [Fire];32
2020500;Broadsword [Flame Art];11
2020600;Broadsword [Lightning];7
2020700;Broadsword [Sacred];11
2020800;Broadsword [Magic];8
2020900;Broadsword [Cold];49
2021000;Broadsword [Poison];52
2021100;Broadsword [Blood];52
2021200;Broadsword [Occult];22
2040000;Lordsworn's Straight Sword;36
2040100;Lordsworn's Straight Sword [Heavy];42
2040200;Lordsworn's Straight Sword [Keen];14
2040300;Lordsworn's Straight Sword [Quality];50
2040400;Lordsworn's Straight Sword [Fire];29
2040500;Lordsworn's Straight Sword [Flame Art];7
2040600;Lordsworn's Straight Sword [Lightning];7
2040700;Lordsworn's Straight Sword [Sacred];7
2040800;Lordsworn's Straight Sword [Magic];5
2040900;Lordsworn's Straight Sword [Cold];32
2041000;Lordsworn's Straight Sword [Poison];32
2041100;Lordsworn's Straight Sword [Blood];32
2041200;Lordsworn's Straight Sword [Occult];14
2050000;Weathered Straight Sword;34
2050100;Weathered Straight Sword [Heavy];44
2050200;Weathered Straight Sword [Keen];7
2050300;Weathered Straight Sword [Quality];53
2050400;Weathered Straight Sword [Fire];33
2050500;Weathered Straight Sword [Flame Art];10
2050600;Weathered Straight Sword [Lightning];7
2050700;Weathered Straight Sword [Sacred];10
2050800;Weathered Straight Sword [Magic];10
2050900;Weathered Straight Sword [Cold];30
2051000;Weathered Straight Sword [Poison];32
2051100;Weathered Straight Sword [Blood];32
2051200;Weathered Straight Sword [Occult];13
2060000;Ornamental Straight Sword;36
2060100;Ornamental Straight Sword [Heavy];86
2060200;Ornamental Straight Sword [Keen];36
2060300;Ornamental Straight Sword [Quality];93
2060400;Ornamental Straight Sword [Fire];54
2060500;Ornamental Straight Sword [Flame Art];18
2060600;Ornamental Straight Sword [Lightning];18
2060700;Ornamental Straight Sword [Sacred];18
2060800;Ornamental Straight Sword [Magic];18
2060900;Ornamental Straight Sword [Cold];68
2061000;Ornamental Straight Sword [Poison];68
2061100;Ornamental Straight Sword [Blood];68
2061200;Ornamental Straight Sword [Occult];28
2070000;Golden Epitaph;39
2070100;Golden Epitaph [Heavy];60
2070200;Golden Epitaph [Keen];25
2070300;Golden Epitaph [Quality];65
2070400;Golden Epitaph [Fire];37
2070500;Golden Epitaph [Flame Art];12
2070600;Golden Epitaph [Lightning];12
2070700;Golden Epitaph [Sacred];12
2070800;Golden Epitaph [Magic];12
2070900;Golden Epitaph [Cold];47
2071000;Golden Epitaph [Poison];47
2071100;Golden Epitaph [Blood];47
2071200;Golden Epitaph [Occult];20
2080000;Nox Flowing Sword;26
2080100;Nox Flowing Sword [Heavy];78
2080200;Nox Flowing Sword [Keen];32
2080300;Nox Flowing Sword [Quality];84
2080400;Nox Flowing Sword [Fire];48
2080500;Nox Flowing Sword [Flame Art];16
2080600;Nox Flowing Sword [Lightning];16
2080700;Nox Flowing Sword [Sacred];16
2080800;Nox Flowing Sword [Magic];16
2080900;Nox Flowing Sword [Cold];61
2081000;Nox Flowing Sword [Poison];61
2081100;Nox Flowing Sword [Blood];61
2081200;Nox Flowing Sword [Occult];26
2090000;Inseparable Sword;36
2090100;Inseparable Sword [Heavy];93
2090200;Inseparable Sword [Keen];39
2090300;Inseparable Sword [Quality];101
2090400;Inseparable Sword [Fire];58
2090500;Inseparable Sword [Flame Art];19
2090600;Inseparable Sword [Lightning];19
2090700;Inseparable Sword [Sacred];19
2090800;Inseparable Sword [Magic];19
2090900;Inseparable Sword [Cold];74
2091000;Inseparable Sword [Poison];74
2091100;Inseparable Sword [Blood];74
2091200;Inseparable Sword [Occult];31
2092000;;27
2110000;Coded Sword;0
2110100;Coded Sword [Heavy];148
2110200;Coded Sword [Keen];62
2110300;Coded Sword [Quality];161
2110400;Coded Sword [Fire];93
2110500;Coded Sword [Flame Art];31
2110600;Coded Sword [Lightning];31
2110700;Coded Sword [Sacred];31
2110800;Coded Sword [Magic];31
2110900;Coded Sword [Cold];117
2111000;Coded Sword [Poison];117
2111100;Coded Sword [Blood];117
2111200;Coded Sword [Occult];49
2140000;Sword of Night and Flame;19
2140100;Sword of Night and Flame [Heavy];78
2140200;Sword of Night and Flame [Keen];32
2140300;Sword of Night and Flame [Quality];84
2140400;Sword of Night and Flame [Fire];48
2140500;Sword of Night and Flame [Flame Art];16
2140600;Sword of Night and Flame [Lightning];16
2140700;Sword of Night and Flame [Sacred];16
2140800;Sword of Night and Flame [Magic];16
2140900;Sword of Night and Flame [Cold];61
2141000;Sword of Night and Flame [Poison];61
2141100;Sword of Night and Flame [Blood];61
2141200;Sword of Night and Flame [Occult];26
2150000;Crystal Sword;59
2150100;Crystal Sword [Heavy];70
2150200;Crystal Sword [Keen];29
2150300;Crystal Sword [Quality];76
2150400;Crystal Sword [Fire];44
2150500;Crystal Sword [Flame Art];14
2150600;Crystal Sword [Lightning];14
2150700;Crystal Sword [Sacred];14
2150800;Crystal Sword [Magic];14
2150900;Crystal Sword [Cold];56
2151000;Crystal Sword [Poison];56
2151100;Crystal Sword [Blood];56
2151200;Crystal Sword [Occult];23
2180000;Carian Knight's Sword;46
2180100;Carian Knight's Sword [Heavy];55
2180200;Carian Knight's Sword [Keen];23
2180300;Carian Knight's Sword [Quality];59
2180400;Carian Knight's Sword [Fire];34
2180500;Carian Knight's Sword [Flame Art];11
2180600;Carian Knight's Sword [Lightning];11
2180700;Carian Knight's Sword [Sacred];11
2180800;Carian Knight's Sword [Magic];11
2180900;Carian Knight's Sword [Cold];43
2181000;Carian Knight's Sword [Poison];43
2181100;Carian Knight's Sword [Blood];43
2181200;Carian Knight's Sword [Occult];18
2190000;Sword of St. Trina;37
2190100;Sword of St. Trina [Heavy];62
2190200;Sword of St. Trina [Keen];26
2190300;Sword of St. Trina [Quality];67
2190400;Sword of St. Trina [Fire];39
2190500;Sword of St. Trina [Flame Art];13
2190600;Sword of St. Trina [Lightning];13
2190700;Sword of St. Trina [Sacred];13
2190800;Sword of St. Trina [Magic];13
2190900;Sword of St. Trina [Cold];49
2191000;Sword of St. Trina [Poison];49
2191100;Sword of St. Trina [Blood];49
2191200;Sword of St. Trina [Occult];20
2200000;Miquellan Knight's Sword;38
2200100;Miquellan Knight's Sword [Heavy];45
2200200;Miquellan Knight's Sword [Keen];19
2200300;Miquellan Knight's Sword [Quality];49
2200400;Miquellan Knight's Sword [Fire];28
2200500;Miquellan Knight's Sword [Flame Art];9
2200600;Miquellan Knight's Sword [Lightning];9
2200700;Miquellan Knight's Sword [Sacred];9
2200800;Miquellan Knight's Sword [Magic];9
2200900;Miquellan Knight's Sword [Cold];36
2201000;Miquellan Knight's Sword [Poison];36
2201100;Miquellan Knight's Sword [Blood];36
2201200;Miquellan Knight's Sword [Occult];15
2210000;Cane Sword;20
2210100;Cane Sword [Heavy];43
2210200;Cane Sword [Keen];15
2210300;Cane Sword [Quality];50
2210400;Cane Sword [Fire];32
2210500;Cane Sword [Flame Art];6
2210600;Cane Sword [Lightning];7
2210700;Cane Sword [Sacred];6
2210800;Cane Sword [Magic];6
2210900;Cane Sword [Cold];18
2211000;Cane Sword [Poison];19
2211100;Cane Sword [Blood];19
2211200;Cane Sword [Occult];8
2220000;Regalia of Eochaid;20
2220100;Regalia of Eochaid [Heavy];58
2220200;Regalia of Eochaid [Keen];24
2220300;Regalia of Eochaid [Quality];63
2220400;Regalia of Eochaid [Fire];36
2220500;Regalia of Eochaid [Flame Art];12
2220600;Regalia of Eochaid [Lightning];12
2220700;Regalia of Eochaid [Sacred];12
2220800;Regalia of Eochaid [Magic];12
2220900;Regalia of Eochaid [Cold];46
2221000;Regalia of Eochaid [Poison];46
2221100;Regalia of Eochaid [Blood];46
2221200;Regalia of Eochaid [Occult];19
2230000;Noble's Slender Sword;12
2230100;Noble's Slender Sword [Heavy];50
2230200;Noble's Slender Sword [Keen];8
2230300;Noble's Slender Sword [Quality];57
2230400;Noble's Slender Sword [Fire];38
2230500;Noble's Slender Sword [Flame Art];4
2230600;Noble's Slender Sword [Lightning];8
2230700;Noble's Slender Sword [Sacred];4
2230800;Noble's Slender Sword [Magic];4
2230900;Noble's Slender Sword [Cold];10
2231000;Noble's Slender Sword [Poison];11
2231100;Noble's Slender Sword [Blood];11
2231200;Noble's Slender Sword [Occult];4
2240000;Warhawk's Talon;28
2240100;Warhawk's Talon [Heavy];48
2240200;Warhawk's Talon [Keen];8
2240300;Warhawk's Talon [Quality];56
2240400;Warhawk's Talon [Fire];38
2240500;Warhawk's Talon [Flame Art];8
2240600;Warhawk's Talon [Lightning];8
2240700;Warhawk's Talon [Sacred];8
2240800;Warhawk's Talon [Magic];8
2240900;Warhawk's Talon [Cold];25
2241000;Warhawk's Talon [Poison];26
2241100;Warhawk's Talon [Blood];26
2241200;Warhawk's Talon [Occult];11
2250000;Lazuli Glintstone Sword;50
2250100;Lazuli Glintstone Sword [Heavy];60
2250200;Lazuli Glintstone Sword [Keen];25
2250300;Lazuli Glintstone Sword [Quality];65
2250400;Lazuli Glintstone Sword [Fire];37
2250500;Lazuli Glintstone Sword [Flame Art];12
2250600;Lazuli Glintstone Sword [Lightning];12
2250700;Lazuli Glintstone Sword [Sacred];12
2250800;Lazuli Glintstone Sword [Magic];12
2250900;Lazuli Glintstone Sword [Cold];47
2251000;Lazuli Glintstone Sword [Poison];47
2251100;Lazuli Glintstone Sword [Blood];47
2251200;Lazuli Glintstone Sword [Occult];20
2260000;Rotten Crystal Sword;58
2260100;Rotten Crystal Sword [Heavy];69
2260200;Rotten Crystal Sword [Keen];29
2260300;Rotten Crystal Sword [Quality];75
2260400;Rotten Crystal Sword [Fire];43
2260500;Rotten Crystal Sword [Flame Art];14
2260600;Rotten Crystal Sword [Lightning];14
2260700;Rotten Crystal Sword [Sacred];14
2260800;Rotten Crystal Sword [Magic];14
2260900;Rotten Crystal Sword [Cold];55
2261000;Rotten Crystal Sword [Poison];55
2261100;Rotten Crystal Sword [Blood];55
2261200;Rotten Crystal Sword [Occult];23
3000000;Bastard Sword;55
3000100;Bastard Sword [Heavy];59
3000200;Bastard Sword [Keen];16
3000300;Bastard Sword [Quality];51
3000400;Bastard Sword [Fire];34
3000500;Bastard Sword [Flame Art];16
3000600;Bastard Sword [Lightning];16
3000700;Bastard Sword [Sacred];16
3000800;Bastard Sword [Magic];16
3000900;Bastard Sword [Cold];49
3001000;Bastard Sword [Poison];52
3001100;Bastard Sword [Blood];52
3001200;Bastard Sword [Occult];22
3010000;Forked Greatsword;35
3010100;Forked Greatsword [Heavy];46
3010200;Forked Greatsword [Keen];17
3010300;Forked Greatsword [Quality];56
3010400;Forked Greatsword [Fire];35
3010500;Forked Greatsword [Flame Art];10
3010600;Forked Greatsword [Lightning];17
3010700;Forked Greatsword [Sacred];10
3010800;Forked Greatsword [Magic];10
3010900;Forked Greatsword [Cold];31
3011000;Forked Greatsword [Poison];33
3011100;Forked Greatsword [Blood];33
3011200;Forked Greatsword [Occult];14
3020000;Iron Greatsword;65
3020100;Iron Greatsword [Heavy];55
3020200;Iron Greatsword [Keen];18
3020300;Iron Greatsword [Quality];48
3020400;Iron Greatsword [Fire];32
3020500;Iron Greatsword [Flame Art];19
3020600;Iron Greatsword [Lightning];15
3020700;Iron Greatsword [Sacred];19
3020800;Iron Greatsword [Magic];19
3020900;Iron Greatsword [Cold];58
3021000;Iron Greatsword [Poison];61
3021100;Iron Greatsword [Blood];61
3021200;Iron Greatsword [Occult];26
3030000;Lordsworn's Greatsword;43
3030100;Lordsworn's Greatsword [Heavy];45
3030200;Lordsworn's Greatsword [Keen];16
3030300;Lordsworn's Greatsword [Quality];54
3030400;Lordsworn's Greatsword [Fire];32
3030500;Lordsworn's Greatsword [Flame Art];12
3030600;Lordsworn's Greatsword [Lightning];16
3030700;Lordsworn's Greatsword [Sacred];12
3030800;Lordsworn's Greatsword [Magic];12
3030900;Lordsworn's Greatsword [Cold];38
3031000;Lordsworn's Greatsword [Poison];40
3031100;Lordsworn's Greatsword [Blood];40
3031200;Lordsworn's Greatsword [Occult];17
3040000;Knight's Greatsword;33
3040100;Knight's Greatsword [Heavy];43
3040200;Knight's Greatsword [Keen];15
3040300;Knight's Greatsword [Quality];53
3040400;Knight's Greatsword [Fire];31
3040500;Knight's Greatsword [Flame Art];9
3040600;Knight's Greatsword [Lightning];15
3040700;Knight's Greatsword [Sacred];9
3040800;Knight's Greatsword [Magic];9
3040900;Knight's Greatsword [Cold];29
3041000;Knight's Greatsword [Poison];31
3041100;Knight's Greatsword [Blood];31
3041200;Knight's Greatsword [Occult];13
3050000;Flamberge;27
3050100;Flamberge [Heavy];49
3050200;Flamberge [Keen];8
3050300;Flamberge [Quality];56
3050400;Flamberge [Fire];36
3050500;Flamberge [Flame Art];8
3050600;Flamberge [Lightning];17
3050700;Flamberge [Sacred];8
3050800;Flamberge [Magic];8
3050900;Flamberge [Cold];24
3051000;Flamberge [Poison];25
3051100;Flamberge [Blood];25
3051200;Flamberge [Occult];10
3060000;Ordovis's Greatsword;103
3060100;Ordovis's Greatsword [Heavy];123
3060200;Ordovis's Greatsword [Keen];51
3060300;Ordovis's Greatsword [Quality];133
3060400;Ordovis's Greatsword [Fire];77
3060500;Ordovis's Greatsword [Flame Art];25
3060600;Ordovis's Greatsword [Lightning];25
3060700;Ordovis's Greatsword [Sacred];25
3060800;Ordovis's Greatsword [Magic];25
3060900;Ordovis's Greatsword [Cold];97
3061000;Ordovis's Greatsword [Poison];97
3061100;Ordovis's Greatsword [Blood];97
3061200;Ordovis's Greatsword [Occult];41
3070000;Onyx Lord's Sword;76
3070100;Onyx Lord's Sword [Heavy];91
3070200;Onyx Lord's Sword [Keen];38
3070300;Onyx Lord's Sword [Quality];98
3070400;Onyx Lord's Sword [Fire];57
3070500;Onyx Lord's Sword [Flame Art];19
3070600;Onyx Lord's Sword [Lightning];19
3070700;Onyx Lord's Sword [Sacred];19
3070800;Onyx Lord's Sword [Magic];19
3070900;Onyx Lord's Sword [Cold];72
3071000;Onyx Lord's Sword [Poison];72
3071100;Onyx Lord's Sword [Blood];72
3071200;Onyx Lord's Sword [Occult];30
3080000;Banished Knight's Greatsword;44
3080100;Banished Knight's Greatsword [Heavy];47
3080200;Banished Knight's Greatsword [Keen];16
3080300;Banished Knight's Greatsword [Quality];54
3080400;Banished Knight's Greatsword [Fire];33
3080500;Banished Knight's Greatsword [Flame Art];13
3080600;Banished Knight's Greatsword [Lightning];16
3080700;Banished Knight's Greatsword [Sacred];13
3080800;Banished Knight's Greatsword [Magic];13
3080900;Banished Knight's Greatsword [Cold];39
3081000;Banished Knight's Greatsword [Poison];41
3081100;Banished Knight's Greatsword [Blood];41
3081200;Banished Knight's Greatsword [Occult];17
3090000;Dark Moon Greatsword;33
3090100;Dark Moon Greatsword [Heavy];109
3090200;Dark Moon Greatsword [Keen];45
3090300;Dark Moon Greatsword [Quality];118
3090400;Dark Moon Greatsword [Fire];68
3090500;Dark Moon Greatsword [Flame Art];22
3090600;Dark Moon Greatsword [Lightning];22
3090700;Dark Moon Greatsword [Sacred];22
3090800;Dark Moon Greatsword [Magic];22
3090900;Dark Moon Greatsword [Cold];86
3091000;Dark Moon Greatsword [Poison];86
3091100;Dark Moon Greatsword [Blood];86
3091200;Dark Moon Greatsword [Occult];36
3100000;Sacred Relic Sword;20
3100100;Sacred Relic Sword [Heavy];87
3100200;Sacred Relic Sword [Keen];36
3100300;Sacred Relic Sword [Quality];94
3100400;Sacred Relic Sword [Fire];54
3100500;Sacred Relic Sword [Flame Art];18
3100600;Sacred Relic Sword [Lightning];18
3100700;Sacred Relic Sword [Sacred];18
3100800;Sacred Relic Sword [Magic];18
3100900;Sacred Relic Sword [Cold];69
3101000;Sacred Relic Sword [Poison];69
3101100;Sacred Relic Sword [Blood];69
3101200;Sacred Relic Sword [Occult];29
3130000;Helphen's Steeple;46
3130100;Helphen's Steeple [Heavy];78
3130200;Helphen's Steeple [Keen];32
3130300;Helphen's Steeple [Quality];84
3130400;Helphen's Steeple [Fire];48
3130500;Helphen's Steeple [Flame Art];16
3130600;Helphen's Steeple [Lightning];16
3130700;Helphen's Steeple [Sacred];16
3130800;Helphen's Steeple [Magic];16
3130900;Helphen's Steeple [Cold];61
3131000;Helphen's Steeple [Poison];61
3131100;Helphen's Steeple [Blood];61
3131200;Helphen's Steeple [Occult];26
3140000;Blasphemous Blade;46
3140100;Blasphemous Blade [Heavy];78
3140200;Blasphemous Blade [Keen];32
3140300;Blasphemous Blade [Quality];84
3140400;Blasphemous Blade [Fire];48
3140500;Blasphemous Blade [Flame Art];16
3140600;Blasphemous Blade [Lightning];16
3140700;Blasphemous Blade [Sacred];16
3140800;Blasphemous Blade [Magic];16
3140900;Blasphemous Blade [Cold];61
3141000;Blasphemous Blade [Poison];61
3141100;Blasphemous Blade [Blood];61
3141200;Blasphemous Blade [Occult];26
3150000;Marais Executioner's Sword;82
3150100;Marais Executioner's Sword [Heavy];98
3150200;Marais Executioner's Sword [Keen];41
3150300;Marais Executioner's Sword [Quality];106
3150400;Marais Executioner's Sword [Fire];61
3150500;Marais Executioner's Sword [Flame Art];20
3150600;Marais Executioner's Sword [Lightning];20
3150700;Marais Executioner's Sword [Sacred];20
3150800;Marais Executioner's Sword [Magic];20
3150900;Marais Executioner's Sword [Cold];77
3151000;Marais Executioner's Sword [Poison];77
3151100;Marais Executioner's Sword [Blood];77
3151200;Marais Executioner's Sword [Occult];32
3160000;Sword of Milos;45
3160100;Sword of Milos [Heavy];74
